STOP_NAME,STOP_NUMBER,EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"Pully, Joliette",8592182,ARRIVAL,432,,120,2539720,1151257
"Pully, C. F. Ramuz",8592172,ARRIVAL,822,120,60,2539332,1151221
"Pully, Pierraz-Portay",8592193,ARRIVAL,1183,60,60,2538971,1151206
"Pully, Métairie",8592186,ARRIVAL,1402,60,107,2538767,1151286
"Lausanne, Montchoisi",8592077,ARRIVAL,1716,107,60,2538477,1151406
"Lausanne, Musée Olympique",8592084,ARRIVAL,1936,60,60,2538334,1151239
"Lausanne, Elysée",8592039,ARRIVAL,2193,60,114,2538118,1151378
"Lausanne, Délices",8592028,ARRIVAL,2548,114,106,2537789,1151513
"Lausanne, jardin botanique",8591985,ARRIVAL,2936,106,64,2537407,1151579
"Lausanne, Cèdres",8592005,ARRIVAL,3325,64,60,2537110,1151830
"Lausanne, Riant-Cour",8592110,ARRIVAL,3580,60,23278,2536871,1151918
"Lausanne, Batelière",8591983,ARRIVAL,3831,23278,60,2536637,1152009
"Lausanne, Figuiers",8592044,ARRIVAL,4015,60,118,2536461,1152063
"Lausanne, Maladière-Figuiers",8593837,ARRIVAL,4363,118,109,2536113,1152075
"Lausanne, Bois de Vaux",8591995,ARRIVAL,4923,109,60,2535630,1152359
"Lausanne, Sablons",8592114,ARRIVAL,5376,60,171,2535323,1152691
"Lausanne, Bourdonnette nord",8595521,ARRIVAL,5949,171,60,2534825,1152975
"Chavannes-R., Dorigny",8595602,ARRIVAL,6406,60,60,2534420,1153187
"Chavannes-R., Talluchet",8510422,ARRIVAL,6620,60,60,2534387,1153398
"Renens VD, piscine",8595534,ARRIVAL,6859,60,60,2534529,1153591
"Renens VD, Censuy",8592209,ARRIVAL,7101,60,170,2534431,1153812
"Renens VD, gare sud",8588983,ARRIVAL,7690,170,60,2534082,1154287
"Chavannes-R., Glycines",8593869,ARRIVAL,7906,60,,2533869,1154252
