STOP_NAME,STOP_NUMBER,EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"Prilly, Galicien",8592049,ARRIVAL,0,,101,2535968,1153319
"Lausanne, Malley",8501209,ARRIVAL,455,101,70,2535848,1152880
"Lausanne, Malley",8501209,DEPARTURE,455,24,24,2535848,1152880
"Renens VD, Longemalle",8592215,ARRIVAL,940,70,52,2535392,1153045
"Renens VD, Longemalle",8592215,DEPARTURE,940,34,34,2535392,1153045
"Renens VD, rue du Lac",8592219,ARRIVAL,1330,52,36,2535061,1153251
"Renens VD, rue du Lac",8592219,DEPARTURE,1330,21,21,2535061,1153251
"Renens VD, Chêne",8592210,ARRIVAL,1576,36,113,2534899,1153437
"Renens VD, Chêne",8592210,DEPARTURE,1576,20,20,2534899,1153437
"Renens VD, Caudray",8592218,ARRIVAL,2015,113,50,2534580,1153738
"Renens VD, Caudray",8592218,DEPARTURE,2015,22,22,2534580,1153738
"Renens VD, Censuy",8592209,ARRIVAL,2181,50,71,2534431,1153812
"Renens VD, Censuy",8592209,DEPARTURE,2181,18,18,2534431,1153812
"Chavannes-R., Préfaully",8593866,ARRIVAL,2578,71,70,2534059,1153950
"Chavannes-R., Préfaully",8593866,DEPARTURE,2578,17,17,2534059,1153950
"Chavannes-R., Concorde",8593868,ARRIVAL,2970,70,33,2533691,1153816
"Chavannes-R., Concorde",8593868,DEPARTURE,2970,24,24,2533691,1153816
"Chavannes-R., Planta",8591933,ARRIVAL,3198,33,49,2533594,1154023
"Chavannes-R., Planta",8591933,DEPARTURE,3198,20,20,2533594,1154023
"Chavannes-R., Glycines",8593869,ARRIVAL,3556,49,93,2533869,1154252
"Chavannes-R., Glycines",8593869,DEPARTURE,3556,16,16,2533869,1154252
"Renens VD, gare sud",8588983,ARRIVAL,3772,93,29615,2534082,1154287
"Renens VD, gare sud",8588983,DEPARTURE,3772,25,25,2534082,1154287
"Renens VD, Avenir",8592202,ARRIVAL,4112,29615,43,2534348,1154499
"Renens VD, Avenir",8592202,DEPARTURE,4112,18,18,2534348,1154499
"Renens VD, 14 Avril",8588839,ARRIVAL,4364,43,28,2534113,1154587
"Renens VD, 14 Avril",8588839,DEPARTURE,4364,46,46,2534113,1154587
"Crissier, Chicorée",8510421,ARRIVAL,4522,28,48,2534111,1154746
"Crissier, Chicorée",8510421,DEPARTURE,4522,16,16,2534111,1154746
"Crissier, Noutes",8588840,ARRIVAL,4830,48,46,2534099,1155053
"Crissier, Noutes",8588840,DEPARTURE,4830,17,17,2534099,1155053
"Crissier, scierie",8588841,ARRIVAL,5197,46,63,2534095,1155420
"Crissier, scierie",8588841,DEPARTURE,5197,18,18,2534095,1155420
"Crissier, Bré",8588842,ARRIVAL,5605,63,73,2534093,1155828
"Crissier, Bré",8588842,DEPARTURE,5605,33,33,2534093,1155828
"Crissier, centre",8588843,ARRIVAL,6002,73,43,2533922,1156187
"Crissier, centre",8588843,DEPARTURE,6002,21,21,2533922,1156187
"Crissier, Timonet",8588845,ARRIVAL,6344,43,105,2533672,1156420
"Crissier, Timonet",8588845,DEPARTURE,6344,19,19,2533672,1156420
"Villars-Ste-Croix, Croix Péage",8588846,ARRIVAL,7213,105,24,2533051,1157027
"Villars-Ste-Croix, Croix Péage",8588846,DEPARTURE,7213,29,29,2533051,1157027
"Villars-Ste-Croix, Colice",8595978,ARRIVAL,7377,24,77,2533113,1157179
"Villars-Ste-Croix, Colice",8595978,DEPARTURE,7377,15,15,2533113,1157179
"Villars-Ste-Croix, Le Sansy",8588848,ARRIVAL,8006,77,47,2533042,1157804
"Villars-Ste-Croix, Le Sansy",8588848,DEPARTURE,8006,20,20,2533042,1157804
"Villars-Ste-Croix, village",8588847,ARRIVAL,8283,47,223,2532765,1157793
"Villars-Ste-Croix, village",8588847,DEPARTURE,8283,24,24,2532765,1157793
"Mex VD, Faraz",8594270,ARRIVAL,9162,223,,2531907,1157602
