STOP_NAME,STOP_NUMBER,BUS_EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"Lausanne, St-François",8579254,DEPARTURE,0.0,,,2538215.0,1152325.0
"Lausanne, St-François",8579254,ARRIVAL,0.0,,,2538215.0,1152325.0
"Lausanne, Bel-Air",8591988,ARRIVAL,468.83792508712435,,,2537880.0,1152653.0
"Lausanne, Bel-Air",8591988,DEPARTURE,468.83792508712435,,0 days 00:01:00,2537880.0,1152653.0
"Lausanne, Chauderon",8592010,ARRIVAL,826.3655463977022,0 days 00:01:00,,2537555.0,1152802.0
"Lausanne, Chauderon",8592010,DEPARTURE,826.3655463977022,,0 days 00:02:00,2537555.0,1152802.0
"Lausanne, Tivoli",8592122,DEPARTURE,1192.8679338387665,0 days 00:02:00,,2537305.0,1152534.0
"Lausanne, Tivoli",8592122,ARRIVAL,1192.8679338387665,,0 days 00:01:00,2537305.0,1152534.0
"Lausanne, Belvédère",8591990,ARRIVAL,1536.7778057529063,0 days 00:01:00,,2536962.0,1152509.0
"Lausanne, Belvédère",8591990,DEPARTURE,1536.7778057529063,,,2536962.0,1152509.0
"Lausanne, Montelly",8501207,ARRIVAL,1829.2739595737728,,,2536689.0,1152614.0
"Lausanne, Montelly",8501207,DEPARTURE,1829.2739595737728,,0 days 00:02:00,2536689.0,1152614.0
"Lausanne, Montoie",8592080,ARRIVAL,2377.2821711910806,0 days 00:02:00,,2536302.0,1152226.0
"Lausanne, Montoie",8592080,DEPARTURE,2377.2821711910806,,0 days 00:01:00,2536302.0,1152226.0
"Lausanne, Figuiers",8592044,DEPARTURE,2604.9881219257945,0 days 00:01:00,,2536461.0,1152063.0
"Lausanne, Figuiers",8592044,ARRIVAL,2604.9881219257945,,0 days 00:01:00,2536461.0,1152063.0
"Lausanne, Maladière-Figuiers",8593837,DEPARTURE,2953.1949570109205,0 days 00:01:00,,2536113.0,1152075.0
"Lausanne, Maladière-Figuiers",8593837,ARRIVAL,2953.1949570109205,,0 days 00:01:00,2536113.0,1152075.0
"Lausanne, Bois de Vaux",8591995,DEPARTURE,3513.5029080521313,0 days 00:01:00,,2535630.0,1152359.0
"Lausanne, Bois de Vaux",8591995,ARRIVAL,3513.5029080521313,,0 days 00:01:00,2535630.0,1152359.0
"Lausanne, Sablons",8592114,ARRIVAL,3965.68981631021,0 days 00:01:00,,2535323.0,1152691.0
"Lausanne, Sablons",8592114,DEPARTURE,3965.68981631021,,0 days 00:02:00,2535323.0,1152691.0
"Lausanne, Bourdonnette",8501210,ARRIVAL,4432.202409923716,0 days 00:02:00,,2534868.0,1152794.0
"Lausanne, Bourdonnette",8501210,DEPARTURE,4432.202409923716,,0 days 00:03:00,2534868.0,1152794.0
"Lausanne, Malley",8501209,DEPARTURE,5415.937411043405,0 days 00:03:00,,2535847.94901,1152880.22349
"Lausanne, Malley",8501209,ARRIVAL,5415.937411043405,,,2535847.94901,1152880.22349
"Renens VD, Longemalle",8592215,DEPARTURE,5900.747474849684,,,2535392.0,1153045.0
"Renens VD, Longemalle",8592215,ARRIVAL,5900.747474849684,,0 days 00:01:00,2535392.0,1153045.0
