STOP_NAME,STOP_NUMBER,BUS_EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"Lausanne, St-François",8579254,DEPARTURE_REAL,0.0,,,2538215.0,1152325.0
"Lausanne, St-François",8579254,ARRIVAL_REAL,0.0,,,2538215.0,1152325.0
"Lausanne, Bel-Air",8591988,ARRIVAL_REAL,468.83792508712435,,0 days 00:00:39,2537880.0,1152653.0
"Lausanne, Bel-Air",8591988,DEPARTURE_REAL,468.83792508712435,0 days 00:00:39,0 days 00:01:00,2537880.0,1152653.0
"Lausanne, Chauderon",8592010,ARRIVAL_REAL,826.3655463977022,0 days 00:01:00,0 days 00:00:17.500000,2537555.0,1152802.0
"Lausanne, Chauderon",8592010,DEPARTURE_REAL,826.3655463977022,0 days 00:00:17.500000,0 days 00:02:00,2537555.0,1152802.0
"Lausanne, Tivoli",8592122,DEPARTURE_REAL,1192.8679338387665,0 days 00:02:00,,2537305.0,1152534.0
"Lausanne, Tivoli",8592122,ARRIVAL_REAL,1192.8679338387665,,0 days 00:01:00,2537305.0,1152534.0
"Lausanne, Belvédère",8591990,DEPARTURE_REAL,1536.7778057529063,0 days 00:01:00,,2536962.0,1152509.0
"Lausanne, Belvédère",8591990,ARRIVAL_REAL,1536.7778057529063,,0 days 00:00:45.500000,2536962.0,1152509.0
"Lausanne, Montelly",8501207,DEPARTURE_REAL,1829.2739595737728,0 days 00:00:45.500000,,2536689.0,1152614.0
"Lausanne, Montelly",8501207,ARRIVAL_REAL,1829.2739595737728,,0 days 00:01:14.500000,2536689.0,1152614.0
"Lausanne, Montoie",8592080,ARRIVAL_REAL,2377.2821711910806,0 days 00:01:14.500000,0 days 00:01:03,2536302.0,1152226.0
"Lausanne, Montoie",8592080,DEPARTURE_REAL,2377.2821711910806,0 days 00:01:03,0 days 00:01:09,2536302.0,1152226.0
"Lausanne, Figuiers",8592044,DEPARTURE_REAL,2604.9881219257945,0 days 00:01:09,,2536461.0,1152063.0
"Lausanne, Figuiers",8592044,ARRIVAL_REAL,2604.9881219257945,,0 days 00:00:51,2536461.0,1152063.0
"Lausanne, Maladière-Figuiers",8593837,ARRIVAL_REAL,2953.1949570109205,0 days 00:00:51,,2536113.0,1152075.0
"Lausanne, Maladière-Figuiers",8593837,DEPARTURE_REAL,2953.1949570109205,,0 days 00:01:00,2536113.0,1152075.0
"Lausanne, Bois de Vaux",8591995,ARRIVAL_REAL,3513.5029080521313,0 days 00:01:00,,2535630.0,1152359.0
"Lausanne, Bois de Vaux",8591995,DEPARTURE_REAL,3513.5029080521313,,0 days 00:01:33,2535630.0,1152359.0
"Lausanne, Sablons",8592114,ARRIVAL_REAL,3965.68981631021,0 days 00:01:33,0 days 00:00:05,2535323.0,1152691.0
"Lausanne, Sablons",8592114,DEPARTURE_REAL,3965.68981631021,0 days 00:00:05,0 days 00:01:27,2535323.0,1152691.0
"Lausanne, Bourdonnette",8501210,DEPARTURE_REAL,4432.202409923716,0 days 00:01:27,,2534868.0,1152794.0
"Lausanne, Bourdonnette",8501210,ARRIVAL_REAL,4432.202409923716,,0 days 00:03:00,2534868.0,1152794.0
"Lausanne, Malley",8501209,DEPARTURE_REAL,5415.937411043405,0 days 00:03:00,,2535847.94901,1152880.22349
"Lausanne, Malley",8501209,ARRIVAL_REAL,5415.937411043405,,0 days 00:00:45.500000,2535847.94901,1152880.22349
"Renens VD, Longemalle",8592215,ARRIVAL_REAL,5900.747474849684,0 days 00:00:45.500000,,2535392.0,1153045.0
"Renens VD, Longemalle",8592215,DEPARTURE_REAL,5900.747474849684,,0 days 00:00:39,2535392.0,1153045.0
"Renens VD, rue du Lac",8592219,ARRIVAL_REAL,6290.615401204238,0 days 00:00:39,,2535061.0,1153251.0
"Renens VD, rue du Lac",8592219,DEPARTURE_REAL,6290.615401204238,,0 days 00:03:20.500000,2535061.0,1153251.0
"Renens VD, Chêne",8592210,DEPARTURE_REAL,6537.273058697371,0 days 00:03:20.500000,,2534899.0,1153437.0
"Renens VD, Chêne",8592210,ARRIVAL_REAL,6537.273058697371,,0 days 00:04:10.500000,2534899.0,1153437.0
"Renens VD, Caudray",8592218,DEPARTURE_REAL,6975.863984276093,0 days 00:04:10.500000,,2534580.0,1153738.0
"Renens VD, Caudray",8592218,ARRIVAL_REAL,6975.863984276093,,0 days 00:01:05,2534580.0,1153738.0
"Renens VD, Censuy",8592209,DEPARTURE_REAL,7142.228042894534,0 days 00:01:05,,2534431.0,1153812.0
"Renens VD, Censuy",8592209,ARRIVAL_REAL,7142.228042894534,,0 days 00:01:07.500000,2534431.0,1153812.0
"Chavannes-R., Préfaully",8593866,ARRIVAL_REAL,7539.000017711304,0 days 00:01:07.500000,0 days 00:00:10,2534059.0,1153950.0
"Chavannes-R., Préfaully",8593866,DEPARTURE_REAL,7539.000017711304,0 days 00:00:10,0 days 00:00:57,2534059.0,1153950.0
"Chavannes-R., Concorde",8593868,ARRIVAL_REAL,7930.637605284305,0 days 00:00:57,0 days 00:00:29,2533691.0,1153816.0
"Chavannes-R., Concorde",8593868,DEPARTURE_REAL,7930.637605284305,0 days 00:00:29,0 days 00:00:28,2533691.0,1153816.0
"Chavannes-R., Planta",8591933,ARRIVAL_REAL,8159.237692773352,0 days 00:00:28,,2533594.0,1154023.0
"Chavannes-R., Planta",8591933,DEPARTURE_REAL,8159.237692773352,,0 days 00:00:49,2533594.0,1154023.0
"Chavannes-R., Glycines",8593869,ARRIVAL_REAL,8517.100795090426,0 days 00:00:49,0 days 00:00:18,2533869.0,1154252.0
