STOP_NAME,STOP_NUMBER,EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"Lausanne-Flon, pl. de l'Europe",8591818,ARRIVAL,0,,61,2537985,1152434
"Lausanne, Vigie",8592133,ARRIVAL,520,61,99,2537484,1152574
"Lausanne, Vigie",8592133,DEPARTURE,520,32,32,2537484,1152574
"Lausanne, Montelly",8501207,ARRIVAL,1316,99,46,2536689,1152614
"Lausanne, Montelly",8501207,DEPARTURE,1316,36,36,2536689,1152614
"Lausanne, Provence",8501208,ARRIVAL,1726,46,49,2536314,1152778
"Lausanne, Provence",8501208,DEPARTURE,1726,20,20,2536314,1152778
"Lausanne, Malley",8501209,ARRIVAL,2203,49,113,2535848,1152880
"Lausanne, Malley",8501209,DEPARTURE,2203,34,34,2535848,1152880
"Lausanne, Bourdonnette",8501210,ARRIVAL,3186,113,48,2534868,1152794
"Lausanne, Bourdonnette",8501210,DEPARTURE,3186,41,41,2534868,1152794
"Chavannes-R., UNIL-Chamberonne",8501211,ARRIVAL,3592,48,14968,2534478,1152904
"Chavannes-R., UNIL-Chamberonne",8501211,DEPARTURE,3592,25,25,2534478,1152904
"Chavannes-R., UNIL-Mouline",8501212,ARRIVAL,4046,14968,60,2534033,1152995
"Chavannes-R., UNIL-Mouline",8501212,DEPARTURE,4046,29,29,2534033,1152995
"Ecublens VD, UNIL-Sorge",8501213,ARRIVAL,4542,60,80,2533622,1152717
"Ecublens VD, UNIL-Sorge",8501213,DEPARTURE,4542,21,21,2533622,1152717
"Ecublens VD, EPFL",8501214,ARRIVAL,5113,80,48,2533051,1152695
"Ecublens VD, EPFL",8501214,DEPARTURE,5113,48,48,2533051,1152695
"Ecublens VD, Bassenges",8501215,ARRIVAL,5405,48,44,2532935,1152962
"Ecublens VD, Bassenges",8501215,DEPARTURE,5405,17,17,2532935,1152962
"Ecublens VD, Cerisaie",8501216,ARRIVAL,5787,44,58,2533089,1153312
"Ecublens VD, Cerisaie",8501216,DEPARTURE,5787,27,27,2533089,1153312
"Chavannes-R., Crochy",8501217,ARRIVAL,6398,58,62,2533358,1153861
"Chavannes-R., Crochy",8501217,DEPARTURE,6398,24,24,2533358,1153861
"Ecublens VD, Epenex",8501218,ARRIVAL,7020,62,14937,2533641,1154414
"Ecublens VD, Epenex",8501218,DEPARTURE,7020,26,26,2533641,1154414
"Renens VD, gare",8530749,ARRIVAL,7365,14937,,2533985,1154384
