STOP_NAME                     ;STOP_NUMBER ;DISTANCE ;TIME_A ;TIME_R ;STOP_TIME ;POSITION_X ;POSITION_Y
Lausanne, Blécherette         ;    8591994 ;       0 ;       ;    99 ;          ;   2537294 ;   1154878
Lausanne, Bois-Gentil         ;    8591996 ;     407 ;    99 ;    60 ;          ;   2537375 ;   1154479
Lausanne, Parc Vélodrome      ;    8592088 ;     723 ;    60 ;    60 ;          ;   2537488 ;   1154184
Lausanne, Stade Olympique     ;    8592116 ;    1024 ;    60 ;   120 ;          ;   2537662 ;   1153939
Lausanne, casernes            ;    8592003 ;    1315 ;   120 ;       ;          ;   2537827 ;   1153699
Lausanne, Druey               ;    8592033 ;    1525 ;       ;   108 ;          ;   2537780 ;   1153494
Lausanne, Druey-Collège       ;    8592034 ;    1796 ;   108 ; 18502 ;          ;   2537996 ;   1153331
Lausanne, Valentin            ;    8592125 ;    2228 ; 18502 ;    60 ;          ;   2538052 ;   1152903
Lausanne, Riponne-M. Béjart   ;    8590442 ;    2401 ;    60 ;   120 ;          ;   2538107 ;   1152738
Lausanne, Bel-Air             ;    8591988 ;    2644 ;   120 ;   168 ;          ;   2537880 ;   1152653
Lausanne, St-François         ;    8579254 ;    3113 ;   168 ;   113 ;          ;   2538215 ;   1152325
Lausanne, Georgette           ;    8592051 ;    3508 ;   113 ;   223 ;          ;   2538569 ;   1152150
Lausanne, gare                ;    8592050 ;    4158 ;   223 ;   120 ;          ;   2537919 ;   1152132
Lausanne, Epinettes           ;    8592040 ;    4519 ;   120 ;       ;          ;   2537608 ;   1151949
Lausanne, Dapples             ;    8592027 ;    4650 ;       ;   159 ;          ;   2537591 ;   1151819
Lausanne, jardin botanique    ;    8591985 ;    4953 ;   159 ;    64 ;          ;   2537407 ;   1151579
Lausanne, Cèdres              ;    8592005 ;    5341 ;    64 ;    60 ;          ;   2537110 ;   1151830
Lausanne, Riant-Cour          ;    8592110 ;    5596 ;    60 ;    78 ;          ;   2536871 ;   1151918
Lausanne, Batelière           ;    8591983 ;    5847 ;    78 ; 17985 ;          ;   2536637 ;   1152009
Lausanne, Montoie             ;    8592080 ;    6246 ; 17985 ;    91 ;          ;   2536302 ;   1152226
Lausanne, Maladière           ;    8592068 ;    6507 ;    91 ;   120 ;          ;   2536059 ;   1152132
Lausanne, Bois de Vaux        ;    8591995 ;    6992 ;   120 ;    60 ;          ;   2535630 ;   1152359
Lausanne, Sablons             ;    8592114 ;    7444 ;    60 ;   200 ;          ;   2535323 ;   1152691
Ecublens VD, allée de Dorigny ;    8591950 ;    8502 ;   200 ;    60 ;          ;   2534284 ;   1152491
Ecublens VD, Blévallaire      ;    8596053 ;    8895 ;    60 ;    60 ;          ;   2533903 ;   1152393
Ecublens VD, Champagne        ;    8591945 ;    9253 ;    60 ;       ;          ;   2533573 ;   1152258
St-Sulpice VD, Pâqueret       ;    8592227 ;    9525 ;       ;    89 ;          ;   2533389 ;   1152057
St-Sulpice VD, Parc Scient.   ;    8595223 ;   10051 ;    89 ;    60 ;          ;   2532863 ;   1152073
St-Sulpice VD, Pré-Fleuri     ;    8510528 ;   10337 ;    60 ;   120 ;          ;   2532618 ;   1151924
Ecublens VD, EPFL/Colladon    ;    8510727 ;   10729 ;   120 ;       ;          ;   2532850 ;   1152240
