STOP_NAME;STOP_NUMBER;DISTANCE;TIME_A;TIME_R;STOP_TIME;POSITION_X;POSITION_Y
St-Sulpice VD, Venoge nord;8594988;0;;51;;2531466;1151782
Ecublens VD, Champs-Courbes;8591959;443;51;22;16;2531812;1152058
Ecublens VD, Montaney;8594890;787;22;55;17;2532022;1152331
Ecublens VD, Renges;8591956;1226;55;47;18;2532177;1152742
Ecublens VD, En Enjalin;8591949;1485;47;33691;15;2532358;1152927
Ecublens VD, Perrettes;8591954;1730;33691;54;12;2532466;1153147
Ecublens VD, Villars;8591961;2153;54;81;28;2532675;1153514
Ecublens VD, Pontet;8588873;2529;81;37;16;2533051;1153539
Ecublens VD, Veilloud;8591960;2730;37;46;15;2532936;1153704
Ecublens VD, Stand;8591957;2958;46;42;20;2532783;1153872
Ecublens VD, place de sport;8591955;3255;42;30;19;2532890;1154149
Ecublens VD, Croset;8591948;3459;30;62;26;2533084;1154084
Ecublens VD, Parc;8591953;3744;62;65;20;2533217;1154336
Ecublens VD, Suchet-Forêt;8591958;4118;65;60;22;2533411;1154656
Ecublens VD, Epenex/Pont-Bleu;8510721;4504;60;123;22;2533763;1154498
Renens VD, gare sud;8588983;4887;123;92;25;2534082;1154287
Renens VD, Censuy;8592209;5476;92;31;21;2534431;1153812
Renens VD, Caudray;8592218;5643;31;107;23;2534580;1153738
Renens VD, Chêne;8592210;6081;107;33693;20;2534899;1153437
Renens VD, rue du Lac;8592219;6328;33693;79;23;2535061;1153251
Renens VD, Longemalle;8592215;6718;79;94;32;2535392;1153045
Lausanne, Malley;8501209;7202;94;83;33;2535848;1152880
Prilly, Galicien;8592049;7657;83;140;61;2535968;1153319
Prilly, Flumeaux;8592179;7990;140;27;27;2535710;1153529
Prilly, Grand Vigne;8592180;8310;27;99;20;2535964;1153723
Prilly, centre;8592173;8640;99;56;28;2536065;1154037
Prilly, Chasseur;8592175;9159;56;60;36;2536176;1154545
Prilly, Coudraie;8592176;9427;60;52;23;2536413;1154670
Prilly, Mont-Goulin;8592187;9640;52;;;2536517;1154484
