JOURNEY_ID;Route;Number_of_stops;Direction;Start;Start_time_Planned;Start_time_Real;End;End_time_Planned;End_time_Real
85:151:1889;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 06:06:00;2025-03-01 06:09:05;Lausanne, Tour Haldimand-Lac;2025-03-01 06:21:00;2025-03-01 06:21:45
85:151:1901;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 06:18:00;2025-03-01 06:21:06;Lausanne, Tour Haldimand-Lac;2025-03-01 06:33:00;2025-03-01 06:34:06
85:151:1890;Route_A;12;R;Lausanne, Tour Haldimand-Lac;2025-03-01 06:24:00;2025-03-01 06:24:25;Lausanne, Bourdonnette;2025-03-01 06:38:00;2025-03-01 06:36:20
85:151:1919;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 06:30:00;2025-03-01 06:31:24;Lausanne, Tour Haldimand-Lac;2025-03-01 06:45:00;2025-03-01 06:45:19
85:151:1902;Route_A;12;R;Lausanne, Tour Haldimand-Lac;2025-03-01 06:37:00;2025-03-01 06:37:27;Lausanne, Bourdonnette;2025-03-01 06:51:00;2025-03-01 06:50:27
85:151:1891;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 06:43:00;2025-03-01 06:43:00;Lausanne, Tour Haldimand-Lac;2025-03-01 06:58:00;2025-03-01 06:56:50
85:151:1920;Route_A;12;R;Lausanne, Tour Haldimand-Lac;2025-03-01 06:49:00;2025-03-01 06:49:41;Lausanne, Bourdonnette;2025-03-01 07:04:00;2025-03-01 07:05:28
85:151:1903;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 06:56:00;2025-03-01 06:57:06;Lausanne, Tour Haldimand-Lac;2025-03-01 07:11:00;2025-03-01 07:11:52
85:151:1892;Route_A;12;R;Lausanne, Tour Haldimand-Lac;2025-03-01 07:02:00;2025-03-01 07:02:00;Lausanne, Bourdonnette;2025-03-01 07:18:00;2025-03-01 07:16:00
85:151:1921;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 07:10:00;2025-03-01 07:11:41;Lausanne, Tour Haldimand-Lac;2025-03-01 07:26:00;2025-03-01 07:24:11
85:151:1904;Route_A;12;R;Lausanne, Tour Haldimand-Lac;2025-03-01 07:17:00;2025-03-01 07:18:06;Lausanne, Bourdonnette;2025-03-01 07:34:00;2025-03-01 07:31:38
85:151:1893;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 07:25:00;2025-03-01 07:25:20;Lausanne, Tour Haldimand-Lac;2025-03-01 07:41:00;2025-03-01 07:39:19
85:151:1922;Route_A;12;R;Lausanne, Tour Haldimand-Lac;2025-03-01 07:32:00;2025-03-01 07:32:15;Lausanne, Bourdonnette;2025-03-01 07:50:00;2025-03-01 07:46:20
85:151:1905;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 07:39:00;2025-03-01 07:40:23;Lausanne, Tour Haldimand-Lac;2025-03-01 07:57:00;2025-03-01 07:55:25
85:151:1894;Route_A;12;R;Lausanne, Tour Haldimand-Lac;2025-03-01 07:47:00;2025-03-01 07:48:17;Lausanne, Bourdonnette;2025-03-01 08:05:00;2025-03-01 08:02:02
85:151:1923;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 07:54:00;2025-03-01 07:55:15;Lausanne, Tour Haldimand-Lac;2025-03-01 08:12:00;2025-03-01 08:09:49
85:151:1906;Route_A;12;R;Lausanne, Tour Haldimand-Lac;2025-03-01 08:01:00;2025-03-01 08:02:02;Lausanne, Bourdonnette;2025-03-01 08:19:00;2025-03-01 08:17:10
85:151:1895;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 08:09:00;2025-03-01 08:09:16;Lausanne, Tour Haldimand-Lac;2025-03-01 08:27:00;2025-03-01 08:24:10
85:151:1924;Route_A;12;R;Lausanne, Tour Haldimand-Lac;2025-03-01 08:15:00;2025-03-01 08:17:10;Lausanne, Bourdonnette;2025-03-01 08:33:00;2025-03-01 08:30:29
85:151:1907;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 08:23:00;2025-03-01 08:24:00;Lausanne, Tour Haldimand-Lac;2025-03-01 08:41:00;2025-03-01 08:40:06
85:151:1896;Route_A;12;R;Lausanne, Tour Haldimand-Lac;2025-03-01 08:30:00;2025-03-01 08:30:50;Lausanne, Bourdonnette;2025-03-01 08:48:00;2025-03-01 08:44:39
85:151:1925;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 08:38:00;2025-03-01 08:39:09;Lausanne, Tour Haldimand-Lac;2025-03-01 08:55:00;2025-03-01 08:52:42
85:151:1908;Route_A;12;R;Lausanne, Tour Haldimand-Lac;2025-03-01 08:44:00;2025-03-01 08:45:33;Lausanne, Bourdonnette;2025-03-01 09:02:00;2025-03-01 08:59:33
85:151:1897;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 08:55:00;2025-03-01 08:55:47;Lausanne, Tour Haldimand-Lac;2025-03-01 09:11:00;2025-03-01 09:11:20
85:151:1926;Route_A;12;R;Lausanne, Tour Haldimand-Lac;2025-03-01 08:59:00;2025-03-01 09:00:48;Lausanne, Bourdonnette;2025-03-01 09:16:00;2025-03-01 09:13:02
85:151:1909;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 09:10:00;2025-03-01 09:11:10;Lausanne, Tour Haldimand-Lac;2025-03-01 09:26:00;2025-03-01 09:26:23
85:151:1898;Route_A;12;R;Lausanne, Tour Haldimand-Lac;2025-03-01 09:14:00;2025-03-01 09:14:20;Lausanne, Bourdonnette;2025-03-01 09:30:00;2025-03-01 09:26:49
85:151:1927;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 09:25:00;2025-03-01 09:26:00;Lausanne, Tour Haldimand-Lac;2025-03-01 09:41:00;2025-03-01 09:39:15
85:151:1910;Route_A;12;R;Lausanne, Tour Haldimand-Lac;2025-03-01 09:29:00;2025-03-01 09:30:41;Lausanne, Bourdonnette;2025-03-01 09:45:00;2025-03-01 09:43:48
85:151:1943;Route_A;12;O;Lausanne, Bourdonnette;2025-03-01 09:40:00;2025-03-01 09:41:26;Lausanne, Tour Haldimand-Lac;2025-03-01 09:56:00;2025-03-01 09:55:55
