  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;            Start            ;  Start_time_Planned ;   Start_time_Real   ;             End             ;   End_time_Planned  ;    End_time_Real    
  85:151:2034;  Route_C;               17;          R;            Lausanne, Sablons;  2025-03-01 05:03:00;  2025-03-01 05:03:00;                  Pully, gare;  2025-03-01 05:20:00;  2025-03-01 05:17:30
  85:151:2072;  Route_B;                7;          O;  Lausanne, Bourdonnette nord;  2025-03-01 05:12:00;  2025-03-01 05:12:00;       Chavannes-R., Glycines;  2025-03-01 05:19:00;  2025-03-01 05:18:05
  85:151:2100;  Route_C;               17;          R;            Lausanne, Sablons;  2025-03-01 05:16:00;  2025-03-01 05:16:58;                  Pully, gare;  2025-03-01 05:33:00;  2025-03-01 05:32:04
  85:151:2073;  Route_A;               24;          R;       Chavannes-R., Glycines;  2025-03-01 05:22:00;  2025-03-01 05:22:05;                  Pully, gare;  2025-03-01 05:48:00;  2025-03-01 05:46:41
  85:151:2035;  Route_A;               24;          O;                  Pully, gare;  2025-03-01 05:24:00;  2025-03-01 05:24:00;       Chavannes-R., Glycines;  2025-03-01 05:47:00;  2025-03-01 05:45:44
  85:151:2137;  Route_B;                7;          O;  Lausanne, Bourdonnette nord;  2025-03-01 05:27:00;  2025-03-01 05:27:15;       Chavannes-R., Glycines;  2025-03-01 05:34:00;  2025-03-01 05:34:05
  85:151:2138;  Route_A;               24;          R;       Chavannes-R., Glycines;  2025-03-01 05:37:00;  2025-03-01 05:37:35;                  Pully, gare;  2025-03-01 06:03:00;  2025-03-01 06:01:19
  85:151:2101;  Route_A;               24;          O;                  Pully, gare;  2025-03-01 05:39:00;  2025-03-01 05:39:36;       Chavannes-R., Glycines;  2025-03-01 06:02:00;  2025-03-01 06:00:56
  85:151:2036;  Route_A;               24;          R;       Chavannes-R., Glycines;  2025-03-01 05:52:00;  2025-03-01 05:51:25;                  Pully, gare;  2025-03-01 06:18:00;  2025-03-01 06:15:42
  85:151:2074;  Route_A;               24;          O;                  Pully, gare;  2025-03-01 05:54:00;  2025-03-01 05:54:00;       Chavannes-R., Glycines;  2025-03-01 06:18:00;  2025-03-01 06:15:22
  85:151:2167;  Route_B;                7;          O;  Lausanne, Bourdonnette nord;  2025-03-01 06:05:00;  2025-03-01 06:05:20;       Chavannes-R., Glycines;  2025-03-01 06:12:00;  2025-03-01 06:10:35
  85:151:2102;  Route_A;               24;          R;       Chavannes-R., Glycines;  2025-03-01 06:07:00;  2025-03-01 06:07:36;                  Pully, gare;  2025-03-01 06:34:00;  2025-03-01 06:32:53
  85:151:2195;  Route_C;               17;          R;            Lausanne, Sablons;  2025-03-01 06:09:00;  2025-03-01 06:11:46;                  Pully, gare;  2025-03-01 06:26:00;  2025-03-01 06:26:19
  85:151:2139;  Route_A;               24;          O;                  Pully, gare;  2025-03-01 06:09:00;  2025-03-01 06:09:00;       Chavannes-R., Glycines;  2025-03-01 06:34:00;  2025-03-01 06:31:30
  85:151:2168;  Route_A;               24;          R;       Chavannes-R., Glycines;  2025-03-01 06:18:00;  2025-03-01 06:18:00;                  Pully, gare;  2025-03-01 06:46:00;  2025-03-01 06:45:58
  85:151:2037;  Route_A;               24;          O;                  Pully, gare;  2025-03-01 06:20:00;  2025-03-01 06:20:00;       Chavannes-R., Glycines;  2025-03-01 06:45:00;  2025-03-01 06:41:04
  85:151:2224;  Route_C;               17;          R;            Lausanne, Sablons;  2025-03-01 06:21:00;  2025-03-01 06:21:25;                  Pully, gare;  2025-03-01 06:39:00;  2025-03-01 06:40:03
  85:151:2233;  Route_B;                7;          O;  Lausanne, Bourdonnette nord;  2025-03-01 06:22:00;  2025-03-01 06:23:05;       Chavannes-R., Glycines;  2025-03-01 06:30:00;  2025-03-01 06:30:05
  85:151:2075;  Route_A;               24;          R;       Chavannes-R., Glycines;  2025-03-01 06:27:00;  2025-03-01 06:27:00;                  Pully, gare;  2025-03-01 06:55:00;  2025-03-01 06:54:00
  85:151:2196;  Route_A;               24;          O;                  Pully, gare;  2025-03-01 06:29:00;  2025-03-01 06:29:27;       Chavannes-R., Glycines;  2025-03-01 06:54:00;  2025-03-01 06:54:27
  85:151:2234;  Route_A;               24;          R;       Chavannes-R., Glycines;  2025-03-01 06:35:00;  2025-03-01 06:35:25;                  Pully, gare;  2025-03-01 07:03:00;  2025-03-01 07:02:51
  85:151:2103;  Route_A;               24;          O;                  Pully, gare;  2025-03-01 06:37:00;  2025-03-01 06:37:33;       Chavannes-R., Glycines;  2025-03-01 07:02:00;  2025-03-01 06:59:53
  85:151:2140;  Route_A;               24;          R;       Chavannes-R., Glycines;  2025-03-01 06:44:00;  2025-03-01 06:44:15;                  Pully, gare;  2025-03-01 07:13:00;  2025-03-01 07:12:01
  85:151:2225;  Route_A;               24;          O;                  Pully, gare;  2025-03-01 06:46:00;  2025-03-01 06:46:00;       Chavannes-R., Glycines;  2025-03-01 07:12:00;  2025-03-01 07:10:03
  85:151:2038;  Route_A;               24;          R;       Chavannes-R., Glycines;  2025-03-01 06:52:00;  2025-03-01 06:51:26;                  Pully, gare;  2025-03-01 07:21:00;  2025-03-01 07:21:56
  85:151:2169;  Route_A;               24;          O;                  Pully, gare;  2025-03-01 06:54:00;  2025-03-01 06:54:00;       Chavannes-R., Glycines;  2025-03-01 07:20:00;  2025-03-01 07:17:55
  85:151:2197;  Route_A;               24;          R;       Chavannes-R., Glycines;  2025-03-01 07:01:00;  2025-03-01 07:01:47;                  Pully, gare;  2025-03-01 07:31:00;  2025-03-01 07:29:40
  85:151:2076;  Route_A;               24;          O;                  Pully, gare;  2025-03-01 07:03:00;  2025-03-01 07:03:00;       Chavannes-R., Glycines;  2025-03-01 07:29:00;  2025-03-01 07:26:11
  85:151:2104;  Route_A;               24;          R;       Chavannes-R., Glycines;  2025-03-01 07:09:00;  2025-03-01 07:09:33;                  Pully, gare;  2025-03-01 07:39:00;  2025-03-01 07:37:29
