  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;           Start           ;  Start_time_Planned ;   Start_time_Real   ;            End            ;   End_time_Planned  ;    End_time_Real    
  85:151:2523;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 05:19:00;  2025-03-01 05:19:08;  St-Sulpice VD, Venoge sud;  2025-03-01 05:37:00;  2025-03-01 05:37:52
  85:151:2567;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 05:27:00;  2025-03-01 05:27:20;        Renens VD, gare sud;  2025-03-01 05:46:00;  2025-03-01 05:45:40
  85:151:2602;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 05:34:00;  2025-03-01 05:34:07;  St-Sulpice VD, Venoge sud;  2025-03-01 05:52:00;  2025-03-01 05:51:27
  85:151:2524;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 05:42:00;  2025-03-01 05:42:05;        Renens VD, gare sud;  2025-03-01 06:01:00;  2025-03-01 06:00:39
  85:151:2568;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 05:49:00;  2025-03-01 05:49:18;  St-Sulpice VD, Venoge sud;  2025-03-01 06:07:00;  2025-03-01 06:07:32
  85:151:2603;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 05:57:00;  2025-03-01 05:57:07;        Renens VD, gare sud;  2025-03-01 06:16:00;  2025-03-01 06:15:01
  85:151:2525;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 06:04:00;  2025-03-01 06:04:45;  St-Sulpice VD, Venoge sud;  2025-03-01 06:22:00;  2025-03-01 06:22:25
  85:151:2569;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 06:12:00;  2025-03-01 06:12:18;        Renens VD, gare sud;  2025-03-01 06:31:00;  2025-03-01 06:30:35
  85:151:2604;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 06:19:00;  2025-03-01 06:19:07;  St-Sulpice VD, Venoge sud;  2025-03-01 06:37:00;  2025-03-01 06:35:43
  85:151:2526;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 06:27:00;  2025-03-01 06:27:16;        Renens VD, gare sud;  2025-03-01 06:47:00;  2025-03-01 06:46:34
  85:151:2645;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 06:29:00;  2025-03-01 06:29:17;  St-Sulpice VD, Venoge sud;  2025-03-01 06:48:00;  2025-03-01 06:49:21
  85:151:2605;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 06:42:00;  2025-03-01 06:42:27;        Renens VD, gare sud;  2025-03-01 07:03:00;  2025-03-01 07:02:20
  85:151:2570;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 06:44:00;  2025-03-01 06:44:09;  St-Sulpice VD, Venoge sud;  2025-03-01 07:04:00;  2025-03-01 07:04:45
  85:151:2646;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 06:57:00;  2025-03-01 06:58:17;        Renens VD, gare sud;  2025-03-01 07:20:00;  2025-03-01 07:19:23
  85:151:2527;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 06:59:00;  2025-03-01 06:59:16;  St-Sulpice VD, Venoge sud;  2025-03-01 07:20:00;  2025-03-01 07:18:16
  85:151:2571;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 07:12:00;  2025-03-01 07:12:09;        Renens VD, gare sud;  2025-03-01 07:35:00;  2025-03-01 07:34:27
  85:151:2606;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 07:14:00;  2025-03-01 07:14:47;  St-Sulpice VD, Venoge sud;  2025-03-01 07:36:00;  2025-03-01 07:34:47
  85:151:2528;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 07:27:00;  2025-03-01 07:27:15;        Renens VD, gare sud;  2025-03-01 07:51:00;  2025-03-01 07:50:00
  85:151:2647;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 07:29:00;  2025-03-01 07:29:18;  St-Sulpice VD, Venoge sud;  2025-03-01 07:52:00;  2025-03-01 07:52:28
  85:151:2607;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 07:42:00;  2025-03-01 07:42:47;        Renens VD, gare sud;  2025-03-01 08:06:00;  2025-03-01 08:05:05
  85:151:2572;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 07:44:00;  2025-03-01 07:44:07;  St-Sulpice VD, Venoge sud;  2025-03-01 08:07:00;  2025-03-01 08:06:07
  85:151:2648;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 07:57:00;  2025-03-01 07:57:18;        Renens VD, gare sud;  2025-03-01 08:21:00;  2025-03-01 08:20:05
  85:151:2529;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 07:59:00;  2025-03-01 07:59:34;  St-Sulpice VD, Venoge sud;  2025-03-01 08:22:00;  2025-03-01 08:21:13
  85:151:2573;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 08:12:00;  2025-03-01 08:12:07;        Renens VD, gare sud;  2025-03-01 08:36:00;  2025-03-01 08:35:09
  85:151:2608;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 08:14:00;  2025-03-01 08:14:00;  St-Sulpice VD, Venoge sud;  2025-03-01 08:37:00;  2025-03-01 08:37:37
  85:151:2530;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 08:27:00;  2025-03-01 08:27:15;        Renens VD, gare sud;  2025-03-01 08:51:00;  2025-03-01 08:49:07
  85:151:2649;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 08:29:00;  2025-03-01 08:29:29;  St-Sulpice VD, Venoge sud;  2025-03-01 08:52:00;  2025-03-01 08:53:23
  85:151:2609;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 08:42:00;  2025-03-01 08:41:22;        Renens VD, gare sud;  2025-03-01 09:06:00;  2025-03-01 09:05:47
  85:151:2574;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 08:44:00;  2025-03-01 08:44:26;  St-Sulpice VD, Venoge sud;  2025-03-01 09:07:00;  2025-03-01 09:04:41
  85:151:2650;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 08:58:00;  2025-03-01 08:58:29;        Renens VD, gare sud;  2025-03-01 09:20:00;  2025-03-01 09:19:11
  85:151:2531;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 08:59:00;  2025-03-01 08:59:46;  St-Sulpice VD, Venoge sud;  2025-03-01 09:21:00;  2025-03-01 09:22:02
  85:151:2575;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 09:13:00;  2025-03-01 09:13:58;        Renens VD, gare sud;  2025-03-01 09:35:00;  2025-03-01 09:34:42
  85:151:2610;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 09:14:00;  2025-03-01 09:16:13;  St-Sulpice VD, Venoge sud;  2025-03-01 09:36:00;  2025-03-01 09:38:16
  85:151:2532;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 09:28:00;  2025-03-01 09:28:18;        Renens VD, gare sud;  2025-03-01 09:50:00;  2025-03-01 09:49:12
  85:151:2651;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 09:29:00;  2025-03-01 09:29:15;  St-Sulpice VD, Venoge sud;  2025-03-01 09:51:00;  2025-03-01 09:51:51
  85:151:2611;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 09:43:00;  2025-03-01 09:42:52;        Renens VD, gare sud;  2025-03-01 10:05:00;  2025-03-01 10:04:43
  85:151:2576;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 09:44:00;  2025-03-01 09:44:00;  St-Sulpice VD, Venoge sud;  2025-03-01 10:06:00;  2025-03-01 10:04:13
  85:151:2652;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 09:58:00;  2025-03-01 09:58:25;        Renens VD, gare sud;  2025-03-01 10:20:00;  2025-03-01 10:20:04
  85:151:2533;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 09:59:00;  2025-03-01 10:00:05;  St-Sulpice VD, Venoge sud;  2025-03-01 10:21:00;  2025-03-01 10:20:59
  85:151:2577;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 10:13:00;  2025-03-01 10:13:00;        Renens VD, gare sud;  2025-03-01 10:35:00;  2025-03-01 10:33:33
  85:151:2612;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 10:14:00;  2025-03-01 10:18:20;  St-Sulpice VD, Venoge sud;  2025-03-01 10:36:00;  2025-03-01 10:39:34
  85:151:2534;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 10:28:00;  2025-03-01 10:28:00;        Renens VD, gare sud;  2025-03-01 10:50:00;  2025-03-01 10:47:32
  85:151:2653;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 10:29:00;  2025-03-01 10:29:18;  St-Sulpice VD, Venoge sud;  2025-03-01 10:51:00;  2025-03-01 10:51:29
  85:151:2613;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 10:43:00;  2025-03-01 10:42:50;        Renens VD, gare sud;  2025-03-01 11:05:00;  2025-03-01 11:04:31
  85:151:2578;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 10:44:00;  2025-03-01 10:44:06;  St-Sulpice VD, Venoge sud;  2025-03-01 11:06:00;  2025-03-01 11:03:32
  85:151:2654;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 10:58:00;  2025-03-01 10:58:00;        Renens VD, gare sud;  2025-03-01 11:20:00;  2025-03-01 11:18:57
  85:151:2535;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 10:59:00;  2025-03-01 10:59:59;  St-Sulpice VD, Venoge sud;  2025-03-01 11:21:00;  2025-03-01 11:21:33
  85:151:2579;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 11:13:00;  2025-03-01 11:13:00;        Renens VD, gare sud;  2025-03-01 11:35:00;  2025-03-01 11:33:26
  85:151:2614;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 11:14:00;  2025-03-01 11:16:35;  St-Sulpice VD, Venoge sud;  2025-03-01 11:36:00;  2025-03-01 11:38:26
  85:151:2536;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 11:28:00;  2025-03-01 11:28:59;        Renens VD, gare sud;  2025-03-01 11:50:00;  2025-03-01 11:50:07
  85:151:2655;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 11:29:00;  2025-03-01 11:29:11;  St-Sulpice VD, Venoge sud;  2025-03-01 11:51:00;  2025-03-01 11:49:52
  85:151:2615;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 11:43:00;  2025-03-01 11:43:12;        Renens VD, gare sud;  2025-03-01 12:05:00;  2025-03-01 12:04:08
  85:151:2580;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 11:44:00;  2025-03-01 11:44:00;  St-Sulpice VD, Venoge sud;  2025-03-01 12:06:00;  2025-03-01 12:04:52
  85:151:2656;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 11:58:00;  2025-03-01 11:58:00;        Renens VD, gare sud;  2025-03-01 12:20:00;  2025-03-01 12:18:46
  85:151:2537;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 11:59:00;  2025-03-01 11:59:56;  St-Sulpice VD, Venoge sud;  2025-03-01 12:22:00;  2025-03-01 12:20:25
  85:151:2581;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 12:13:00;  2025-03-01 12:13:10;        Renens VD, gare sud;  2025-03-01 12:35:00;  2025-03-01 12:32:54
  85:151:2616;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 12:14:00;  2025-03-01 12:14:09;  St-Sulpice VD, Venoge sud;  2025-03-01 12:36:00;  2025-03-01 12:36:10
  85:151:2538;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 12:28:00;  2025-03-01 12:28:54;        Renens VD, gare sud;  2025-03-01 12:50:00;  2025-03-01 12:50:24
  85:151:2657;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 12:29:00;  2025-03-01 12:29:07;  St-Sulpice VD, Venoge sud;  2025-03-01 12:51:00;  2025-03-01 12:50:27
  85:151:2617;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 12:43:00;  2025-03-01 12:43:09;        Renens VD, gare sud;  2025-03-01 13:05:00;  2025-03-01 13:04:45
  85:151:2582;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 12:44:00;  2025-03-01 12:43:42;  St-Sulpice VD, Venoge sud;  2025-03-01 13:06:00;  2025-03-01 13:04:09
  85:151:2658;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 12:58:00;  2025-03-01 12:58:00;        Renens VD, gare sud;  2025-03-01 13:20:00;  2025-03-01 13:18:28
  85:151:2539;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 12:59:00;  2025-03-01 13:00:13;  St-Sulpice VD, Venoge sud;  2025-03-01 13:21:00;  2025-03-01 13:20:32
  85:151:2583;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 13:13:00;  2025-03-01 13:13:07;        Renens VD, gare sud;  2025-03-01 13:35:00;  2025-03-01 13:33:07
  85:151:2618;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 13:14:00;  2025-03-01 13:14:09;  St-Sulpice VD, Venoge sud;  2025-03-01 13:36:00;  2025-03-01 13:37:31
  85:151:2540;  Route_B;               18;          R;  St-Sulpice VD, Venoge sud;  2025-03-01 13:28:00;  2025-03-01 13:28:32;        Renens VD, gare sud;  2025-03-01 13:50:00;  2025-03-01 13:49:48
  85:151:2659;  Route_A;               17;          O;        Renens VD, gare sud;  2025-03-01 13:29:00;  2025-03-01 13:29:18;  St-Sulpice VD, Venoge sud;  2025-03-01 13:51:00;  2025-03-01 13:51:25
