  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;           Start            ;  Start_time_Planned ;   Start_time_Real   ;            End             ;   End_time_Planned  ;    End_time_Real    
  85:151:2864;  Route_A;               29;          O;  St-Sulpice VD, Venoge nord;  2025-03-01 05:10:00;  2025-03-01 05:10:25;         Prilly, Mont-Goulin;  2025-03-01 05:41:00;  2025-03-01 05:41:30
  85:151:2893;  Route_A;               29;          R;         Prilly, Mont-Goulin;  2025-03-01 05:17:00;  2025-03-01 05:15:28;  St-Sulpice VD, Venoge nord;  2025-03-01 05:53:00;  2025-03-01 05:55:18
  85:151:2922;  Route_A;               29;          O;  St-Sulpice VD, Venoge nord;  2025-03-01 05:24:00;  2025-03-01 05:24:26;         Prilly, Mont-Goulin;  2025-03-01 05:55:00;  2025-03-01 05:54:57
  85:151:2974;  Route_A;               29;          R;         Prilly, Mont-Goulin;  2025-03-01 05:32:00;  2025-03-01 05:32:37;  St-Sulpice VD, Venoge nord;  2025-03-01 06:08:00;  2025-03-01 06:08:09
  85:151:2946;  Route_A;               29;          O;  St-Sulpice VD, Venoge nord;  2025-03-01 05:39:00;  2025-03-01 05:39:21;         Prilly, Mont-Goulin;  2025-03-01 06:10:00;  2025-03-01 06:08:21
  85:151:2865;  Route_A;               29;          R;         Prilly, Mont-Goulin;  2025-03-01 05:47:00;  2025-03-01 05:47:17;  St-Sulpice VD, Venoge nord;  2025-03-01 06:23:00;  2025-03-01 06:22:23
  85:151:3002;  Route_A;               29;          O;  St-Sulpice VD, Venoge nord;  2025-03-01 05:53:00;  2025-03-01 05:53:00;         Prilly, Mont-Goulin;  2025-03-01 06:25:00;  2025-03-01 06:24:14
  85:151:2923;  Route_A;               29;          R;         Prilly, Mont-Goulin;  2025-03-01 06:02:00;  2025-03-01 06:02:25;  St-Sulpice VD, Venoge nord;  2025-03-01 06:38:00;  2025-03-01 06:37:12
  85:151:2894;  Route_A;               29;          O;  St-Sulpice VD, Venoge nord;  2025-03-01 06:07:00;  2025-03-01 06:10:26;         Prilly, Mont-Goulin;  2025-03-01 06:41:00;  2025-03-01 06:43:14
  85:151:2947;  Route_A;               29;          R;         Prilly, Mont-Goulin;  2025-03-01 06:17:00;  2025-03-01 06:17:00;  St-Sulpice VD, Venoge nord;  2025-03-01 06:53:00;  2025-03-01 06:51:35
  85:151:2975;  Route_A;               29;          O;  St-Sulpice VD, Venoge nord;  2025-03-01 06:21:00;  2025-03-01 06:21:35;         Prilly, Mont-Goulin;  2025-03-01 06:56:00;  2025-03-01 06:56:37
  85:151:3003;  Route_A;               29;          R;         Prilly, Mont-Goulin;  2025-03-01 06:32:00;  2025-03-01 06:32:31;  St-Sulpice VD, Venoge nord;  2025-03-01 07:10:00;  2025-03-01 07:09:11
