            JOURNEY_ID           ;  Route  ; Number_of_stops ; Direction ;          Start           ;  Start_time_Planned ;   Start_time_Real   ;              End              ;   End_time_Planned  ;    End_time_Real    
  85:764:1001_701-A-111_0510_BNE5;  Route_A;               24;          R;    Tolochenaz, La Plantaz;  2025-03-01 05:10:00;  2025-03-01 05:11:55;         Lausanne, Bourdonnette;  2025-03-01 05:37:00;  2025-03-01 05:34:56
  85:764:1003_701-A-111_0525_BNE5;  Route_A;               24;          R;    Tolochenaz, La Plantaz;  2025-03-01 05:25:00;  2025-03-01 05:26:30;         Lausanne, Bourdonnette;  2025-03-01 05:52:00;  2025-03-01 05:51:01
  85:764:1005_701-A-111_0540_BNE5;  Route_A;               24;          R;    Tolochenaz, La Plantaz;  2025-03-01 05:40:00;  2025-03-01 05:41:46;         Lausanne, Bourdonnette;  2025-03-01 06:07:00;  2025-03-01 06:04:41
  85:764:1000_701-R-201_0545_BNE5;  Route_B;               24;          O;    Lausanne, Bourdonnette;  2025-03-01 05:45:00;  2025-03-01 05:46:28;         Tolochenaz, La Plantaz;  2025-03-01 06:12:00;  2025-03-01 06:10:29
  85:764:1007_701-A-111_0555_BNE5;  Route_A;               24;          R;         Morges, Prélionne;  2025-03-01 05:55:00;  2025-03-01 06:01:21;         Lausanne, Bourdonnette;  2025-03-01 06:24:00;  2025-03-01 06:24:00
  85:764:1002_701-R-201_0600_BNE5;  Route_B;               24;          O;    Lausanne, Bourdonnette;  2025-03-01 06:00:00;  2025-03-01 06:00:50;         Tolochenaz, La Plantaz;  2025-03-01 06:28:00;  2025-03-01 06:29:39
  85:764:1009_701-A-111_0606_BNE5;  Route_A;               24;          R;         Morges, Prélionne;  2025-03-01 06:06:00;  2025-03-01 06:07:22;         Lausanne, Bourdonnette;  2025-03-01 06:36:00;  2025-03-01 06:33:29
  85:764:1004_701-R-201_0615_BNE5;  Route_B;               24;          O;    Lausanne, Bourdonnette;  2025-03-01 06:15:00;  2025-03-01 06:17:35;         Tolochenaz, La Plantaz;  2025-03-01 06:43:00;  2025-03-01 06:44:52
  85:764:1011_701-A-111_0616_BNE5;  Route_A;               24;          R;    Tolochenaz, La Plantaz;  2025-03-01 06:16:00;  2025-03-01 06:17:09;         Lausanne, Bourdonnette;  2025-03-01 06:46:00;  2025-03-01 06:46:00
  85:764:1013_701-A-101_0625_BNE5;  Route_A;               24;          R;    Tolochenaz, La Plantaz;  2025-03-01 06:25:00;  2025-03-01 06:26:14;         Lausanne, Bourdonnette;  2025-03-01 06:56:00;  2025-03-01 06:56:00
  85:764:1006_701-R-201_0630_BNE5;  Route_B;               24;          O;    Lausanne, Bourdonnette;  2025-03-01 06:30:00;  2025-03-01 06:31:13;         Tolochenaz, La Plantaz;  2025-03-01 06:58:00;  2025-03-01 06:59:06
  85:764:1015_701-A-101_0635_BNE5;  Route_A;               24;          R;    Tolochenaz, La Plantaz;  2025-03-01 06:35:00;  2025-03-01 06:35:38;         Lausanne, Bourdonnette;  2025-03-01 07:06:00;  2025-03-01 07:06:00
