STOP_NAME;STOP_NUMBER;EVENT;85:151:7069;85:151:7070;85:151:7072;85:151:7073;85:151:7075;85:151:7076;POSITION_X;POSITION_Y
Lausanne, Montelly;8501207;ARRIVAL;2025-04-01 01:06:00;;2025-04-01 02:58:00;;2025-04-01 04:22:00;;2536689;1152614
Lausanne, Montelly;8501207;DEPARTURE;2025-04-01 01:06:00;;2025-04-01 02:58:00;;2025-04-01 04:22:00;;2536689;1152614
Lausanne, Malley;8501209;ARRIVAL;2025-04-01 01:18:00;;2025-04-01 03:10:00;;2025-04-01 04:34:00;;2535848;1152880
Lausanne, Malley;8501209;DEPARTURE;2025-04-01 01:18:00;;2025-04-01 03:10:00;;2025-04-01 04:34:00;;2535848;1152880
Lausanne, Bourdonnette;8501210;ARRIVAL;2025-04-01 01:15:00;;2025-04-01 03:07:00;;2025-04-01 04:31:00;;2534868;1152794
Lausanne, Bourdonnette;8501210;DEPARTURE;2025-04-01 01:15:00;;2025-04-01 03:07:00;;2025-04-01 04:31:00;;2534868;1152794
Ecublens VD, UNIL-Sorge;8501213;ARRIVAL;;2025-04-01 01:50:00;;2025-04-01 03:42:00;;2025-04-01 05:06:00;2533622;1152717
Ecublens VD, UNIL-Sorge;8501213;DEPARTURE;;2025-04-01 01:50:00;;2025-04-01 03:42:00;;2025-04-01 05:06:00;2533622;1152717
Ecublens VD, Epenex/Pont-Bleu;8510721;ARRIVAL;2025-04-01 01:28:00;;2025-04-01 03:20:00;;2025-04-01 04:44:00;;2533763;1154498
Ecublens VD, Epenex/Pont-Bleu;8510721;DEPARTURE;2025-04-01 01:28:00;;2025-04-01 03:20:00;;2025-04-01 04:44:00;;2533763;1154498
Ecublens VD, Campus des médias;8511813;ARRIVAL;;2025-04-01 01:48:00;;2025-04-01 03:40:00;;2025-04-01 05:04:00;2533322;1152164
Ecublens VD, Campus des médias;8511813;DEPARTURE;;2025-04-01 01:48:00;;2025-04-01 03:40:00;;2025-04-01 05:04:00;2533322;1152164
St-Sulpice VD, Venoge sud;8579231;ARRIVAL;2025-04-01 01:42:00;;2025-04-01 03:34:00;;2025-04-01 04:58:00;;2531519;1151671
St-Sulpice VD, Venoge sud;8579231;DEPARTURE;;2025-04-01 01:42:00;;2025-04-01 03:34:00;;2025-04-01 04:58:00;2531519;1151671
Lausanne, St-François;8579254;ARRIVAL;;2025-04-01 02:13:00;;2025-04-01 04:05:00;;2025-04-01 05:29:00;2538215;1152325
Lausanne, St-François;8579254;DEPARTURE;2025-04-01 00:59:00;;2025-04-01 02:51:00;;2025-04-01 04:15:00;;2538215;1152325
St-Sulpice VD, Chantres;8588155;ARRIVAL;;2025-04-01 01:43:00;;2025-04-01 03:35:00;;2025-04-01 04:59:00;2532069;1151404
St-Sulpice VD, Chantres;8588155;DEPARTURE;;2025-04-01 01:43:00;;2025-04-01 03:35:00;;2025-04-01 04:59:00;2532069;1151404
St-Sulpice VD, Laviau;8588156;ARRIVAL;;2025-04-01 01:42:00;;2025-04-01 03:34:00;;2025-04-01 04:58:00;2531846;1151495
St-Sulpice VD, Laviau;8588156;DEPARTURE;;2025-04-01 01:42:00;;2025-04-01 03:34:00;;2025-04-01 04:58:00;2531846;1151495
St-Sulpice VD, Bochet;8588157;ARRIVAL;;2025-04-01 01:45:00;;2025-04-01 03:37:00;;2025-04-01 05:01:00;2532528;1151716
St-Sulpice VD, Bochet;8588157;DEPARTURE;;2025-04-01 01:45:00;;2025-04-01 03:37:00;;2025-04-01 05:01:00;2532528;1151716
St-Sulpice VD, centre;8588158;ARRIVAL;;2025-04-01 01:44:00;;2025-04-01 03:36:00;;2025-04-01 05:00:00;2532419;1151355
St-Sulpice VD, centre;8588158;DEPARTURE;;2025-04-01 01:44:00;;2025-04-01 03:36:00;;2025-04-01 05:00:00;2532419;1151355
