STOP_NAME;STOP_NUMBER;EVENT;85:151:7069;85:151:7070;85:151:7072;85:151:7073;85:151:7075;85:151:7076;POSITION_X;POSITION_Y
Lausanne, Montelly;8501207;ARRIVAL_REAL;2025-04-01 01:08:06;;2025-04-01 02:19:23;;2025-04-01 04:22:31;;2536689;1152614
Lausanne, Montelly;8501207;DEPARTURE_REAL;2025-04-01 01:08:06;;2025-04-01 02:19:23;;2025-04-01 04:22:31;;2536689;1152614
Lausanne, Malley;8501209;ARRIVAL_REAL;2025-04-01 01:17:08;;2025-04-01 02:30:51;;2025-04-01 04:34:00;;2535848;1152880
Lausanne, Malley;8501209;DEPARTURE_REAL;2025-04-01 01:17:08;;2025-04-01 02:30:51;;2025-04-01 04:34:00;;2535848;1152880
Lausanne, Bourdonnette;8501210;ARRIVAL_REAL;2025-04-01 01:15:03;;2025-04-01 02:27:51;;2025-04-01 04:31:00;;2534868;1152794
Lausanne, Bourdonnette;8501210;DEPARTURE_REAL;2025-04-01 01:15:03;;2025-04-01 02:27:51;;2025-04-01 04:31:00;;2534868;1152794
Ecublens VD, UNIL-Sorge;8501213;ARRIVAL_REAL;;2025-04-01 01:50:25;;2025-04-01 03:42:00;;2025-04-01 05:06:00;2533622;1152717
Ecublens VD, UNIL-Sorge;8501213;DEPARTURE_REAL;;2025-04-01 01:50:25;;2025-04-01 03:42:00;;2025-04-01 05:06:00;2533622;1152717
Ecublens VD, Epenex/Pont-Bleu;8510721;ARRIVAL_REAL;2025-04-01 01:28:36;;2025-04-01 02:41:17;;2025-04-01 04:44:25;;2533763;1154498
Ecublens VD, Epenex/Pont-Bleu;8510721;DEPARTURE_REAL;2025-04-01 01:28:46;;2025-04-01 02:41:17;;2025-04-01 04:44:25;;2533763;1154498
Ecublens VD, Campus des médias;8511813;ARRIVAL_REAL;;2025-04-01 01:48:25;;2025-04-01 03:40:20;;2025-04-01 05:04:20;2533322;1152164
Ecublens VD, Campus des médias;8511813;DEPARTURE_REAL;;2025-04-01 01:48:37;;2025-04-01 03:40:20;;2025-04-01 05:04:20;2533322;1152164
St-Sulpice VD, Venoge sud;8579231;ARRIVAL_REAL;2025-04-01 01:41:25;;2025-04-01 02:54:51;;2025-04-01 04:58:00;;2531519;1151671
St-Sulpice VD, Venoge sud;8579231;DEPARTURE_REAL;;2025-04-01 01:42:46;;2025-04-01 03:34:00;;2025-04-01 04:58:00;2531519;1151671
Lausanne, St-François;8579254;ARRIVAL_REAL;;2025-04-01 02:11:25;;2025-04-01 04:05:00;;2025-04-01 05:29:00;2538215;1152325
Lausanne, St-François;8579254;DEPARTURE_REAL;2025-04-01 00:59:16;;2025-04-01 02:12:19;;2025-04-01 04:15:00;;2538215;1152325
St-Sulpice VD, Chantres;8588155;ARRIVAL_REAL;;2025-04-01 01:43:49;;2025-04-01 03:35:14;;2025-04-01 04:59:14;2532069;1151404
St-Sulpice VD, Chantres;8588155;DEPARTURE_REAL;;2025-04-01 01:43:49;;2025-04-01 03:35:14;;2025-04-01 04:59:14;2532069;1151404
St-Sulpice VD, Laviau;8588156;ARRIVAL_REAL;;2025-04-01 01:43:24;;2025-04-01 03:34:44;;2025-04-01 04:58:44;2531846;1151495
St-Sulpice VD, Laviau;8588156;DEPARTURE_REAL;;2025-04-01 01:43:24;;2025-04-01 03:34:44;;2025-04-01 04:58:44;2531846;1151495
St-Sulpice VD, Bochet;8588157;ARRIVAL_REAL;;2025-04-01 01:45:36;;2025-04-01 03:37:04;;2025-04-01 05:01:04;2532528;1151716
St-Sulpice VD, Bochet;8588157;DEPARTURE_REAL;;2025-04-01 01:45:36;;2025-04-01 03:37:04;;2025-04-01 05:01:04;2532528;1151716
St-Sulpice VD, centre;8588158;ARRIVAL_REAL;;2025-04-01 01:44:36;;2025-04-01 03:36:00;;2025-04-01 05:00:00;2532419;1151355
St-Sulpice VD, centre;8588158;DEPARTURE_REAL;;2025-04-01 01:44:36;;2025-04-01 03:36:00;;2025-04-01 05:00:00;2532419;1151355
Ecublens VD, Pontet;8588873;ARRIVAL_REAL;2025-04-01 01:35:51;;2025-04-01 02:46:52;;2025-04-01 04:50:00;;2533051;1153539
Ecublens VD, Pontet;8588873;DEPARTURE_REAL;2025-04-01 01:35:51;;2025-04-01 02:46:52;;2025-04-01 04:50:00;;2533051;1153539
Renens VD, gare sud;8588983;ARRIVAL_REAL;2025-04-01 01:27:52;;2025-04-01 02:40:52;;2025-04-01 04:44:00;;2534082;1154287
Renens VD, gare sud;8588983;DEPARTURE_REAL;2025-04-01 01:28:35;;2025-04-01 02:40:52;;2025-04-01 04:44:00;;2534082;1154287
Chavannes-R., Planta;8591933;ARRIVAL_REAL;2025-04-01 01:25:34;;2025-04-01 02:38:30;;2025-04-01 04:41:37;;2533594;1154023
Chavannes-R., Planta;8591933;DEPARTURE_REAL;2025-04-01 01:25:34;;2025-04-01 02:38:30;;2025-04-01 04:41:37;;2533594;1154023
Ecublens VD, Argand;8591944;ARRIVAL_REAL;;2025-04-01 01:49:45;;2025-04-01 03:41:24;;2025-04-01 05:05:24;2533488;1152483
Ecublens VD, Argand;8591944;DEPARTURE_REAL;;2025-04-01 01:49:45;;2025-04-01 03:41:24;;2025-04-01 05:05:24;2533488;1152483
Ecublens VD, Croset;8591948;ARRIVAL_REAL;2025-04-01 01:32:28;;2025-04-01 02:43:52;;2025-04-01 04:47:00;;2533084;1154084
Ecublens VD, Croset;8591948;DEPARTURE_REAL;2025-04-01 01:33:22;;2025-04-01 02:43:52;;2025-04-01 04:47:00;;2533084;1154084
Ecublens VD, En Enjalin;8591949;ARRIVAL_REAL;2025-04-01 01:38:25;;2025-04-01 02:49:59;;2025-04-01 04:53:06;;2532358;1152927
Ecublens VD, En Enjalin;8591949;DEPARTURE_REAL;2025-04-01 01:38:25;;2025-04-01 02:49:59;;2025-04-01 04:53:06;;2532358;1152927
Ecublens VD, Parc;8591953;ARRIVAL_REAL;2025-04-01 01:31:01;;2025-04-01 02:43:07;;2025-04-01 04:46:14;;2533217;1154336
Ecublens VD, Parc;8591953;DEPARTURE_REAL;2025-04-01 01:31:25;;2025-04-01 02:43:07;;2025-04-01 04:46:14;;2533217;1154336
Ecublens VD, Perrettes;8591954;ARRIVAL_REAL;2025-04-01 01:37:56;;2025-04-01 02:49:09;;2025-04-01 04:52:16;;2532466;1153147
Ecublens VD, Perrettes;8591954;DEPARTURE_REAL;2025-04-01 01:37:56;;2025-04-01 02:49:09;;2025-04-01 04:52:16;;2532466;1153147
Ecublens VD, place de sport;8591955;ARRIVAL_REAL;2025-04-01 01:33:51;;2025-04-01 02:44:21;;2025-04-01 04:47:28;;2532890;1154149
Ecublens VD, place de sport;8591955;DEPARTURE_REAL;2025-04-01 01:33:51;;2025-04-01 02:44:21;;2025-04-01 04:47:28;;2532890;1154149
Ecublens VD, Renges;8591956;ARRIVAL_REAL;2025-04-01 01:39:04;;2025-04-01 02:50:52;;2025-04-01 04:54:00;;2532177;1152742
