JOURNEY_ID;Route;Number_of_stops;Direction;Start;Start_time_Planned;Start_time_Real;End;End_time_Planned;End_time_Real
85:151:6127;Route_B;6;O;Ecublens VD, EPFL;2025-03-01 05:13:00;2025-03-01 05:14:25;Renens VD, gare;2025-03-01 05:19:00;2025-03-01 05:19:56
85:151:6167;Route_C;9;R;Ecublens VD, UNIL-Sorge;2025-03-01 05:15:00;2025-03-01 05:15:00;Lausanne, Flon;2025-03-01 05:27:00;2025-03-01 05:27:55
85:151:6206;Route_B;6;O;Ecublens VD, EPFL;2025-03-01 05:23:00;2025-03-01 05:23:00;Renens VD, gare;2025-03-01 05:29:00;2025-03-01 05:30:10
85:151:6254;Route_C;9;R;Ecublens VD, UNIL-Sorge;2025-03-01 05:25:00;2025-03-01 05:25:53;Lausanne, Flon;2025-03-01 05:37:00;2025-03-01 05:36:13
85:151:6128;Route_A;15;R;Renens VD, gare;2025-03-01 05:27:00;2025-03-01 05:27:00;Lausanne, Flon;2025-03-01 05:46:00;2025-03-01 05:46:15
85:151:6168;Route_A;15;O;Lausanne, Flon;2025-03-01 05:30:00;2025-03-01 05:30:00;Renens VD, gare;2025-03-01 05:49:00;2025-03-01 05:50:21
85:151:6301;Route_B;6;O;Ecublens VD, EPFL;2025-03-01 05:33:00;2025-03-01 05:33:18;Renens VD, gare;2025-03-01 05:39:00;2025-03-01 05:39:49
85:151:6207;Route_A;15;R;Renens VD, gare;2025-03-01 05:37:00;2025-03-01 05:37:00;Lausanne, Flon;2025-03-01 05:56:00;2025-03-01 05:55:19
85:151:6255;Route_A;15;O;Lausanne, Flon;2025-03-01 05:40:00;2025-03-01 05:40:18;Renens VD, gare;2025-03-01 05:59:00;2025-03-01 06:00:18
85:151:6302;Route_A;15;R;Renens VD, gare;2025-03-01 05:47:00;2025-03-01 05:47:15;Lausanne, Flon;2025-03-01 06:06:00;2025-03-01 06:05:29
85:151:6129;Route_A;15;O;Lausanne, Flon;2025-03-01 05:50:00;2025-03-01 05:50:13;Renens VD, gare;2025-03-01 06:09:00;2025-03-01 06:10:13
85:151:6169;Route_A;15;R;Renens VD, gare;2025-03-01 05:57:00;2025-03-01 05:57:13;Lausanne, Flon;2025-03-01 06:16:00;2025-03-01 06:15:55
