STOP_NAME;STOP_NUMBER;POSITION_X;POSITION_Y;DISTANCE;Route_A;Route_B;Route_C;Route_D
Lausanne, Flon;8591818;2537993;1152461;0;True;False;True;True
Lausanne, Vigie;8592133;2537484;1152574;522;True;False;True;True
Lausanne, Montelly;8501207;2536689;1152614;1318;True;False;True;True
Lausanne, Provence;8501208;2536314;1152778;1727;True;False;True;True
Lausanne, Malley;8501209;2535848;1152880;2204;True;False;True;True
Lausanne, Bourdonnette;8501210;2534868;1152794;3188;True;False;True;True
Chavannes-R., UNIL-Chamberonne;8501211;2534478;1152904;3593;True;False;True;True
Chavannes-R., UNIL-Mouline;8501212;2534033;1152995;4047;True;False;True;True
Ecublens VD, UNIL-Sorge;8501213;2533622;1152717;4543;True;False;True;True
Ecublens VD, EPFL;8501214;2533051;1152695;5115;True;True;False;True
Ecublens VD, Bassenges;8501215;2532935;1152962;5406;True;True;False;False
Ecublens VD, Cerisaie;8501216;2533089;1153312;5788;True;True;False;False
Chavannes-R., Crochy;8501217;2533358;1153861;6400;True;True;False;False
Ecublens VD, Epenex;8501218;2533641;1154414;7021;True;True;False;False
Renens VD, gare;8530749;2534020;1154399;7400;True;True;False;False
Count;;;;;283;9;3;1
Direction;;;;;OR;RO;R;O
