   ,Number  ,Name                        ,lv95East     ,lv95North     ,ArriveePrevue    ,ArriveeReel         ,DepartPrevu      ,DepartReel          ,InZone
 0 ,8579231 ,"St-Sulpice VD, Venoge sud" ,2531519.0    ,1151671.0     ,                 ,                    ,17.11.2024 14:29 ,17.11.2024 14:29:10 ,-1
 1 ,8588156 ,"St-Sulpice VD, Laviau"     ,2531846.0    ,1151495.0     ,17.11.2024 14:29 ,17.11.2024 14:29:54 ,17.11.2024 14:29 ,17.11.2024 14:29:58 ,-1
 2 ,8588155 ,"St-Sulpice VD, Chantres"   ,2532069.0    ,1151404.0     ,17.11.2024 14:30 ,17.11.2024 14:30:22 ,17.11.2024 14:30 ,17.11.2024 14:30:22 ,-1
 3 ,8588158 ,"St-Sulpice VD, centre"     ,2532419.0    ,1151355.0     ,17.11.2024 14:31 ,17.11.2024 14:31:07 ,17.11.2024 14:31 ,17.11.2024 14:31:36 ,-1
 4 ,8588157 ,"St-Sulpice VD, Bochet"     ,2532528.0    ,1151716.0     ,17.11.2024 14:32 ,17.11.2024 14:32:34 ,17.11.2024 14:32 ,17.11.2024 14:32:49 ,-1
 5 ,8592226 ,"St-Sulpice VD, Russel"     ,2532871.0    ,1151912.0     ,17.11.2024 14:33 ,17.11.2024 14:33:49 ,17.11.2024 14:33 ,17.11.2024 14:34:01 ,0
 6 ,8592227 ,"St-Sulpice VD, Pâqueret"   ,2533389.0391 ,1152057.10831 ,17.11.2024 14:35 ,17.11.2024 14:35:07 ,17.11.2024 14:35 ,17.11.2024 14:35:23 ,1
 7 ,8591944 ,"Ecublens VD, Argand"       ,2533488.0    ,1152483.0     ,17.11.2024 14:37 ,17.11.2024 14:36:54 ,17.11.2024 14:37 ,17.11.2024 14:36:54 ,1
 8 ,8501213 ,"Ecublens VD, UNIL-Sorge"   ,2533622.0    ,1152717.0     ,17.11.2024 14:38 ,17.11.2024 14:37:32 ,17.11.2024 14:38 ,17.11.2024 14:37:39 ,0
 9 ,8594987 ,"Chavannes-R., Mouline"     ,2534069.0    ,1153126.0     ,17.11.2024 14:40 ,17.11.2024 14:39:36 ,17.11.2024 14:40 ,17.11.2024 14:40:07 ,-1
10 ,8594986 ,"Chavannes-R., Berges"      ,2533735.0    ,1153276.0     ,17.11.2024 14:41 ,17.11.2024 14:40:41 ,17.11.2024 14:41 ,17.11.2024 14:40:55 ,-1
11 ,8593867 ,"Chavannes-R., Plaine"      ,2533535.1    ,1153397.8     ,17.11.2024 14:42 ,17.11.2024 14:41:38 ,17.11.2024 14:42 ,17.11.2024 14:41:59 ,-1
12 ,8507227 ,"Chavannes-R., Cèdres"      ,2533580.0    ,1153574.0     ,17.11.2024 14:42 ,17.11.2024 14:42:29 ,17.11.2024 14:42 ,17.11.2024 14:42:44 ,-1
13 ,8593868 ,"Chavannes-R., Concorde"    ,2533691.0    ,1153816.0     ,17.11.2024 14:43 ,17.11.2024 14:43:12 ,17.11.2024 14:43 ,17.11.2024 14:43:36 ,-1
14 ,8591933 ,"Chavannes-R., Planta"      ,2533594.0    ,1154023.0     ,17.11.2024 14:43 ,17.11.2024 14:44:09 ,17.11.2024 14:43 ,17.11.2024 14:44:09 ,-1
15 ,8593869 ,"Chavannes-R., Glycines"    ,2533869.0    ,1154252.0     ,17.11.2024 14:44 ,17.11.2024 14:44:50 ,17.11.2024 14:44 ,17.11.2024 14:45:00 ,-1
16 ,8588983 ,"Renens VD, gare sud"       ,2534082.0    ,1154287.0     ,17.11.2024 14:48 ,17.11.2024 14:48:13 ,                 ,                    ,-1
