,Number,Name,lv95East,lv95North,ArriveePrevue,ArriveeReel,DepartPrevu,DepartReel,InZone
0,8594988,"St-Sulpice VD, Venoge nord",2531466.0,1151782.0,,,17.11.2024 18:39,17.11.2024 18:41:37,-1
1,8591959,"Ecublens VD, Champs-Courbes",2531812.0,1152058.0,17.11.2024 18:39,17.11.2024 18:42:21,17.11.2024 18:39,17.11.2024 18:42:52,0
2,8594890,"Ecublens VD, Montaney",2532022.0,1152331.0,17.11.2024 18:40,17.11.2024 18:43:07,17.11.2024 18:40,17.11.2024 18:43:07,1
3,8591956,"Ecublens VD, Renges",2532177.0,1152742.0,17.11.2024 18:41,17.11.2024 18:43:58,17.11.2024 18:41,17.11.2024 18:43:58,1
4,8591949,"Ecublens VD, En Enjalin",2532358.0,1152927.0,17.11.2024 18:41,17.11.2024 18:44:37,17.11.2024 18:41,17.11.2024 18:44:54,1
5,8591954,"Ecublens VD, Perrettes",2532466.0,1153147.0,17.11.2024 18:42,17.11.2024 18:44:59,17.11.2024 18:42,17.11.2024 18:45:35,0
6,8591961,"Ecublens VD, Villars",2532675.0,1153514.0,17.11.2024 18:44,17.11.2024 18:46:24,17.11.2024 18:44,17.11.2024 18:46:39,-1
7,8588873,"Ecublens VD, Pontet",2533051.0,1153539.0,17.11.2024 18:46,17.11.2024 18:47:43,17.11.2024 18:46,17.11.2024 18:47:53,-1
8,8591960,"Ecublens VD, Veilloud",2532936.0,1153704.0,17.11.2024 18:46,17.11.2024 18:48:23,17.11.2024 18:46,17.11.2024 18:48:26,-1
9,8591957,"Ecublens VD, Stand",2532783.0,1153872.0,17.11.2024 18:47,17.11.2024 18:49:11,17.11.2024 18:47,17.11.2024 18:49:27,-1
10,8591955,"Ecublens VD, place de sport",2532890.0,1154149.0,17.11.2024 18:48,17.11.2024 18:50:04,17.11.2024 18:48,17.11.2024 18:50:04,-1
11,8591948,"Ecublens VD, Croset",2533084.0,1154084.0,17.11.2024 18:49,17.11.2024 18:50:23,17.11.2024 18:49,17.11.2024 18:51:40,-1
12,8591953,"Ecublens VD, Parc",2533217.0,1154336.0,17.11.2024 18:50,17.11.2024 18:52:42,17.11.2024 18:50,17.11.2024 18:53:00,-1
13,8591958,"Ecublens VD, Suchet-Forêt",2533411.0,1154656.0,17.11.2024 18:52,17.11.2024 18:54:00,17.11.2024 18:52,17.11.2024 18:54:19,-1
14,8510721,"Ecublens VD, Epenex/Pont-Bleu",2533763.3282,1154498.1669,17.11.2024 18:53,17.11.2024 18:55:04,17.11.2024 18:53,17.11.2024 18:55:36,-1
15,8588983,"Renens VD, gare sud",2534082.0,1154287.0,17.11.2024 18:54,17.11.2024 18:55:53,17.11.2024 18:54,17.11.2024 18:56:29,-1
16,8588983,"Renens VD, gare sud",2534082.0,1154287.0,17.11.2024 18:55,17.11.2024 19:00:02,17.11.2024 18:55,17.11.2024 19:00:35,-1
17,8592209,"Renens VD, Censuy",2534431.0,1153812.0,17.11.2024 18:57,17.11.2024 19:02:20,17.11.2024 18:57,17.11.2024 19:02:20,-1
18,8592218,"Renens VD, Caudray",2534580.0,1153738.0,17.11.2024 18:58,17.11.2024 19:03:13,17.11.2024 18:58,17.11.2024 19:03:13,-1
19,8592210,"Renens VD, Chêne",2534899.0,1153437.0,17.11.2024 18:59,17.11.2024 19:04:29,17.11.2024 18:59,17.11.2024 19:04:51,-1
20,8592219,"Renens VD, rue du Lac",2535061.0,1153251.0,17.11.2024 19:00,17.11.2024 19:05:05,17.11.2024 19:00,17.11.2024 19:05:23,-1
21,8592215,"Renens VD, Longemalle",2535392.0,1153045.0,17.11.2024 19:01,17.11.2024 19:06:10,17.11.2024 19:01,17.11.2024 19:06:29,-1
22,8501209,"Lausanne, Malley",2535847.94901,1152880.22349,17.11.2024 19:03,17.11.2024 19:07:55,17.11.2024 19:03,17.11.2024 19:08:20,-1
23,8592049,"Prilly, Galicien",2535968.0,1153319.0,17.11.2024 19:04,17.11.2024 19:10:26,17.11.2024 19:04,17.11.2024 19:11:00,-1
24,8592179,"Prilly, Flumeaux",2535710.0,1153529.0,17.11.2024 19:06,17.11.2024 19:11:52,17.11.2024 19:06,17.11.2024 19:12:10,-1
25,8592180,"Prilly, Grand Vigne",2535964.0,1153723.0,17.11.2024 19:06,17.11.2024 19:12:32,17.11.2024 19:06,17.11.2024 19:12:40,-1
26,8592173,"Prilly, centre",2536064.6179,1154037.43158,17.11.2024 19:08,17.11.2024 19:14:04,17.11.2024 19:08,17.11.2024 19:14:20,-1
27,8592175,"Prilly, Chasseur",2536176.0,1154545.0,17.11.2024 19:09,17.11.2024 19:15:04,17.11.2024 19:09,17.11.2024 19:15:27,-1
28,8592176,"Prilly, Coudraie",2536413.0,1154670.0,17.11.2024 19:10,17.11.2024 19:16:01,17.11.2024 19:10,17.11.2024 19:16:01,-1
29,8592187,"Prilly, Mont-Goulin",2536517.0,1154484.0,17.11.2024 19:11,17.11.2024 19:16:48,,,-1
