Name,BPUIC,,85:764:5000_705-R-201_0612_BUSPS124-2,85:764:5001_705-A-101_0540_BUSPS124-2,85:764:5002_705-R-201_0642_BUSPS124-2,85:764:5003_705-A-101_0610_BUSPS124-2,85:764:5004_705-R-201_0702_BUSPS124-2,85:764:5005_705-A-101_0630_BUSPS124-2,85:764:5007_705-A-101_0650_BUSPS124-2,85:764:5008_705-R-201_0722_BUSPS124-2,85:764:5009_705-A-101_0705_BUSPS124-2,85:764:5010_705-R-201_0737_BUSPS124-2,85:764:5011_705-A-101_0715_BUSPS124-2,85:764:5012_705-R-203_0747_BUSPS124-2,85:764:5013_705-A-101_0725_BUSPS124-2,85:764:5014_705-R-201_0757_BUSPS124-2,85:764:5015_705-A-101_0735_BUSPS124-2,85:764:5016_705-R-201_0807_BUSPS124-2,85:764:5017_705-A-101_0755_BUSPS124-2,85:764:5018_705-R-203_0817_BUSPS124-2,85:764:5019_705-A-102_0801_BUSPS124-2,85:764:5020_705-R-201_0827_BUSPS124-2,85:764:5021_705-A-101_0810_BUSPS124-2,85:764:5022_705-R-201_0847_BUSPS124-2,85:764:5023_705-A-101_0830_BUSPS124-2,85:764:5024_705-R-201_0907_BUSPS124-2,85:764:5025_705-A-102_0836_BUSPS124-2,85:764:5026_705-R-201_0917_BUSPS124-2,85:764:5027_705-A-101_0845_BUSPS124-2,85:764:5028_705-R-201_0937_BUSPS124-2,85:764:5029_705-A-101_0900_BUSPS124-2,85:764:5030_705-R-201_1007_BUSPS124-2,85:764:5031_705-A-101_0920_BUSPS124-2,85:764:5032_705-R-201_1037_BUSPS124-2,85:764:5033_705-A-101_0950_BUSPS124-2,85:764:5034_705-R-201_1057_BUSPS124-2,85:764:5035_705-A-101_1010_BUSPS124-2,85:764:5036_705-R-201_1117_BUSPS124-2,85:764:5037_705-A-101_1040_BUSPS124-2,85:764:5038_705-R-201_1147_BUSPS124-2,85:764:5039_705-A-101_1110_BUSPS124-2,85:764:5040_705-R-201_1217_BUSPS124-2,85:764:5041_705-A-101_1140_BUSPS124-2,85:764:5042_705-R-201_1237_BUSPS124-2,85:764:5043_705-A-101_1206_BUSPS124-2,85:764:5044_705-R-201_1257_BUSPS124-2,85:764:5045_705-A-101_1220_BUSPS124-2,85:764:5046_705-R-201_1327_BUSPS124-2,85:764:5047_705-A-101_1250_BUSPS124-2,85:764:5048_705-R-201_1357_BUSPS124-2,85:764:5049_705-A-101_1310_BUSPS124-2,85:764:5050_705-R-201_1427_BUSPS124-2,85:764:5051_705-A-101_1340_BUSPS124-2,85:764:5052_705-R-201_1457_BUSPS124-2,85:764:5053_705-A-101_1410_BUSPS124-2,85:764:5054_705-R-201_1517_BUSPS124-2,85:764:5055_705-A-101_1440_BUSPS124-2,85:764:5056_705-R-201_1537_BUSPS124-2,85:764:5057_705-A-101_1500_BUSPS124-2,85:764:5058_705-R-201_1607_BUSPS124-2,85:764:5059_705-A-101_1530_BUSPS124-2,85:764:5060_705-R-201_1627_BUSPS124-2,85:764:5061_705-A-101_1550_BUSPS124-2,85:764:5062_705-R-201_1647_BUSPS124-2,85:764:5063_705-A-101_1610_BUSPS124-2,85:764:5064_705-R-201_1717_BUSPS124-2,85:764:5065_705-A-101_1640_BUSPS124-2,85:764:5066_705-R-201_1737_BUSPS124-2,85:764:5067_705-A-101_1700_BUSPS124-2,85:764:5068_705-R-201_1757_BUSPS124-2,85:764:5069_705-A-101_1720_BUSPS124-2,85:764:5070_705-R-201_1812_BUSPS124-2,85:764:5071_705-A-101_1735_BUSPS124-2,85:764:5072_705-R-201_1827_BUSPS124-2,85:764:5073_705-A-101_1750_BUSPS124-2,85:764:5074_705-R-201_1847_BUSPS124-2,85:764:5075_705-A-101_1810_BUSPS124-2,85:764:5076_705-R-201_1907_BUSPS124-2,85:764:5077_705-A-101_1830_BUSPS124-2,85:764:5078_705-R-201_1917_BUSPS124-2,85:764:5079_705-A-101_1845_BUSPS124-2,85:764:5080_705-R-201_1937_BUSPS124-2,85:764:5081_705-A-101_1900_BUSPS124-2,85:764:5082_705-R-201_2000_BUSPS124-2,85:764:5083_705-A-101_1930_BUSPS124-2,85:764:5084_705-R-201_2030_BUSPS124-2,85:764:5085_705-A-101_2000_BUSPS124-2,85:764:5086_705-R-201_2130_BUSPS124-2,85:764:5087_705-A-101_2100_BUSPS124-2,85:764:5088_705-R-201_2230_BUSPS124-2,85:764:5089_705-A-101_2200_BUSPS124-2,85:764:5090_705-R-201_2330_BUSPS124-2,85:764:5091_705-A-101_2300_BUSPS124-2,lv95East,lv95North,Distance
"Lonay, parc",8592254,ABFAHRTSZEIT,,2024-05-12 05:40:00,,2024-05-12 06:10:00,,2024-05-12 06:30:00,2024-05-12 06:50:00,,2024-05-12 07:05:00,,2024-05-12 07:15:00,,2024-05-12 07:25:00,,2024-05-12 07:35:00,,2024-05-12 07:55:00,,,,2024-05-12 08:10:00,,2024-05-12 08:30:00,,,,2024-05-12 08:45:00,,2024-05-12 09:00:00,,2024-05-12 09:20:00,,2024-05-12 09:50:00,,2024-05-12 10:10:00,,2024-05-12 10:40:00,,2024-05-12 11:10:00,,2024-05-12 11:40:00,,2024-05-12 12:06:00,,2024-05-12 12:20:00,,2024-05-12 12:50:00,,2024-05-12 13:10:00,,2024-05-12 13:40:00,,2024-05-12 14:10:00,,2024-05-12 14:40:00,,2024-05-12 15:00:00,,2024-05-12 15:30:00,,2024-05-12 15:50:00,,2024-05-12 16:10:00,,2024-05-12 16:40:00,,2024-05-12 17:00:00,,2024-05-12 17:20:00,,2024-05-12 17:35:00,,2024-05-12 17:50:00,,2024-05-12 18:10:00,,2024-05-12 18:30:00,,2024-05-12 18:45:00,,2024-05-12 19:00:00,,2024-05-12 19:30:00,,2024-05-12 20:00:00,,2024-05-12 21:00:00,,2024-05-12 22:00:00,,2024-05-12 23:00:00,2529262.0,1153429.0,0.0
"Lonay, parc",8592254,ANKUNFTSZEIT,2024-05-12 06:39:00,,2024-05-12 07:10:00,,2024-05-12 07:31:00,,,2024-05-12 07:51:00,,2024-05-12 08:06:00,,,,2024-05-12 08:26:00,,2024-05-12 08:36:00,,,,2024-05-12 08:56:00,,2024-05-12 09:16:00,,2024-05-12 09:36:00,,2024-05-12 09:46:00,,2024-05-12 10:06:00,,2024-05-12 10:36:00,,2024-05-12 11:06:00,,2024-05-12 11:26:00,,2024-05-12 11:46:00,,2024-05-12 12:16:00,,2024-05-12 12:46:00,,2024-05-12 13:06:00,,2024-05-12 13:26:00,,2024-05-12 13:56:00,,2024-05-12 14:26:00,,2024-05-12 14:56:00,,2024-05-12 15:26:00,,2024-05-12 15:46:00,,2024-05-12 16:06:00,,2024-05-12 16:36:00,,2024-05-12 16:56:00,,2024-05-12 17:16:00,,2024-05-12 17:46:00,,2024-05-12 18:06:00,,2024-05-12 18:26:00,,2024-05-12 18:41:00,,2024-05-12 18:56:00,,2024-05-12 19:16:00,,2024-05-12 19:36:00,,2024-05-12 19:46:00,,2024-05-12 20:06:00,,2024-05-12 20:28:00,,2024-05-12 20:58:00,,2024-05-12 21:58:00,,2024-05-12 22:58:00,,2024-05-12 23:58:00,,2529262.0,1153429.0,0.0
"Lonay, église",8592250,ANKUNFTSZEIT,2024-05-12 06:38:00,2024-05-12 05:41:00,2024-05-12 07:08:00,2024-05-12 06:11:00,2024-05-12 07:29:00,2024-05-12 06:31:00,2024-05-12 06:51:00,2024-05-12 07:49:00,2024-05-12 07:06:00,2024-05-12 08:04:00,2024-05-12 07:16:00,,2024-05-12 07:26:00,2024-05-12 08:24:00,2024-05-12 07:36:00,2024-05-12 08:34:00,2024-05-12 07:56:00,,,2024-05-12 08:54:00,2024-05-12 08:11:00,2024-05-12 09:14:00,2024-05-12 08:31:00,2024-05-12 09:34:00,,2024-05-12 09:44:00,2024-05-12 08:46:00,2024-05-12 10:04:00,2024-05-12 09:01:00,2024-05-12 10:34:00,2024-05-12 09:21:00,2024-05-12 11:04:00,2024-05-12 09:51:00,2024-05-12 11:24:00,2024-05-12 10:11:00,2024-05-12 11:44:00,2024-05-12 10:41:00,2024-05-12 12:14:00,2024-05-12 11:11:00,2024-05-12 12:44:00,2024-05-12 11:41:00,2024-05-12 13:04:00,2024-05-12 12:07:00,2024-05-12 13:24:00,2024-05-12 12:21:00,2024-05-12 13:54:00,2024-05-12 12:51:00,2024-05-12 14:24:00,2024-05-12 13:11:00,2024-05-12 14:54:00,2024-05-12 13:41:00,2024-05-12 15:24:00,2024-05-12 14:11:00,2024-05-12 15:44:00,2024-05-12 14:41:00,2024-05-12 16:04:00,2024-05-12 15:01:00,2024-05-12 16:34:00,2024-05-12 15:31:00,2024-05-12 16:54:00,2024-05-12 15:51:00,2024-05-12 17:14:00,2024-05-12 16:11:00,2024-05-12 17:44:00,2024-05-12 16:41:00,2024-05-12 18:04:00,2024-05-12 17:01:00,2024-05-12 18:24:00,2024-05-12 17:21:00,2024-05-12 18:39:00,2024-05-12 17:36:00,2024-05-12 18:54:00,2024-05-12 17:51:00,2024-05-12 19:14:00,2024-05-12 18:11:00,2024-05-12 19:34:00,2024-05-12 18:31:00,2024-05-12 19:44:00,2024-05-12 18:46:00,2024-05-12 20:04:00,2024-05-12 19:01:00,2024-05-12 20:26:00,2024-05-12 19:31:00,2024-05-12 20:56:00,2024-05-12 20:01:00,2024-05-12 21:56:00,2024-05-12 21:01:00,2024-05-12 22:56:00,2024-05-12 22:01:00,2024-05-12 23:56:00,2024-05-12 23:01:00,2529572.0,1153213.0,377.8306498948967
"Lonay, église",8592250,ABFAHRTSZEIT,2024-05-12 06:38:00,2024-05-12 05:41:00,2024-05-12 07:08:00,2024-05-12 06:11:00,2024-05-12 07:29:00,2024-05-12 06:31:00,2024-05-12 06:51:00,2024-05-12 07:49:00,2024-05-12 07:06:00,2024-05-12 08:04:00,2024-05-12 07:16:00,,2024-05-12 07:26:00,2024-05-12 08:24:00,2024-05-12 07:36:00,2024-05-12 08:34:00,2024-05-12 07:56:00,,,2024-05-12 08:54:00,2024-05-12 08:11:00,2024-05-12 09:14:00,2024-05-12 08:31:00,2024-05-12 09:34:00,,2024-05-12 09:44:00,2024-05-12 08:46:00,2024-05-12 10:04:00,2024-05-12 09:01:00,2024-05-12 10:34:00,2024-05-12 09:21:00,2024-05-12 11:04:00,2024-05-12 09:51:00,2024-05-12 11:24:00,2024-05-12 10:11:00,2024-05-12 11:44:00,2024-05-12 10:41:00,2024-05-12 12:14:00,2024-05-12 11:11:00,2024-05-12 12:44:00,2024-05-12 11:41:00,2024-05-12 13:04:00,2024-05-12 12:07:00,2024-05-12 13:24:00,2024-05-12 12:21:00,2024-05-12 13:54:00,2024-05-12 12:51:00,2024-05-12 14:24:00,2024-05-12 13:11:00,2024-05-12 14:54:00,2024-05-12 13:41:00,2024-05-12 15:24:00,2024-05-12 14:11:00,2024-05-12 15:44:00,2024-05-12 14:41:00,2024-05-12 16:04:00,2024-05-12 15:01:00,2024-05-12 16:34:00,2024-05-12 15:31:00,2024-05-12 16:54:00,2024-05-12 15:51:00,2024-05-12 17:14:00,2024-05-12 16:11:00,2024-05-12 17:44:00,2024-05-12 16:41:00,2024-05-12 18:04:00,2024-05-12 17:01:00,2024-05-12 18:24:00,2024-05-12 17:21:00,2024-05-12 18:39:00,2024-05-12 17:36:00,2024-05-12 18:54:00,2024-05-12 17:51:00,2024-05-12 19:14:00,2024-05-12 18:11:00,2024-05-12 19:34:00,2024-05-12 18:31:00,2024-05-12 19:44:00,2024-05-12 18:46:00,2024-05-12 20:04:00,2024-05-12 19:01:00,2024-05-12 20:26:00,2024-05-12 19:31:00,2024-05-12 20:56:00,2024-05-12 20:01:00,2024-05-12 21:56:00,2024-05-12 21:01:00,2024-05-12 22:56:00,2024-05-12 22:01:00,2024-05-12 23:56:00,2024-05-12 23:01:00,2529572.0,1153213.0,377.8306498948967
"Lonay, collège nord",8595219,ABFAHRTSZEIT,,2024-05-12 05:41:00,,2024-05-12 06:11:00,,2024-05-12 06:31:00,2024-05-12 06:51:00,,2024-05-12 07:06:00,,2024-05-12 07:16:00,,2024-05-12 07:26:00,,2024-05-12 07:36:00,,2024-05-12 07:56:00,,,,2024-05-12 08:11:00,,2024-05-12 08:31:00,,,,2024-05-12 08:46:00,,2024-05-12 09:01:00,,2024-05-12 09:21:00,,2024-05-12 09:51:00,,2024-05-12 10:11:00,,2024-05-12 10:41:00,,2024-05-12 11:11:00,,2024-05-12 11:41:00,,2024-05-12 12:07:00,,2024-05-12 12:21:00,,2024-05-12 12:51:00,,2024-05-12 13:11:00,,2024-05-12 13:41:00,,2024-05-12 14:11:00,,2024-05-12 14:41:00,,2024-05-12 15:01:00,,2024-05-12 15:31:00,,2024-05-12 15:51:00,,2024-05-12 16:11:00,,2024-05-12 16:41:00,,2024-05-12 17:01:00,,2024-05-12 17:21:00,,2024-05-12 17:36:00,,2024-05-12 17:51:00,,2024-05-12 18:11:00,,2024-05-12 18:31:00,,2024-05-12 18:46:00,,2024-05-12 19:01:00,,2024-05-12 19:31:00,,2024-05-12 20:01:00,,2024-05-12 21:01:00,,2024-05-12 22:01:00,,2024-05-12 23:01:00,2529472.0,1153016.0,598.7582398423724
"Lonay, collège nord",8595219,ANKUNFTSZEIT,,2024-05-12 05:41:00,,2024-05-12 06:11:00,,2024-05-12 06:31:00,2024-05-12 06:51:00,,2024-05-12 07:06:00,,2024-05-12 07:16:00,,2024-05-12 07:26:00,,2024-05-12 07:36:00,,2024-05-12 07:56:00,,,,2024-05-12 08:11:00,,2024-05-12 08:31:00,,,,2024-05-12 08:46:00,,2024-05-12 09:01:00,,2024-05-12 09:21:00,,2024-05-12 09:51:00,,2024-05-12 10:11:00,,2024-05-12 10:41:00,,2024-05-12 11:11:00,,2024-05-12 11:41:00,,2024-05-12 12:07:00,,2024-05-12 12:21:00,,2024-05-12 12:51:00,,2024-05-12 13:11:00,,2024-05-12 13:41:00,,2024-05-12 14:11:00,,2024-05-12 14:41:00,,2024-05-12 15:01:00,,2024-05-12 15:31:00,,2024-05-12 15:51:00,,2024-05-12 16:11:00,,2024-05-12 16:41:00,,2024-05-12 17:01:00,,2024-05-12 17:21:00,,2024-05-12 17:36:00,,2024-05-12 17:51:00,,2024-05-12 18:11:00,,2024-05-12 18:31:00,,2024-05-12 18:46:00,,2024-05-12 19:01:00,,2024-05-12 19:31:00,,2024-05-12 20:01:00,,2024-05-12 21:01:00,,2024-05-12 22:01:00,,2024-05-12 23:01:00,2529472.0,1153016.0,598.7582398423724
"Lonay, collège sud",8595220,ANKUNFTSZEIT,2024-05-12 06:36:00,,2024-05-12 07:07:00,,2024-05-12 07:28:00,,,2024-05-12 07:48:00,,2024-05-12 08:03:00,,,,2024-05-12 08:23:00,,2024-05-12 08:33:00,,,,2024-05-12 08:53:00,,2024-05-12 09:13:00,,2024-05-12 09:33:00,,2024-05-12 09:43:00,,2024-05-12 10:03:00,,2024-05-12 10:33:00,,2024-05-12 11:03:00,,2024-05-12 11:23:00,,2024-05-12 11:43:00,,2024-05-12 12:13:00,,2024-05-12 12:43:00,,2024-05-12 13:03:00,,2024-05-12 13:23:00,,2024-05-12 13:53:00,,2024-05-12 14:23:00,,2024-05-12 14:53:00,,2024-05-12 15:23:00,,2024-05-12 15:43:00,,2024-05-12 16:03:00,,2024-05-12 16:33:00,,2024-05-12 16:53:00,,2024-05-12 17:13:00,,2024-05-12 17:43:00,,2024-05-12 18:03:00,,2024-05-12 18:23:00,,2024-05-12 18:38:00,,2024-05-12 18:53:00,,2024-05-12 19:13:00,,2024-05-12 19:33:00,,2024-05-12 19:43:00,,2024-05-12 20:03:00,,2024-05-12 20:25:00,,2024-05-12 20:55:00,,2024-05-12 21:55:00,,2024-05-12 22:55:00,,2024-05-12 23:55:00,,2529640.51501,1153013.18921,613.6897634409816
"Lonay, collège sud",8595220,ABFAHRTSZEIT,2024-05-12 06:36:00,,2024-05-12 07:07:00,,2024-05-12 07:28:00,,,2024-05-12 07:48:00,,2024-05-12 08:03:00,,,,2024-05-12 08:23:00,,2024-05-12 08:33:00,,,,2024-05-12 08:53:00,,2024-05-12 09:13:00,,2024-05-12 09:33:00,,2024-05-12 09:43:00,,2024-05-12 10:03:00,,2024-05-12 10:33:00,,2024-05-12 11:03:00,,2024-05-12 11:23:00,,2024-05-12 11:43:00,,2024-05-12 12:13:00,,2024-05-12 12:43:00,,2024-05-12 13:03:00,,2024-05-12 13:23:00,,2024-05-12 13:53:00,,2024-05-12 14:23:00,,2024-05-12 14:53:00,,2024-05-12 15:23:00,,2024-05-12 15:43:00,,2024-05-12 16:03:00,,2024-05-12 16:33:00,,2024-05-12 16:53:00,,2024-05-12 17:13:00,,2024-05-12 17:43:00,,2024-05-12 18:03:00,,2024-05-12 18:23:00,,2024-05-12 18:38:00,,2024-05-12 18:53:00,,2024-05-12 19:13:00,,2024-05-12 19:33:00,,2024-05-12 19:43:00,,2024-05-12 20:03:00,,2024-05-12 20:25:00,,2024-05-12 20:55:00,,2024-05-12 21:55:00,,2024-05-12 22:55:00,,2024-05-12 23:55:00,,2529640.51501,1153013.18921,613.6897634409816
"Lonay, gare",8595218,ANKUNFTSZEIT,2024-05-12 06:36:00,2024-05-12 05:43:00,2024-05-12 07:06:00,2024-05-12 06:13:00,2024-05-12 07:27:00,2024-05-12 06:33:00,2024-05-12 06:53:00,2024-05-12 07:47:00,2024-05-12 07:08:00,2024-05-12 08:02:00,2024-05-12 07:18:00,,2024-05-12 07:28:00,2024-05-12 08:22:00,2024-05-12 07:38:00,2024-05-12 08:32:00,2024-05-12 07:58:00,,,2024-05-12 08:52:00,2024-05-12 08:13:00,2024-05-12 09:12:00,2024-05-12 08:33:00,2024-05-12 09:32:00,,2024-05-12 09:42:00,2024-05-12 08:48:00,2024-05-12 10:02:00,2024-05-12 09:03:00,2024-05-12 10:32:00,2024-05-12 09:23:00,2024-05-12 11:02:00,2024-05-12 09:53:00,2024-05-12 11:22:00,2024-05-12 10:13:00,2024-05-12 11:42:00,2024-05-12 10:43:00,2024-05-12 12:12:00,2024-05-12 11:13:00,2024-05-12 12:42:00,2024-05-12 11:43:00,2024-05-12 13:02:00,2024-05-12 12:09:00,2024-05-12 13:22:00,2024-05-12 12:23:00,2024-05-12 13:52:00,2024-05-12 12:53:00,2024-05-12 14:22:00,2024-05-12 13:13:00,2024-05-12 14:52:00,2024-05-12 13:43:00,2024-05-12 15:22:00,2024-05-12 14:13:00,2024-05-12 15:42:00,2024-05-12 14:43:00,2024-05-12 16:02:00,2024-05-12 15:03:00,2024-05-12 16:32:00,2024-05-12 15:33:00,2024-05-12 16:52:00,2024-05-12 15:53:00,2024-05-12 17:12:00,2024-05-12 16:13:00,2024-05-12 17:42:00,2024-05-12 16:43:00,2024-05-12 18:02:00,2024-05-12 17:03:00,2024-05-12 18:22:00,2024-05-12 17:23:00,2024-05-12 18:37:00,2024-05-12 17:38:00,2024-05-12 18:52:00,2024-05-12 17:53:00,2024-05-12 19:12:00,2024-05-12 18:13:00,2024-05-12 19:32:00,2024-05-12 18:33:00,2024-05-12 19:42:00,2024-05-12 18:48:00,2024-05-12 20:02:00,2024-05-12 19:03:00,2024-05-12 20:24:00,2024-05-12 19:33:00,2024-05-12 20:54:00,2024-05-12 20:03:00,2024-05-12 21:54:00,2024-05-12 21:03:00,2024-05-12 22:54:00,2024-05-12 22:03:00,2024-05-12 23:54:00,2024-05-12 23:03:00,2529595.32548,1152839.54191,814.0409180673935
"Lonay, gare",8595218,ABFAHRTSZEIT,2024-05-12 06:36:00,2024-05-12 05:43:00,2024-05-12 07:06:00,2024-05-12 06:13:00,2024-05-12 07:27:00,2024-05-12 06:33:00,2024-05-12 06:53:00,2024-05-12 07:47:00,2024-05-12 07:08:00,2024-05-12 08:02:00,2024-05-12 07:18:00,,2024-05-12 07:28:00,2024-05-12 08:22:00,2024-05-12 07:38:00,2024-05-12 08:32:00,2024-05-12 07:58:00,,,2024-05-12 08:52:00,2024-05-12 08:13:00,2024-05-12 09:12:00,2024-05-12 08:33:00,2024-05-12 09:32:00,,2024-05-12 09:42:00,2024-05-12 08:48:00,2024-05-12 10:02:00,2024-05-12 09:03:00,2024-05-12 10:32:00,2024-05-12 09:23:00,2024-05-12 11:02:00,2024-05-12 09:53:00,2024-05-12 11:22:00,2024-05-12 10:13:00,2024-05-12 11:42:00,2024-05-12 10:43:00,2024-05-12 12:12:00,2024-05-12 11:13:00,2024-05-12 12:42:00,2024-05-12 11:43:00,2024-05-12 13:02:00,2024-05-12 12:09:00,2024-05-12 13:22:00,2024-05-12 12:23:00,2024-05-12 13:52:00,2024-05-12 12:53:00,2024-05-12 14:22:00,2024-05-12 13:13:00,2024-05-12 14:52:00,2024-05-12 13:43:00,2024-05-12 15:22:00,2024-05-12 14:13:00,2024-05-12 15:42:00,2024-05-12 14:43:00,2024-05-12 16:02:00,2024-05-12 15:03:00,2024-05-12 16:32:00,2024-05-12 15:33:00,2024-05-12 16:52:00,2024-05-12 15:53:00,2024-05-12 17:12:00,2024-05-12 16:13:00,2024-05-12 17:42:00,2024-05-12 16:43:00,2024-05-12 18:02:00,2024-05-12 17:03:00,2024-05-12 18:22:00,2024-05-12 17:23:00,2024-05-12 18:37:00,2024-05-12 17:38:00,2024-05-12 18:52:00,2024-05-12 17:53:00,2024-05-12 19:12:00,2024-05-12 18:13:00,2024-05-12 19:32:00,2024-05-12 18:33:00,2024-05-12 19:42:00,2024-05-12 18:48:00,2024-05-12 20:02:00,2024-05-12 19:03:00,2024-05-12 20:24:00,2024-05-12 19:33:00,2024-05-12 20:54:00,2024-05-12 20:03:00,2024-05-12 21:54:00,2024-05-12 21:03:00,2024-05-12 22:54:00,2024-05-12 22:03:00,2024-05-12 23:54:00,2024-05-12 23:03:00,2529595.32548,1152839.54191,814.0409180673935
