,Number,Name,lv95East,lv95North,ArriveePrevue,ArriveeReel,DepartPrevu,DepartReel,InZone
0,8579254,"Lausanne, St-François",2538215.0,1152325.0,,,17.11.2024 02:55,17.11.2024 02:55:00,-1
1,8591988,"Lausanne, Bel-Air",2537880.0,1152653.0,17.11.2024 02:57,17.11.2024 02:57:00,17.11.2024 02:57,17.11.2024 02:57:00,-1
2,8592010,"Lausanne, Chauderon",2537555.0,1152802.0,17.11.2024 02:58,17.11.2024 02:58:00,17.11.2024 02:58,17.11.2024 02:58:00,-1
3,8592122,"Lausanne, Tivoli",2537305.0,1152534.0,17.11.2024 03:00,17.11.2024 03:00:00,17.11.2024 03:00,17.11.2024 03:00:00,-1
4,8591990,"Lausanne, Belvédère",2536962.0,1152509.0,17.11.2024 03:01,17.11.2024 03:01:00,17.11.2024 03:01,17.11.2024 03:01:00,-1
5,8501207,"Lausanne, Montelly",2536689.0,1152614.0,17.11.2024 03:01,17.11.2024 03:01:45,17.11.2024 03:01,17.11.2024 03:01:45,-1
6,8592080,"Lausanne, Montoie",2536302.0,1152226.0,17.11.2024 03:03,17.11.2024 03:03:00,17.11.2024 03:03,17.11.2024 03:03:00,-1
7,8592044,"Lausanne, Figuiers",2536461.0,1152063.0,17.11.2024 03:04,17.11.2024 03:04:09,17.11.2024 03:04,17.11.2024 03:04:09,-1
8,8593837,"Lausanne, Maladière-Figuiers",2536113.0,1152075.0,17.11.2024 03:05,17.11.2024 03:05:00,17.11.2024 03:05,17.11.2024 03:05:00,-1
9,8591995,"Lausanne, Bois de Vaux",2535630.0,1152359.0,17.11.2024 03:06,17.11.2024 03:06:00,17.11.2024 03:06,17.11.2024 03:06:00,-1
10,8592114,"Lausanne, Sablons",2535323.0,1152691.0,17.11.2024 03:07,17.11.2024 03:07:33,17.11.2024 03:07,17.11.2024 03:07:33,-1
