,Number,Name,lv95East,lv95North,ArriveePrevue,ArriveeReel,DepartPrevu,DepartReel,InZone
0,8530749,"Renens VD, gare",2533985.0,1154384.0,,,17.11.2024 16:57,17.11.2024 16:57:10,-1
1,8501218,"Ecublens VD, Epenex",2533641.0,1154414.0,17.11.2024 16:58,17.11.2024 16:58:10,17.11.2024 16:58,17.11.2024 16:58:31,-1
2,8501217,"Chavannes-R., Crochy",2533358.0,1153861.0,17.11.2024 16:59,17.11.2024 16:59:34,17.11.2024 16:59,17.11.2024 16:59:51,-1
3,8501216,"Ecublens VD, Cerisaie",2533089.0,1153312.0,17.11.2024 17:00,17.11.2024 17:00:51,17.11.2024 17:00,17.11.2024 17:00:51,0
4,8501215,"Ecublens VD, Bassenges",2532935.0,1152962.0,17.11.2024 17:01,17.11.2024 17:01:32,17.11.2024 17:01,17.11.2024 17:01:50,1
5,8501214,"Ecublens VD, EPFL",2533051.0,1152695.0,17.11.2024 17:03,17.11.2024 17:02:51,17.11.2024 17:03,17.11.2024 17:03:35,1
6,8501213,"Ecublens VD, UNIL-Sorge",2533622.0,1152717.0,17.11.2024 17:04,17.11.2024 17:04:31,17.11.2024 17:04,17.11.2024 17:04:51,0
7,8501212,"Chavannes-R., UNIL-Mouline",2534033.0,1152995.0,17.11.2024 17:05,17.11.2024 17:05:51,17.11.2024 17:05,17.11.2024 17:05:51,-1
8,8501211,"Chavannes-R., UNIL-Chamberonne",2534478.0,1152904.0,17.11.2024 17:06,17.11.2024 17:06:50,17.11.2024 17:06,17.11.2024 17:07:11,-1
9,8501210,"Lausanne, Bourdonnette",2534868.0,1152794.0,17.11.2024 17:08,17.11.2024 17:07:58,17.11.2024 17:08,17.11.2024 17:09:11,-1
10,8501209,"Lausanne, Malley",2535847.94901,1152880.22349,17.11.2024 17:10,17.11.2024 17:10:51,17.11.2024 17:10,17.11.2024 17:10:51,-1
11,8501208,"Lausanne, Provence",2536314.0,1152778.3,17.11.2024 17:11,17.11.2024 17:11:12,17.11.2024 17:11,17.11.2024 17:11:40,-1
12,8501207,"Lausanne, Montelly",2536689.0,1152614.0,17.11.2024 17:12,17.11.2024 17:12:12,17.11.2024 17:12,17.11.2024 17:12:40,-1
13,8592133,"Lausanne, Vigie",2537484.0,1152574.0,17.11.2024 17:14,17.11.2024 17:13:49,17.11.2024 17:14,17.11.2024 17:14:15,-1
14,8591818,"Lausanne-Flon, pl. de l'Europe",2537985.0,1152434.0,17.11.2024 17:16,17.11.2024 17:15:13,,,-1
