,pickup_x,pickup_y,delivery_x,delivery_y,distance
0,35,17,16,22,19.6468827043885
1,55,45,24,12,45.27692569068709
2,15,30,18,24,6.708203932499369
3,25,30,8,56,31.064449134018133
4,10,43,2,48,9.433981132056603
5,55,60,30,5,60.41522986797286
6,20,65,40,60,20.615528128088304
7,50,35,25,24,27.313000567495326
8,30,25,22,22,8.54400374531753
9,15,10,15,19,9.0
10,10,20,5,5,15.811388300841896
11,15,60,27,43,20.808652046684813
12,45,65,49,58,8.06225774829855
13,45,20,20,40,32.01562118716424
14,45,10,20,26,29.68164415931166
15,65,35,57,29,10.0
16,65,20,46,13,20.248456731316587
17,45,30,56,37,13.038404810405298
18,64,42,57,48,9.219544457292887
19,35,69,55,54,25.0
20,65,55,49,73,24.08318915758459
21,63,65,49,11,55.78530272392541
22,20,20,31,67,48.27007354458868
23,40,25,11,14,31.016124838541646
24,23,3,37,47,46.17358552246078
25,13,52,35,40,25.059928172283335
26,6,68,26,52,25.612496949731394
27,47,47,14,37,34.48187929913333
28,63,23,55,20,8.54400374531753
29,32,12,57,68,61.326992425847855
30,36,26,53,52,31.064449134018133
31,17,34,25,21,15.264337522473747
32,12,24,31,52,33.83784863137726
33,27,69,30,60,9.486832980505138
34,62,77,41,37,45.17742799230607
35,67,5,19,21,50.59644256269407
36,56,39,49,42,7.615773105863909
37,37,56,41,49,8.06225774829855
38,47,16,37,31,18.027756377319946
39,44,17,28,18,16.0312195418814
40,53,43,42,7,37.64306044943742
41,61,52,55,5,47.38143096192854
42,15,47,2,60,18.384776310850235
43,11,31,24,58,29.966648127543394
44,4,18,6,38,20.09975124224178
45,26,35,5,30,21.587033144922902
46,26,27,21,24,5.830951894845301
47,22,27,20,50,23.08679276123039
48,18,18,60,12,42.42640687119285
49,53,12,53,12,0.0
50,15,77,15,77,0.0
