STOP_NAME                    ,STOP_NUMBER ,EVENT          ,85:764:5000_705-R-201_0612_BUSPS124-2 ,85:764:5001_705-A-101_0540_BUSPS124-2 ,85:764:5002_705-R-201_0642_BUSPS124-2 ,85:764:5003_705-A-101_0610_BUSPS124-2 ,85:764:5004_705-R-201_0702_BUSPS124-2 ,85:764:5005_705-A-101_0630_BUSPS124-2 ,85:764:5006_705-R-202_0707_BUSPS124-2 ,85:764:5007_705-A-101_0650_BUSPS124-2 ,85:764:5008_705-R-201_0722_BUSPS124-2 ,85:764:5009_705-A-101_0705_BUSPS124-2 ,85:764:5010_705-R-201_0737_BUSPS124-2 ,85:764:5011_705-A-101_0715_BUSPS124-2 ,85:764:5012_705-R-203_0747_BUSPS124-2 ,85:764:5013_705-A-101_0725_BUSPS124-2 ,85:764:5014_705-R-201_0757_BUSPS124-2 ,85:764:5015_705-A-101_0735_BUSPS124-2 ,85:764:5016_705-R-201_0807_BUSPS124-2 ,85:764:5017_705-A-101_0755_BUSPS124-2 ,85:764:5018_705-R-203_0817_BUSPS124-2 ,85:764:5019_705-A-102_0801_BUSPS124-2 ,85:764:5020_705-R-201_0827_BUSPS124-2 ,85:764:5021_705-A-101_0810_BUSPS124-2 ,85:764:5022_705-R-201_0847_BUSPS124-2 ,85:764:5023_705-A-101_0830_BUSPS124-2 ,85:764:5024_705-R-201_0907_BUSPS124-2 ,85:764:5025_705-A-102_0836_BUSPS124-2 ,85:764:5026_705-R-201_0917_BUSPS124-2 ,85:764:5027_705-A-101_0845_BUSPS124-2 ,85:764:5028_705-R-201_0937_BUSPS124-2 ,85:764:5029_705-A-101_0900_BUSPS124-2 ,85:764:5030_705-R-201_1007_BUSPS124-2 ,85:764:5031_705-A-101_0920_BUSPS124-2 ,85:764:5032_705-R-201_1037_BUSPS124-2 ,85:764:5033_705-A-101_0950_BUSPS124-2 ,85:764:5034_705-R-201_1057_BUSPS124-2 ,85:764:5035_705-A-101_1010_BUSPS124-2 ,85:764:5036_705-R-201_1117_BUSPS124-2 ,85:764:5037_705-A-101_1040_BUSPS124-2 ,85:764:5038_705-R-201_1147_BUSPS124-2 ,85:764:5039_705-A-101_1110_BUSPS124-2 ,85:764:5040_705-R-201_1217_BUSPS124-2 ,85:764:5041_705-A-101_1140_BUSPS124-2 ,85:764:5042_705-R-201_1237_BUSPS124-2 ,85:764:5043_705-A-101_1206_BUSPS124-2 ,85:764:5044_705-R-201_1257_BUSPS124-2 ,85:764:5045_705-A-101_1220_BUSPS124-2 ,85:764:5046_705-R-201_1327_BUSPS124-2 ,85:764:5047_705-A-101_1250_BUSPS124-2 ,85:764:5048_705-R-201_1357_BUSPS124-2 ,85:764:5049_705-A-101_1310_BUSPS124-2 ,85:764:5050_705-R-201_1427_BUSPS124-2 ,85:764:5051_705-A-101_1340_BUSPS124-2 ,85:764:5052_705-R-201_1457_BUSPS124-2 ,85:764:5053_705-A-101_1410_BUSPS124-2 ,85:764:5054_705-R-201_1517_BUSPS124-2 ,85:764:5055_705-A-101_1440_BUSPS124-2 ,85:764:5056_705-R-201_1537_BUSPS124-2 ,85:764:5057_705-A-101_1500_BUSPS124-2 ,85:764:5058_705-R-201_1607_BUSPS124-2 ,85:764:5059_705-A-101_1530_BUSPS124-2 ,85:764:5060_705-R-201_1627_BUSPS124-2 ,85:764:5061_705-A-101_1550_BUSPS124-2 ,85:764:5062_705-R-201_1647_BUSPS124-2 ,85:764:5063_705-A-101_1610_BUSPS124-2 ,85:764:5064_705-R-201_1717_BUSPS124-2 ,85:764:5065_705-A-101_1640_BUSPS124-2 ,85:764:5066_705-R-201_1737_BUSPS124-2 ,85:764:5067_705-A-101_1700_BUSPS124-2 ,85:764:5068_705-R-201_1757_BUSPS124-2 ,85:764:5069_705-A-101_1720_BUSPS124-2 ,85:764:5070_705-R-201_1812_BUSPS124-2 ,85:764:5071_705-A-101_1735_BUSPS124-2 ,85:764:5072_705-R-201_1827_BUSPS124-2 ,85:764:5073_705-A-101_1750_BUSPS124-2 ,85:764:5074_705-R-201_1847_BUSPS124-2 ,85:764:5075_705-A-101_1810_BUSPS124-2 ,85:764:5076_705-R-201_1907_BUSPS124-2 ,85:764:5077_705-A-101_1830_BUSPS124-2 ,85:764:5078_705-R-201_1917_BUSPS124-2 ,85:764:5079_705-A-101_1845_BUSPS124-2 ,85:764:5080_705-R-201_1937_BUSPS124-2 ,85:764:5081_705-A-101_1900_BUSPS124-2 ,85:764:5082_705-R-201_2000_BUSPS124-2 ,85:764:5083_705-A-101_1930_BUSPS124-2 ,85:764:5084_705-R-201_2030_BUSPS124-2 ,85:764:5085_705-A-101_2000_BUSPS124-2 ,85:764:5086_705-R-201_2130_BUSPS124-2 ,85:764:5087_705-A-101_2100_BUSPS124-2 ,85:764:5088_705-R-201_2230_BUSPS124-2 ,85:764:5089_705-A-101_2200_BUSPS124-2 ,85:764:5090_705-R-201_2330_BUSPS124-2 ,85:764:5091_705-A-101_2300_BUSPS124-2 ,POSITION_X    ,POSITION_Y    ,DISTANCE
"Lonay, parc"                ,    8592254 ,ARRIVAL        ,2024-10-12 06:39:00                   ,                                      ,2024-10-12 07:10:00                   ,                                      ,2024-10-12 07:31:00                   ,                                      ,2024-10-12 07:24:00                   ,                                      ,2024-10-12 07:51:00                   ,                                      ,2024-10-12 08:06:00                   ,                                      ,                                      ,                                      ,2024-10-12 08:26:00                   ,                                      ,2024-10-12 08:36:00                   ,                                      ,                                      ,                                      ,2024-10-12 08:56:00                   ,                                      ,2024-10-12 09:16:00                   ,                                      ,2024-10-12 09:36:00                   ,                                      ,2024-10-12 09:46:00                   ,                                      ,2024-10-12 10:06:00                   ,                                      ,2024-10-12 10:36:00                   ,                                      ,2024-10-12 11:06:00                   ,                                      ,2024-10-12 11:26:00                   ,                                      ,2024-10-12 11:46:00                   ,                                      ,2024-10-12 12:16:00                   ,                                      ,2024-10-12 12:46:00                   ,                                      ,2024-10-12 13:06:00                   ,                                      ,2024-10-12 13:26:00                   ,                                      ,2024-10-12 13:56:00                   ,                                      ,2024-10-12 14:26:00                   ,                                      ,2024-10-12 14:56:00                   ,                                      ,2024-10-12 15:26:00                   ,                                      ,2024-10-12 15:46:00                   ,                                      ,2024-10-12 16:06:00                   ,                                      ,2024-10-12 16:36:00                   ,                                      ,2024-10-12 16:56:00                   ,                                      ,2024-10-12 17:16:00                   ,                                      ,2024-10-12 17:46:00                   ,                                      ,2024-10-12 18:06:00                   ,                                      ,2024-10-12 18:26:00                   ,                                      ,2024-10-12 18:41:00                   ,                                      ,2024-10-12 18:56:00                   ,                                      ,2024-10-12 19:16:00                   ,                                      ,2024-10-12 19:36:00                   ,                                      ,2024-10-12 19:46:00                   ,                                      ,2024-10-12 20:06:00                   ,                                      ,2024-10-12 20:28:00                   ,                                      ,2024-10-12 20:58:00                   ,                                      ,2024-10-12 21:58:00                   ,                                      ,2024-10-12 22:58:00                   ,                                      ,2024-10-12 23:58:00                   ,                                      ,2529262.0     ,1153429.0     ,   0.0
"Lonay, parc"                ,    8592254 ,ARRIVAL_REAL   ,2024-10-12 06:41:30                   ,                                      ,2024-10-12 07:09:38                   ,                                      ,2024-10-12 07:33:31                   ,                                      ,2024-10-12 07:29:55                   ,                                      ,2024-10-12 07:53:15                   ,                                      ,2024-10-12 08:06:37                   ,                                      ,                                      ,                                      ,2024-10-12 08:39:03                   ,                                      ,2024-10-12 08:39:14                   ,                                      ,                                      ,                                      ,2024-10-12 08:56:22                   ,                                      ,2024-10-12 09:16:03                   ,                                      ,2024-10-12 09:38:08                   ,                                      ,2024-10-12 09:45:23                   ,                                      ,2024-10-12 10:06:35                   ,                                      ,2024-10-12 10:36:57                   ,                                      ,2024-10-12 11:07:25                   ,                                      ,2024-10-12 11:26:47                   ,                                      ,2024-10-12 11:46:11                   ,                                      ,2024-10-12 12:17:11                   ,                                      ,2024-10-12 12:46:04                   ,                                      ,2024-10-12 13:07:11                   ,                                      ,2024-10-12 13:26:11                   ,                                      ,2024-10-12 13:56:27                   ,                                      ,2024-10-12 14:26:21                   ,                                      ,2024-10-12 14:57:30                   ,                                      ,2024-10-12 15:26:14                   ,                                      ,2024-10-12 15:47:23                   ,                                      ,2024-10-12 16:05:47                   ,                                      ,2024-10-12 16:38:49                   ,                                      ,2024-10-12 16:57:16                   ,                                      ,2024-10-12 17:16:00                   ,                                      ,2024-10-12 17:47:23                   ,                                      ,2024-10-12 18:06:48                   ,                                      ,2024-10-12 18:26:00                   ,                                      ,2024-10-12 18:43:42                   ,                                      ,2024-10-12 18:59:28                   ,                                      ,2024-10-12 19:15:35                   ,                                      ,2024-10-12 19:35:46                   ,                                      ,2024-10-12 19:46:00                   ,                                      ,2024-10-12 20:05:29                   ,                                      ,2024-10-12 20:27:46                   ,                                      ,2024-10-12 20:58:34                   ,                                      ,2024-10-12 21:57:46                   ,                                      ,2024-10-12 22:57:42                   ,                                      ,2024-10-12 23:59:28                   ,                                      ,2529262.0     ,1153429.0     ,   0.0
"Lonay, parc"                ,    8592254 ,DEPARTURE      ,                                      ,2024-10-12 05:40:00                   ,                                      ,2024-10-12 06:10:00                   ,                                      ,2024-10-12 06:30:00                   ,                                      ,2024-10-12 06:50:00                   ,                                      ,2024-10-12 07:05:00                   ,                                      ,2024-10-12 07:15:00                   ,                                      ,2024-10-12 07:25:00                   ,                                      ,2024-10-12 07:35:00                   ,                                      ,2024-10-12 07:55:00                   ,                                      ,                                      ,                                      ,2024-10-12 08:10:00                   ,                                      ,2024-10-12 08:30:00                   ,                                      ,                                      ,                                      ,2024-10-12 08:45:00                   ,                                      ,2024-10-12 09:00:00                   ,                                      ,2024-10-12 09:20:00                   ,                                      ,2024-10-12 09:50:00                   ,                                      ,2024-10-12 10:10:00                   ,                                      ,2024-10-12 10:40:00                   ,                                      ,2024-10-12 11:10:00                   ,                                      ,2024-10-12 11:40:00                   ,                                      ,2024-10-12 12:06:00                   ,                                      ,2024-10-12 12:20:00                   ,                                      ,2024-10-12 12:50:00                   ,                                      ,2024-10-12 13:10:00                   ,                                      ,2024-10-12 13:40:00                   ,                                      ,2024-10-12 14:10:00                   ,                                      ,2024-10-12 14:40:00                   ,                                      ,2024-10-12 15:00:00                   ,                                      ,2024-10-12 15:30:00                   ,                                      ,2024-10-12 15:50:00                   ,                                      ,2024-10-12 16:10:00                   ,                                      ,2024-10-12 16:40:00                   ,                                      ,2024-10-12 17:00:00                   ,                                      ,2024-10-12 17:20:00                   ,                                      ,2024-10-12 17:35:00                   ,                                      ,2024-10-12 17:50:00                   ,                                      ,2024-10-12 18:10:00                   ,                                      ,2024-10-12 18:30:00                   ,                                      ,2024-10-12 18:45:00                   ,                                      ,2024-10-12 19:00:00                   ,                                      ,2024-10-12 19:30:00                   ,                                      ,2024-10-12 20:00:00                   ,                                      ,2024-10-12 21:00:00                   ,                                      ,2024-10-12 22:00:00                   ,                                      ,2024-10-12 23:00:00                   ,2529262.0     ,1153429.0     ,   0.0
"Lonay, parc"                ,    8592254 ,DEPARTURE_REAL ,                                      ,2024-10-12 05:40:10                   ,                                      ,2024-10-12 06:09:54                   ,                                      ,2024-10-12 06:30:17                   ,                                      ,2024-10-12 06:50:03                   ,                                      ,2024-10-12 07:05:13                   ,                                      ,2024-10-12 07:15:00                   ,                                      ,                                      ,                                      ,                                      ,                                      ,2024-10-12 07:55:21                   ,                                      ,                                      ,                                      ,2024-10-12 08:10:45                   ,                                      ,2024-10-12 08:41:03                   ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,2024-10-12 11:10:30                   ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,2024-10-12 12:51:41                   ,                                      ,                                      ,                                      ,2024-10-12 13:40:22                   ,                                      ,2024-10-12 14:11:30                   ,                                      ,                                      ,                                      ,2024-10-12 15:00:37                   ,                                      ,2024-10-12 15:30:48                   ,                                      ,                                      ,                                      ,2024-10-12 16:10:38                   ,                                      ,                                      ,                                      ,                                      ,                                      ,2024-10-12 17:20:17                   ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,2024-10-12 18:30:21                   ,                                      ,                                      ,                                      ,2024-10-12 19:03:38                   ,                                      ,2024-10-12 19:30:56                   ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,2529262.0     ,1153429.0     ,   0.0
"Lonay, église"              ,    8592250 ,ARRIVAL        ,2024-10-12 06:38:00                   ,2024-10-12 05:41:00                   ,2024-10-12 07:08:00                   ,2024-10-12 06:11:00                   ,2024-10-12 07:29:00                   ,2024-10-12 06:31:00                   ,2024-10-12 07:22:00                   ,2024-10-12 06:51:00                   ,2024-10-12 07:49:00                   ,2024-10-12 07:06:00                   ,2024-10-12 08:04:00                   ,2024-10-12 07:16:00                   ,                                      ,2024-10-12 07:26:00                   ,2024-10-12 08:24:00                   ,2024-10-12 07:36:00                   ,2024-10-12 08:34:00                   ,2024-10-12 07:56:00                   ,                                      ,                                      ,2024-10-12 08:54:00                   ,2024-10-12 08:11:00                   ,2024-10-12 09:14:00                   ,2024-10-12 08:31:00                   ,2024-10-12 09:34:00                   ,                                      ,2024-10-12 09:44:00                   ,2024-10-12 08:46:00                   ,2024-10-12 10:04:00                   ,2024-10-12 09:01:00                   ,2024-10-12 10:34:00                   ,2024-10-12 09:21:00                   ,2024-10-12 11:04:00                   ,2024-10-12 09:51:00                   ,2024-10-12 11:24:00                   ,2024-10-12 10:11:00                   ,2024-10-12 11:44:00                   ,2024-10-12 10:41:00                   ,2024-10-12 12:14:00                   ,2024-10-12 11:11:00                   ,2024-10-12 12:44:00                   ,2024-10-12 11:41:00                   ,2024-10-12 13:04:00                   ,2024-10-12 12:07:00                   ,2024-10-12 13:24:00                   ,2024-10-12 12:21:00                   ,2024-10-12 13:54:00                   ,2024-10-12 12:51:00                   ,2024-10-12 14:24:00                   ,2024-10-12 13:11:00                   ,2024-10-12 14:54:00                   ,2024-10-12 13:41:00                   ,2024-10-12 15:24:00                   ,2024-10-12 14:11:00                   ,2024-10-12 15:44:00                   ,2024-10-12 14:41:00                   ,2024-10-12 16:04:00                   ,2024-10-12 15:01:00                   ,2024-10-12 16:34:00                   ,2024-10-12 15:31:00                   ,2024-10-12 16:54:00                   ,2024-10-12 15:51:00                   ,2024-10-12 17:14:00                   ,2024-10-12 16:11:00                   ,2024-10-12 17:44:00                   ,2024-10-12 16:41:00                   ,2024-10-12 18:04:00                   ,2024-10-12 17:01:00                   ,2024-10-12 18:24:00                   ,2024-10-12 17:21:00                   ,2024-10-12 18:39:00                   ,2024-10-12 17:36:00                   ,2024-10-12 18:54:00                   ,2024-10-12 17:51:00                   ,2024-10-12 19:14:00                   ,2024-10-12 18:11:00                   ,2024-10-12 19:34:00                   ,2024-10-12 18:31:00                   ,2024-10-12 19:44:00                   ,2024-10-12 18:46:00                   ,2024-10-12 20:04:00                   ,2024-10-12 19:01:00                   ,2024-10-12 20:26:00                   ,2024-10-12 19:31:00                   ,2024-10-12 20:56:00                   ,2024-10-12 20:01:00                   ,2024-10-12 21:56:00                   ,2024-10-12 21:01:00                   ,2024-10-12 22:56:00                   ,2024-10-12 22:01:00                   ,2024-10-12 23:56:00                   ,2024-10-12 23:01:00                   ,2529572.0     ,1153213.0     , 377.8306498948967
"Lonay, église"              ,    8592250 ,ARRIVAL_REAL   ,2024-10-12 06:40:25                   ,2024-10-12 05:41:26                   ,2024-10-12 07:08:22                   ,2024-10-12 06:10:51                   ,2024-10-12 07:32:15                   ,2024-10-12 06:31:20                   ,2024-10-12 07:22:49                   ,2024-10-12 06:51:13                   ,2024-10-12 07:51:59                   ,2024-10-12 07:06:12                   ,2024-10-12 08:05:26                   ,2024-10-12 07:16:08                   ,                                      ,                                      ,2024-10-12 08:37:47                   ,                                      ,2024-10-12 08:37:58                   ,2024-10-12 07:56:51                   ,                                      ,                                      ,2024-10-12 08:55:11                   ,2024-10-12 08:12:10                   ,2024-10-12 09:14:47                   ,2024-10-12 08:42:00                   ,2024-10-12 09:36:52                   ,                                      ,2024-10-12 09:44:14                   ,                                      ,2024-10-12 10:05:24                   ,                                      ,2024-10-12 10:35:41                   ,                                      ,2024-10-12 11:06:09                   ,                                      ,                                      ,                                      ,2024-10-12 11:45:00                   ,                                      ,2024-10-12 12:16:00                   ,2024-10-12 11:11:16                   ,2024-10-12 12:44:41                   ,                                      ,2024-10-12 13:05:30                   ,                                      ,2024-10-12 13:25:00                   ,                                      ,2024-10-12 13:55:11                   ,2024-10-12 12:52:21                   ,2024-10-12 14:25:05                   ,                                      ,2024-10-12 14:56:19                   ,2024-10-12 13:41:24                   ,2024-10-12 15:24:58                   ,2024-10-12 14:12:00                   ,2024-10-12 15:46:07                   ,                                      ,2024-10-12 16:04:36                   ,2024-10-12 15:01:32                   ,2024-10-12 16:36:58                   ,2024-10-12 15:31:43                   ,2024-10-12 16:56:05                   ,                                      ,2024-10-12 17:14:49                   ,2024-10-12 16:11:42                   ,2024-10-12 17:46:12                   ,                                      ,2024-10-12 18:05:37                   ,                                      ,2024-10-12 18:24:49                   ,2024-10-12 17:21:32                   ,2024-10-12 18:42:31                   ,                                      ,2024-10-12 18:58:12                   ,                                      ,2024-10-12 19:14:19                   ,                                      ,2024-10-12 19:34:20                   ,2024-10-12 18:31:19                   ,                                      ,                                      ,2024-10-12 20:03:35                   ,2024-10-12 19:04:12                   ,2024-10-12 20:26:34                   ,2024-10-12 19:31:13                   ,2024-10-12 20:57:18                   ,                                      ,2024-10-12 21:56:30                   ,                                      ,2024-10-12 22:56:33                   ,                                      ,2024-10-12 23:58:12                   ,                                      ,2529572.0     ,1153213.0     , 377.8306498948967
"Lonay, église"              ,    8592250 ,DEPARTURE      ,2024-10-12 06:38:00                   ,2024-10-12 05:41:00                   ,2024-10-12 07:08:00                   ,2024-10-12 06:11:00                   ,2024-10-12 07:29:00                   ,2024-10-12 06:31:00                   ,2024-10-12 07:22:00                   ,2024-10-12 06:51:00                   ,2024-10-12 07:49:00                   ,2024-10-12 07:06:00                   ,2024-10-12 08:04:00                   ,2024-10-12 07:16:00                   ,                                      ,2024-10-12 07:26:00                   ,2024-10-12 08:24:00                   ,2024-10-12 07:36:00                   ,2024-10-12 08:34:00                   ,2024-10-12 07:56:00                   ,                                      ,                                      ,2024-10-12 08:54:00                   ,2024-10-12 08:11:00                   ,2024-10-12 09:14:00                   ,2024-10-12 08:31:00                   ,2024-10-12 09:34:00                   ,                                      ,2024-10-12 09:44:00                   ,2024-10-12 08:46:00                   ,2024-10-12 10:04:00                   ,2024-10-12 09:01:00                   ,2024-10-12 10:34:00                   ,2024-10-12 09:21:00                   ,2024-10-12 11:04:00                   ,2024-10-12 09:51:00                   ,2024-10-12 11:24:00                   ,2024-10-12 10:11:00                   ,2024-10-12 11:44:00                   ,2024-10-12 10:41:00                   ,2024-10-12 12:14:00                   ,2024-10-12 11:11:00                   ,2024-10-12 12:44:00                   ,2024-10-12 11:41:00                   ,2024-10-12 13:04:00                   ,2024-10-12 12:07:00                   ,2024-10-12 13:24:00                   ,2024-10-12 12:21:00                   ,2024-10-12 13:54:00                   ,2024-10-12 12:51:00                   ,2024-10-12 14:24:00                   ,2024-10-12 13:11:00                   ,2024-10-12 14:54:00                   ,2024-10-12 13:41:00                   ,2024-10-12 15:24:00                   ,2024-10-12 14:11:00                   ,2024-10-12 15:44:00                   ,2024-10-12 14:41:00                   ,2024-10-12 16:04:00                   ,2024-10-12 15:01:00                   ,2024-10-12 16:34:00                   ,2024-10-12 15:31:00                   ,2024-10-12 16:54:00                   ,2024-10-12 15:51:00                   ,2024-10-12 17:14:00                   ,2024-10-12 16:11:00                   ,2024-10-12 17:44:00                   ,2024-10-12 16:41:00                   ,2024-10-12 18:04:00                   ,2024-10-12 17:01:00                   ,2024-10-12 18:24:00                   ,2024-10-12 17:21:00                   ,2024-10-12 18:39:00                   ,2024-10-12 17:36:00                   ,2024-10-12 18:54:00                   ,2024-10-12 17:51:00                   ,2024-10-12 19:14:00                   ,2024-10-12 18:11:00                   ,2024-10-12 19:34:00                   ,2024-10-12 18:31:00                   ,2024-10-12 19:44:00                   ,2024-10-12 18:46:00                   ,2024-10-12 20:04:00                   ,2024-10-12 19:01:00                   ,2024-10-12 20:26:00                   ,2024-10-12 19:31:00                   ,2024-10-12 20:56:00                   ,2024-10-12 20:01:00                   ,2024-10-12 21:56:00                   ,2024-10-12 21:01:00                   ,2024-10-12 22:56:00                   ,2024-10-12 22:01:00                   ,2024-10-12 23:56:00                   ,2024-10-12 23:01:00                   ,2529572.0     ,1153213.0     , 377.8306498948967
"Lonay, église"              ,    8592250 ,DEPARTURE_REAL ,2024-10-12 06:40:30                   ,2024-10-12 05:41:31                   ,2024-10-12 07:08:27                   ,2024-10-12 06:10:56                   ,2024-10-12 07:32:20                   ,2024-10-12 06:31:25                   ,2024-10-12 07:22:49                   ,2024-10-12 06:51:18                   ,2024-10-12 07:52:04                   ,2024-10-12 07:06:17                   ,2024-10-12 08:05:26                   ,2024-10-12 07:16:08                   ,                                      ,                                      ,2024-10-12 08:37:52                   ,                                      ,2024-10-12 08:38:03                   ,2024-10-12 07:56:56                   ,                                      ,                                      ,2024-10-12 08:55:11                   ,2024-10-12 08:12:15                   ,2024-10-12 09:14:52                   ,2024-10-12 08:42:05                   ,2024-10-12 09:36:57                   ,                                      ,2024-10-12 09:44:19                   ,                                      ,2024-10-12 10:05:24                   ,                                      ,2024-10-12 10:35:46                   ,                                      ,2024-10-12 11:06:14                   ,                                      ,2024-10-12 11:24:49                   ,                                      ,2024-10-12 11:45:00                   ,                                      ,2024-10-12 12:16:00                   ,2024-10-12 11:11:21                   ,2024-10-12 12:44:53                   ,                                      ,2024-10-12 13:05:30                   ,                                      ,2024-10-12 13:25:00                   ,                                      ,2024-10-12 13:55:16                   ,2024-10-12 12:52:33                   ,2024-10-12 14:25:10                   ,                                      ,2024-10-12 14:56:19                   ,2024-10-12 13:41:37                   ,2024-10-12 15:25:03                   ,2024-10-12 14:12:05                   ,2024-10-12 15:46:12                   ,                                      ,2024-10-12 16:04:49                   ,2024-10-12 15:01:37                   ,2024-10-12 16:37:38                   ,2024-10-12 15:31:48                   ,2024-10-12 16:56:05                   ,                                      ,2024-10-12 17:14:49                   ,2024-10-12 16:11:47                   ,2024-10-12 17:46:12                   ,                                      ,2024-10-12 18:05:37                   ,                                      ,2024-10-12 18:24:49                   ,2024-10-12 17:22:07                   ,2024-10-12 18:42:31                   ,                                      ,2024-10-12 18:58:17                   ,                                      ,2024-10-12 19:14:24                   ,                                      ,2024-10-12 19:34:36                   ,2024-10-12 18:31:50                   ,2024-10-12 19:44:49                   ,                                      ,2024-10-12 20:04:09                   ,2024-10-12 19:04:17                   ,2024-10-12 20:26:35                   ,2024-10-12 19:31:18                   ,2024-10-12 20:57:23                   ,                                      ,2024-10-12 21:56:35                   ,                                      ,2024-10-12 22:56:36                   ,                                      ,2024-10-12 23:58:17                   ,                                      ,2529572.0     ,1153213.0     , 377.8306498948967
"Lonay, collège nord"        ,    8595219 ,ARRIVAL        ,                                      ,2024-10-12 05:41:00                   ,                                      ,2024-10-12 06:11:00                   ,                                      ,2024-10-12 06:31:00                   ,                                      ,2024-10-12 06:51:00                   ,                                      ,2024-10-12 07:06:00                   ,                                      ,2024-10-12 07:16:00                   ,                                      ,2024-10-12 07:26:00                   ,                                      ,2024-10-12 07:36:00                   ,                                      ,2024-10-12 07:56:00                   ,                                      ,                                      ,                                      ,2024-10-12 08:11:00                   ,                                      ,2024-10-12 08:31:00                   ,                                      ,                                      ,                                      ,2024-10-12 08:46:00                   ,                                      ,2024-10-12 09:01:00                   ,                                      ,2024-10-12 09:21:00                   ,                                      ,2024-10-12 09:51:00                   ,                                      ,2024-10-12 10:11:00                   ,                                      ,2024-10-12 10:41:00                   ,                                      ,2024-10-12 11:11:00                   ,                                      ,2024-10-12 11:41:00                   ,                                      ,2024-10-12 12:07:00                   ,                                      ,2024-10-12 12:21:00                   ,                                      ,2024-10-12 12:51:00                   ,                                      ,2024-10-12 13:11:00                   ,                                      ,2024-10-12 13:41:00                   ,                                      ,2024-10-12 14:11:00                   ,                                      ,2024-10-12 14:41:00                   ,                                      ,2024-10-12 15:01:00                   ,                                      ,2024-10-12 15:31:00                   ,                                      ,2024-10-12 15:51:00                   ,                                      ,2024-10-12 16:11:00                   ,                                      ,2024-10-12 16:41:00                   ,                                      ,2024-10-12 17:01:00                   ,                                      ,2024-10-12 17:21:00                   ,                                      ,2024-10-12 17:36:00                   ,                                      ,2024-10-12 17:51:00                   ,                                      ,2024-10-12 18:11:00                   ,                                      ,2024-10-12 18:31:00                   ,                                      ,2024-10-12 18:46:00                   ,                                      ,2024-10-12 19:01:00                   ,                                      ,2024-10-12 19:31:00                   ,                                      ,2024-10-12 20:01:00                   ,                                      ,2024-10-12 21:01:00                   ,                                      ,2024-10-12 22:01:00                   ,                                      ,2024-10-12 23:01:00                   ,2529472.0     ,1153016.0     , 598.7582398423724
"Lonay, collège nord"        ,    8595219 ,ARRIVAL_REAL   ,                                      ,2024-10-12 05:41:59                   ,                                      ,2024-10-12 06:11:24                   ,                                      ,2024-10-12 06:32:03                   ,                                      ,2024-10-12 06:52:21                   ,                                      ,2024-10-12 07:06:37                   ,                                      ,2024-10-12 07:16:33                   ,                                      ,                                      ,                                      ,                                      ,                                      ,2024-10-12 07:57:33                   ,                                      ,                                      ,                                      ,2024-10-12 08:12:33                   ,                                      ,2024-10-12 08:42:23                   ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,2024-10-12 11:11:39                   ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,2024-10-12 12:53:06                   ,                                      ,                                      ,                                      ,2024-10-12 13:41:55                   ,                                      ,2024-10-12 14:13:05                   ,                                      ,                                      ,                                      ,2024-10-12 15:02:25                   ,                                      ,2024-10-12 15:32:14                   ,                                      ,                                      ,                                      ,2024-10-12 16:12:27                   ,                                      ,                                      ,                                      ,2024-10-12 17:01:33                   ,                                      ,2024-10-12 17:22:20                   ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,2024-10-12 18:32:10                   ,                                      ,                                      ,                                      ,2024-10-12 19:04:58                   ,                                      ,2024-10-12 19:31:57                   ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,                                      ,2529472.0     ,1153016.0     , 598.7582398423724
