           STOP_NAME            ; STOP_NUMBER ;   POSITION_X  ;   POSITION_Y  ;      DISTANCE      ; Route_A ; Route_B ; Route_C 
          Lausanne, Bourdonnette;      8501210;      2534868.0;      1152794.0;                 0.0;      Yes;      Yes;         
   Ecublens VD, allée de Dorigny;      8591950;      2534284.0;      1152491.0;   657.9247677356432;      Yes;      Yes;         
        Ecublens VD, Blévallaire;      8596053;  2533903.21836;  1152393.15561;  1051.0763695582637;      Yes;      Yes;      Yes
          Ecublens VD, Champagne;      8591945;  2533572.50547;  1152258.17793;    1408.27377955739;      Yes;      Yes;      Yes
  Ecublens VD, Campus des médias;      8511813;  2533321.79839;  1152163.77392;  1676.1658419001094;      Yes;      Yes;      Yes
     St-Sulpice VD, Parc Scient.;      8595223;      2532863.0;      1152073.0;  2143.8579064242867;      Yes;      Yes;      Yes
       St-Sulpice VD, Pré-Fleuri;      8510528;  2532618.27626;  1151924.21398;   2430.261448069525;      Yes;      Yes;      Yes
   St-Sulpice VD, Ochettaz-Ormet;      8510527;  2532295.71238;  1151769.50184;  2788.0089888635766;      Yes;      Yes;      Yes
     St-Sulpice VD, En Champagny;      8510526;  2531784.04427;  1151773.36619;   3299.691691318783;      Yes;      Yes;      Yes
         St-Sulpice VD, Castolin;      8510525;  2531524.51949;  1151737.00211;  3561.7517183132513;      Yes;      Yes;      Yes
             Denges, Pierraz-Mur;      8592240;      2530776.0;      1151938.0;   4336.788219836955;      Yes;      Yes;      Yes
            Préverenges, village;      8579230;      2529987.0;      1152190.0;   5165.054481373667;      Yes;      Yes;      Yes
             Préverenges, Taudaz;      8592279;      2529331.0;      1152250.0;    5823.79266912355;      Yes;      Yes;      Yes
                    Morges, Bief;      8592259;      2528912.0;      1152181.0;   6248.436048914169;      Yes;      Yes;      Yes
             Morges, St-Jean sud;      8592272;      2528655.0;      1152144.0;   6508.085813019588;      Yes;      Yes;      Yes
              Morges, Blancherie;      8592260;      2528220.0;      1151923.0;   6996.005888441783;      Yes;      Yes;      Yes
                  Morges, temple;      8592278;      2527966.0;      1151460.0;   7432.729554250209;      Yes;         ;         
                Morges, St-Louis;      8592277;      2527951.0;      1151533.0;   7469.779040910345;         ;      Yes;      Yes
                  Morges, Casino;      8592261;      2527894.0;      1151272.0;   7599.213260253431;      Yes;         ;         
            Morges, Charpentiers;      8592262;      2527706.0;      1151398.0;   7749.511055524333;         ;      Yes;      Yes
                    Morges, gare;      8570084;  2527527.52285;  1151442.27829;   7933.398684356481;      Yes;      Yes;      Yes
              Morges, La Prairie;      8592266;  2527004.15254;   1151243.2246;   8493.344086062543;      Yes;      Yes;      Yes
               Morges, Eglantine;      8592273;      2526774.0;      1151568.0;   8891.400931391994;      Yes;      Yes;      Yes
                  Morges, Vogéaz;      8570081;      2526611.0;      1151500.0;    9068.01633275892;      Yes;      Yes;      Yes
               Morges, Prélionne;      8592270;      2526400.0;      1151338.0;   9334.033249514227;      Yes;      Yes;      Yes
          Tolochenaz, La Plantaz;      8570082;      2526220.0;      1151214.0;   9552.610466991255;      Yes;      Yes;      Yes
