             JOURNEY_ID            ;  Route  ; Number_of_stops ; Direction ;           Start           ;  Start_time_Planned ;   Start_time_Real   ;            End            ;   End_time_Planned  ;    End_time_Real    
  85:764:5001_705-A-101_0540_BPS124;  Route_B;               23;          R;                Lonay, parc;  2025-06-01 05:40:00;  2025-06-01 05:40:50;  Ecublens VD, EPFL Piccard;  2025-06-01 06:07:00;  2025-06-01 06:07:00
  85:764:5003_705-A-101_0600_BPS124;  Route_B;               23;          R;                Lonay, parc;  2025-06-01 06:00:00;  2025-06-01 06:00:44;  Ecublens VD, EPFL Piccard;  2025-06-01 06:27:00;  2025-06-01 06:27:00
  85:764:5000_705-R-201_0618_BPS124;  Route_A;               22;          O;  Ecublens VD, EPFL Piccard;  2025-06-01 06:18:00;  2025-06-01 06:18:41;                Lonay, parc;  2025-06-01 06:44:00;  2025-06-01 06:44:13
  85:764:5005_705-A-101_0620_BPS124;  Route_B;               23;          R;                Lonay, parc;  2025-06-01 06:20:00;  2025-06-01 06:21:15;  Ecublens VD, EPFL Piccard;  2025-06-01 06:47:00;  2025-06-01 06:48:11
  85:764:5007_705-A-101_0635_BPS124;  Route_B;               23;          R;                Lonay, parc;  2025-06-01 06:35:00;  2025-06-01 06:35:43;  Ecublens VD, EPFL Piccard;  2025-06-01 07:02:00;  2025-06-01 07:04:54
  85:764:5002_705-R-201_0638_BPS124;  Route_A;               22;          O;  Ecublens VD, EPFL Piccard;  2025-06-01 06:38:00;  2025-06-01 06:38:29;                Lonay, parc;  2025-06-01 07:04:00;  2025-06-01 07:05:49
  85:764:5009_705-A-101_0650_BPS124;  Route_B;               23;          R;                Lonay, parc;  2025-06-01 06:50:00;  2025-06-01 06:50:11;  Ecublens VD, EPFL Piccard;  2025-06-01 07:17:00;  2025-06-01 07:18:22
  85:764:5004_705-R-201_0658_BPS124;  Route_A;               22;          O;  Ecublens VD, EPFL Piccard;  2025-06-01 06:58:00;  2025-06-01 06:58:30;                Lonay, parc;  2025-06-01 07:26:00;  2025-06-01 07:29:02
  85:764:5011_705-A-101_0700_BPS124;  Route_B;               23;          R;                Lonay, parc;  2025-06-01 07:00:00;  2025-06-01 07:00:43;  Ecublens VD, EPFL Piccard;  2025-06-01 07:29:00;  2025-06-01 07:29:52
  85:764:5006_705-R-203_0713_BPS124;  Route_C;               10;          O;  Ecublens VD, EPFL Piccard;  2025-06-01 07:13:00;  2025-06-01 07:12:45;          Echandens, centre;  2025-06-01 07:25:00;  2025-06-01 07:25:00
  85:764:5013_705-A-101_0720_BPS124;  Route_B;               23;          R;                Lonay, parc;  2025-06-01 07:20:00;  2025-06-01 07:20:07;  Ecublens VD, EPFL Piccard;  2025-06-01 07:49:00;  2025-06-01 07:51:41
  85:764:5008_705-R-201_0723_BPS124;  Route_A;               22;          O;  Ecublens VD, EPFL Piccard;  2025-06-01 07:23:00;  2025-06-01 07:24:38;                Lonay, parc;  2025-06-01 07:51:00;  2025-06-01 07:50:28
  85:764:5015_705-A-102_0726_BPS124;  Route_D;               11;          R;          Echandens, centre;  2025-06-01 07:26:00;  2025-06-01 07:25:54;  Ecublens VD, EPFL Piccard;  2025-06-01 07:39:00;  2025-06-01 07:39:30
