number;designationOfficial;lv95East;lv95North
8500100;Tavannes;2582049.837;1229906.622
8500123;Glovelier;2582668.271;1242730.974
8500105;Moutier;2595643.408;1236643.652
8500109;Delémont;2593309.758;1245689.284
8500159;Grenchen Nord;2596285.828;1226751.247
8500162;Tramelan-Dessous;2575317.25214;1230224.28509
8500165;Le Pied-d'Or;2571036.0499;1230201.62165
8500164;Tramelan-Chalet;2573769.8863;1230347.60256
8500167;Les Breuleux-Eglise;2566955.55612;1229211.54378
8500169;Muriaux;2565673.8593;1232688.6013
8500175;Le Creux-des-Biches;2562270.319;1228178.402
8500174;Le Noirmont;2563481.80421;1230371.56323
8500191;Saignelégier;2566358.51867;1233845.33472
8500171;Les Reussilles;2573075.63147;1230440.25058
8500190;Les Emibois;2565636.67022;1231319.0536
8500177;Les Bois;2559638.027;1225242.6
8500176;Le Boéchet;2560858.086;1227162.819
8500170;Tramelan;2574677.84969;1230264.96931
8500192;Le Bémont JU;2567869.15325;1234789.98206
8500179;La Cibourg;2557887.667;1219164.875
8500195;La Combe;2574344.86526;1237104.37643
8500173;Les Breuleux;2567190.952;1228953.78923
8500178;La Ferrière;2558692.27555;1221446.2333
8500194;Pré-Petitjean;2571233.12499;1236309.68464
8500181;La Chaux-d'Abel;2559057.76153;1222567.85194
8500172;La Chaux-des-Breuleux;2568702.04569;1230034.41919
8500196;Bollement;2576192.90089;1238496.89866
8500180;La Large-Journée;2558896.01283;1223510.92026
8500199;Combe-Tabeillon;2578771.23123;1240336.6342
8500184;La Chaux-de-Fonds-Est;2554327.08477;1217109.3134
8500202;Grenchen Süd;2596934.48;1226425.843
8500212;Oensingen;2620520.218;1237162.272
8500207;Solothurn;2607884.418;1228144.25
8500010;Basel SBB;2611362.891;1266309.826
8500218;Olten;2635441.909;1244670.532
8500090;Basel Bad Bf;2612664.855;1268524.66
8501121;Pully;2540199.475;1151366.456
8501120;Lausanne;2537874.991;1152042.412
8501123;Villette VD;2543860.2447;1149608.1374
8501122;Lutry;2542581.879;1150549.814
8501125;Epesses;2546755.241;1148904.103
8501124;Cully;2545371.351;1148831.252
8501127;St-Saphorin;2550722.284;1147009.849
8501165;Jouxtens-Mézery;2535809.686;1155571.386
8501164;Cery-Fleur-de-Lys;2536059.857;1155150.711
8501126;Rivaz;2549768.468;1147197.172
8501166;Romanel-sur-Lausanne;2535939.948;1157140.855
8501169;Cheseaux;2536179.726;1159570.747
8501168;Vernand-Camarès;2536074.95;1158081.044
8501170;Bel-Air LEB;2536140.065;1158940.823
8501173;Echallens;2538279.982;1165681.027
8501172;Assens;2537329.841;1162760.382
8501175;Sugnens;2540840.264;1167360.593
8501174;Sur Roche;2538769.526;1165780.51
8501177;Bercher;2543780.14;1171560.15
8501201;La Tour-de-Peilz;2555508.239;1145067.011
8501176;Fey;2542339.891;1169510.492
8501200;Vevey;2554278.705;1145915.435
8501178;Grésaley;2539021.53502;1166089.52407
8501203;Clarens;2558283.195;1143633.665
8501181;Lausanne-Flon;2537975.335;1152486.968
8501202;Burier;2556853.521;1144216.064
8501207;Lausanne, Montelly;2536689.0;1152614.0
8501209;Lausanne, Malley;2535847.94901;1152880.22349
8501208;Lausanne, Provence;2536314.0;1152778.3
8501211;Chavannes-R., UNIL-Chamberonne;2534478.0;1152904.0
8501217;Chavannes-R., Crochy;2533358.0;1153861.0
8501210;Lausanne, Bourdonnette;2534868.0;1152794.0
8501216;Ecublens VD, Cerisaie;2533089.0;1153312.0
8501218;Ecublens VD, Epenex;2533641.0;1154414.0
8501213;Ecublens VD, UNIL-Sorge;2533622.0;1152717.0
8501212;Chavannes-R., UNIL-Mouline;2534033.0;1152995.0
8501160;Lausanne-Chauderon;2537649.725;1152760.485
8501215;Ecublens VD, Bassenges;2532935.0;1152962.0
8501163;Prilly-Chasseur;2536239.649;1154600.723
8501162;Union-Prilly;2536419.475;1154050.74
8501229;Monthey-En Place;2562007.0;1123229.0
8501030;Nyon;2507482.434;1137716.393
8501033;Rolle;2515330.72;1146309.079
8501035;Allaman;2520211.529;1147688.508
8501023;Coppet;2503660.649;1130324.449
8501037;Morges;2527498.454;1151525.985
8501022;Versoix;2501891.6726;1126165.2135
8501008;Genève;2499968.949;1118468.129
8501036;St-Prex;2524537.165;1148362.364
8501026;Genève-Aéroport;2497660.046;1120988.967
8501048;Lonay-Préverenges;2529476.908;1152840.352
8501031;Gland;2510093.198;1141631.179
8501042;Etoy;2522317.772;1147596.371
8501053;La Vuarpillière;2506067.917;1139350.479
8501064;Bassins;2506563.428;1146196.927
8501055;Les Pralies;2499215.071;1145271.523
8501045;Denges-Echandens;2531092.8129;1153487.6944
8501054;La Gottaz;2526762.492;1151028.933
8501067;Givrins;2505195.198;1142691.732
8501057;La Chèvrerie-Monterêt;2503561.59749;1144900.12715
8501066;Genolier;2505926.663;1143502.982
8501056;Sus-Châtel;2505261.248;1143762.457
8501069;L'Asse;2505650.018;1139679.428
8501059;Les Plantaz;2506960.475;1138473.885
8501082;Chardonney-Château;2522819.347;1154207.83
8501068;Trélex;2505260.973;1141008.561
8501061;La Givrine;2498036.119;1145671.618
8501047;Morges-St-Jean;2528587.964;1152301.624
8501085;Ballens-Froideville;2519594.481;1155913.303
8501060;La Cure;2495147.434;1146894.22
8501063;Arzier;2505741.251;1145995.174
8501062;St-Cergue;2501783.253;1144943.335
8501089;Villars-Bozon;2520614.123;1162659.214
8501065;Le Muids;2506024.078;1145508.235
8501091;Vufflens-le-Château;2525921.766;1153069.269
8501090;Prélionne;2526444.879;1151357.438
8501093;Yens;2522396.231;1152574.564
8501092;Bussy-Chardonney;2523878.301;1153313.819
8501095;Ballens;2518389.035;1156218.616
8501094;Apples;2522153.799;1156015.225
8501103;Vallorbe;2518333.128;1174023.894
8501116;Vufflens-la-Ville;2530406.445;1158733.846
8501096;Bière;2515486.377;1154611.115
8501105;Bretonnières;2526301.137;1174215.047
8501081;Chigny;2525838.357;1152093.079
8501099;L'Isle;2521299.685;1163407.289
8501080;Le Marais;2525112.939;1153375.017
8501104;Le Day;2520520.2158;1174842.2174
8501118;Renens VD;2534050.788;1154334.469
8501083;Reverolle;2522705.572;1154846.323
8501107;Arnex;2529656.353;1172287.207
8501106;Croy-Romainmôtier;2526534.837;1172172.885
8501108;La Sarraz;2529486.726;1167920.862
8501111;Essert-Pittet;2534414.919;1175523.475
8501110;Ependes VD;2536501.324;1177584.684
8501113;Bavois;2532735.272;1171095.884
8501112;Chavornay;2533438.279;1173578.838
8501115;Cossonay-Penthalaz;2529902.52;1162048.799
8501114;Eclépens;2532168.058;1167712.675
8501117;Bussigny;2531984.566;1155530.145
8501400;Aigle;2563416.288;1129606.2
8501403;St-Maurice;2566308.638;1118418.611
8501402;Bex;2566224.453;1122320.503
8501448;Champéry;2556200.933;1113878.919
8501453;La Cour;2557389.096;1116014.866
8501461;Ollon VD;2565669.407;1127366.777
8501460;Croix-du-Nant;2560569.422;1121043.63
8501463;Monthey-Ville;2562126.009;1122637.81
8501452;St-Triphon-Gare;2564163.839;1125306.717
8501462;Collombey-Village;2562017.9154;1124330.51061
8501465;Val-d'Illiez;2557901.225;1117052.923
8501454;Fayot;2558393.183;1117988.886
8501464;Troistorrents;2559663.142;1119784.527
8501457;Monthey-Hôpital;2561603.928;1122394.317
8501495;Villars-sur-Ollon;2570533.426;1127277.67
8501466;Champéry-Village;2556464.864;1114602.944
8501456;Chemex;2560772.821;1121481.417
8501494;Arveyes;2571028.514;1126718.325
8501458;Villy;2565763.307;1126262.355
8501487;Bex-Place-du-Marché;2567285.253;1122253.006
8501488;Bévieux;2568558.522;1123144.463
8501491;Les Posses;2570108.132;1124490.594
8501490;Fontannaz-Seulaz;2570488.551;1124091.855
8501493;Gryon Barboleuse;2571625.139;1125770.571
8501500;Martigny;2572200.17;1106100.379
8501492;Gryon;2570789.356;1124755.166
8501263;Château-d'Hauteville;2555961.155;1146510.766
8501262;Hauteville;2555621.385;1146267.582
8501265;La Chiésaz;2557255.428;1146617.039
8501264;St-Légier-Village;2556829.587;1146787.946
8501266;Château-de-Blonay;2557993.409;1146482.882
8501281;Blonay;2558313.187;1146184.949
8501280;St-Légier-Gare;2556472.819;1146736.046
8501299;Penthaz, village;2531068.0;1161308.0
8501283;Tusinge;2558343.285;1147091.871
8501282;Prélaz-sur-Blonay;2558468.447;1146531.83
8501301;Territet;2560340.414;1141801.408
8501285;Fayaux;2559214.36;1146655.678
8501284;Les Chevalleyres;2558488.238;1147284.301
8501300;Montreux;2559404.614;1142864.052
8501287;Lally;2559712.798;1147678.395
8501286;Ondallaz-L'Alliaz;2559702.914;1147005.896
8501303;Villeneuve VD;2560650.295;1138685.564
8501302;Veytaux-Chillon;2560730.224;1140824.982
8501288;Les Pléiades;2559401.83;1148141.834
8501304;Roche VD;2560625.287;1134275.142
8501636;Eyholz;2636805.29;1127375.01
8501664;Geschinen;2664757.823;1149273.967
8501667;Gluringen;2661089.945;1146026.047
8501666;Reckingen VS;2661850.445;1146638.905
8501661;Oberwald;2669378.389;1153683.144
8501669;Blitzingen;2658886.618;1143990.001
8501668;Biel (Goms);2659986.361;1145156.084
8501685;St. Niklaus VS;2628065.70417;1114050.54298
8501663;Ulrichen;2666792.325;1150781.977
8501662;Obergesteln;2668110.79708;1151716.11108
8501671;Fürgangen-Bellwald Talstation;2654874.061;1140309.416
8501684;Kalpetran;2630738.305;1118146.373
8501665;Münster VS;2663569.552;1148561.802
8501670;Niederwald;2657762.936;1142941.489
8501687;Randa;2626510.838;1105438.03
8501673;Lax;2652193.916;1137518.79
8501686;Herbriggen;2627281.375;1109022.929
8501672;Fiesch;2653486.0;1139673.0
8501689;Zermatt;2623943.7346;1096986.3196
8501675;Bettmeralp Talstation;2649083.006;1135730.583
8501688;Täsch;2625988.363;1101825.609
8501674;Grengiols;2650245.935;1136190.744
8501691;Riffelalp;2624456.24;1094864.677
8501677;Bitsch;2644549.165;1131793.372
8501690;Zermatt GGB;2624008.329;1096980.426
8501676;Mörel;2646835.265;1134050.862
8501693;Rotenboden;2625319.71;1092597.139
8501727;La Clairière;2571436.173;1126392.885
8501679;Findelbach;2624028.781;1095393.662
8501726;Corbier;2562442.347;1124645.741
8501692;Riffelberg;2624519.236;1093536.641
8501729;Fiesch Feriendorf;2653231.835;1138674.725
8501694;Gornergrat;2626623.933;1092474.306
8501683;Stalden-Saas;2633335.199;1120150.757
8501506;Sion;2593870.441;1119570.816
8501509;Sierre/Siders;2607257.669;1126749.677
8501605;Visp;2634122.601;1127053.424
8501609;Brig;2642319.282;1129928.136
8501601;Leuk;2615891.2932;1128929.1701
8502001;Zofingen;2638163.572;1237584.82
8502007;Sursee;2649981.241;1224635.637
8502204;Zug;2681601.238;1225309.019
8502113;Aarau;2646255.56;1249128.422
8502119;Lenzburg;2655249.091;1249187.66
8502476;Vevey Vignerons;2555004.0;1146586.0
8503000;Zürich HB;2683189.561;1248065.978
8503006;Zürich Oerlikon;2683433.901;1251778.101
8503016;Zürich Flughafen;2684750.178;1256117.357
8503424;Schaffhausen;2689636.089;1283755.982
8504016;Palézieux-Village;2553240.909;1156385.667
8504000;Pully-Nord;2540090.014;1151785.309
8504003;Bossière;2543256.866;1151206.173
8504007;Moreillon;2549880.843;1150997.152
8504021;Vauderens;2554917.525;1163525.7
8504020;Oron;2553885.158;1158096.289
8504023;Romont FR;2559702.789;1171501.671
8504011;Grandvaux;2545034.274;1149766.646
8504010;La Conversion;2541648.895;1151592.434
8504025;Chénens;2566515.858;1177652.068
8504024;Villaz-St-Pierre;2563456.273;1174487.164
8504012;Puidoux;2548335.067;1149391.962
8504027;Neyruz FR;2571460.794;1179498.303
8504026;Cottens FR;2569142.85;1177860.472
8504014;Palézieux;2553918.865;1154785.194
8504017;Châtillens;2552225.779;1157885.532
8504028;Rosé;2571236.019;1181343.053
8504030;Villars-sur-Glâne;2575394.82;1182124.48
8504201;Grandson;2539188.578;1184212.433
8504221;Neuchâtel;2561746.781;1205197.457
8504200;Yverdon-les-Bains;2539084.258;1181463.254
8504300;Biel/Bienne;2585151.205;1220231.592
8504291;La Brinaz;2537516.4179;1182914.0028
8504293;Essert-sous-Champvent;2534459.2198;1183047.5285
8504314;La Chaux-de-Fonds;2553490.0687;1216557.0295
8504292;Valeyres-sous-Montagny;2536841.4961;1183185.029
8504295;Baulmes;2530185.0696;1182361.3746
8504316;Le Locle;2547390.022;1212103.713
8504294;Vuiteboeuf;2532453.1614;1184004.4792
8504296;Six-Fontaines;2528217.7436;1180769.9061
8504101;Düdingen;2581018.424;1188910.003
8504100;Fribourg/Freiburg;2578046.796;1183594.722
8504103;Flamatt;2590925.671;1193048.702
8504298;Ste-Croix;2528425.8022;1185793.7655
8504124;Dompierre FR;2565432.791;1189352.435
8504127;Faoug;2572261.5438;1195309.7166
8504126;Avenches;2569686.709;1192686.53
8504128;Murten/Morat;2575372.918;1197189.989
8504164;Vulliens, Praz-Botsard;2549527.0;1162846.0
8504166;Mézières VD, station;2548883.0;1161133.0
8504169;Les Cullayes, village;2547399.0;1158191.0
8504171;Lausanne, En Marin;2542142.0;1156482.0
8504173;Savigny, centre;2545711.0;1154384.0
8504134;Payerne;2561939.492;1185510.189
8504172;Savigny, Claie-aux-Moines;2543655.0;1154636.0
8504177;Le Mont-sur-L., Grand-Mont;2538190.0;1157177.0
8504176;Lausanne, Tunnel;2538300.0;1153000.0
8504121;Lucens;2554386.541;1173125.447
8504163;Vucherens, village;2549741.0;1163931.0
8504120;Moudon;2551319.277;1168734.577
8504162;Syens, Champ-du-Chêne;2549854.0;1166037.0
8504165;Carrouge VD, centre;2549259.0;1161891.0
8504123;Corcelles-Nord;2563507.572;1187236.014
8504141;Henniez;2556546.264;1176136.544
8504122;Granges-Marnand;2558413.081;1178773.963
8504125;Domdidier;2567425.216;1190909.766
8504391;Les Frêtes;2545843.565;1212197.478
8504392;Les Brenets;2544454.826;1213169.795
8504758;Mézières VD, village;2548788.0;1160758.0
8504656;Romanel-sur-Morges, poste;2528866.27296;1156463.60475
8505000;Luzern;2666223.964;1211383.852
8504997;Servion, Zoo-Tropiquarium;2548897.0;1157422.0
8505004;Arth-Goldau;2684404.807;1211487.521
8505067;Rigi Wölfertschen-First;2678866.0;1211212.0
8505066;Rigi Klösterli;2679680.0;1210700.0
8505069;Rigi Kulm;2679517.0;1212102.0
8505068;Rigi Staffel;2678684.0;1211925.0
8505063;Arth-Goldau RB;2684278.0;1211468.0
8505062;Goldau A4;2684247.0;1210878.0
8505065;Fruttli;2681042.0;1210257.0
8505064;Kräbel;2683001.0;1210486.0
8505226;Grindelwald Terminal;2644303.036;1163969.354
8505300;Lugano;2716839.415;1096005.55
8505307;Chiasso;2723771.763;1076869.762
8505165;Andermatt;2688409.468;1165721.705
8505163;Realp;2681590.083;1161371.139
8505164;Hospental;2686726.234;1163939.693
8505213;Bellinzona;2722802.787;1117241.402
8505473;Ponte Brolla;2701502.154;1115758.209
8505495;Corcapolo;2695550.21127;1113785.72338
8505494;Intragna;2697576.115;1114806.471
8505497;Palagnedra;2692086.17482;1112879.90196
8505496;Verdasio;2693499.779;1113358.007
8505499;Camedo;2690562.66027;1112150.62132
8505529;Bussigny, St-Germain;2531518.48656;1155924.57456
8505585;Druogno;2676897.83302;1109554.5631
8505584;Malesco;2681945.75232;1109186.02838
8505589;Folsogno-Dissimo;2686513.344;1109826.00624
8505588;Creggio;2668477.12025;1108515.80143
8505590;Gagnone-Orcesco;2675819.01324;1109041.96589
8505593;Masera;2668410.0;1109320.0
8505594;Prestinone;2680441.86328;1109594.31229
8505597;Trontano;2669209.46954;1108295.68909
8505599;Verigo;2670565.0;1108215.0
8505578;Zornasco;2681319.45712;1109235.04496
8505581;S. Maria Maggiore;2678974.92678;1109953.59074
8505580;Re;2685038.83409;1109017.50694
8505391;Lugano FLP;2716888.411;1095894.132
8505390;Serocca;2713547.192;1096278.853
8505393;Cappella-Agnuzzo;2715118.998;1094611.717
8505392;Magliaso Paese;2712515.345;1093467.769
8505395;Agno;2713290.591;1094874.225
8505394;Bioggio;2713874.291;1096684.135
8505397;Caslano;2711419.639;1092817.16
8505396;Magliaso;2712018.419;1093261.791
8505399;Sorengo;2715908.019;1095419.481
8505398;Ponte Tresa;2710210.089;1091933.421
8505470;Locarno FART;2705335.26193;1114378.8485
8506000;Winterthur;2696831.696;1261857.004
8506105;Weinfelden;2725494.691;1269723.992
