 JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;           Start            ;  Start_time_Planned ;   Start_time_Real   ;            End             ;   End_time_Planned  ;    End_time_Real    
    85:151:1;  Route_B;               23;          R;         Lausanne, Maladière;  2025-07-01 05:10:00;  2025-07-01 05:10:13;       Lausanne, Blécherette;  2025-07-01 05:38:00;  2025-07-01 05:36:52
    85:151:9;  Route_A;               21;          O;       Lausanne, Blécherette;  2025-07-01 05:12:00;  2025-07-01 05:12:56;         Lausanne, Maladière;  2025-07-01 05:40:00;  2025-07-01 05:38:34
   85:151:38;  Route_B;               23;          R;         Lausanne, Maladière;  2025-07-01 05:25:00;  2025-07-01 05:25:24;       Lausanne, Blécherette;  2025-07-01 05:53:00;  2025-07-01 05:52:17
   85:151:44;  Route_A;               21;          O;       Lausanne, Blécherette;  2025-07-01 05:27:00;  2025-07-01 05:27:53;         Lausanne, Maladière;  2025-07-01 05:55:00;  2025-07-01 05:55:39
   85:151:53;  Route_B;               23;          R;         Lausanne, Maladière;  2025-07-01 05:40:00;  2025-07-01 05:40:55;       Lausanne, Blécherette;  2025-07-01 06:09:00;  2025-07-01 06:07:28
    85:151:2;  Route_A;               21;          O;       Lausanne, Blécherette;  2025-07-01 05:42:00;  2025-07-01 05:42:35;         Lausanne, Maladière;  2025-07-01 06:10:00;  2025-07-01 06:08:47
   85:151:10;  Route_B;               23;          R;         Lausanne, Maladière;  2025-07-01 05:55:00;  2025-07-01 05:38:40;       Lausanne, Blécherette;  2025-07-01 06:24:00;  2025-07-01 06:23:15
   85:151:60;  Route_E;               22;          O;           Lausanne, Bel-Air;  2025-07-01 05:57:00;  2025-07-01 06:00:12;  Ecublens VD, EPFL/Colladon;  2025-07-01 06:25:00;  2025-07-01 06:26:49
   85:151:39;  Route_C;               31;          O;       Lausanne, Blécherette;  2025-07-01 05:57:00;  2025-07-01 05:57:24;  Ecublens VD, EPFL/Colladon;  2025-07-01 06:36:00;  2025-07-01 06:34:22
   85:151:88;  Route_C;               31;          O;       Lausanne, Blécherette;  2025-07-01 06:06:00;  2025-07-01 06:06:59;  Ecublens VD, EPFL/Colladon;  2025-07-01 06:46:00;  2025-07-01 06:44:26
   85:151:45;  Route_B;               23;          R;         Lausanne, Maladière;  2025-07-01 06:09:00;  2025-07-01 06:09:00;       Lausanne, Blécherette;  2025-07-01 06:40:00;  2025-07-01 06:40:25
   85:151:54;  Route_C;               31;          O;       Lausanne, Blécherette;  2025-07-01 06:18:00;  2025-07-01 06:19:12;  Ecublens VD, EPFL/Colladon;  2025-07-01 06:59:00;  2025-07-01 06:58:39
    85:151:3;  Route_B;               23;          R;         Lausanne, Maladière;  2025-07-01 06:23:00;  2025-07-01 06:23:22;       Lausanne, Blécherette;  2025-07-01 06:54:00;  2025-07-01 06:54:22
