  index  ; Lausanne, Blécherette ; Lausanne, Bois-Gentil ; Lausanne, Parc Vélodrome ; Lausanne, Stade Olympique ; Lausanne, Vieux-Moulin ; Lausanne, casernes ; Lausanne, Oiseaux ; Lausanne, Druey ; Lausanne, Grande-Borde ; Lausanne, Druey-Collège ; Lausanne, Mémise ; Lausanne, Tunnel ; Lausanne, Valentin ; Lausanne, Riponne-M. Béjart ; Lausanne, Bel-Air ; Lausanne, St-François ; Lausanne, Georgette ; Lausanne, Mirabeau ; Lausanne, gare ; Lausanne, Epinettes ; Lausanne, Dapples ; Lausanne, Cour ; Lausanne, jardin botanique ; Lausanne, Cèdres ; Lausanne, Riant-Cour ; Lausanne, Batelière ; Lausanne, Montoie ; Lausanne, Maladière ; Lausanne, Bois de Vaux ; Lausanne, Sablons ; Lausanne, Bourdonnette ; Ecublens VD, allée de Dorigny ; Ecublens VD, Blévallaire ; Ecublens VD, Champagne ; Ecublens VD, Campus des médias ; St-Sulpice VD, Parc Scient. ; St-Sulpice VD, Pré-Fleuri ; Ecublens VD, EPFL/Colladon ; Lausanne, Boston ; Lausanne, Cécil ; Lausanne, Chauderon ; Lausanne, Pont Chauderon ; Lausanne, Prélaz ; Lausanne, Recordon ; Count ; Direction 
  Route_A;                    Yes;                    Yes;                       Yes;                        Yes;                        ;                 Yes;                   ;              Yes;                        ;                      Yes;                  ;                  ;                 Yes;                          Yes;                Yes;                    Yes;                  Yes;                    ;             Yes;                  Yes;                Yes;                ;                         Yes;               Yes;                   Yes;                  Yes;                Yes;                  Yes;                        ;                   ;                        ;                               ;                          ;                        ;                                ;                             ;                           ;                            ;                  ;                 ;                     ;                          ;                  ;                    ;     81;          O
  Route_B;                    Yes;                    Yes;                       Yes;                        Yes;                        ;                 Yes;                Yes;                 ;                        ;                      Yes;                  ;                  ;                 Yes;                          Yes;                Yes;                    Yes;                  Yes;                 Yes;             Yes;                  Yes;                Yes;             Yes;                         Yes;               Yes;                   Yes;                  Yes;                Yes;                  Yes;                        ;                   ;                        ;                               ;                          ;                        ;                                ;                             ;                           ;                            ;                  ;                 ;                     ;                          ;                  ;                    ;     76;          R
  Route_C;                    Yes;                    Yes;                       Yes;                        Yes;                        ;                 Yes;                   ;              Yes;                        ;                      Yes;                  ;                  ;                 Yes;                          Yes;                Yes;                    Yes;                  Yes;                    ;             Yes;                  Yes;                Yes;                ;                         Yes;               Yes;                   Yes;                  Yes;                Yes;                  Yes;                     Yes;                Yes;                     Yes;                            Yes;                       Yes;                     Yes;                             Yes;                          Yes;                        Yes;                         Yes;                  ;                 ;                     ;                          ;                  ;                    ;     55;          O
  Route_D;                    Yes;                    Yes;                       Yes;                        Yes;                        ;                 Yes;                Yes;                 ;                        ;                      Yes;                  ;                  ;                 Yes;                          Yes;                Yes;                    Yes;                  Yes;                 Yes;             Yes;                  Yes;                Yes;             Yes;                         Yes;               Yes;                   Yes;                  Yes;                Yes;                  Yes;                     Yes;                Yes;                     Yes;                            Yes;                       Yes;                     Yes;                             Yes;                             ;                           ;                         Yes;                  ;                 ;                     ;                          ;                  ;                    ;     55;          R
  Route_E;                       ;                       ;                          ;                           ;                        ;                    ;                   ;                 ;                        ;                         ;                  ;                  ;                    ;                             ;                Yes;                    Yes;                  Yes;                    ;             Yes;                  Yes;                Yes;                ;                         Yes;               Yes;                   Yes;                  Yes;                Yes;                  Yes;                     Yes;                Yes;                     Yes;                            Yes;                       Yes;                     Yes;                             Yes;                          Yes;                        Yes;                         Yes;                  ;                 ;                     ;                          ;                  ;                    ;      6;          O
  Route_H;                    Yes;                    Yes;                       Yes;                        Yes;                        ;                 Yes;                Yes;                 ;                        ;                      Yes;                  ;                  ;                 Yes;                          Yes;                Yes;                    Yes;                  Yes;                 Yes;             Yes;                  Yes;                Yes;             Yes;                         Yes;               Yes;                   Yes;                  Yes;                Yes;                  Yes;                     Yes;                Yes;                        ;                               ;                          ;                        ;                                ;                             ;                           ;                            ;                  ;                 ;                     ;                          ;                  ;                    ;      3;          R
  Route_I;                       ;                       ;                          ;                           ;                        ;                    ;                   ;                 ;                        ;                         ;                  ;                  ;                    ;                             ;                   ;                    Yes;                  Yes;                 Yes;             Yes;                  Yes;                Yes;             Yes;                         Yes;               Yes;                   Yes;                  Yes;                Yes;                  Yes;                        ;                   ;                        ;                               ;                          ;                        ;                                ;                             ;                           ;                            ;                  ;                 ;                     ;                          ;                  ;                    ;      2;          R
  Route_K;                       ;                       ;                          ;                           ;                        ;                    ;                   ;                 ;                        ;                         ;                  ;                  ;                    ;                             ;                   ;                    Yes;                  Yes;                 Yes;             Yes;                  Yes;                Yes;             Yes;                         Yes;               Yes;                   Yes;                  Yes;                Yes;                  Yes;                     Yes;                Yes;                     Yes;                            Yes;                       Yes;                     Yes;                             Yes;                             ;                           ;                         Yes;                  ;                 ;                     ;                          ;                  ;                    ;      2;          R
  Route_M;                       ;                       ;                          ;                           ;                        ;                    ;                   ;                 ;                        ;                         ;                  ;                  ;                    ;                             ;                   ;                       ;                  Yes;                 Yes;             Yes;                  Yes;                Yes;             Yes;                         Yes;               Yes;                   Yes;                  Yes;                Yes;                  Yes;                        ;                   ;                        ;                               ;                          ;                        ;                                ;                             ;                           ;                            ;                  ;                 ;                     ;                          ;                  ;                    ;      1;          R
  Route_N;                    Yes;                    Yes;                       Yes;                        Yes;                        ;                 Yes;                   ;              Yes;                        ;                      Yes;                  ;                  ;                 Yes;                          Yes;                Yes;                       ;                     ;                    ;                ;                     ;                   ;                ;                            ;                  ;                      ;                     ;                   ;                     ;                        ;                   ;                        ;                               ;                          ;                        ;                                ;                             ;                           ;                            ;                  ;                 ;                     ;                          ;                  ;                    ;      1;          O
  Route_O;                    Yes;                    Yes;                       Yes;                        Yes;                        ;                 Yes;                Yes;                 ;                        ;                      Yes;                  ;                  ;                 Yes;                          Yes;                Yes;                       ;                     ;                    ;                ;                     ;                   ;                ;                            ;                  ;                      ;                     ;                   ;                     ;                        ;                   ;                        ;                               ;                          ;                        ;                                ;                             ;                           ;                            ;                  ;                 ;                     ;                          ;                  ;                    ;      1;          R
