 JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;        Start        ;  Start_time_Planned ;   Start_time_Real   ;         End         ;   End_time_Planned  ;    End_time_Real    
  85:151:343;  Route_A;                8;          O;  Lausanne, Montbenon;  2025-07-01 05:24:00;  2025-07-01 05:24:09;    Lausanne, Verdeil;  2025-07-01 05:30:00;  2025-07-01 05:28:47
  85:151:344;  Route_A;                8;          R;    Lausanne, Verdeil;  2025-07-01 05:30:00;  2025-07-01 05:30:09;  Lausanne, Montbenon;  2025-07-01 05:36:00;  2025-07-01 05:37:03
  85:151:345;  Route_A;                8;          O;  Lausanne, Montbenon;  2025-07-01 05:39:00;  2025-07-01 05:39:09;    Lausanne, Verdeil;  2025-07-01 05:45:00;  2025-07-01 05:44:48
  85:151:346;  Route_A;                8;          R;    Lausanne, Verdeil;  2025-07-01 05:45:00;  2025-07-01 05:45:29;  Lausanne, Montbenon;  2025-07-01 05:51:00;  2025-07-01 05:50:29
  85:151:347;  Route_A;                8;          O;  Lausanne, Montbenon;  2025-07-01 05:54:00;  2025-07-01 05:54:09;    Lausanne, Verdeil;  2025-07-01 06:00:00;  2025-07-01 05:59:09
  85:151:348;  Route_A;                8;          R;    Lausanne, Verdeil;  2025-07-01 06:00:00;  2025-07-01 06:00:09;  Lausanne, Montbenon;  2025-07-01 06:07:00;  2025-07-01 06:05:47
  85:151:431;  Route_A;                8;          O;  Lausanne, Montbenon;  2025-07-01 06:09:00;  2025-07-01 06:09:59;    Lausanne, Verdeil;  2025-07-01 06:15:00;  2025-07-01 06:16:01
  85:151:432;  Route_A;                8;          R;    Lausanne, Verdeil;  2025-07-01 06:15:00;  2025-07-01 06:16:59;  Lausanne, Montbenon;  2025-07-01 06:22:00;  2025-07-01 06:22:58
  85:151:349;  Route_A;                8;          O;  Lausanne, Montbenon;  2025-07-01 06:23:00;  2025-07-01 06:23:00;    Lausanne, Verdeil;  2025-07-01 06:30:00;  2025-07-01 06:28:12
  85:151:350;  Route_A;                8;          R;    Lausanne, Verdeil;  2025-07-01 06:30:00;  2025-07-01 06:30:12;  Lausanne, Montbenon;  2025-07-01 06:38:00;  2025-07-01 06:37:12
  85:151:433;  Route_A;                8;          O;  Lausanne, Montbenon;  2025-07-01 06:38:00;  2025-07-01 06:38:13;    Lausanne, Verdeil;  2025-07-01 06:45:00;  2025-07-01 06:44:30
  85:151:434;  Route_A;                8;          R;    Lausanne, Verdeil;  2025-07-01 06:45:00;  2025-07-01 06:44:35;  Lausanne, Montbenon;  2025-07-01 06:53:00;  2025-07-01 06:52:33
  85:151:351;  Route_A;                8;          O;  Lausanne, Montbenon;  2025-07-01 06:53:00;  2025-07-01 06:53:00;    Lausanne, Verdeil;  2025-07-01 07:00:00;  2025-07-01 06:58:03
  85:151:352;  Route_A;                8;          R;    Lausanne, Verdeil;  2025-07-01 07:00:00;  2025-07-01 07:00:00;  Lausanne, Montbenon;  2025-07-01 07:09:00;  2025-07-01 07:08:58
  85:151:435;  Route_A;                8;          O;  Lausanne, Montbenon;  2025-07-01 07:07:00;  2025-07-01 07:07:51;    Lausanne, Verdeil;  2025-07-01 07:15:00;  2025-07-01 07:15:22
  85:151:436;  Route_A;                8;          R;    Lausanne, Verdeil;  2025-07-01 07:15:00;  2025-07-01 07:15:14;  Lausanne, Montbenon;  2025-07-01 07:24:00;  2025-07-01 07:25:09
  85:151:353;  Route_A;                8;          O;  Lausanne, Montbenon;  2025-07-01 07:22:00;  2025-07-01 07:22:00;    Lausanne, Verdeil;  2025-07-01 07:30:00;  2025-07-01 07:30:47
  85:151:354;  Route_A;                8;          R;    Lausanne, Verdeil;  2025-07-01 07:30:00;  2025-07-01 07:31:13;  Lausanne, Montbenon;  2025-07-01 07:39:00;  2025-07-01 07:39:50
  85:151:437;  Route_A;                8;          O;  Lausanne, Montbenon;  2025-07-01 07:36:00;  2025-07-01 07:36:45;    Lausanne, Verdeil;  2025-07-01 07:45:00;  2025-07-01 07:46:40
  85:151:438;  Route_A;                8;          R;    Lausanne, Verdeil;  2025-07-01 07:45:00;  2025-07-01 07:46:45;  Lausanne, Montbenon;  2025-07-01 07:54:00;  2025-07-01 07:58:16
  85:151:355;  Route_A;                8;          O;  Lausanne, Montbenon;  2025-07-01 07:51:00;  2025-07-01 07:51:09;    Lausanne, Verdeil;  2025-07-01 08:00:00;  2025-07-01 07:59:58
  85:151:356;  Route_A;                8;          R;    Lausanne, Verdeil;  2025-07-01 08:00:00;  2025-07-01 08:00:00;  Lausanne, Montbenon;  2025-07-01 08:09:00;  2025-07-01 08:10:17
