 JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;          Start          ;  Start_time_Planned ;   Start_time_Real   ;             End             ;   End_time_Planned  ;    End_time_Real    
  85:151:493;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 05:15:00;  2025-07-01 05:15:21;      Lausanne, Provence nord;  2025-07-01 05:39:00;  2025-07-01 05:39:39
  85:151:502;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 05:30:00;  2025-07-01 05:30:00;       Lausanne, Grand Vennes;  2025-07-01 05:54:00;  2025-07-01 05:53:39
  85:151:525;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 05:30:00;  2025-07-01 05:30:39;      Lausanne, Provence nord;  2025-07-01 05:54:00;  2025-07-01 05:54:52
  85:151:494;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 05:45:00;  2025-07-01 05:45:00;       Lausanne, Grand Vennes;  2025-07-01 06:09:00;  2025-07-01 06:08:21
  85:151:557;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 05:45:00;  2025-07-01 05:45:22;      Lausanne, Provence nord;  2025-07-01 06:10:00;  2025-07-01 06:11:16
  85:151:585;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 05:54:00;  2025-07-01 05:54:09;       Lausanne, Grand Vennes;  2025-07-01 06:20:00;  2025-07-01 06:19:29
  85:151:503;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 06:00:00;  2025-07-01 06:00:19;      Lausanne, Provence nord;  2025-07-01 06:25:00;  2025-07-01 06:26:14
  85:151:526;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 06:08:00;  2025-07-01 06:08:00;       Lausanne, Grand Vennes;  2025-07-01 06:34:00;  2025-07-01 06:33:55
  85:151:495;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 06:14:00;  2025-07-01 06:14:21;      Lausanne, Provence nord;  2025-07-01 06:39:00;  2025-07-01 06:42:04
  85:151:558;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 06:23:00;  2025-07-01 06:23:22;       Lausanne, Grand Vennes;  2025-07-01 06:49:00;  2025-07-01 06:48:51
  85:151:586;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 06:29:00;  2025-07-01 06:29:24;      Lausanne, Provence nord;  2025-07-01 06:57:00;  2025-07-01 06:58:30
  85:151:504;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 06:38:00;  2025-07-01 06:38:00;       Lausanne, Grand Vennes;  2025-07-01 07:05:00;  2025-07-01 07:05:54
  85:151:527;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 06:44:00;  2025-07-01 06:44:15;      Lausanne, Provence nord;  2025-07-01 07:13:00;  2025-07-01 07:13:41
  85:151:496;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 06:51:00;  2025-07-01 06:51:00;       Lausanne, Grand Vennes;  2025-07-01 07:21:00;  2025-07-01 07:19:22
  85:151:559;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 06:59:00;  2025-07-01 06:59:39;      Lausanne, Provence nord;  2025-07-01 07:28:00;  2025-07-01 07:30:20
  85:151:587;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 07:04:00;  2025-07-01 07:04:21;       Lausanne, Grand Vennes;  2025-07-01 07:35:00;  2025-07-01 07:33:20
  85:151:505;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 07:11:00;  2025-07-01 07:11:19;      Lausanne, Provence nord;  2025-07-01 07:45:00;  2025-07-01 07:45:26
  85:151:528;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 07:18:00;  2025-07-01 07:18:40;       Lausanne, Grand Vennes;  2025-07-01 07:50:00;  2025-07-01 07:48:12
  85:151:497;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 07:26:00;  2025-07-01 07:26:17;      Lausanne, Provence nord;  2025-07-01 08:00:00;  2025-07-01 08:02:37
  85:151:618;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 07:28:00;  2025-07-01 07:29:19;       Lausanne, Grand Vennes;  2025-07-01 08:00:00;  2025-07-01 08:03:55
  85:151:588;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 07:40:00;  2025-07-01 07:41:20;      Lausanne, Provence nord;  2025-07-01 08:15:00;  2025-07-01 08:14:39
  85:151:560;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 07:42:00;  2025-07-01 07:42:40;       Lausanne, Grand Vennes;  2025-07-01 08:15:00;  2025-07-01 08:15:51
  85:151:529;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 07:55:00;  2025-07-01 07:55:39;      Lausanne, Provence nord;  2025-07-01 08:30:00;  2025-07-01 08:28:32
  85:151:506;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 07:57:00;  2025-07-01 07:57:29;       Lausanne, Grand Vennes;  2025-07-01 08:30:00;  2025-07-01 08:29:08
  85:151:619;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 08:10:00;  2025-07-01 08:10:43;      Lausanne, Provence nord;  2025-07-01 08:44:00;  2025-07-01 08:45:31
  85:151:498;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 08:12:00;  2025-07-01 08:12:13;       Lausanne, Grand Vennes;  2025-07-01 08:45:00;  2025-07-01 08:42:32
  85:151:561;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 08:25:00;  2025-07-01 08:26:10;      Lausanne, Provence nord;  2025-07-01 08:59:00;  2025-07-01 08:59:01
  85:151:589;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 08:27:00;  2025-07-01 08:27:19;       Lausanne, Grand Vennes;  2025-07-01 09:00:00;  2025-07-01 08:59:12
  85:151:507;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 08:40:00;  2025-07-01 08:40:44;      Lausanne, Provence nord;  2025-07-01 09:13:00;  2025-07-01 09:11:55
  85:151:530;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 08:42:00;  2025-07-01 08:42:00;       Lausanne, Grand Vennes;  2025-07-01 09:15:00;  2025-07-01 09:13:37
  85:151:499;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 08:55:00;  2025-07-01 08:55:51;      Lausanne, Provence nord;  2025-07-01 09:27:00;  2025-07-01 09:31:18
  85:151:620;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 08:57:00;  2025-07-01 08:57:35;       Lausanne, Grand Vennes;  2025-07-01 09:30:00;  2025-07-01 09:29:52
  85:151:590;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 09:05:00;  2025-07-01 09:05:27;      Lausanne, Provence nord;  2025-07-01 09:37:00;  2025-07-01 09:35:50
  85:151:562;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 09:12:00;  2025-07-01 09:12:24;       Lausanne, Grand Vennes;  2025-07-01 09:44:00;  2025-07-01 09:44:11
  85:151:531;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 09:20:00;  2025-07-01 09:19:39;      Lausanne, Provence nord;  2025-07-01 09:51:00;  2025-07-01 09:47:33
  85:151:508;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 09:27:00;  2025-07-01 09:27:30;       Lausanne, Grand Vennes;  2025-07-01 09:59:00;  2025-07-01 09:57:28
  85:151:621;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 09:35:00;  2025-07-01 09:35:36;      Lausanne, Provence nord;  2025-07-01 10:06:00;  2025-07-01 10:05:21
  85:151:591;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 09:42:00;  2025-07-01 09:42:56;       Lausanne, Grand Vennes;  2025-07-01 10:14:00;  2025-07-01 10:17:02
  85:151:563;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 09:50:00;  2025-07-01 09:51:26;      Lausanne, Provence nord;  2025-07-01 10:21:00;  2025-07-01 10:25:46
  85:151:532;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 09:57:00;  2025-07-01 09:56:33;       Lausanne, Grand Vennes;  2025-07-01 10:29:00;  2025-07-01 10:28:13
  85:151:509;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 10:05:00;  2025-07-01 10:06:03;      Lausanne, Provence nord;  2025-07-01 10:36:00;  2025-07-01 10:36:26
  85:151:622;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 10:12:00;  2025-07-01 10:12:32;       Lausanne, Grand Vennes;  2025-07-01 10:44:00;  2025-07-01 10:44:05
  85:151:592;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 10:20:00;  2025-07-01 10:21:19;      Lausanne, Provence nord;  2025-07-01 10:51:00;  2025-07-01 10:53:02
  85:151:564;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 10:27:00;  2025-07-01 10:27:40;       Lausanne, Grand Vennes;  2025-07-01 10:59:00;  2025-07-01 10:59:48
  85:151:533;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 10:35:00;  2025-07-01 10:35:19;      Lausanne, Provence nord;  2025-07-01 11:06:00;  2025-07-01 11:07:04
  85:151:510;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 10:42:00;  2025-07-01 10:42:36;       Lausanne, Grand Vennes;  2025-07-01 11:14:00;  2025-07-01 11:13:03
  85:151:623;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 10:50:00;  2025-07-01 10:50:42;      Lausanne, Provence nord;  2025-07-01 11:21:00;  2025-07-01 11:22:46
  85:151:593;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 10:57:00;  2025-07-01 10:58:58;       Lausanne, Grand Vennes;  2025-07-01 11:29:00;  2025-07-01 11:32:22
  85:151:565;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 11:05:00;  2025-07-01 11:05:39;      Lausanne, Provence nord;  2025-07-01 11:36:00;  2025-07-01 11:39:23
  85:151:534;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 11:12:00;  2025-07-01 11:12:28;       Lausanne, Grand Vennes;  2025-07-01 11:44:00;  2025-07-01 11:44:04
  85:151:511;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 11:20:00;  2025-07-01 11:20:13;      Lausanne, Provence nord;  2025-07-01 11:51:00;  2025-07-01 11:52:28
  85:151:624;  Route_A;               22;          R;  Lausanne, Provence nord;  2025-07-01 11:27:00;  2025-07-01 11:27:39;       Lausanne, Grand Vennes;  2025-07-01 11:59:00;  2025-07-01 12:00:21
  85:151:594;  Route_B;               22;          O;   Lausanne, Grand Vennes;  2025-07-01 11:35:00;  2025-07-01 11:35:13;      Lausanne, Provence nord;  2025-07-01 12:06:00;  2025-07-01 12:08:58
