 JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;             Start              ;  Start_time_Planned ;   Start_time_Real   ;              End               ;   End_time_Planned  ;    End_time_Real    
  85:151:659;  Route_C;               14;          R;             Renens VD, Perrelet;  2025-07-01 04:56:00;  2025-07-01 04:56:29;  Villars-Ste-Croix, Croix Péage;  2025-07-01 05:10:00;  2025-07-01 05:09:49
  85:151:685;  Route_E;                7;          O;                Prilly, Galicien;  2025-07-01 05:01:00;  2025-07-01 05:01:43;                 Lausanne, Vigie;  2025-07-01 05:10:00;  2025-07-01 05:08:42
  85:151:714;  Route_C;               14;          R;             Renens VD, Perrelet;  2025-07-01 05:12:00;  2025-07-01 05:12:00;  Villars-Ste-Croix, Croix Péage;  2025-07-01 05:26:00;  2025-07-01 05:25:13
  85:151:686;  Route_B;               21;          R;                 Lausanne, Vigie;  2025-07-01 05:13:00;  2025-07-01 05:15:02;  Villars-Ste-Croix, Croix Péage;  2025-07-01 05:39:00;  2025-07-01 05:38:30
  85:151:660;  Route_A;               21;          O;  Villars-Ste-Croix, Croix Péage;  2025-07-01 05:17:00;  2025-07-01 05:20:29;                 Lausanne, Vigie;  2025-07-01 05:44:00;  2025-07-01 05:42:49
  85:151:744;  Route_E;                7;          O;                Prilly, Galicien;  2025-07-01 05:17:00;  2025-07-01 05:17:35;                 Lausanne, Vigie;  2025-07-01 05:26:00;  2025-07-01 05:26:17
  85:151:745;  Route_B;               21;          R;                 Lausanne, Vigie;  2025-07-01 05:30:00;  2025-07-01 05:31:35;  Villars-Ste-Croix, Croix Péage;  2025-07-01 05:56:00;  2025-07-01 05:57:35
  85:151:715;  Route_A;               21;          O;  Villars-Ste-Croix, Croix Péage;  2025-07-01 05:30:00;  2025-07-01 05:30:19;                 Lausanne, Vigie;  2025-07-01 05:57:00;  2025-07-01 05:56:39
  85:151:687;  Route_A;               21;          O;  Villars-Ste-Croix, Croix Péage;  2025-07-01 05:43:00;  2025-07-01 05:45:42;                 Lausanne, Vigie;  2025-07-01 06:11:00;  2025-07-01 06:09:42
  85:151:661;  Route_B;               21;          R;                 Lausanne, Vigie;  2025-07-01 05:47:00;  2025-07-01 05:47:49;  Villars-Ste-Croix, Croix Péage;  2025-07-01 06:13:00;  2025-07-01 06:14:35
  85:151:746;  Route_A;               21;          O;  Villars-Ste-Croix, Croix Péage;  2025-07-01 06:02:00;  2025-07-01 06:02:55;                 Lausanne, Vigie;  2025-07-01 06:31:00;  2025-07-01 06:31:35
