           STOP_NAME            ; STOP_NUMBER ;  POSITION_X  ;   POSITION_Y  ;      DISTANCE      ; Route_A ; Route_B ; Route_C ; Route_D ; Route_E 
  Villars-Ste-Croix, Croix Péage;      8588846;     2533051.0;      1157027.0;                 0.0;      Yes;      Yes;      Yes;         ;         
                 Bussigny, Rente;      8594178;     2532809.0;      1156577.0;  510.94422396187235;      Yes;      Yes;      Yes;         ;         
               Bussigny, Cocagne;      8594177;     2532760.0;      1156315.0;   777.4869034711771;      Yes;      Yes;      Yes;         ;         
                Bussigny, Buyère;      8591931;     2532885.1;      1155781.4;  1325.5553024873243;      Yes;      Yes;      Yes;         ;         
         Bussigny, Croix de Plan;      8591930;     2532879.0;      1155575.0;  1532.0454233162945;      Yes;      Yes;      Yes;         ;         
           Crissier, Arc-en-Ciel;      8591935;     2533201.0;      1155270.0;  1975.5643067925225;      Yes;      Yes;      Yes;         ;         
             Crissier, Zinguerie;      8591939;     2533415.0;      1155074.0;  2265.7573459922937;      Yes;      Yes;      Yes;         ;         
                  Crissier, Jura;      8593815;     2533622.0;      1154891.0;  2542.0506683871718;      Yes;      Yes;      Yes;         ;         
             Renens VD, 14 Avril;      8588839;     2534113.0;      1154587.0;   3119.542659673631;      Yes;      Yes;      Yes;         ;         
               Renens VD, Avenir;      8592202;  2534348.3731;  1154498.66053;  3370.9474292454847;      Yes;      Yes;      Yes;         ;         
       Renens VD, Hôtel-de-Ville;      8592213;     2534645.0;      1154215.0;  3781.3750283217487;      Yes;      Yes;      Yes;         ;         
        Renens VD, Sous l'Eglise;      8592221;     2534795.0;      1154107.0;   3966.210089930741;      Yes;      Yes;      Yes;         ;         
              Renens VD, village;      8592223;     2535064.0;      1153838.0;   4346.633538209104;      Yes;      Yes;      Yes;         ;         
             Renens VD, Perrelet;      8592217;     2535581.0;      1153551.0;   4937.952403120414;      Yes;      Yes;      Yes;         ;         
                Prilly, Galicien;      8592049;     2535968.0;      1153319.0;   5389.165213222254;      Yes;      Yes;         ;      Yes;      Yes
      Lausanne, Prélaz-les-Roses;      8592103;     2536179.0;      1153200.0;   5631.408892190355;      Yes;      Yes;         ;      Yes;      Yes
            Lausanne, Couchirard;      8592022;     2536661.0;      1152983.0;   6160.004200531244;      Yes;      Yes;         ;      Yes;      Yes
     Lausanne, Ecole des Métiers;      8592036;     2536967.0;      1152879.0;   6483.194546921727;      Yes;      Yes;         ;      Yes;      Yes
                 Lausanne, EPSIC;      8592041;     2537244.0;      1152787.0;   6775.072946259534;      Yes;      Yes;         ;      Yes;      Yes
                Lausanne, Tivoli;      8592122;     2537305.0;      1152534.0;   7245.918077531498;         ;      Yes;         ;      Yes;         
            Lausanne, Port-Franc;      8592098;     2537729.0;      1152641.0;   7281.571712299492;      Yes;         ;         ;         ;      Yes
                 Lausanne, Vigie;      8592133;     2537484.0;      1152574.0;   7535.567775261105;      Yes;      Yes;         ;      Yes;      Yes
