  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;        Start        ;  Start_time_Planned ;   Start_time_Real   ;           End           ;   End_time_Planned  ;    End_time_Real    
  85:151:1209;  Route_C;                6;          O;  Renens VD, Perrelet;  2025-07-01 06:43:00;  2025-07-01 06:43:11;      Renens VD, 14 Avril;  2025-07-01 06:52:00;  2025-07-01 06:51:03
  85:151:1238;  Route_E;                7;          R;     Prilly, Galicien;  2025-07-01 06:46:00;  2025-07-01 06:46:01;  Lausanne, Chauderon-Ale;  2025-07-01 06:55:00;  2025-07-01 06:57:23
  85:151:1267;  Route_C;                6;          O;  Renens VD, Perrelet;  2025-07-01 06:53:00;  2025-07-01 06:53:00;      Renens VD, 14 Avril;  2025-07-01 07:02:00;  2025-07-01 07:02:00
  85:151:1210;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 06:55:00;  2025-07-01 06:55:11;  Lausanne, Chauderon-Ale;  2025-07-01 07:15:00;  2025-07-01 07:15:45
  85:151:1295;  Route_E;                7;          R;     Prilly, Galicien;  2025-07-01 06:55:00;  2025-07-01 06:55:00;      Lausanne, Chauderon;  2025-07-01 07:06:00;  2025-07-01 07:05:34
  85:151:1239;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 07:01:00;  2025-07-01 07:01:00;      Renens VD, 14 Avril;  2025-07-01 07:22:00;  2025-07-01 07:20:59
  85:151:1323;  Route_C;                6;          O;  Renens VD, Perrelet;  2025-07-01 07:03:00;  2025-07-01 07:03:00;      Renens VD, 14 Avril;  2025-07-01 07:12:00;  2025-07-01 07:11:01
  85:151:1268;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 07:06:00;  2025-07-01 07:06:00;      Lausanne, Chauderon;  2025-07-01 07:28:00;  2025-07-01 07:28:00
  85:151:1296;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 07:11:00;  2025-07-01 07:12:36;      Renens VD, 14 Avril;  2025-07-01 07:32:00;  2025-07-01 07:31:46
  85:151:1324;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 07:15:00;  2025-07-01 07:15:00;  Lausanne, Chauderon-Ale;  2025-07-01 07:36:00;  2025-07-01 07:37:31
  85:151:1211;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 07:25:00;  2025-07-01 07:28:45;      Renens VD, 14 Avril;  2025-07-01 07:46:00;  2025-07-01 07:48:32
  85:151:1240;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 07:28:00;  2025-07-01 07:28:19;  Lausanne, Chauderon-Ale;  2025-07-01 07:49:00;  2025-07-01 07:51:35
  85:151:1351;  Route_C;                6;          O;  Renens VD, Perrelet;  2025-07-01 07:33:00;  2025-07-01 07:35:46;      Renens VD, 14 Avril;  2025-07-01 07:42:00;  2025-07-01 07:44:29
  85:151:1269;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 07:34:00;  2025-07-01 07:34:00;      Renens VD, 14 Avril;  2025-07-01 07:55:00;  2025-07-01 07:55:00
  85:151:1297;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 07:36:00;  2025-07-01 07:37:12;  Lausanne, Chauderon-Ale;  2025-07-01 07:57:00;  2025-07-01 08:00:09
  85:151:1325;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 07:45:00;  2025-07-01 07:40:54;      Renens VD, 14 Avril;  2025-07-01 08:06:00;  2025-07-01 08:00:33
  85:151:1352;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 07:45:00;  2025-07-01 07:47:41;  Lausanne, Chauderon-Ale;  2025-07-01 08:06:00;  2025-07-01 08:12:04
  85:151:1212;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 07:54:00;  2025-07-01 07:57:59;  Lausanne, Chauderon-Ale;  2025-07-01 08:15:00;  2025-07-01 08:20:54
  85:151:1241;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 07:55:00;  2025-07-01 07:52:35;      Renens VD, 14 Avril;  2025-07-01 08:16:00;  2025-07-01 08:11:53
  85:151:1298;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 08:05:00;  2025-07-01 08:05:09;      Renens VD, 14 Avril;  2025-07-01 08:26:00;  2025-07-01 08:27:17
  85:151:1270;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 08:05:00;  2025-07-01 08:05:00;      Lausanne, Chauderon;  2025-07-01 08:27:00;  2025-07-01 08:27:00
  85:151:1326;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 08:14:00;  2025-07-01 08:09:32;      Lausanne, Chauderon;  2025-07-01 08:36:00;  2025-07-01 08:29:50
  85:151:1353;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 08:15:00;  2025-07-01 08:18:29;      Renens VD, 14 Avril;  2025-07-01 08:36:00;  2025-07-01 08:40:10
  85:151:1213;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 08:25:00;  2025-07-01 08:29:35;      Renens VD, 14 Avril;  2025-07-01 08:46:00;  2025-07-01 08:49:04
  85:151:1242;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 08:26:00;  2025-07-01 08:23:54;  Lausanne, Chauderon-Ale;  2025-07-01 08:47:00;  2025-07-01 08:48:25
  85:151:1299;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 08:35:00;  2025-07-01 08:35:05;  Lausanne, Chauderon-Ale;  2025-07-01 08:56:00;  2025-07-01 08:56:50
  85:151:1271;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 08:36:00;  2025-07-01 08:36:00;      Renens VD, 14 Avril;  2025-07-01 08:57:00;  2025-07-01 08:57:00
  85:151:1327;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 08:45:00;  2025-07-01 08:41:09;      Renens VD, 14 Avril;  2025-07-01 09:06:00;  2025-07-01 08:59:29
  85:151:1354;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 08:45:00;  2025-07-01 08:48:27;  Lausanne, Chauderon-Ale;  2025-07-01 09:06:00;  2025-07-01 09:09:59
  85:151:1243;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 08:55:00;  2025-07-01 08:52:16;      Renens VD, 14 Avril;  2025-07-01 09:16:00;  2025-07-01 09:11:59
  85:151:1214;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 08:55:00;  2025-07-01 08:59:26;  Lausanne, Chauderon-Ale;  2025-07-01 09:16:00;  2025-07-01 09:21:02
  85:151:1272;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 09:04:00;  2025-07-01 09:04:00;      Lausanne, Chauderon;  2025-07-01 09:26:00;  2025-07-01 09:26:00
  85:151:1300;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 09:05:00;  2025-07-01 09:05:14;      Renens VD, 14 Avril;  2025-07-01 09:26:00;  2025-07-01 09:23:49
  85:151:1355;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 09:15:00;  2025-07-01 09:18:13;      Renens VD, 14 Avril;  2025-07-01 09:36:00;  2025-07-01 09:39:12
  85:151:1328;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 09:15:00;  2025-07-01 09:10:49;      Lausanne, Chauderon;  2025-07-01 09:37:00;  2025-07-01 09:30:52
  85:151:1215;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 09:25:00;  2025-07-01 09:30:02;      Renens VD, 14 Avril;  2025-07-01 09:46:00;  2025-07-01 09:49:15
  85:151:1244;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 09:26:00;  2025-07-01 09:23:29;      Lausanne, Chauderon;  2025-07-01 09:47:00;  2025-07-01 09:46:20
  85:151:1301;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 09:35:00;  2025-07-01 09:35:05;  Lausanne, Chauderon-Ale;  2025-07-01 09:55:00;  2025-07-01 09:57:32
  85:151:1273;  Route_B;               12;          O;  Lausanne, Chauderon;  2025-07-01 09:37:00;  2025-07-01 09:37:00;      Renens VD, 14 Avril;  2025-07-01 09:58:00;  2025-07-01 09:58:00
  85:151:1356;  Route_A;               13;          R;  Renens VD, 14 Avril;  2025-07-01 09:45:00;  2025-07-01 09:48:31;  Lausanne, Chauderon-Ale;  2025-07-01 10:05:00;  2025-07-01 10:11:49
