          STOP_NAME          ; STOP_NUMBER ;   POSITION_X  ;  POSITION_Y  ;      DISTANCE      ; Route_A ; Route_B ; Route_D ; Route_E ; Route_F ; Route_I 
      Lausanne, Maladière-Lac;      8593838;      2536057.0;     1151995.0;                 0.0;      Yes;      Yes;         ;         ;      Yes;      Yes
    Lausanne, Théâtre de Vidy;      8592121;      2536530.0;     1151767.0;   525.0838028353188;      Yes;      Yes;         ;         ;      Yes;      Yes
          Lausanne, Bellerive;      8591989;      2536967.0;     1151471.0;  1052.8953222245796;      Yes;      Yes;         ;         ;      Yes;      Yes
           Lausanne, Pêcheurs;      8592090;      2537175.0;     1151272.0;  1340.7581367734547;      Yes;      Yes;         ;         ;      Yes;      Yes
    Lausanne, Ouchy-Olympique;      8592086;      2537676.0;     1151008.0;  1907.0592934030346;      Yes;      Yes;         ;         ;      Yes;      Yes
        Lausanne, Beau-Rivage;      8591986;      2537743.0;     1151100.0;   2020.870540650396;      Yes;      Yes;         ;         ;      Yes;      Yes
            Lausanne, Jordils;      8592061;      2537740.0;     1151281.0;   2201.895400821589;      Yes;      Yes;         ;         ;      Yes;      Yes
      Lausanne, Croix d'Ouchy;      8592026;      2537907.0;     1151513.0;  2487.7502590976032;      Yes;      Yes;         ;         ;      Yes;      Yes
        Lausanne, Mont-Fleuri;      8592079;      2538079.0;     1151784.0;   2808.725336011684;      Yes;      Yes;         ;         ;      Yes;      Yes
             Lausanne, Prélaz;      8592102;      2536612.0;     1153116.0;  2943.2039403388135;         ;         ;         ;         ;         ;         
           Lausanne, Closelet;      8592020;      2538179.0;     1151892.0;  2955.9122919554766;      Yes;      Yes;         ;         ;      Yes;      Yes
           Lausanne, Mirabeau;      8592072;      2538313.0;     1152052.0;  3164.6130346470154;      Yes;         ;         ;         ;         ;      Yes
           Lausanne, Recordon;      8592109;      2537035.0;     1153025.0;   3375.881649494254;         ;         ;         ;         ;         ;         
          Lausanne, Georgette;      8592051;      2538569.0;     1152150.0;  3438.7297980891663;      Yes;      Yes;         ;         ;      Yes;      Yes
             Lausanne, Boston;      8592001;      2537405.0;     1152837.0;  3790.9045404291996;         ;         ;         ;         ;         ;         
        Lausanne, St-François;      8579254;      2538215.0;     1152325.0;   3833.623454660147;      Yes;      Yes;         ;         ;      Yes;      Yes
          Lausanne, Chauderon;      8592010;      2537555.0;     1152802.0;   3944.933758436693;         ;         ;         ;         ;         ;         
            Lausanne, Bel-Air;      8591988;      2537880.0;     1152653.0;   4302.461379747271;      Yes;      Yes;         ;         ;      Yes;         
  Lausanne, Riponne-M. Béjart;      8590442;  2538107.47618;  1152738.3363;   4545.417541564998;      Yes;      Yes;      Yes;      Yes;         ;         
           Lausanne, Valentin;      8592125;      2538052.0;     1152903.0;     4719.1752482864;      Yes;      Yes;      Yes;      Yes;         ;         
              Lausanne, Vinet;      8592135;      2537854.0;     1153111.0;   5006.347670360666;      Yes;      Yes;      Yes;      Yes;         ;         
    Lausanne, Beaulieu-Jomini;      8592060;      2537680.0;     1153210.0;     5206.5400778091;      Yes;      Yes;      Yes;      Yes;         ;         
           Lausanne, Beaulieu;      8591984;      2537467.0;     1153306.0;    5440.17440747835;      Yes;      Yes;      Yes;      Yes;         ;         
         Lausanne, Presbytère;      8592104;      2537302.0;     1153412.0;   5636.289169798783;      Yes;      Yes;      Yes;      Yes;         ;         
          Lausanne, Bergières;      8591992;      2537082.0;     1153601.0;   5926.325374435377;      Yes;      Yes;      Yes;      Yes;         ;         
              Lausanne, Boisy;      8591998;      2537151.0;     1153864.0;   6190.249594841947;         ;      Yes;         ;      Yes;         ;         
               Lausanne, Grey;      8592057;      2537130.0;     1153913.0;   6241.996088946558;      Yes;      Yes;      Yes;      Yes;         ;         
        Lausanne, Pierrefleur;      8592094;      2536943.0;     1154041.0;   6468.608092159097;      Yes;      Yes;      Yes;      Yes;         ;         
        Lausanne, Parc Rivier;      8592087;      2536851.0;     1154197.0;   6649.715794921845;      Yes;      Yes;      Yes;      Yes;         ;         
             Lausanne, Désert;      8592030;      2536617.0;     1154621.0;   7134.000834955089;      Yes;      Yes;      Yes;      Yes;         ;         
