  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;         Start         ;  Start_time_Planned ;   Start_time_Real   ;          End          ;   End_time_Planned  ;    End_time_Real    
  85:151:1638;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 05:53:00;  2025-07-01 05:53:00;  Lausanne, Blécherette;  2025-07-01 06:06:00;  2025-07-01 06:06:47
  85:151:1683;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 06:07:00;  2025-07-01 06:11:31;  Lausanne, Blécherette;  2025-07-01 06:20:00;  2025-07-01 06:24:33
  85:151:1639;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 06:09:00;  2025-07-01 06:09:13;         Lausanne, gare;  2025-07-01 06:22:00;  2025-07-01 06:21:11
  85:151:1728;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 06:19:00;  2025-07-01 06:19:00;  Lausanne, Blécherette;  2025-07-01 06:33:00;  2025-07-01 06:33:08
  85:151:1684;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 06:23:00;  2025-07-01 06:25:07;         Lausanne, gare;  2025-07-01 06:37:00;  2025-07-01 06:41:09
  85:151:1640;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 06:26:00;  2025-07-01 06:26:00;  Lausanne, Blécherette;  2025-07-01 06:41:00;  2025-07-01 06:42:49
  85:151:1729;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 06:38:00;  2025-07-01 06:38:30;         Lausanne, gare;  2025-07-01 06:52:00;  2025-07-01 06:53:46
  85:151:1685;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 06:41:00;  2025-07-01 06:41:29;  Lausanne, Blécherette;  2025-07-01 06:57:00;  2025-07-01 06:59:00
  85:151:1641;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 06:52:00;  2025-07-01 06:52:13;         Lausanne, gare;  2025-07-01 07:07:00;  2025-07-01 07:08:24
  85:151:1730;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 06:56:00;  2025-07-01 06:56:00;  Lausanne, Blécherette;  2025-07-01 07:12:00;  2025-07-01 07:12:36
  85:151:1686;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 07:06:00;  2025-07-01 07:06:26;         Lausanne, gare;  2025-07-01 07:22:00;  2025-07-01 07:23:00
  85:151:1642;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 07:11:00;  2025-07-01 07:10:53;  Lausanne, Blécherette;  2025-07-01 07:27:00;  2025-07-01 07:27:44
  85:151:1731;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 07:20:00;  2025-07-01 07:20:06;         Lausanne, gare;  2025-07-01 07:37:00;  2025-07-01 07:34:42
  85:151:1687;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 07:26:00;  2025-07-01 07:25:52;  Lausanne, Blécherette;  2025-07-01 07:43:00;  2025-07-01 07:43:52
  85:151:1643;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 07:34:00;  2025-07-01 07:34:00;         Lausanne, gare;  2025-07-01 07:52:00;  2025-07-01 07:52:58
  85:151:1732;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 07:41:00;  2025-07-01 07:41:00;  Lausanne, Blécherette;  2025-07-01 07:58:00;  2025-07-01 08:00:09
  85:151:1688;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 07:49:00;  2025-07-01 07:49:45;         Lausanne, gare;  2025-07-01 08:07:00;  2025-07-01 08:08:20
  85:151:1644;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 07:56:00;  2025-07-01 07:57:27;  Lausanne, Blécherette;  2025-07-01 08:13:00;  2025-07-01 08:13:13
  85:151:1733;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 08:04:00;  2025-07-01 08:04:23;         Lausanne, gare;  2025-07-01 08:22:00;  2025-07-01 08:24:12
  85:151:1689;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 08:11:00;  2025-07-01 08:11:21;  Lausanne, Blécherette;  2025-07-01 08:28:00;  2025-07-01 08:29:36
  85:151:1645;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 08:19:00;  2025-07-01 08:19:00;         Lausanne, gare;  2025-07-01 08:37:00;  2025-07-01 08:39:02
  85:151:1734;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 08:26:00;  2025-07-01 08:26:00;  Lausanne, Blécherette;  2025-07-01 08:43:00;  2025-07-01 08:43:32
  85:151:1690;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 08:35:00;  2025-07-01 08:35:00;         Lausanne, gare;  2025-07-01 08:52:00;  2025-07-01 08:52:57
  85:151:1646;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 08:41:00;  2025-07-01 08:41:00;  Lausanne, Blécherette;  2025-07-01 08:58:00;  2025-07-01 08:59:28
  85:151:1735;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 08:50:00;  2025-07-01 08:50:19;         Lausanne, gare;  2025-07-01 09:07:00;  2025-07-01 09:09:04
  85:151:1691;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 08:56:00;  2025-07-01 08:56:00;  Lausanne, Blécherette;  2025-07-01 09:13:00;  2025-07-01 09:14:56
  85:151:1647;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 09:06:00;  2025-07-01 09:06:09;         Lausanne, gare;  2025-07-01 09:22:00;  2025-07-01 09:21:06
  85:151:1736;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 09:11:00;  2025-07-01 09:11:09;  Lausanne, Blécherette;  2025-07-01 09:28:00;  2025-07-01 09:28:38
  85:151:1692;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 09:21:00;  2025-07-01 09:21:29;         Lausanne, gare;  2025-07-01 09:37:00;  2025-07-01 09:36:03
  85:151:1648;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 09:26:00;  2025-07-01 09:26:00;  Lausanne, Blécherette;  2025-07-01 09:43:00;  2025-07-01 09:41:31
  85:151:1737;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 09:36:00;  2025-07-01 09:36:41;         Lausanne, gare;  2025-07-01 09:52:00;  2025-07-01 09:52:14
  85:151:1693;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 09:41:00;  2025-07-01 09:42:59;  Lausanne, Blécherette;  2025-07-01 09:58:00;  2025-07-01 09:59:55
  85:151:1649;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 09:51:00;  2025-07-01 09:51:17;         Lausanne, gare;  2025-07-01 10:07:00;  2025-07-01 10:05:50
  85:151:1738;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 09:56:00;  2025-07-01 09:56:00;  Lausanne, Blécherette;  2025-07-01 10:13:00;  2025-07-01 10:13:13
  85:151:1694;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 10:06:00;  2025-07-01 10:06:16;         Lausanne, gare;  2025-07-01 10:22:00;  2025-07-01 10:25:01
  85:151:1650;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 10:11:00;  2025-07-01 10:11:11;  Lausanne, Blécherette;  2025-07-01 10:28:00;  2025-07-01 10:28:51
  85:151:1739;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 10:21:00;  2025-07-01 10:21:00;         Lausanne, gare;  2025-07-01 10:37:00;  2025-07-01 10:38:23
  85:151:1695;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 10:26:00;  2025-07-01 10:27:49;  Lausanne, Blécherette;  2025-07-01 10:43:00;  2025-07-01 10:42:29
  85:151:1651;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 10:36:00;  2025-07-01 10:36:21;         Lausanne, gare;  2025-07-01 10:52:00;  2025-07-01 10:52:34
  85:151:1740;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 10:41:00;  2025-07-01 10:41:33;  Lausanne, Blécherette;  2025-07-01 10:58:00;  2025-07-01 10:56:57
  85:151:1696;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 10:51:00;  2025-07-01 10:51:09;         Lausanne, gare;  2025-07-01 11:07:00;  2025-07-01 11:07:41
  85:151:1652;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 10:56:00;  2025-07-01 10:56:00;  Lausanne, Blécherette;  2025-07-01 11:13:00;  2025-07-01 11:12:08
  85:151:1741;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 11:06:00;  2025-07-01 11:06:13;         Lausanne, gare;  2025-07-01 11:22:00;  2025-07-01 11:25:03
  85:151:1697;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 11:11:00;  2025-07-01 11:08:51;  Lausanne, Blécherette;  2025-07-01 11:28:00;  2025-07-01 11:26:53
  85:151:1653;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 11:21:00;  2025-07-01 11:21:16;         Lausanne, gare;  2025-07-01 11:37:00;  2025-07-01 11:36:12
  85:151:1742;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 11:26:00;  2025-07-01 11:26:00;  Lausanne, Blécherette;  2025-07-01 11:43:00;  2025-07-01 11:41:25
  85:151:1698;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 11:36:00;  2025-07-01 11:36:14;         Lausanne, gare;  2025-07-01 11:52:00;  2025-07-01 11:55:02
  85:151:1654;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 11:41:00;  2025-07-01 11:41:00;  Lausanne, Blécherette;  2025-07-01 11:58:00;  2025-07-01 12:00:57
  85:151:1743;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 11:51:00;  2025-07-01 11:51:12;         Lausanne, gare;  2025-07-01 12:07:00;  2025-07-01 12:09:50
  85:151:1699;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 11:56:00;  2025-07-01 11:55:10;  Lausanne, Blécherette;  2025-07-01 12:13:00;  2025-07-01 12:13:12
  85:151:1655;  Route_B;               11;          R;  Lausanne, Blécherette;  2025-07-01 12:06:00;  2025-07-01 12:06:27;         Lausanne, gare;  2025-07-01 12:22:00;  2025-07-01 12:23:20
  85:151:1744;  Route_A;               12;          O;         Lausanne, gare;  2025-07-01 12:11:00;  2025-07-01 12:10:49;  Lausanne, Blécherette;  2025-07-01 12:28:00;  2025-07-01 12:27:36
