         STOP_NAME         ; STOP_NUMBER ;   EVENT   ;     85:151:1638     ;     85:151:1683     ;     85:151:1639     ;     85:151:1728     ;     85:151:1684     ;     85:151:1640     ;     85:151:1729     ;     85:151:1685     ;     85:151:1641     ;     85:151:1730     ;     85:151:1686     ;     85:151:1642     ;     85:151:1731     ;     85:151:1687     ;     85:151:1643     ;     85:151:1732     ;     85:151:1688     ;     85:151:1644     ;     85:151:1733     ;     85:151:1689     ;     85:151:1645     ;     85:151:1734     ;     85:151:1690     ;     85:151:1646     ;     85:151:1735     ;     85:151:1691     ;     85:151:1647     ;     85:151:1736     ;     85:151:1692     ;     85:151:1648     ;     85:151:1737     ;     85:151:1693     ;     85:151:1649     ;     85:151:1738     ;     85:151:1694     ;     85:151:1650     ;     85:151:1739     ;     85:151:1695     ;     85:151:1651     ;     85:151:1740     ;     85:151:1696     ;     85:151:1652     ;     85:151:1741     ;     85:151:1697     ;     85:151:1653     ;     85:151:1742     ;     85:151:1698     ;     85:151:1654     ;     85:151:1743     ;     85:151:1699     ;     85:151:1655     ;     85:151:1744     ;     85:151:1700     ;     85:151:1656     ;     85:151:1745     ;     85:151:1701     ;     85:151:1657     ;     85:151:1746     ;     85:151:1702     ;     85:151:1658     ;     85:151:1747     ;     85:151:1703     ;     85:151:1659     ;     85:151:1748     ;     85:151:1704     ;     85:151:1660     ;     85:151:1749     ;     85:151:1705     ;     85:151:1661     ;     85:151:1750     ;     85:151:1706     ;     85:151:1662     ;     85:151:1751     ;     85:151:1707     ;     85:151:1663     ;     85:151:1752     ;     85:151:1708     ;     85:151:1664     ;     85:151:1753     ;     85:151:1709     ;     85:151:1665     ;     85:151:1754     ;     85:151:1710     ;     85:151:1666     ;     85:151:1755     ;     85:151:1711     ;     85:151:1667     ;     85:151:1756     ;     85:151:1712     ;     85:151:1668     ;     85:151:1757     ;     85:151:1713     ;     85:151:1669     ;     85:151:1758     ;     85:151:1714     ;     85:151:1670     ;     85:151:1759     ;     85:151:1715     ;     85:151:1671     ;     85:151:1760     ;     85:151:1716     ;     85:151:1672     ;     85:151:1761     ;     85:151:1717     ;     85:151:1673     ;     85:151:1762     ;     85:151:1718     ;     85:151:1674     ;     85:151:1763     ;     85:151:1719     ;     85:151:1675     ;     85:151:1764     ;     85:151:1720     ;     85:151:1676     ;     85:151:1765     ;     85:151:1721     ;     85:151:1677     ;     85:151:1766     ;     85:151:1722     ;     85:151:1678     ;     85:151:1767     ;     85:151:1723     ;     85:151:1768     
             Lausanne, gare;      8592050;    ARRIVAL;                     ;                     ;  2025-07-01 06:22:00;                     ;  2025-07-01 06:37:00;                     ;  2025-07-01 06:52:00;                     ;  2025-07-01 07:07:00;                     ;  2025-07-01 07:22:00;                     ;  2025-07-01 07:37:00;                     ;  2025-07-01 07:52:00;                     ;  2025-07-01 08:07:00;                     ;  2025-07-01 08:22:00;                     ;  2025-07-01 08:37:00;                     ;  2025-07-01 08:52:00;                     ;  2025-07-01 09:07:00;                     ;  2025-07-01 09:22:00;                     ;  2025-07-01 09:37:00;                     ;  2025-07-01 09:52:00;                     ;  2025-07-01 10:07:00;                     ;  2025-07-01 10:22:00;                     ;  2025-07-01 10:37:00;                     ;  2025-07-01 10:52:00;                     ;  2025-07-01 11:07:00;                     ;  2025-07-01 11:22:00;                     ;  2025-07-01 11:37:00;                     ;  2025-07-01 11:52:00;                     ;  2025-07-01 12:07:00;                     ;  2025-07-01 12:22:00;                     ;  2025-07-01 12:37:00;                     ;  2025-07-01 12:52:00;                     ;  2025-07-01 13:07:00;                     ;  2025-07-01 13:22:00;                     ;  2025-07-01 13:37:00;                     ;  2025-07-01 13:52:00;                     ;  2025-07-01 14:07:00;                     ;  2025-07-01 14:22:00;                     ;  2025-07-01 14:37:00;                     ;  2025-07-01 14:52:00;                     ;  2025-07-01 15:07:00;                     ;  2025-07-01 15:22:00;                     ;  2025-07-01 15:37:00;                     ;  2025-07-01 15:52:00;                     ;  2025-07-01 16:07:00;                     ;  2025-07-01 16:22:00;                     ;  2025-07-01 16:37:00;                     ;  2025-07-01 16:52:00;                     ;  2025-07-01 17:07:00;                     ;  2025-07-01 17:22:00;                     ;  2025-07-01 17:37:00;                     ;  2025-07-01 17:52:00;                     ;  2025-07-01 18:07:00;                     ;  2025-07-01 18:22:00;                     ;  2025-07-01 18:37:00;                     ;  2025-07-01 18:52:00;                     ;  2025-07-01 19:07:00;                     ;  2025-07-01 19:22:00;                     ;  2025-07-01 19:37:00;                     ;  2025-07-01 19:52:00;                     ;  2025-07-01 20:07:00;                     ;  2025-07-01 20:22:00;                     ;  2025-07-01 20:37:00;                     ;  2025-07-01 20:52:00;                     ;  2025-07-01 21:04:00;                     ;                     
             Lausanne, gare;      8592050;  DEPARTURE;  2025-07-01 05:53:00;  2025-07-01 06:07:00;                     ;  2025-07-01 06:19:00;                     ;  2025-07-01 06:26:00;                     ;  2025-07-01 06:41:00;                     ;  2025-07-01 06:56:00;                     ;  2025-07-01 07:11:00;                     ;  2025-07-01 07:26:00;                     ;  2025-07-01 07:41:00;                     ;  2025-07-01 07:56:00;                     ;  2025-07-01 08:11:00;                     ;  2025-07-01 08:26:00;                     ;  2025-07-01 08:41:00;                     ;  2025-07-01 08:56:00;                     ;  2025-07-01 09:11:00;                     ;  2025-07-01 09:26:00;                     ;  2025-07-01 09:41:00;                     ;  2025-07-01 09:56:00;                     ;  2025-07-01 10:11:00;                     ;  2025-07-01 10:26:00;                     ;  2025-07-01 10:41:00;                     ;  2025-07-01 10:56:00;                     ;  2025-07-01 11:11:00;                     ;  2025-07-01 11:26:00;                     ;  2025-07-01 11:41:00;                     ;  2025-07-01 11:56:00;                     ;  2025-07-01 12:11:00;                     ;  2025-07-01 12:26:00;                     ;  2025-07-01 12:41:00;                     ;  2025-07-01 12:56:00;                     ;  2025-07-01 13:11:00;                     ;  2025-07-01 13:26:00;                     ;  2025-07-01 13:41:00;                     ;  2025-07-01 13:56:00;                     ;  2025-07-01 14:11:00;                     ;  2025-07-01 14:26:00;                     ;  2025-07-01 14:41:00;                     ;  2025-07-01 14:56:00;                     ;  2025-07-01 15:11:00;                     ;  2025-07-01 15:26:00;                     ;  2025-07-01 15:41:00;                     ;  2025-07-01 15:56:00;                     ;  2025-07-01 16:11:00;                     ;  2025-07-01 16:26:00;                     ;  2025-07-01 16:41:00;                     ;  2025-07-01 16:56:00;                     ;  2025-07-01 17:11:00;                     ;  2025-07-01 17:26:00;                     ;  2025-07-01 17:41:00;                     ;  2025-07-01 17:56:00;                     ;  2025-07-01 18:11:00;                     ;  2025-07-01 18:26:00;                     ;  2025-07-01 18:41:00;                     ;  2025-07-01 18:56:00;                     ;  2025-07-01 19:11:00;                     ;  2025-07-01 19:26:00;                     ;  2025-07-01 19:41:00;                     ;  2025-07-01 19:56:00;                     ;  2025-07-01 20:12:00;                     ;  2025-07-01 20:27:00;                     ;  2025-07-01 20:42:00;                     ;  2025-07-01 20:56:00;  2025-07-01 21:10:00
          Lausanne, Villard;      8592134;    ARRIVAL;  2025-07-01 05:55:00;  2025-07-01 06:09:00;                     ;  2025-07-01 06:21:00;                     ;  2025-07-01 06:28:00;                     ;  2025-07-01 06:43:00;                     ;  2025-07-01 06:58:00;                     ;  2025-07-01 07:13:00;                     ;  2025-07-01 07:29:00;                     ;  2025-07-01 07:44:00;                     ;  2025-07-01 07:59:00;                     ;  2025-07-01 08:14:00;                     ;  2025-07-01 08:29:00;                     ;  2025-07-01 08:44:00;                     ;  2025-07-01 08:59:00;                     ;  2025-07-01 09:14:00;                     ;  2025-07-01 09:29:00;                     ;  2025-07-01 09:44:00;                     ;  2025-07-01 09:59:00;                     ;  2025-07-01 10:14:00;                     ;  2025-07-01 10:29:00;                     ;  2025-07-01 10:44:00;                     ;  2025-07-01 10:59:00;                     ;  2025-07-01 11:14:00;                     ;  2025-07-01 11:29:00;                     ;  2025-07-01 11:44:00;                     ;  2025-07-01 11:59:00;                     ;  2025-07-01 12:14:00;                     ;  2025-07-01 12:29:00;                     ;  2025-07-01 12:44:00;                     ;  2025-07-01 12:59:00;                     ;  2025-07-01 13:14:00;                     ;  2025-07-01 13:29:00;                     ;  2025-07-01 13:44:00;                     ;  2025-07-01 13:59:00;                     ;  2025-07-01 14:14:00;                     ;  2025-07-01 14:29:00;                     ;  2025-07-01 14:44:00;                     ;  2025-07-01 14:59:00;                     ;  2025-07-01 15:14:00;                     ;  2025-07-01 15:29:00;                     ;  2025-07-01 15:44:00;                     ;  2025-07-01 15:59:00;                     ;  2025-07-01 16:14:00;                     ;  2025-07-01 16:29:00;                     ;  2025-07-01 16:44:00;                     ;  2025-07-01 16:59:00;                     ;  2025-07-01 17:14:00;                     ;  2025-07-01 17:29:00;                     ;  2025-07-01 17:44:00;                     ;  2025-07-01 17:59:00;                     ;  2025-07-01 18:14:00;                     ;  2025-07-01 18:29:00;                     ;  2025-07-01 18:44:00;                     ;  2025-07-01 18:59:00;                     ;  2025-07-01 19:14:00;                     ;  2025-07-01 19:29:00;                     ;  2025-07-01 19:44:00;                     ;  2025-07-01 19:59:00;                     ;  2025-07-01 20:14:00;                     ;  2025-07-01 20:29:00;                     ;  2025-07-01 20:44:00;                     ;  2025-07-01 20:58:00;  2025-07-01 21:12:00
          Lausanne, Villard;      8592134;  DEPARTURE;  2025-07-01 05:55:00;  2025-07-01 06:09:00;                     ;  2025-07-01 06:21:00;                     ;  2025-07-01 06:28:00;                     ;  2025-07-01 06:43:00;                     ;  2025-07-01 06:58:00;                     ;  2025-07-01 07:13:00;                     ;  2025-07-01 07:29:00;                     ;  2025-07-01 07:44:00;                     ;  2025-07-01 07:59:00;                     ;  2025-07-01 08:14:00;                     ;  2025-07-01 08:29:00;                     ;  2025-07-01 08:44:00;                     ;  2025-07-01 08:59:00;                     ;  2025-07-01 09:14:00;                     ;  2025-07-01 09:29:00;                     ;  2025-07-01 09:44:00;                     ;  2025-07-01 09:59:00;                     ;  2025-07-01 10:14:00;                     ;  2025-07-01 10:29:00;                     ;  2025-07-01 10:44:00;                     ;  2025-07-01 10:59:00;                     ;  2025-07-01 11:14:00;                     ;  2025-07-01 11:29:00;                     ;  2025-07-01 11:44:00;                     ;  2025-07-01 11:59:00;                     ;  2025-07-01 12:14:00;                     ;  2025-07-01 12:29:00;                     ;  2025-07-01 12:44:00;                     ;  2025-07-01 12:59:00;                     ;  2025-07-01 13:14:00;                     ;  2025-07-01 13:29:00;                     ;  2025-07-01 13:44:00;                     ;  2025-07-01 13:59:00;                     ;  2025-07-01 14:14:00;                     ;  2025-07-01 14:29:00;                     ;  2025-07-01 14:44:00;                     ;  2025-07-01 14:59:00;                     ;  2025-07-01 15:14:00;                     ;  2025-07-01 15:29:00;                     ;  2025-07-01 15:44:00;                     ;  2025-07-01 15:59:00;                     ;  2025-07-01 16:14:00;                     ;  2025-07-01 16:29:00;                     ;  2025-07-01 16:44:00;                     ;  2025-07-01 16:59:00;                     ;  2025-07-01 17:14:00;                     ;  2025-07-01 17:29:00;                     ;  2025-07-01 17:44:00;                     ;  2025-07-01 17:59:00;                     ;  2025-07-01 18:14:00;                     ;  2025-07-01 18:29:00;                     ;  2025-07-01 18:44:00;                     ;  2025-07-01 18:59:00;                     ;  2025-07-01 19:14:00;                     ;  2025-07-01 19:29:00;                     ;  2025-07-01 19:44:00;                     ;  2025-07-01 19:59:00;                     ;  2025-07-01 20:14:00;                     ;  2025-07-01 20:29:00;                     ;  2025-07-01 20:44:00;                     ;  2025-07-01 20:58:00;  2025-07-01 21:12:00
            Lausanne, Cécil;      8592004;    ARRIVAL;  2025-07-01 05:56:00;  2025-07-01 06:10:00;  2025-07-01 06:20:00;  2025-07-01 06:22:00;  2025-07-01 06:34:00;  2025-07-01 06:29:00;  2025-07-01 06:49:00;  2025-07-01 06:44:00;  2025-07-01 07:04:00;  2025-07-01 06:59:00;  2025-07-01 07:19:00;  2025-07-01 07:14:00;  2025-07-01 07:34:00;  2025-07-01 07:30:00;  2025-07-01 07:49:00;  2025-07-01 07:45:00;  2025-07-01 08:04:00;  2025-07-01 08:00:00;  2025-07-01 08:19:00;  2025-07-01 08:15:00;  2025-07-01 08:34:00;  2025-07-01 08:30:00;  2025-07-01 08:49:00;  2025-07-01 08:45:00;  2025-07-01 09:04:00;  2025-07-01 09:00:00;  2025-07-01 09:19:00;  2025-07-01 09:15:00;  2025-07-01 09:34:00;  2025-07-01 09:30:00;  2025-07-01 09:49:00;  2025-07-01 09:45:00;  2025-07-01 10:04:00;  2025-07-01 10:00:00;  2025-07-01 10:19:00;  2025-07-01 10:15:00;  2025-07-01 10:34:00;  2025-07-01 10:30:00;  2025-07-01 10:49:00;  2025-07-01 10:45:00;  2025-07-01 11:04:00;  2025-07-01 11:00:00;  2025-07-01 11:19:00;  2025-07-01 11:15:00;  2025-07-01 11:34:00;  2025-07-01 11:30:00;  2025-07-01 11:49:00;  2025-07-01 11:45:00;  2025-07-01 12:04:00;  2025-07-01 12:00:00;  2025-07-01 12:19:00;  2025-07-01 12:15:00;  2025-07-01 12:34:00;  2025-07-01 12:30:00;  2025-07-01 12:49:00;  2025-07-01 12:45:00;  2025-07-01 13:04:00;  2025-07-01 13:00:00;  2025-07-01 13:19:00;  2025-07-01 13:15:00;  2025-07-01 13:34:00;  2025-07-01 13:30:00;  2025-07-01 13:49:00;  2025-07-01 13:45:00;  2025-07-01 14:04:00;  2025-07-01 14:00:00;  2025-07-01 14:19:00;  2025-07-01 14:15:00;  2025-07-01 14:34:00;  2025-07-01 14:30:00;  2025-07-01 14:49:00;  2025-07-01 14:45:00;  2025-07-01 15:04:00;  2025-07-01 15:00:00;  2025-07-01 15:19:00;  2025-07-01 15:15:00;  2025-07-01 15:34:00;  2025-07-01 15:30:00;  2025-07-01 15:49:00;  2025-07-01 15:45:00;  2025-07-01 16:04:00;  2025-07-01 16:00:00;  2025-07-01 16:18:00;  2025-07-01 16:15:00;  2025-07-01 16:33:00;  2025-07-01 16:30:00;  2025-07-01 16:48:00;  2025-07-01 16:45:00;  2025-07-01 17:03:00;  2025-07-01 17:00:00;  2025-07-01 17:18:00;  2025-07-01 17:15:00;  2025-07-01 17:33:00;  2025-07-01 17:30:00;  2025-07-01 17:48:00;  2025-07-01 17:45:00;  2025-07-01 18:03:00;  2025-07-01 18:00:00;  2025-07-01 18:18:00;  2025-07-01 18:15:00;  2025-07-01 18:34:00;  2025-07-01 18:30:00;  2025-07-01 18:49:00;  2025-07-01 18:45:00;  2025-07-01 19:04:00;  2025-07-01 19:00:00;  2025-07-01 19:19:00;  2025-07-01 19:15:00;  2025-07-01 19:34:00;  2025-07-01 19:30:00;  2025-07-01 19:49:00;  2025-07-01 19:45:00;  2025-07-01 20:04:00;  2025-07-01 20:00:00;  2025-07-01 20:19:00;  2025-07-01 20:15:00;  2025-07-01 20:35:00;  2025-07-01 20:30:00;  2025-07-01 20:50:00;  2025-07-01 20:45:00;  2025-07-01 21:02:00;  2025-07-01 20:59:00;  2025-07-01 21:13:00
            Lausanne, Cécil;      8592004;  DEPARTURE;  2025-07-01 05:56:00;  2025-07-01 06:10:00;  2025-07-01 06:20:00;  2025-07-01 06:22:00;  2025-07-01 06:34:00;  2025-07-01 06:29:00;  2025-07-01 06:49:00;  2025-07-01 06:44:00;  2025-07-01 07:04:00;  2025-07-01 06:59:00;  2025-07-01 07:19:00;  2025-07-01 07:14:00;  2025-07-01 07:34:00;  2025-07-01 07:30:00;  2025-07-01 07:49:00;  2025-07-01 07:45:00;  2025-07-01 08:04:00;  2025-07-01 08:00:00;  2025-07-01 08:19:00;  2025-07-01 08:15:00;  2025-07-01 08:34:00;  2025-07-01 08:30:00;  2025-07-01 08:49:00;  2025-07-01 08:45:00;  2025-07-01 09:04:00;  2025-07-01 09:00:00;  2025-07-01 09:19:00;  2025-07-01 09:15:00;  2025-07-01 09:34:00;  2025-07-01 09:30:00;  2025-07-01 09:49:00;  2025-07-01 09:45:00;  2025-07-01 10:04:00;  2025-07-01 10:00:00;  2025-07-01 10:19:00;  2025-07-01 10:15:00;  2025-07-01 10:34:00;  2025-07-01 10:30:00;  2025-07-01 10:49:00;  2025-07-01 10:45:00;  2025-07-01 11:04:00;  2025-07-01 11:00:00;  2025-07-01 11:19:00;  2025-07-01 11:15:00;  2025-07-01 11:34:00;  2025-07-01 11:30:00;  2025-07-01 11:49:00;  2025-07-01 11:45:00;  2025-07-01 12:04:00;  2025-07-01 12:00:00;  2025-07-01 12:19:00;  2025-07-01 12:15:00;  2025-07-01 12:34:00;  2025-07-01 12:30:00;  2025-07-01 12:49:00;  2025-07-01 12:45:00;  2025-07-01 13:04:00;  2025-07-01 13:00:00;  2025-07-01 13:19:00;  2025-07-01 13:15:00;  2025-07-01 13:34:00;  2025-07-01 13:30:00;  2025-07-01 13:49:00;  2025-07-01 13:45:00;  2025-07-01 14:04:00;  2025-07-01 14:00:00;  2025-07-01 14:19:00;  2025-07-01 14:15:00;  2025-07-01 14:34:00;  2025-07-01 14:30:00;  2025-07-01 14:49:00;  2025-07-01 14:45:00;  2025-07-01 15:04:00;  2025-07-01 15:00:00;  2025-07-01 15:19:00;  2025-07-01 15:15:00;  2025-07-01 15:34:00;  2025-07-01 15:30:00;  2025-07-01 15:49:00;  2025-07-01 15:45:00;  2025-07-01 16:04:00;  2025-07-01 16:00:00;  2025-07-01 16:18:00;  2025-07-01 16:15:00;  2025-07-01 16:33:00;  2025-07-01 16:30:00;  2025-07-01 16:48:00;  2025-07-01 16:45:00;  2025-07-01 17:03:00;  2025-07-01 17:00:00;  2025-07-01 17:18:00;  2025-07-01 17:15:00;  2025-07-01 17:33:00;  2025-07-01 17:30:00;  2025-07-01 17:48:00;  2025-07-01 17:45:00;  2025-07-01 18:03:00;  2025-07-01 18:00:00;  2025-07-01 18:18:00;  2025-07-01 18:15:00;  2025-07-01 18:34:00;  2025-07-01 18:30:00;  2025-07-01 18:49:00;  2025-07-01 18:45:00;  2025-07-01 19:04:00;  2025-07-01 19:00:00;  2025-07-01 19:19:00;  2025-07-01 19:15:00;  2025-07-01 19:34:00;  2025-07-01 19:30:00;  2025-07-01 19:49:00;  2025-07-01 19:45:00;  2025-07-01 20:04:00;  2025-07-01 20:00:00;  2025-07-01 20:19:00;  2025-07-01 20:15:00;  2025-07-01 20:35:00;  2025-07-01 20:30:00;  2025-07-01 20:50:00;  2025-07-01 20:45:00;  2025-07-01 21:02:00;  2025-07-01 20:59:00;  2025-07-01 21:13:00
   Lausanne, Pont Chauderon;      8592096;    ARRIVAL;                     ;                     ;  2025-07-01 06:19:00;                     ;  2025-07-01 06:33:00;                     ;  2025-07-01 06:48:00;                     ;  2025-07-01 07:03:00;                     ;  2025-07-01 07:18:00;                     ;  2025-07-01 07:32:00;                     ;  2025-07-01 07:47:00;                     ;  2025-07-01 08:02:00;                     ;  2025-07-01 08:17:00;                     ;  2025-07-01 08:32:00;                     ;  2025-07-01 08:47:00;                     ;  2025-07-01 09:02:00;                     ;  2025-07-01 09:18:00;                     ;  2025-07-01 09:33:00;                     ;  2025-07-01 09:48:00;                     ;  2025-07-01 10:03:00;                     ;  2025-07-01 10:18:00;                     ;  2025-07-01 10:33:00;                     ;  2025-07-01 10:48:00;                     ;  2025-07-01 11:03:00;                     ;  2025-07-01 11:18:00;                     ;  2025-07-01 11:33:00;                     ;  2025-07-01 11:48:00;                     ;  2025-07-01 12:03:00;                     ;  2025-07-01 12:18:00;                     ;  2025-07-01 12:33:00;                     ;  2025-07-01 12:48:00;                     ;  2025-07-01 13:03:00;                     ;  2025-07-01 13:18:00;                     ;  2025-07-01 13:32:00;                     ;  2025-07-01 13:47:00;                     ;  2025-07-01 14:02:00;                     ;  2025-07-01 14:17:00;                     ;  2025-07-01 14:32:00;                     ;  2025-07-01 14:47:00;                     ;  2025-07-01 15:02:00;                     ;  2025-07-01 15:17:00;                     ;  2025-07-01 15:32:00;                     ;  2025-07-01 15:47:00;                     ;  2025-07-01 16:02:00;                     ;  2025-07-01 16:16:00;                     ;  2025-07-01 16:31:00;                     ;  2025-07-01 16:46:00;                     ;  2025-07-01 17:01:00;                     ;  2025-07-01 17:16:00;                     ;  2025-07-01 17:31:00;                     ;  2025-07-01 17:46:00;                     ;  2025-07-01 18:01:00;                     ;  2025-07-01 18:16:00;                     ;  2025-07-01 18:32:00;                     ;  2025-07-01 18:47:00;                     ;  2025-07-01 19:03:00;                     ;  2025-07-01 19:18:00;                     ;  2025-07-01 19:33:00;                     ;  2025-07-01 19:48:00;                     ;  2025-07-01 20:03:00;                     ;  2025-07-01 20:18:00;                     ;  2025-07-01 20:34:00;                     ;  2025-07-01 20:49:00;                     ;  2025-07-01 21:01:00;                     ;                     
   Lausanne, Pont Chauderon;      8592096;  DEPARTURE;                     ;                     ;  2025-07-01 06:19:00;                     ;  2025-07-01 06:33:00;                     ;  2025-07-01 06:48:00;                     ;  2025-07-01 07:03:00;                     ;  2025-07-01 07:18:00;                     ;  2025-07-01 07:32:00;                     ;  2025-07-01 07:47:00;                     ;  2025-07-01 08:02:00;                     ;  2025-07-01 08:17:00;                     ;  2025-07-01 08:32:00;                     ;  2025-07-01 08:47:00;                     ;  2025-07-01 09:02:00;                     ;  2025-07-01 09:18:00;                     ;  2025-07-01 09:33:00;                     ;  2025-07-01 09:48:00;                     ;  2025-07-01 10:03:00;                     ;  2025-07-01 10:18:00;                     ;  2025-07-01 10:33:00;                     ;  2025-07-01 10:48:00;                     ;  2025-07-01 11:03:00;                     ;  2025-07-01 11:18:00;                     ;  2025-07-01 11:33:00;                     ;  2025-07-01 11:48:00;                     ;  2025-07-01 12:03:00;                     ;  2025-07-01 12:18:00;                     ;  2025-07-01 12:33:00;                     ;  2025-07-01 12:48:00;                     ;  2025-07-01 13:03:00;                     ;  2025-07-01 13:18:00;                     ;  2025-07-01 13:32:00;                     ;  2025-07-01 13:47:00;                     ;  2025-07-01 14:02:00;                     ;  2025-07-01 14:17:00;                     ;  2025-07-01 14:32:00;                     ;  2025-07-01 14:47:00;                     ;  2025-07-01 15:02:00;                     ;  2025-07-01 15:17:00;                     ;  2025-07-01 15:32:00;                     ;  2025-07-01 15:47:00;                     ;  2025-07-01 16:02:00;                     ;  2025-07-01 16:16:00;                     ;  2025-07-01 16:31:00;                     ;  2025-07-01 16:46:00;                     ;  2025-07-01 17:01:00;                     ;  2025-07-01 17:16:00;                     ;  2025-07-01 17:31:00;                     ;  2025-07-01 17:46:00;                     ;  2025-07-01 18:01:00;                     ;  2025-07-01 18:16:00;                     ;  2025-07-01 18:32:00;                     ;  2025-07-01 18:47:00;                     ;  2025-07-01 19:03:00;                     ;  2025-07-01 19:18:00;                     ;  2025-07-01 19:33:00;                     ;  2025-07-01 19:48:00;                     ;  2025-07-01 20:03:00;                     ;  2025-07-01 20:18:00;                     ;  2025-07-01 20:34:00;                     ;  2025-07-01 20:49:00;                     ;  2025-07-01 21:01:00;                     ;                     
        Lausanne, Chauderon;      8592010;    ARRIVAL;  2025-07-01 05:58:00;  2025-07-01 06:12:00;                     ;  2025-07-01 06:25:00;                     ;  2025-07-01 06:32:00;                     ;  2025-07-01 06:47:00;                     ;  2025-07-01 07:02:00;                     ;  2025-07-01 07:17:00;                     ;  2025-07-01 07:33:00;                     ;  2025-07-01 07:48:00;                     ;  2025-07-01 08:03:00;                     ;  2025-07-01 08:18:00;                     ;  2025-07-01 08:33:00;                     ;  2025-07-01 08:48:00;                     ;  2025-07-01 09:03:00;                     ;  2025-07-01 09:18:00;                     ;  2025-07-01 09:33:00;                     ;  2025-07-01 09:48:00;                     ;  2025-07-01 10:03:00;                     ;  2025-07-01 10:18:00;                     ;  2025-07-01 10:33:00;                     ;  2025-07-01 10:48:00;                     ;  2025-07-01 11:03:00;                     ;  2025-07-01 11:18:00;                     ;  2025-07-01 11:33:00;                     ;  2025-07-01 11:48:00;                     ;  2025-07-01 12:03:00;                     ;  2025-07-01 12:18:00;                     ;  2025-07-01 12:33:00;                     ;  2025-07-01 12:48:00;                     ;  2025-07-01 13:03:00;                     ;  2025-07-01 13:18:00;                     ;  2025-07-01 13:33:00;                     ;  2025-07-01 13:48:00;                     ;  2025-07-01 14:03:00;                     ;  2025-07-01 14:18:00;                     ;  2025-07-01 14:33:00;                     ;  2025-07-01 14:48:00;                     ;  2025-07-01 15:03:00;                     ;  2025-07-01 15:18:00;                     ;  2025-07-01 15:33:00;                     ;  2025-07-01 15:48:00;                     ;  2025-07-01 16:03:00;                     ;  2025-07-01 16:19:00;                     ;  2025-07-01 16:34:00;                     ;  2025-07-01 16:49:00;                     ;  2025-07-01 17:04:00;                     ;  2025-07-01 17:19:00;                     ;  2025-07-01 17:34:00;                     ;  2025-07-01 17:49:00;                     ;  2025-07-01 18:04:00;                     ;  2025-07-01 18:19:00;                     ;  2025-07-01 18:34:00;                     ;  2025-07-01 18:49:00;                     ;  2025-07-01 19:03:00;                     ;  2025-07-01 19:18:00;                     ;  2025-07-01 19:33:00;                     ;  2025-07-01 19:48:00;                     ;  2025-07-01 20:03:00;                     ;  2025-07-01 20:18:00;                     ;  2025-07-01 20:33:00;                     ;  2025-07-01 20:47:00;                     ;  2025-07-01 21:01:00;  2025-07-01 21:15:00
        Lausanne, Chauderon;      8592010;  DEPARTURE;  2025-07-01 05:58:00;  2025-07-01 06:12:00;                     ;  2025-07-01 06:25:00;                     ;  2025-07-01 06:32:00;                     ;  2025-07-01 06:47:00;                     ;  2025-07-01 07:02:00;                     ;  2025-07-01 07:17:00;                     ;  2025-07-01 07:33:00;                     ;  2025-07-01 07:48:00;                     ;  2025-07-01 08:03:00;                     ;  2025-07-01 08:18:00;                     ;  2025-07-01 08:33:00;                     ;  2025-07-01 08:48:00;                     ;  2025-07-01 09:03:00;                     ;  2025-07-01 09:18:00;                     ;  2025-07-01 09:33:00;                     ;  2025-07-01 09:48:00;                     ;  2025-07-01 10:03:00;                     ;  2025-07-01 10:18:00;                     ;  2025-07-01 10:33:00;                     ;  2025-07-01 10:48:00;                     ;  2025-07-01 11:03:00;                     ;  2025-07-01 11:18:00;                     ;  2025-07-01 11:33:00;                     ;  2025-07-01 11:48:00;                     ;  2025-07-01 12:03:00;                     ;  2025-07-01 12:18:00;                     ;  2025-07-01 12:33:00;                     ;  2025-07-01 12:48:00;                     ;  2025-07-01 13:03:00;                     ;  2025-07-01 13:18:00;                     ;  2025-07-01 13:33:00;                     ;  2025-07-01 13:48:00;                     ;  2025-07-01 14:03:00;                     ;  2025-07-01 14:18:00;                     ;  2025-07-01 14:33:00;                     ;  2025-07-01 14:48:00;                     ;  2025-07-01 15:03:00;                     ;  2025-07-01 15:18:00;                     ;  2025-07-01 15:33:00;                     ;  2025-07-01 15:48:00;                     ;  2025-07-01 16:03:00;                     ;  2025-07-01 16:19:00;                     ;  2025-07-01 16:34:00;                     ;  2025-07-01 16:49:00;                     ;  2025-07-01 17:04:00;                     ;  2025-07-01 17:19:00;                     ;  2025-07-01 17:34:00;                     ;  2025-07-01 17:49:00;                     ;  2025-07-01 18:04:00;                     ;  2025-07-01 18:19:00;                     ;  2025-07-01 18:34:00;                     ;  2025-07-01 18:49:00;                     ;  2025-07-01 19:03:00;                     ;  2025-07-01 19:18:00;                     ;  2025-07-01 19:33:00;                     ;  2025-07-01 19:48:00;                     ;  2025-07-01 20:03:00;                     ;  2025-07-01 20:18:00;                     ;  2025-07-01 20:33:00;                     ;  2025-07-01 20:47:00;                     ;  2025-07-01 21:01:00;  2025-07-01 21:15:00
