         STOP_NAME         ; STOP_NUMBER ;   POSITION_X  ;   POSITION_Y  ;      DISTANCE      ; Route_A ; Route_B 
             Lausanne, gare;      8592050;      2537919.0;      1152132.0;                 0.0;      Yes;      Yes
          Lausanne, Villard;      8592134;  2537465.83676;  1152353.98006;   504.6108095602153;      Yes;         
            Lausanne, Cécil;      8592004;      2537401.0;      1152495.0;   659.8217271043454;      Yes;      Yes
   Lausanne, Pont Chauderon;      8592096;      2537522.0;      1152762.0;   952.8593505170732;         ;      Yes
        Lausanne, Chauderon;      8592010;      2537555.0;      1152802.0;  1003.2820596028744;      Yes;         
          Lausanne, St-Roch;      8592120;      2537658.0;      1153021.0;   1245.294455979589;      Yes;      Yes
  Lausanne, Beaulieu-Jomini;      8592060;      2537680.0;      1153210.0;  1435.5705711385863;      Yes;      Yes
       Lausanne, Mont-Blanc;      8592076;      2537726.0;      1153527.0;  1755.8907234862024;      Yes;      Yes
         Lausanne, casernes;      8592003;      2537827.0;      1153699.0;   1955.352499272943;      Yes;      Yes
  Lausanne, Stade Olympique;      8592116;      2537662.0;      1153939.0;   2246.599816857157;      Yes;      Yes
   Lausanne, Parc Vélodrome;      8592088;      2537488.0;      1154184.0;   2547.101064774699;      Yes;      Yes
      Lausanne, Bois-Gentil;      8591996;      2537375.0;      1154479.0;   2863.002948276523;      Yes;      Yes
      Lausanne, Blécherette;      8591994;      2537294.0;      1154878.0;  3270.1417452487594;      Yes;      Yes
           Lausanne, Boston;      8592001;      2537405.0;      1152837.0;                    ;         ;         
           Lausanne, Prélaz;      8592102;      2536612.0;      1153116.0;                    ;         ;         
         Lausanne, Recordon;      8592109;      2537035.0;      1153025.0;                    ;         ;         
