  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;           Start           ;  Start_time_Planned ;   Start_time_Real   ;          End          ;   End_time_Planned  ;    End_time_Real    
  85:151:1772;  Route_D;               17;          R;   Lausanne, Pont Chauderon;  2025-07-01 04:49:00;  2025-07-01 04:50:21;       Paudex, Verrière;  2025-07-01 05:05:00;  2025-07-01 05:04:22
  85:151:1804;  Route_B;               27;          R;      Lausanne, Blécherette;  2025-07-01 05:02:00;  2025-07-01 05:02:07;       Paudex, Verrière;  2025-07-01 05:29:00;  2025-07-01 05:27:24
  85:151:1847;  Route_D;               17;          R;   Lausanne, Pont Chauderon;  2025-07-01 05:04:00;  2025-07-01 05:06:05;       Paudex, Verrière;  2025-07-01 05:20:00;  2025-07-01 05:22:20
  85:151:1837;  Route_E;                9;          O;  Lausanne, Beaulieu-Jomini;  2025-07-01 05:06:00;  2025-07-01 05:06:36;  Lausanne, Blécherette;  2025-07-01 05:13:00;  2025-07-01 05:13:59
  85:151:1773;  Route_A;               27;          O;           Paudex, Verrière;  2025-07-01 05:09:00;  2025-07-01 05:10:01;  Lausanne, Blécherette;  2025-07-01 05:35:00;  2025-07-01 05:34:01
  85:151:1838;  Route_B;               27;          R;      Lausanne, Blécherette;  2025-07-01 05:17:00;  2025-07-01 05:17:56;       Paudex, Verrière;  2025-07-01 05:44:00;  2025-07-01 05:49:07
  85:151:1874;  Route_E;                9;          O;  Lausanne, Beaulieu-Jomini;  2025-07-01 05:21:00;  2025-07-01 05:21:39;  Lausanne, Blécherette;  2025-07-01 05:28:00;  2025-07-01 05:29:25
  85:151:1848;  Route_A;               27;          O;           Paudex, Verrière;  2025-07-01 05:24:00;  2025-07-01 05:24:00;  Lausanne, Blécherette;  2025-07-01 05:50:00;  2025-07-01 05:51:32
  85:151:1875;  Route_B;               27;          R;      Lausanne, Blécherette;  2025-07-01 05:32:00;  2025-07-01 05:32:19;       Paudex, Verrière;  2025-07-01 05:59:00;  2025-07-01 06:03:10
  85:151:1805;  Route_A;               27;          O;           Paudex, Verrière;  2025-07-01 05:39:00;  2025-07-01 05:39:07;  Lausanne, Blécherette;  2025-07-01 06:05:00;  2025-07-01 06:07:08
  85:151:1774;  Route_B;               27;          R;      Lausanne, Blécherette;  2025-07-01 05:47:00;  2025-07-01 05:47:21;       Paudex, Verrière;  2025-07-01 06:15:00;  2025-07-01 06:13:41
  85:151:1839;  Route_A;               27;          O;           Paudex, Verrière;  2025-07-01 05:53:00;  2025-07-01 05:53:00;  Lausanne, Blécherette;  2025-07-01 06:21:00;  2025-07-01 06:24:55
  85:151:1849;  Route_B;               27;          R;      Lausanne, Blécherette;  2025-07-01 06:02:00;  2025-07-01 06:02:25;       Paudex, Verrière;  2025-07-01 06:31:00;  2025-07-01 06:30:07
  85:151:1906;  Route_D;               17;          R;   Lausanne, Pont Chauderon;  2025-07-01 06:06:00;  2025-07-01 06:09:50;       Paudex, Verrière;  2025-07-01 06:23:00;  2025-07-01 06:27:44
  85:151:1876;  Route_A;               27;          O;           Paudex, Verrière;  2025-07-01 06:08:00;  2025-07-01 06:08:19;  Lausanne, Blécherette;  2025-07-01 06:37:00;  2025-07-01 06:42:06
  85:151:1806;  Route_B;               27;          R;      Lausanne, Blécherette;  2025-07-01 06:17:00;  2025-07-01 06:17:07;       Paudex, Verrière;  2025-07-01 06:46:00;  2025-07-01 06:47:32
  85:151:1775;  Route_A;               27;          O;           Paudex, Verrière;  2025-07-01 06:21:00;  2025-07-01 06:21:55;  Lausanne, Blécherette;  2025-07-01 06:50:00;  2025-07-01 06:52:13
  85:151:1840;  Route_B;               27;          R;      Lausanne, Blécherette;  2025-07-01 06:30:00;  2025-07-01 06:30:15;       Paudex, Verrière;  2025-07-01 07:00:00;  2025-07-01 07:02:46
