  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;            Start             ;  Start_time_Planned ;   Start_time_Real   ;             End              ;   End_time_Planned  ;    End_time_Real    
  85:151:2041;  Route_A;               12;          O;        Lausanne, Bourdonnette;  2025-07-01 06:06:00;  2025-07-01 06:06:00;  Lausanne, Tour Haldimand-Lac;  2025-07-01 06:21:00;  2025-07-01 06:21:00
  85:151:2053;  Route_A;               12;          O;        Lausanne, Bourdonnette;  2025-07-01 06:18:00;  2025-07-01 06:18:00;  Lausanne, Tour Haldimand-Lac;  2025-07-01 06:33:00;  2025-07-01 06:33:00
  85:151:2042;  Route_A;               12;          R;  Lausanne, Tour Haldimand-Lac;  2025-07-01 06:24:00;  2025-07-01 06:24:00;        Lausanne, Bourdonnette;  2025-07-01 06:38:00;  2025-07-01 06:38:00
  85:151:2071;  Route_A;               12;          O;        Lausanne, Bourdonnette;  2025-07-01 06:30:00;  2025-07-01 06:31:36;  Lausanne, Tour Haldimand-Lac;  2025-07-01 06:45:00;  2025-07-01 06:45:22
  85:151:2054;  Route_A;               12;          R;  Lausanne, Tour Haldimand-Lac;  2025-07-01 06:37:00;  2025-07-01 06:37:00;        Lausanne, Bourdonnette;  2025-07-01 06:51:00;  2025-07-01 06:51:00
  85:151:2043;  Route_A;               12;          O;        Lausanne, Bourdonnette;  2025-07-01 06:43:00;  2025-07-01 06:43:29;  Lausanne, Tour Haldimand-Lac;  2025-07-01 06:58:00;  2025-07-01 06:57:30
  85:151:2072;  Route_A;               12;          R;  Lausanne, Tour Haldimand-Lac;  2025-07-01 06:49:00;  2025-07-01 06:49:54;        Lausanne, Bourdonnette;  2025-07-01 07:04:00;  2025-07-01 07:02:51
  85:151:2055;  Route_A;               12;          O;        Lausanne, Bourdonnette;  2025-07-01 06:56:00;  2025-07-01 06:57:21;  Lausanne, Tour Haldimand-Lac;  2025-07-01 07:11:00;  2025-07-01 07:11:44
  85:151:2044;  Route_A;               12;          R;  Lausanne, Tour Haldimand-Lac;  2025-07-01 07:02:00;  2025-07-01 07:02:49;        Lausanne, Bourdonnette;  2025-07-01 07:18:00;  2025-07-01 07:18:09
  85:151:2073;  Route_A;               12;          O;        Lausanne, Bourdonnette;  2025-07-01 07:10:00;  2025-07-01 07:10:27;  Lausanne, Tour Haldimand-Lac;  2025-07-01 07:26:00;  2025-07-01 07:24:57
  85:151:2056;  Route_A;               12;          R;  Lausanne, Tour Haldimand-Lac;  2025-07-01 07:17:00;  2025-07-01 07:18:59;        Lausanne, Bourdonnette;  2025-07-01 07:34:00;  2025-07-01 07:34:49
  85:151:2045;  Route_A;               12;          O;        Lausanne, Bourdonnette;  2025-07-01 07:25:00;  2025-07-01 07:25:44;  Lausanne, Tour Haldimand-Lac;  2025-07-01 07:41:00;  2025-07-01 07:41:26
  85:151:2074;  Route_A;               12;          R;  Lausanne, Tour Haldimand-Lac;  2025-07-01 07:32:00;  2025-07-01 07:32:24;        Lausanne, Bourdonnette;  2025-07-01 07:50:00;  2025-07-01 07:46:24
  85:151:2057;  Route_A;               12;          O;        Lausanne, Bourdonnette;  2025-07-01 07:39:00;  2025-07-01 07:39:53;  Lausanne, Tour Haldimand-Lac;  2025-07-01 07:57:00;  2025-07-01 07:55:29
  85:151:2046;  Route_A;               12;          R;  Lausanne, Tour Haldimand-Lac;  2025-07-01 07:47:00;  2025-07-01 07:47:29;        Lausanne, Bourdonnette;  2025-07-01 08:05:00;  2025-07-01 08:03:28
  85:151:2075;  Route_A;               12;          O;        Lausanne, Bourdonnette;  2025-07-01 07:54:00;  2025-07-01 07:54:24;  Lausanne, Tour Haldimand-Lac;  2025-07-01 08:12:00;  2025-07-01 08:09:43
  85:151:2058;  Route_A;               12;          R;  Lausanne, Tour Haldimand-Lac;  2025-07-01 08:01:00;  2025-07-01 08:01:46;        Lausanne, Bourdonnette;  2025-07-01 08:19:00;  2025-07-01 08:18:06
