  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;           Start           ;  Start_time_Planned ;   Start_time_Real   ;            End            ;   End_time_Planned  ;    End_time_Real    
  85:151:2478;  Route_C;                8;          R;     Lausanne, Vieux-Moulin;  2025-07-01 04:46:00;  2025-07-01 04:44:12;             Lausanne, gare;  2025-07-01 04:57:00;  2025-07-01 04:54:52
  85:151:2479;  Route_A;               15;          O;             Lausanne, gare;  2025-07-01 05:00:00;  2025-07-01 05:00:32;  Le Mont-sur-L., Maillefer;  2025-07-01 05:16:00;  2025-07-01 05:14:32
  85:151:2490;  Route_C;                8;          R;     Lausanne, Vieux-Moulin;  2025-07-01 05:01:00;  2025-07-01 05:01:00;             Lausanne, gare;  2025-07-01 05:12:00;  2025-07-01 05:10:00
  85:151:2540;  Route_B;               13;          R;  Le Mont-sur-L., Maillefer;  2025-07-01 05:10:00;  2025-07-01 05:10:54;             Lausanne, gare;  2025-07-01 05:25:00;  2025-07-01 05:27:44
  85:151:2491;  Route_A;               15;          O;             Lausanne, gare;  2025-07-01 05:15:00;  2025-07-01 05:15:00;  Le Mont-sur-L., Maillefer;  2025-07-01 05:31:00;  2025-07-01 05:30:40
  85:151:2480;  Route_B;               13;          R;  Le Mont-sur-L., Maillefer;  2025-07-01 05:25:00;  2025-07-01 05:25:12;             Lausanne, gare;  2025-07-01 05:40:00;  2025-07-01 05:41:06
  85:151:2541;  Route_A;               15;          O;             Lausanne, gare;  2025-07-01 05:30:00;  2025-07-01 05:30:34;  Le Mont-sur-L., Maillefer;  2025-07-01 05:46:00;  2025-07-01 05:47:27
  85:151:2492;  Route_B;               13;          R;  Le Mont-sur-L., Maillefer;  2025-07-01 05:40:00;  2025-07-01 05:40:00;             Lausanne, gare;  2025-07-01 05:55:00;  2025-07-01 05:56:46
  85:151:2481;  Route_A;               15;          O;             Lausanne, gare;  2025-07-01 05:45:00;  2025-07-01 05:45:32;  Le Mont-sur-L., Maillefer;  2025-07-01 06:01:00;  2025-07-01 06:02:18
  85:151:2542;  Route_B;               13;          R;  Le Mont-sur-L., Maillefer;  2025-07-01 05:55:00;  2025-07-01 05:55:35;             Lausanne, gare;  2025-07-01 06:10:00;  2025-07-01 06:13:14
  85:151:2493;  Route_A;               15;          O;             Lausanne, gare;  2025-07-01 06:00:00;  2025-07-01 06:00:20;  Le Mont-sur-L., Maillefer;  2025-07-01 06:16:00;  2025-07-01 06:16:41
  85:151:2482;  Route_B;               13;          R;  Le Mont-sur-L., Maillefer;  2025-07-01 06:10:00;  2025-07-01 06:10:09;             Lausanne, gare;  2025-07-01 06:25:00;  2025-07-01 06:26:54
  85:151:2543;  Route_A;               15;          O;             Lausanne, gare;  2025-07-01 06:15:00;  2025-07-01 06:15:33;  Le Mont-sur-L., Maillefer;  2025-07-01 06:32:00;  2025-07-01 06:31:12
