           STOP_NAME            ; STOP_NUMBER ;   POSITION_X  ;   POSITION_Y  ;      DISTANCE      ; Route_A ; Route_B 
       St-Sulpice VD, Venoge sud;      8579231;      2531519.0;      1151671.0;                 0.0;      Yes;      Yes
           St-Sulpice VD, Laviau;      8588156;      2531846.0;      1151495.0;  371.35562470494506;      Yes;      Yes
         St-Sulpice VD, Chantres;      8588155;      2532069.0;      1151404.0;   612.2082767559449;      Yes;      Yes
           St-Sulpice VD, centre;      8588158;      2532419.0;      1151355.0;   965.6216324741463;      Yes;      Yes
           St-Sulpice VD, Bochet;      8588157;      2532528.0;      1151716.0;   1342.718437021732;      Yes;      Yes
           St-Sulpice VD, Russel;      8592226;      2532871.0;      1151912.0;   1737.769066688361;      Yes;      Yes
         St-Sulpice VD, Pâqueret;      8592227;   2533389.0391;  1152057.10831;   2275.747626447068;      Yes;      Yes
  Ecublens VD, Campus des médias;      8511813;  2533321.79839;  1152163.77392;  2401.8383296649786;         ;      Yes
             Ecublens VD, Argand;      8591944;      2533488.0;      1152483.0;   2761.738684372604;      Yes;      Yes
         Ecublens VD, UNIL-Sorge;      8501213;      2533622.0;      1152717.0;  3031.3903114769105;      Yes;      Yes
           Chavannes-R., Mouline;      8594987;      2534069.0;      1153126.0;  3637.2698374554666;      Yes;      Yes
            Chavannes-R., Berges;      8594986;      2533735.0;      1153276.0;   4003.406423991147;      Yes;      Yes
            Chavannes-R., Plaine;      8593867;      2533535.1;      1153397.8;   4237.490276488439;      Yes;      Yes
            Chavannes-R., Cèdres;      8507227;      2533580.0;      1153574.0;   4419.321104457667;      Yes;      Yes
          Chavannes-R., Concorde;      8593868;      2533691.0;      1153816.0;   4685.563475240381;      Yes;      Yes
            Chavannes-R., Planta;      8591933;      2533594.0;      1154023.0;   4914.163562729428;      Yes;      Yes
          Chavannes-R., Glycines;      8593869;      2533869.0;      1154252.0;   5272.026665046501;      Yes;      Yes
             Renens VD, gare sud;      8588983;      2534082.0;      1154287.0;   5487.883098816727;      Yes;      Yes
