  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;           Start            ;  Start_time_Planned ;   Start_time_Real   ;            End             ;   End_time_Planned  ;    End_time_Real    
  85:151:3053;  Route_A;               29;          O;  St-Sulpice VD, Venoge nord;  2025-07-01 05:06:00;  2025-07-01 05:06:59;         Prilly, Mont-Goulin;  2025-07-01 05:40:00;  2025-07-01 05:39:00
  85:151:3109;  Route_A;               29;          R;         Prilly, Mont-Goulin;  2025-07-01 05:15:00;  2025-07-01 05:15:35;  St-Sulpice VD, Venoge nord;  2025-07-01 05:51:00;  2025-07-01 05:53:15
  85:151:3081;  Route_A;               29;          O;  St-Sulpice VD, Venoge nord;  2025-07-01 05:21:00;  2025-07-01 05:21:00;         Prilly, Mont-Goulin;  2025-07-01 05:55:00;  2025-07-01 05:52:36
  85:151:3143;  Route_A;               29;          R;         Prilly, Mont-Goulin;  2025-07-01 05:30:00;  2025-07-01 05:30:22;  St-Sulpice VD, Venoge nord;  2025-07-01 06:06:00;  2025-07-01 06:08:19
  85:151:3137;  Route_A;               29;          O;  St-Sulpice VD, Venoge nord;  2025-07-01 05:36:00;  2025-07-01 05:36:46;         Prilly, Mont-Goulin;  2025-07-01 06:10:00;  2025-07-01 06:09:50
  85:151:3054;  Route_A;               29;          R;         Prilly, Mont-Goulin;  2025-07-01 05:45:00;  2025-07-01 05:45:39;  St-Sulpice VD, Venoge nord;  2025-07-01 06:21:00;  2025-07-01 06:19:28
  85:151:3162;  Route_A;               29;          O;  St-Sulpice VD, Venoge nord;  2025-07-01 05:51:00;  2025-07-01 05:51:21;         Prilly, Mont-Goulin;  2025-07-01 06:25:00;  2025-07-01 06:25:45
  85:151:3082;  Route_A;               29;          R;         Prilly, Mont-Goulin;  2025-07-01 06:00:00;  2025-07-01 06:00:20;  St-Sulpice VD, Venoge nord;  2025-07-01 06:39:00;  2025-07-01 06:37:46
  85:151:3110;  Route_A;               29;          O;  St-Sulpice VD, Venoge nord;  2025-07-01 06:06:00;  2025-07-01 06:06:14;         Prilly, Mont-Goulin;  2025-07-01 06:40:00;  2025-07-01 06:41:15
  85:151:3138;  Route_A;               29;          R;         Prilly, Mont-Goulin;  2025-07-01 06:15:00;  2025-07-01 06:15:44;  St-Sulpice VD, Venoge nord;  2025-07-01 06:54:00;  2025-07-01 06:52:55
  85:151:3144;  Route_A;               29;          O;  St-Sulpice VD, Venoge nord;  2025-07-01 06:19:00;  2025-07-01 06:19:19;         Prilly, Mont-Goulin;  2025-07-01 06:56:00;  2025-07-01 06:57:53
  85:151:3163;  Route_A;               29;          R;         Prilly, Mont-Goulin;  2025-07-01 06:30:00;  2025-07-01 06:30:34;  St-Sulpice VD, Venoge nord;  2025-07-01 07:09:00;  2025-07-01 07:09:35
  85:151:3055;  Route_A;               29;          O;  St-Sulpice VD, Venoge nord;  2025-07-01 06:31:00;  2025-07-01 06:31:59;         Prilly, Mont-Goulin;  2025-07-01 07:11:00;  2025-07-01 07:09:28
  85:151:3083;  Route_A;               29;          O;  St-Sulpice VD, Venoge nord;  2025-07-01 06:45:00;  2025-07-01 06:45:13;         Prilly, Mont-Goulin;  2025-07-01 07:26:00;  2025-07-01 07:25:33
  85:151:3111;  Route_A;               29;          R;         Prilly, Mont-Goulin;  2025-07-01 06:46:00;  2025-07-01 06:46:29;  St-Sulpice VD, Venoge nord;  2025-07-01 07:26:00;  2025-07-01 07:28:04
  85:151:3139;  Route_A;               29;          O;  St-Sulpice VD, Venoge nord;  2025-07-01 07:00:00;  2025-07-01 07:00:35;         Prilly, Mont-Goulin;  2025-07-01 07:41:00;  2025-07-01 07:43:16
