       STOP_NAME        ; STOP_NUMBER ;   EVENT   ;     85:151:3223     ;     85:151:3224     ;     85:151:3225     ;     85:151:3226     ;     85:151:3227     ;     85:151:3228     ;     85:151:3229     ;     85:151:3230     ;     85:151:3231     ;     85:151:3232     ;     85:151:3233     ;     85:151:3234     ;     85:151:3235     ;     85:151:3236     ;     85:151:3237     ;     85:151:3238     ;     85:151:3239     ;     85:151:3240     ;     85:151:3241     ;     85:151:3242     ;     85:151:3243     ;     85:151:3244     ;     85:151:3245     ;     85:151:3246     ;     85:151:3247     ;     85:151:3248     ;     85:151:3249     ;     85:151:3250     ;     85:151:3251     ;     85:151:3252     ;     85:151:3253     ;     85:151:3254     ;     85:151:3255     ;     85:151:3256     ;     85:151:3257     ;     85:151:3258     ;     85:151:3259     ;     85:151:3260     ;     85:151:3261     ;     85:151:3262     ;     85:151:3263     ;     85:151:3264     ;     85:151:3265     ;     85:151:3266     ;     85:151:3267     ;     85:151:3268     ;     85:151:3269     ;     85:151:3270     ;     85:151:3271     ;     85:151:3272     ;     85:151:3273     ;     85:151:3274     ;     85:151:3275     ;     85:151:3276     ;     85:151:3277     ;     85:151:3278     ;     85:151:3279     ;     85:151:3280     ;     85:151:3281     ;     85:151:3282     ;     85:151:3283     ;     85:151:3284     ;     85:151:3285     
          Bussigny, gare;      8581914;    ARRIVAL;                     ;  2025-07-01 06:35:00;                     ;  2025-07-01 07:05:00;                     ;  2025-07-01 07:35:00;                     ;  2025-07-01 08:05:00;                     ;  2025-07-01 08:35:00;                     ;  2025-07-01 09:05:00;                     ;  2025-07-01 09:35:00;                     ;  2025-07-01 10:05:00;                     ;  2025-07-01 10:35:00;                     ;  2025-07-01 11:05:00;                     ;  2025-07-01 11:35:00;                     ;  2025-07-01 12:05:00;                     ;  2025-07-01 12:35:00;                     ;  2025-07-01 13:05:00;                     ;  2025-07-01 13:35:00;                     ;  2025-07-01 14:05:00;                     ;  2025-07-01 14:35:00;                     ;  2025-07-01 15:05:00;                     ;  2025-07-01 15:35:00;                     ;  2025-07-01 16:05:00;                     ;  2025-07-01 16:35:00;                     ;  2025-07-01 17:05:00;                     ;  2025-07-01 17:35:00;                     ;  2025-07-01 18:05:00;                     ;  2025-07-01 18:35:00;                     ;  2025-07-01 19:05:00;                     ;  2025-07-01 19:35:00;                     ;  2025-07-01 20:05:00;                     ;  2025-07-01 20:35:00;                     ;  2025-07-01 21:05:00;                     ;  2025-07-01 21:35:00;                     
          Bussigny, gare;      8581914;  DEPARTURE;  2025-07-01 06:12:00;                     ;  2025-07-01 06:42:00;                     ;  2025-07-01 07:12:00;                     ;  2025-07-01 07:42:00;                     ;  2025-07-01 08:12:00;                     ;  2025-07-01 08:42:00;                     ;  2025-07-01 09:12:00;                     ;  2025-07-01 09:42:00;                     ;  2025-07-01 10:12:00;                     ;  2025-07-01 10:42:00;                     ;  2025-07-01 11:12:00;                     ;  2025-07-01 11:42:00;                     ;  2025-07-01 12:12:00;                     ;  2025-07-01 12:42:00;                     ;  2025-07-01 13:12:00;                     ;  2025-07-01 13:42:00;                     ;  2025-07-01 14:12:00;                     ;  2025-07-01 14:42:00;                     ;  2025-07-01 15:12:00;                     ;  2025-07-01 15:42:00;                     ;  2025-07-01 16:12:00;                     ;  2025-07-01 16:42:00;                     ;  2025-07-01 17:12:00;                     ;  2025-07-01 17:42:00;                     ;  2025-07-01 18:12:00;                     ;  2025-07-01 18:42:00;                     ;  2025-07-01 19:12:00;                     ;  2025-07-01 19:42:00;                     ;  2025-07-01 20:12:00;                     ;  2025-07-01 20:42:00;                     ;  2025-07-01 21:12:00;                     ;  2025-07-01 21:42:00
  Bussigny, Grand-Record;      8581918;    ARRIVAL;  2025-07-01 06:14:00;  2025-07-01 06:33:00;  2025-07-01 06:44:00;  2025-07-01 07:03:00;  2025-07-01 07:14:00;  2025-07-01 07:33:00;  2025-07-01 07:44:00;  2025-07-01 08:03:00;  2025-07-01 08:14:00;  2025-07-01 08:33:00;  2025-07-01 08:44:00;  2025-07-01 09:03:00;  2025-07-01 09:14:00;  2025-07-01 09:33:00;  2025-07-01 09:44:00;  2025-07-01 10:03:00;  2025-07-01 10:14:00;  2025-07-01 10:33:00;  2025-07-01 10:44:00;  2025-07-01 11:03:00;  2025-07-01 11:14:00;  2025-07-01 11:33:00;  2025-07-01 11:44:00;  2025-07-01 12:03:00;  2025-07-01 12:14:00;  2025-07-01 12:33:00;  2025-07-01 12:44:00;  2025-07-01 13:03:00;  2025-07-01 13:14:00;  2025-07-01 13:33:00;  2025-07-01 13:44:00;  2025-07-01 14:03:00;  2025-07-01 14:14:00;  2025-07-01 14:33:00;  2025-07-01 14:44:00;  2025-07-01 15:03:00;  2025-07-01 15:14:00;  2025-07-01 15:33:00;  2025-07-01 15:44:00;  2025-07-01 16:03:00;  2025-07-01 16:14:00;  2025-07-01 16:33:00;  2025-07-01 16:44:00;  2025-07-01 17:03:00;  2025-07-01 17:14:00;  2025-07-01 17:33:00;  2025-07-01 17:44:00;  2025-07-01 18:03:00;  2025-07-01 18:14:00;  2025-07-01 18:33:00;  2025-07-01 18:44:00;  2025-07-01 19:03:00;  2025-07-01 19:14:00;  2025-07-01 19:33:00;  2025-07-01 19:44:00;  2025-07-01 20:03:00;  2025-07-01 20:14:00;  2025-07-01 20:33:00;  2025-07-01 20:44:00;  2025-07-01 21:03:00;  2025-07-01 21:14:00;  2025-07-01 21:33:00;  2025-07-01 21:44:00
  Bussigny, Grand-Record;      8581918;  DEPARTURE;  2025-07-01 06:14:00;  2025-07-01 06:33:00;  2025-07-01 06:44:00;  2025-07-01 07:03:00;  2025-07-01 07:14:00;  2025-07-01 07:33:00;  2025-07-01 07:44:00;  2025-07-01 08:03:00;  2025-07-01 08:14:00;  2025-07-01 08:33:00;  2025-07-01 08:44:00;  2025-07-01 09:03:00;  2025-07-01 09:14:00;  2025-07-01 09:33:00;  2025-07-01 09:44:00;  2025-07-01 10:03:00;  2025-07-01 10:14:00;  2025-07-01 10:33:00;  2025-07-01 10:44:00;  2025-07-01 11:03:00;  2025-07-01 11:14:00;  2025-07-01 11:33:00;  2025-07-01 11:44:00;  2025-07-01 12:03:00;  2025-07-01 12:14:00;  2025-07-01 12:33:00;  2025-07-01 12:44:00;  2025-07-01 13:03:00;  2025-07-01 13:14:00;  2025-07-01 13:33:00;  2025-07-01 13:44:00;  2025-07-01 14:03:00;  2025-07-01 14:14:00;  2025-07-01 14:33:00;  2025-07-01 14:44:00;  2025-07-01 15:03:00;  2025-07-01 15:14:00;  2025-07-01 15:33:00;  2025-07-01 15:44:00;  2025-07-01 16:03:00;  2025-07-01 16:14:00;  2025-07-01 16:33:00;  2025-07-01 16:44:00;  2025-07-01 17:03:00;  2025-07-01 17:14:00;  2025-07-01 17:33:00;  2025-07-01 17:44:00;  2025-07-01 18:03:00;  2025-07-01 18:14:00;  2025-07-01 18:33:00;  2025-07-01 18:44:00;  2025-07-01 19:03:00;  2025-07-01 19:14:00;  2025-07-01 19:33:00;  2025-07-01 19:44:00;  2025-07-01 20:03:00;  2025-07-01 20:14:00;  2025-07-01 20:33:00;  2025-07-01 20:44:00;  2025-07-01 21:03:00;  2025-07-01 21:14:00;  2025-07-01 21:33:00;  2025-07-01 21:44:00
    Bussigny, St-Germain;      8505529;    ARRIVAL;  2025-07-01 06:16:00;  2025-07-01 06:31:00;  2025-07-01 06:46:00;  2025-07-01 07:01:00;  2025-07-01 07:16:00;  2025-07-01 07:31:00;  2025-07-01 07:46:00;  2025-07-01 08:01:00;  2025-07-01 08:16:00;  2025-07-01 08:31:00;  2025-07-01 08:46:00;  2025-07-01 09:01:00;  2025-07-01 09:16:00;  2025-07-01 09:31:00;  2025-07-01 09:46:00;  2025-07-01 10:01:00;  2025-07-01 10:16:00;  2025-07-01 10:31:00;  2025-07-01 10:46:00;  2025-07-01 11:01:00;  2025-07-01 11:16:00;  2025-07-01 11:31:00;  2025-07-01 11:46:00;  2025-07-01 12:01:00;  2025-07-01 12:16:00;  2025-07-01 12:31:00;  2025-07-01 12:46:00;  2025-07-01 13:01:00;  2025-07-01 13:16:00;  2025-07-01 13:31:00;  2025-07-01 13:46:00;  2025-07-01 14:01:00;  2025-07-01 14:16:00;  2025-07-01 14:31:00;  2025-07-01 14:46:00;  2025-07-01 15:01:00;  2025-07-01 15:16:00;  2025-07-01 15:31:00;  2025-07-01 15:46:00;  2025-07-01 16:01:00;  2025-07-01 16:16:00;  2025-07-01 16:31:00;  2025-07-01 16:46:00;  2025-07-01 17:01:00;  2025-07-01 17:16:00;  2025-07-01 17:31:00;  2025-07-01 17:46:00;  2025-07-01 18:01:00;  2025-07-01 18:16:00;  2025-07-01 18:31:00;  2025-07-01 18:46:00;  2025-07-01 19:01:00;  2025-07-01 19:16:00;  2025-07-01 19:31:00;  2025-07-01 19:46:00;  2025-07-01 20:01:00;  2025-07-01 20:16:00;  2025-07-01 20:31:00;  2025-07-01 20:46:00;  2025-07-01 21:01:00;  2025-07-01 21:16:00;  2025-07-01 21:31:00;  2025-07-01 21:46:00
    Bussigny, St-Germain;      8505529;  DEPARTURE;  2025-07-01 06:16:00;  2025-07-01 06:31:00;  2025-07-01 06:46:00;  2025-07-01 07:01:00;  2025-07-01 07:16:00;  2025-07-01 07:31:00;  2025-07-01 07:46:00;  2025-07-01 08:01:00;  2025-07-01 08:16:00;  2025-07-01 08:31:00;  2025-07-01 08:46:00;  2025-07-01 09:01:00;  2025-07-01 09:16:00;  2025-07-01 09:31:00;  2025-07-01 09:46:00;  2025-07-01 10:01:00;  2025-07-01 10:16:00;  2025-07-01 10:31:00;  2025-07-01 10:46:00;  2025-07-01 11:01:00;  2025-07-01 11:16:00;  2025-07-01 11:31:00;  2025-07-01 11:46:00;  2025-07-01 12:01:00;  2025-07-01 12:16:00;  2025-07-01 12:31:00;  2025-07-01 12:46:00;  2025-07-01 13:01:00;  2025-07-01 13:16:00;  2025-07-01 13:31:00;  2025-07-01 13:46:00;  2025-07-01 14:01:00;  2025-07-01 14:16:00;  2025-07-01 14:31:00;  2025-07-01 14:46:00;  2025-07-01 15:01:00;  2025-07-01 15:16:00;  2025-07-01 15:31:00;  2025-07-01 15:46:00;  2025-07-01 16:01:00;  2025-07-01 16:16:00;  2025-07-01 16:31:00;  2025-07-01 16:46:00;  2025-07-01 17:01:00;  2025-07-01 17:16:00;  2025-07-01 17:31:00;  2025-07-01 17:46:00;  2025-07-01 18:01:00;  2025-07-01 18:16:00;  2025-07-01 18:31:00;  2025-07-01 18:46:00;  2025-07-01 19:01:00;  2025-07-01 19:16:00;  2025-07-01 19:31:00;  2025-07-01 19:46:00;  2025-07-01 20:01:00;  2025-07-01 20:16:00;  2025-07-01 20:31:00;  2025-07-01 20:46:00;  2025-07-01 21:01:00;  2025-07-01 21:16:00;  2025-07-01 21:31:00;  2025-07-01 21:46:00
        Bussigny, Jordil;      8506907;    ARRIVAL;  2025-07-01 06:16:00;  2025-07-01 06:29:00;  2025-07-01 06:46:00;  2025-07-01 06:59:00;  2025-07-01 07:16:00;  2025-07-01 07:29:00;  2025-07-01 07:46:00;  2025-07-01 07:59:00;  2025-07-01 08:16:00;  2025-07-01 08:29:00;  2025-07-01 08:46:00;  2025-07-01 08:59:00;  2025-07-01 09:16:00;  2025-07-01 09:29:00;  2025-07-01 09:46:00;  2025-07-01 09:59:00;  2025-07-01 10:16:00;  2025-07-01 10:29:00;  2025-07-01 10:46:00;  2025-07-01 10:59:00;  2025-07-01 11:16:00;  2025-07-01 11:29:00;  2025-07-01 11:46:00;  2025-07-01 11:59:00;  2025-07-01 12:16:00;  2025-07-01 12:29:00;  2025-07-01 12:46:00;  2025-07-01 12:59:00;  2025-07-01 13:16:00;  2025-07-01 13:29:00;  2025-07-01 13:46:00;  2025-07-01 13:59:00;  2025-07-01 14:16:00;  2025-07-01 14:29:00;  2025-07-01 14:46:00;  2025-07-01 14:59:00;  2025-07-01 15:16:00;  2025-07-01 15:29:00;  2025-07-01 15:46:00;  2025-07-01 15:59:00;  2025-07-01 16:16:00;  2025-07-01 16:29:00;  2025-07-01 16:46:00;  2025-07-01 16:59:00;  2025-07-01 17:16:00;  2025-07-01 17:29:00;  2025-07-01 17:46:00;  2025-07-01 17:59:00;  2025-07-01 18:16:00;  2025-07-01 18:29:00;  2025-07-01 18:46:00;  2025-07-01 18:59:00;  2025-07-01 19:16:00;  2025-07-01 19:29:00;  2025-07-01 19:46:00;  2025-07-01 19:59:00;  2025-07-01 20:16:00;  2025-07-01 20:29:00;  2025-07-01 20:46:00;  2025-07-01 20:59:00;  2025-07-01 21:16:00;  2025-07-01 21:29:00;  2025-07-01 21:46:00
        Bussigny, Jordil;      8506907;  DEPARTURE;  2025-07-01 06:16:00;  2025-07-01 06:29:00;  2025-07-01 06:46:00;  2025-07-01 06:59:00;  2025-07-01 07:16:00;  2025-07-01 07:29:00;  2025-07-01 07:46:00;  2025-07-01 07:59:00;  2025-07-01 08:16:00;  2025-07-01 08:29:00;  2025-07-01 08:46:00;  2025-07-01 08:59:00;  2025-07-01 09:16:00;  2025-07-01 09:29:00;  2025-07-01 09:46:00;  2025-07-01 09:59:00;  2025-07-01 10:16:00;  2025-07-01 10:29:00;  2025-07-01 10:46:00;  2025-07-01 10:59:00;  2025-07-01 11:16:00;  2025-07-01 11:29:00;  2025-07-01 11:46:00;  2025-07-01 11:59:00;  2025-07-01 12:16:00;  2025-07-01 12:29:00;  2025-07-01 12:46:00;  2025-07-01 12:59:00;  2025-07-01 13:16:00;  2025-07-01 13:29:00;  2025-07-01 13:46:00;  2025-07-01 13:59:00;  2025-07-01 14:16:00;  2025-07-01 14:29:00;  2025-07-01 14:46:00;  2025-07-01 14:59:00;  2025-07-01 15:16:00;  2025-07-01 15:29:00;  2025-07-01 15:46:00;  2025-07-01 15:59:00;  2025-07-01 16:16:00;  2025-07-01 16:29:00;  2025-07-01 16:46:00;  2025-07-01 16:59:00;  2025-07-01 17:16:00;  2025-07-01 17:29:00;  2025-07-01 17:46:00;  2025-07-01 17:59:00;  2025-07-01 18:16:00;  2025-07-01 18:29:00;  2025-07-01 18:46:00;  2025-07-01 18:59:00;  2025-07-01 19:16:00;  2025-07-01 19:29:00;  2025-07-01 19:46:00;  2025-07-01 19:59:00;  2025-07-01 20:16:00;  2025-07-01 20:29:00;  2025-07-01 20:46:00;  2025-07-01 20:59:00;  2025-07-01 21:16:00;  2025-07-01 21:29:00;  2025-07-01 21:46:00
     Bussigny, Tatironne;      8506905;    ARRIVAL;  2025-07-01 06:17:00;  2025-07-01 06:28:00;  2025-07-01 06:47:00;  2025-07-01 06:58:00;  2025-07-01 07:17:00;  2025-07-01 07:28:00;  2025-07-01 07:47:00;  2025-07-01 07:58:00;  2025-07-01 08:17:00;  2025-07-01 08:28:00;  2025-07-01 08:47:00;  2025-07-01 08:58:00;  2025-07-01 09:17:00;  2025-07-01 09:28:00;  2025-07-01 09:47:00;  2025-07-01 09:58:00;  2025-07-01 10:17:00;  2025-07-01 10:28:00;  2025-07-01 10:47:00;  2025-07-01 10:58:00;  2025-07-01 11:17:00;  2025-07-01 11:28:00;  2025-07-01 11:47:00;  2025-07-01 11:58:00;  2025-07-01 12:17:00;  2025-07-01 12:28:00;  2025-07-01 12:47:00;  2025-07-01 12:58:00;  2025-07-01 13:17:00;  2025-07-01 13:28:00;  2025-07-01 13:47:00;  2025-07-01 13:58:00;  2025-07-01 14:17:00;  2025-07-01 14:28:00;  2025-07-01 14:47:00;  2025-07-01 14:58:00;  2025-07-01 15:17:00;  2025-07-01 15:28:00;  2025-07-01 15:47:00;  2025-07-01 15:58:00;  2025-07-01 16:17:00;  2025-07-01 16:28:00;  2025-07-01 16:47:00;  2025-07-01 16:58:00;  2025-07-01 17:17:00;  2025-07-01 17:28:00;  2025-07-01 17:47:00;  2025-07-01 17:58:00;  2025-07-01 18:17:00;  2025-07-01 18:28:00;  2025-07-01 18:47:00;  2025-07-01 18:58:00;  2025-07-01 19:17:00;  2025-07-01 19:28:00;  2025-07-01 19:47:00;  2025-07-01 19:58:00;  2025-07-01 20:17:00;  2025-07-01 20:28:00;  2025-07-01 20:47:00;  2025-07-01 20:58:00;  2025-07-01 21:17:00;  2025-07-01 21:28:00;  2025-07-01 21:47:00
     Bussigny, Tatironne;      8506905;  DEPARTURE;  2025-07-01 06:17:00;  2025-07-01 06:28:00;  2025-07-01 06:47:00;  2025-07-01 06:58:00;  2025-07-01 07:17:00;  2025-07-01 07:28:00;  2025-07-01 07:47:00;  2025-07-01 07:58:00;  2025-07-01 08:17:00;  2025-07-01 08:28:00;  2025-07-01 08:47:00;  2025-07-01 08:58:00;  2025-07-01 09:17:00;  2025-07-01 09:28:00;  2025-07-01 09:47:00;  2025-07-01 09:58:00;  2025-07-01 10:17:00;  2025-07-01 10:28:00;  2025-07-01 10:47:00;  2025-07-01 10:58:00;  2025-07-01 11:17:00;  2025-07-01 11:28:00;  2025-07-01 11:47:00;  2025-07-01 11:58:00;  2025-07-01 12:17:00;  2025-07-01 12:28:00;  2025-07-01 12:47:00;  2025-07-01 12:58:00;  2025-07-01 13:17:00;  2025-07-01 13:28:00;  2025-07-01 13:47:00;  2025-07-01 13:58:00;  2025-07-01 14:17:00;  2025-07-01 14:28:00;  2025-07-01 14:47:00;  2025-07-01 14:58:00;  2025-07-01 15:17:00;  2025-07-01 15:28:00;  2025-07-01 15:47:00;  2025-07-01 15:58:00;  2025-07-01 16:17:00;  2025-07-01 16:28:00;  2025-07-01 16:47:00;  2025-07-01 16:58:00;  2025-07-01 17:17:00;  2025-07-01 17:28:00;  2025-07-01 17:47:00;  2025-07-01 17:58:00;  2025-07-01 18:17:00;  2025-07-01 18:28:00;  2025-07-01 18:47:00;  2025-07-01 18:58:00;  2025-07-01 19:17:00;  2025-07-01 19:28:00;  2025-07-01 19:47:00;  2025-07-01 19:58:00;  2025-07-01 20:17:00;  2025-07-01 20:28:00;  2025-07-01 20:47:00;  2025-07-01 20:58:00;  2025-07-01 21:17:00;  2025-07-01 21:28:00;  2025-07-01 21:47:00
