       STOP_NAME        ; STOP_NUMBER ;     EVENT      ;     85:151:3223     ;     85:151:3224     ;     85:151:3225     ;     85:151:3226     ;     85:151:3227     ;     85:151:3228     ;     85:151:3229     ;     85:151:3230     ;     85:151:3231     ;     85:151:3232     ;     85:151:3233     ;     85:151:3234     ;     85:151:3235     ;     85:151:3236     ;     85:151:3237     ;     85:151:3238     ;     85:151:3239     ;     85:151:3240     ;     85:151:3241     ;     85:151:3242     ;     85:151:3243     ;     85:151:3244     ;     85:151:3245     ;     85:151:3246     ;     85:151:3247     ;     85:151:3248     ;     85:151:3249     ;     85:151:3250     ;     85:151:3251     ;     85:151:3252     ;     85:151:3253     ;     85:151:3254     ;     85:151:3255     ;     85:151:3256     ;     85:151:3257     ;     85:151:3258     ;     85:151:3259     ;     85:151:3260     ;     85:151:3261     ;     85:151:3262     ;     85:151:3263     ;     85:151:3264     ;     85:151:3265     ;     85:151:3266     ;     85:151:3267     ;     85:151:3268     ;     85:151:3269     ;     85:151:3270     ;     85:151:3271     ;     85:151:3272     ;     85:151:3273     ;     85:151:3274     ;     85:151:3275     ;     85:151:3276     ;     85:151:3277     ;     85:151:3278     ;     85:151:3279     ;     85:151:3280     ;     85:151:3281     ;     85:151:3282     ;     85:151:3283     ;     85:151:3284     ;     85:151:3285     
          Bussigny, gare;      8581914;    ARRIVAL_REAL;                     ;  2025-07-01 06:34:25;                     ;  2025-07-01 07:04:01;                     ;  2025-07-01 07:36:06;                     ;  2025-07-01 08:05:59;                     ;  2025-07-01 08:36:02;                     ;  2025-07-01 09:05:55;                     ;  2025-07-01 09:34:35;                     ;  2025-07-01 10:05:25;                     ;  2025-07-01 10:33:07;                     ;  2025-07-01 11:05:46;                     ;  2025-07-01 11:33:59;                     ;  2025-07-01 12:06:00;                     ;  2025-07-01 12:34:00;                     ;  2025-07-01 13:05:25;                     ;  2025-07-01 13:34:06;                     ;  2025-07-01 14:03:34;                     ;  2025-07-01 14:37:41;                     ;  2025-07-01 15:04:18;                     ;  2025-07-01 15:35:30;                     ;  2025-07-01 16:06:15;                     ;  2025-07-01 16:36:26;                     ;  2025-07-01 17:06:49;                     ;  2025-07-01 17:33:35;                     ;  2025-07-01 18:06:34;                     ;  2025-07-01 18:36:45;                     ;  2025-07-01 19:05:29;                     ;  2025-07-01 19:35:38;                     ;  2025-07-01 20:05:05;                     ;  2025-07-01 20:33:39;                     ;  2025-07-01 21:04:12;                     ;  2025-07-01 21:34:30;                     
          Bussigny, gare;      8581914;  DEPARTURE_REAL;  2025-07-01 06:12:00;                     ;  2025-07-01 06:42:20;                     ;  2025-07-01 07:12:13;                     ;  2025-07-01 07:42:25;                     ;  2025-07-01 08:12:00;                     ;  2025-07-01 08:42:17;                     ;  2025-07-01 09:12:16;                     ;  2025-07-01 09:42:11;                     ;  2025-07-01 10:12:08;                     ;  2025-07-01 10:42:28;                     ;  2025-07-01 11:12:25;                     ;  2025-07-01 11:42:39;                     ;  2025-07-01 12:13:03;                     ;  2025-07-01 12:43:00;                     ;  2025-07-01 13:12:19;                     ;  2025-07-01 13:42:59;                     ;  2025-07-01 14:12:11;                     ;  2025-07-01 14:44:25;                     ;  2025-07-01 15:13:29;                     ;  2025-07-01 15:43:22;                     ;  2025-07-01 16:13:42;                     ;  2025-07-01 16:43:22;                     ;  2025-07-01 17:12:40;                     ;  2025-07-01 17:43:15;                     ;  2025-07-01 18:12:00;                     ;  2025-07-01 18:42:30;                     ;  2025-07-01 19:12:27;                     ;  2025-07-01 19:42:23;                     ;  2025-07-01 20:13:19;                     ;  2025-07-01 20:43:07;                     ;  2025-07-01 21:13:01;                     ;  2025-07-01 21:43:10
  Bussigny, Grand-Record;      8581918;    ARRIVAL_REAL;  2025-07-01 06:13:10;  2025-07-01 06:33:24;  2025-07-01 06:43:20;  2025-07-01 07:02:41;  2025-07-01 07:13:33;  2025-07-01 07:33:54;  2025-07-01 07:43:25;  2025-07-01 08:03:36;  2025-07-01 08:13:17;  2025-07-01 08:33:51;  2025-07-01 08:43:37;  2025-07-01 09:03:55;  2025-07-01 09:13:17;  2025-07-01 09:32:35;  2025-07-01 09:43:36;  2025-07-01 10:03:20;  2025-07-01 10:13:11;  2025-07-01 10:31:51;  2025-07-01 10:43:37;  2025-07-01 11:03:34;  2025-07-01 11:13:38;  2025-07-01 11:32:59;  2025-07-01 11:43:52;  2025-07-01 12:03:49;  2025-07-01 12:14:09;  2025-07-01 12:32:56;  2025-07-01 12:44:10;  2025-07-01 13:03:14;  2025-07-01 13:13:48;  2025-07-01 13:32:36;  2025-07-01 13:43:57;  2025-07-01 14:02:02;  2025-07-01 14:13:28;  2025-07-01 14:36:32;  2025-07-01 14:45:31;  2025-07-01 15:03:01;  2025-07-01 15:14:51;  2025-07-01 15:33:30;  2025-07-01 15:44:42;  2025-07-01 16:04:15;  2025-07-01 16:15:23;  2025-07-01 16:34:06;  2025-07-01 16:44:41;  2025-07-01 17:05:05;  2025-07-01 17:14:44;  2025-07-01 17:32:22;  2025-07-01 17:44:21;  2025-07-01 18:04:05;  2025-07-01 18:13:14;  2025-07-01 18:35:01;  2025-07-01 18:43:55;  2025-07-01 19:03:29;  2025-07-01 19:13:55;  2025-07-01 19:33:38;  2025-07-01 19:43:42;  2025-07-01 20:03:05;  2025-07-01 20:14:29;  2025-07-01 20:32:30;  2025-07-01 20:44:13;  2025-07-01 21:03:00;  2025-07-01 21:14:01;  2025-07-01 21:33:14;  2025-07-01 21:44:00
  Bussigny, Grand-Record;      8581918;  DEPARTURE_REAL;  2025-07-01 06:13:10;  2025-07-01 06:33:24;  2025-07-01 06:43:31;  2025-07-01 07:02:41;  2025-07-01 07:13:33;  2025-07-01 07:34:06;  2025-07-01 07:43:45;  2025-07-01 08:03:59;  2025-07-01 08:13:53;  2025-07-01 08:34:02;  2025-07-01 08:43:58;  2025-07-01 09:03:55;  2025-07-01 09:13:50;  2025-07-01 09:32:35;  2025-07-01 09:43:36;  2025-07-01 10:03:25;  2025-07-01 10:13:43;  2025-07-01 10:31:59;  2025-07-01 10:44:07;  2025-07-01 11:03:46;  2025-07-01 11:13:38;  2025-07-01 11:32:59;  2025-07-01 11:43:58;  2025-07-01 12:04:00;  2025-07-01 12:14:43;  2025-07-01 12:32:56;  2025-07-01 12:44:10;  2025-07-01 13:03:25;  2025-07-01 13:14:25;  2025-07-01 13:32:52;  2025-07-01 13:43:57;  2025-07-01 14:02:06;  2025-07-01 14:13:28;  2025-07-01 14:36:32;  2025-07-01 14:45:57;  2025-07-01 15:03:19;  2025-07-01 15:15:22;  2025-07-01 15:33:30;  2025-07-01 15:45:19;  2025-07-01 16:04:15;  2025-07-01 16:15:42;  2025-07-01 16:34:26;  2025-07-01 16:44:41;  2025-07-01 17:05:21;  2025-07-01 17:15:20;  2025-07-01 17:32:26;  2025-07-01 17:44:35;  2025-07-01 18:04:34;  2025-07-01 18:13:14;  2025-07-01 18:35:01;  2025-07-01 18:44:30;  2025-07-01 19:03:29;  2025-07-01 19:14:23;  2025-07-01 19:33:38;  2025-07-01 19:44:03;  2025-07-01 20:03:05;  2025-07-01 20:14:36;  2025-07-01 20:32:30;  2025-07-01 20:44:20;  2025-07-01 21:03:00;  2025-07-01 21:14:08;  2025-07-01 21:33:22;  2025-07-01 21:44:05
    Bussigny, St-Germain;      8505529;    ARRIVAL_REAL;  2025-07-01 06:14:21;  2025-07-01 06:31:32;  2025-07-01 06:44:40;  2025-07-01 07:01:13;  2025-07-01 07:14:53;  2025-07-01 07:32:11;  2025-07-01 07:45:15;  2025-07-01 08:01:43;  2025-07-01 08:15:19;  2025-07-01 08:31:50;  2025-07-01 08:48:19;  2025-07-01 09:02:08;  2025-07-01 09:14:54;  2025-07-01 09:30:41;  2025-07-01 09:44:58;  2025-07-01 10:01:31;  2025-07-01 10:15:01;  2025-07-01 10:30:24;  2025-07-01 10:45:27;  2025-07-01 11:01:44;  2025-07-01 11:15:01;  2025-07-01 11:31:09;  2025-07-01 11:45:19;  2025-07-01 12:01:48;  2025-07-01 12:15:45;  2025-07-01 12:31:02;  2025-07-01 12:45:20;  2025-07-01 13:01:07;  2025-07-01 13:15:41;  2025-07-01 13:30:49;  2025-07-01 13:45:10;  2025-07-01 14:00:33;  2025-07-01 14:14:38;  2025-07-01 14:34:13;  2025-07-01 14:47:18;  2025-07-01 15:01:42;  2025-07-01 15:16:34;  2025-07-01 15:32:04;  2025-07-01 15:46:36;  2025-07-01 16:02:41;  2025-07-01 16:17:10;  2025-07-01 16:32:22;  2025-07-01 16:45:58;  2025-07-01 17:02:56;  2025-07-01 17:16:39;  2025-07-01 17:30:34;  2025-07-01 17:45:53;  2025-07-01 18:02:34;  2025-07-01 18:15:03;  2025-07-01 18:33:28;  2025-07-01 18:45:43;  2025-07-01 19:01:32;  2025-07-01 19:15:44;  2025-07-01 19:31:30;  2025-07-01 19:45:23;  2025-07-01 20:01:04;  2025-07-01 20:15:41;  2025-07-01 20:30:46;  2025-07-01 20:45:27;  2025-07-01 21:01:12;  2025-07-01 21:15:13;  2025-07-01 21:31:32;  2025-07-01 21:45:07
    Bussigny, St-Germain;      8505529;  DEPARTURE_REAL;  2025-07-01 06:14:21;  2025-07-01 06:31:46;  2025-07-01 06:44:49;  2025-07-01 07:01:13;  2025-07-01 07:14:58;  2025-07-01 07:32:11;  2025-07-01 07:45:15;  2025-07-01 08:02:02;  2025-07-01 08:15:19;  2025-07-01 08:32:01;  2025-07-01 08:48:37;  2025-07-01 09:02:08;  2025-07-01 09:14:59;  2025-07-01 09:30:52;  2025-07-01 09:44:58;  2025-07-01 10:01:31;  2025-07-01 10:15:28;  2025-07-01 10:30:24;  2025-07-01 10:45:27;  2025-07-01 11:01:50;  2025-07-01 11:15:25;  2025-07-01 11:31:09;  2025-07-01 11:45:19;  2025-07-01 12:02:00;  2025-07-01 12:16:09;  2025-07-01 12:31:20;  2025-07-01 12:45:20;  2025-07-01 13:01:25;  2025-07-01 13:15:46;  2025-07-01 13:31:02;  2025-07-01 13:45:10;  2025-07-01 14:00:33;  2025-07-01 14:14:38;  2025-07-01 14:34:32;  2025-07-01 14:47:18;  2025-07-01 15:01:52;  2025-07-01 15:16:55;  2025-07-01 15:32:25;  2025-07-01 15:46:57;  2025-07-01 16:02:46;  2025-07-01 16:17:26;  2025-07-01 16:32:30;  2025-07-01 16:46:26;  2025-07-01 17:02:56;  2025-07-01 17:16:39;  2025-07-01 17:30:50;  2025-07-01 17:46:05;  2025-07-01 18:02:35;  2025-07-01 18:15:03;  2025-07-01 18:33:28;  2025-07-01 18:45:58;  2025-07-01 19:01:36;  2025-07-01 19:15:46;  2025-07-01 19:31:43;  2025-07-01 19:45:38;  2025-07-01 20:01:13;  2025-07-01 20:15:57;  2025-07-01 20:30:46;  2025-07-01 20:45:27;  2025-07-01 21:01:12;  2025-07-01 21:15:13;  2025-07-01 21:31:36;  2025-07-01 21:45:07
        Bussigny, Jordil;      8506907;    ARRIVAL_REAL;  2025-07-01 06:14:51;  2025-07-01 06:30:17;  2025-07-01 06:45:22;  2025-07-01 06:59:55;  2025-07-01 07:15:31;  2025-07-01 07:30:48;  2025-07-01 07:45:49;  2025-07-01 08:00:24;  2025-07-01 08:15:45;  2025-07-01 08:30:16;  2025-07-01 08:49:11;  2025-07-01 09:00:54;  2025-07-01 09:15:30;  2025-07-01 09:29:29;  2025-07-01 09:45:40;  2025-07-01 10:00:21;  2025-07-01 10:16:01;  2025-07-01 10:29:26;  2025-07-01 10:46:07;  2025-07-01 11:00:11;  2025-07-01 11:15:49;  2025-07-01 11:29:53;  2025-07-01 11:45:42;  2025-07-01 12:00:26;  2025-07-01 12:16:33;  2025-07-01 12:30:06;  2025-07-01 12:45:51;  2025-07-01 12:59:59;  2025-07-01 13:16:13;  2025-07-01 13:29:40;  2025-07-01 13:45:52;  2025-07-01 13:59:34;  2025-07-01 14:15:10;  2025-07-01 14:33:07;  2025-07-01 14:47:42;  2025-07-01 15:00:23;  2025-07-01 15:17:19;  2025-07-01 15:31:11;  2025-07-01 15:47:22;  2025-07-01 16:01:30;  2025-07-01 16:17:58;  2025-07-01 16:31:11;  2025-07-01 16:46:53;  2025-07-01 17:01:08;  2025-07-01 17:17:21;  2025-07-01 17:29:42;  2025-07-01 17:46:34;  2025-07-01 18:01:26;  2025-07-01 18:15:38;  2025-07-01 18:32:33;  2025-07-01 18:46:30;  2025-07-01 19:00:35;  2025-07-01 19:16:21;  2025-07-01 19:30:20;  2025-07-01 19:46:13;  2025-07-01 19:59:32;  2025-07-01 20:16:33;  2025-07-01 20:29:51;  2025-07-01 20:46:02;  2025-07-01 21:00:20;  2025-07-01 21:15:41;  2025-07-01 21:30:43;  2025-07-01 21:45:33
        Bussigny, Jordil;      8506907;  DEPARTURE_REAL;  2025-07-01 06:14:55;  2025-07-01 06:30:17;  2025-07-01 06:45:42;  2025-07-01 07:00:15;  2025-07-01 07:16:09;  2025-07-01 07:31:14;  2025-07-01 07:46:04;  2025-07-01 08:00:49;  2025-07-01 08:16:14;  2025-07-01 08:30:37;  2025-07-01 08:49:17;  2025-07-01 09:01:15;  2025-07-01 09:15:55;  2025-07-01 09:29:47;  2025-07-01 09:46:00;  2025-07-01 10:00:40;  2025-07-01 10:16:09;  2025-07-01 10:29:26;  2025-07-01 10:46:07;  2025-07-01 11:00:39;  2025-07-01 11:16:06;  2025-07-01 11:30:04;  2025-07-01 11:45:58;  2025-07-01 12:00:37;  2025-07-01 12:16:51;  2025-07-01 12:30:06;  2025-07-01 12:45:51;  2025-07-01 13:00:17;  2025-07-01 13:16:39;  2025-07-01 13:29:59;  2025-07-01 13:45:56;  2025-07-01 13:59:34;  2025-07-01 14:15:20;  2025-07-01 14:33:16;  2025-07-01 14:48:01;  2025-07-01 15:00:47;  2025-07-01 15:17:46;  2025-07-01 15:31:23;  2025-07-01 15:47:25;  2025-07-01 16:01:53;  2025-07-01 16:18:17;  2025-07-01 16:31:23;  2025-07-01 16:46:53;  2025-07-01 17:02:05;  2025-07-01 17:17:40;  2025-07-01 17:29:42;  2025-07-01 17:46:55;  2025-07-01 18:01:52;  2025-07-01 18:16:22;  2025-07-01 18:32:33;  2025-07-01 18:46:50;  2025-07-01 19:00:35;  2025-07-01 19:16:50;  2025-07-01 19:30:31;  2025-07-01 19:46:48;  2025-07-01 20:00:07;  2025-07-01 20:16:58;  2025-07-01 20:29:56;  2025-07-01 20:46:46;  2025-07-01 21:00:20;  2025-07-01 21:16:38;  2025-07-01 21:30:46;  2025-07-01 21:46:31
     Bussigny, Tatironne;      8506905;    ARRIVAL_REAL;  2025-07-01 06:16:49;  2025-07-01 06:29:04;  2025-07-01 06:46:51;  2025-07-01 06:58:55;  2025-07-01 07:17:10;  2025-07-01 07:29:54;  2025-07-01 07:47:16;  2025-07-01 07:59:18;  2025-07-01 08:17:11;  2025-07-01 08:29:20;  2025-07-01 08:50:28;  2025-07-01 08:59:54;  2025-07-01 09:16:58;  2025-07-01 09:28:37;  2025-07-01 09:47:05;  2025-07-01 09:59:25;  2025-07-01 10:17:13;  2025-07-01 10:28:33;  2025-07-01 10:47:04;  2025-07-01 10:58:52;  2025-07-01 11:17:06;  2025-07-01 11:28:57;  2025-07-01 11:47:04;  2025-07-01 11:58:59;  2025-07-01 12:17:47;  2025-07-01 12:29:20;  2025-07-01 12:46:42;  2025-07-01 12:59:04;  2025-07-01 13:17:40;  2025-07-01 13:28:36;  2025-07-01 13:46:39;  2025-07-01 13:58:40;  2025-07-01 14:16:13;  2025-07-01 14:32:02;  2025-07-01 14:49:03;  2025-07-01 14:59:43;  2025-07-01 15:18:34;  2025-07-01 15:30:24;  2025-07-01 15:48:24;  2025-07-01 16:00:42;  2025-07-01 16:19:04;  2025-07-01 16:30:26;  2025-07-01 16:47:49;  2025-07-01 17:00:04;  2025-07-01 17:18:31;  2025-07-01 17:28:59;  2025-07-01 17:47:47;  2025-07-01 18:00:41;  2025-07-01 18:17:31;  2025-07-01 18:31:33;  2025-07-01 18:47:43;  2025-07-01 18:59:24;  2025-07-01 19:17:44;  2025-07-01 19:29:09;  2025-07-01 19:47:42;  2025-07-01 19:58:47;  2025-07-01 20:17:49;  2025-07-01 20:29:04;  2025-07-01 20:47:43;  2025-07-01 20:59:20;  2025-07-01 21:17:43;  2025-07-01 21:29:34;  2025-07-01 21:47:33
     Bussigny, Tatironne;      8506905;  DEPARTURE_REAL;  2025-07-01 06:16:49;  2025-07-01 06:29:04;  2025-07-01 06:46:51;  2025-07-01 06:58:55;  2025-07-01 07:17:29;  2025-07-01 07:30:02;  2025-07-01 07:47:37;  2025-07-01 07:59:33;  2025-07-01 08:17:17;  2025-07-01 08:29:25;  2025-07-01 08:50:28;  2025-07-01 09:00:14;  2025-07-01 09:17:07;  2025-07-01 09:28:37;  2025-07-01 09:47:23;  2025-07-01 09:59:25;  2025-07-01 10:17:18;  2025-07-01 10:28:36;  2025-07-01 10:47:16;  2025-07-01 10:59:23;  2025-07-01 11:17:26;  2025-07-01 11:28:57;  2025-07-01 11:47:04;  2025-07-01 11:59:17;  2025-07-01 12:17:59;  2025-07-01 12:29:20;  2025-07-01 12:46:49;  2025-07-01 12:59:08;  2025-07-01 13:17:59;  2025-07-01 13:28:54;  2025-07-01 13:46:46;  2025-07-01 13:58:46;  2025-07-01 14:16:31;  2025-07-01 14:32:20;  2025-07-01 14:49:10;  2025-07-01 14:59:43;  2025-07-01 15:18:55;  2025-07-01 15:30:24;  2025-07-01 15:48:34;  2025-07-01 16:00:45;  2025-07-01 16:19:26;  2025-07-01 16:30:26;  2025-07-01 16:48:03;  2025-07-01 17:00:10;  2025-07-01 17:18:49;  2025-07-01 17:28:59;  2025-07-01 17:48:10;  2025-07-01 18:00:46;  2025-07-01 18:17:35;  2025-07-01 18:31:37;  2025-07-01 18:47:56;  2025-07-01 18:59:48;  2025-07-01 19:17:48;  2025-07-01 19:29:35;  2025-07-01 19:48:06;  2025-07-01 19:58:47;  2025-07-01 20:17:49;  2025-07-01 20:29:06;  2025-07-01 20:47:55;  2025-07-01 20:59:26;  2025-07-01 21:17:46;  2025-07-01 21:29:55;  2025-07-01 21:47:47
