  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;        Start        ;  Start_time_Planned ;   Start_time_Real   ;          End          ;   End_time_Planned  ;    End_time_Real    
  85:151:3645;  Route_D;                8;          R;    Lausanne, Bel-Air;  2025-07-01 05:00:00;  2025-07-01 04:59:45;     Lausanne, Faverges;  2025-07-01 05:08:00;  2025-07-01 05:07:21
  85:151:3693;  Route_E;                8;          O;  Lausanne, Chauderon;  2025-07-01 05:07:00;  2025-07-01 05:07:42;       Prilly, Coudraie;  2025-07-01 05:14:00;  2025-07-01 05:14:36
  85:151:3646;  Route_A;               16;          O;   Lausanne, Faverges;  2025-07-01 05:10:00;  2025-07-01 05:10:21;       Prilly, Coudraie;  2025-07-01 05:27:00;  2025-07-01 05:27:54
  85:151:3727;  Route_D;                8;          R;    Lausanne, Bel-Air;  2025-07-01 05:15:00;  2025-07-01 05:15:00;     Lausanne, Faverges;  2025-07-01 05:23:00;  2025-07-01 05:21:56
  85:151:3694;  Route_B;               16;          R;     Prilly, Coudraie;  2025-07-01 05:17:00;  2025-07-01 05:17:22;     Lausanne, Faverges;  2025-07-01 05:35:00;  2025-07-01 05:36:05
  85:151:3728;  Route_A;               16;          O;   Lausanne, Faverges;  2025-07-01 05:25:00;  2025-07-01 05:25:00;       Prilly, Coudraie;  2025-07-01 05:42:00;  2025-07-01 05:40:53
  85:151:3647;  Route_B;               16;          R;     Prilly, Coudraie;  2025-07-01 05:32:00;  2025-07-01 05:32:21;     Lausanne, Faverges;  2025-07-01 05:50:00;  2025-07-01 05:50:58
  85:151:3695;  Route_A;               16;          O;   Lausanne, Faverges;  2025-07-01 05:39:00;  2025-07-01 05:39:00;       Prilly, Coudraie;  2025-07-01 05:57:00;  2025-07-01 05:56:36
  85:151:3729;  Route_B;               16;          R;     Prilly, Coudraie;  2025-07-01 05:46:00;  2025-07-01 05:46:13;     Lausanne, Faverges;  2025-07-01 06:05:00;  2025-07-01 06:05:06
  85:151:3648;  Route_A;               16;          O;   Lausanne, Faverges;  2025-07-01 05:54:00;  2025-07-01 05:54:00;       Prilly, Coudraie;  2025-07-01 06:13:00;  2025-07-01 06:12:21
  85:151:3775;  Route_I;                9;          O;    Lausanne, Bel-Air;  2025-07-01 05:59:00;  2025-07-01 06:00:19;       Prilly, Coudraie;  2025-07-01 06:07:00;  2025-07-01 06:08:39
  85:151:3696;  Route_B;               16;          R;     Prilly, Coudraie;  2025-07-01 06:00:00;  2025-07-01 06:00:22;     Lausanne, Faverges;  2025-07-01 06:21:00;  2025-07-01 06:21:15
  85:151:3730;  Route_A;               16;          O;   Lausanne, Faverges;  2025-07-01 06:09:00;  2025-07-01 06:09:13;       Prilly, Coudraie;  2025-07-01 06:28:00;  2025-07-01 06:26:13
  85:151:3776;  Route_B;               16;          R;     Prilly, Coudraie;  2025-07-01 06:13:00;  2025-07-01 06:13:19;     Lausanne, Faverges;  2025-07-01 06:36:00;  2025-07-01 06:36:19
  85:151:3697;  Route_A;               16;          O;   Lausanne, Faverges;  2025-07-01 06:24:00;  2025-07-01 06:24:00;       Prilly, Coudraie;  2025-07-01 06:43:00;  2025-07-01 06:44:51
  85:151:3649;  Route_B;               16;          R;     Prilly, Coudraie;  2025-07-01 06:27:00;  2025-07-01 06:27:56;     Lausanne, Faverges;  2025-07-01 06:50:00;  2025-07-01 06:51:29
  85:151:3821;  Route_D;                8;          R;    Lausanne, Bel-Air;  2025-07-01 06:33:00;  2025-07-01 06:32:54;     Lausanne, Faverges;  2025-07-01 06:44:00;  2025-07-01 06:43:19
  85:151:3777;  Route_A;               16;          O;   Lausanne, Faverges;  2025-07-01 06:37:00;  2025-07-01 06:37:17;       Prilly, Coudraie;  2025-07-01 06:57:00;  2025-07-01 06:59:20
