  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;      Start       ;  Start_time_Planned ;   Start_time_Real   ;       End        ;   End_time_Planned  ;    End_time_Real    
  85:151:4146;  Route_A;                8;          R;  Lausanne, Sallaz;  2025-07-01 05:30:00;  2025-07-01 05:30:10;   Lausanne, Foyer;  2025-07-01 05:38:00;  2025-07-01 05:38:30
  85:151:4147;  Route_A;                8;          O;   Lausanne, Foyer;  2025-07-01 05:38:00;  2025-07-01 05:38:07;  Lausanne, Sallaz;  2025-07-01 05:46:00;  2025-07-01 05:45:45
  85:151:4232;  Route_A;                8;          R;  Lausanne, Sallaz;  2025-07-01 05:45:00;  2025-07-01 05:45:00;   Lausanne, Foyer;  2025-07-01 05:53:00;  2025-07-01 05:52:22
  85:151:4233;  Route_A;                8;          O;   Lausanne, Foyer;  2025-07-01 05:53:00;  2025-07-01 05:53:00;  Lausanne, Sallaz;  2025-07-01 06:01:00;  2025-07-01 05:59:44
  85:151:4148;  Route_A;                8;          R;  Lausanne, Sallaz;  2025-07-01 06:00:00;  2025-07-01 06:00:30;   Lausanne, Foyer;  2025-07-01 06:09:00;  2025-07-01 06:10:22
  85:151:4149;  Route_A;                8;          O;   Lausanne, Foyer;  2025-07-01 06:09:00;  2025-07-01 06:09:10;  Lausanne, Sallaz;  2025-07-01 06:17:00;  2025-07-01 06:16:45
  85:151:4234;  Route_A;                8;          R;  Lausanne, Sallaz;  2025-07-01 06:15:00;  2025-07-01 06:15:09;   Lausanne, Foyer;  2025-07-01 06:25:00;  2025-07-01 06:22:26
  85:151:4235;  Route_A;                8;          O;   Lausanne, Foyer;  2025-07-01 06:25:00;  2025-07-01 06:25:00;  Lausanne, Sallaz;  2025-07-01 06:34:00;  2025-07-01 06:33:38
  85:151:4150;  Route_A;                8;          R;  Lausanne, Sallaz;  2025-07-01 06:30:00;  2025-07-01 06:30:50;   Lausanne, Foyer;  2025-07-01 06:40:00;  2025-07-01 06:41:01
  85:151:4151;  Route_A;                8;          O;   Lausanne, Foyer;  2025-07-01 06:40:00;  2025-07-01 06:40:05;  Lausanne, Sallaz;  2025-07-01 06:49:00;  2025-07-01 06:49:01
  85:151:4236;  Route_A;                8;          R;  Lausanne, Sallaz;  2025-07-01 06:45:00;  2025-07-01 06:45:00;   Lausanne, Foyer;  2025-07-01 06:55:00;  2025-07-01 06:54:13
  85:151:4237;  Route_A;                8;          O;   Lausanne, Foyer;  2025-07-01 06:55:00;  2025-07-01 06:54:54;  Lausanne, Sallaz;  2025-07-01 07:04:00;  2025-07-01 07:03:06
  85:151:4152;  Route_A;                8;          R;  Lausanne, Sallaz;  2025-07-01 07:00:00;  2025-07-01 07:00:45;   Lausanne, Foyer;  2025-07-01 07:10:00;  2025-07-01 07:11:46
  85:151:4153;  Route_A;                8;          O;   Lausanne, Foyer;  2025-07-01 07:10:00;  2025-07-01 07:11:23;  Lausanne, Sallaz;  2025-07-01 07:20:00;  2025-07-01 07:21:03
  85:151:4238;  Route_A;                8;          R;  Lausanne, Sallaz;  2025-07-01 07:15:00;  2025-07-01 07:15:32;   Lausanne, Foyer;  2025-07-01 07:25:00;  2025-07-01 07:27:07
  85:151:4239;  Route_A;                8;          O;   Lausanne, Foyer;  2025-07-01 07:25:00;  2025-07-01 07:27:07;  Lausanne, Sallaz;  2025-07-01 07:35:00;  2025-07-01 07:37:52
  85:151:4154;  Route_A;                8;          R;  Lausanne, Sallaz;  2025-07-01 07:30:00;  2025-07-01 07:30:00;   Lausanne, Foyer;  2025-07-01 07:40:00;  2025-07-01 07:41:33
  85:151:4155;  Route_A;                8;          O;   Lausanne, Foyer;  2025-07-01 07:40:00;  2025-07-01 07:40:57;  Lausanne, Sallaz;  2025-07-01 07:50:00;  2025-07-01 07:51:22
