  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;        Start         ;  Start_time_Planned ;   Start_time_Real   ;         End          ;   End_time_Planned  ;    End_time_Real    
  85:151:4783;  Route_B;               16;          O;           Pully, port;  2025-07-01 05:18:00;  2025-07-01 05:18:01;         Lutry, Landar;  2025-07-01 05:37:00;  2025-07-01 05:34:16
  85:151:4748;  Route_B;               16;          R;         Lutry, Landar;  2025-07-01 05:21:00;  2025-07-01 05:21:23;           Pully, port;  2025-07-01 05:39:00;  2025-07-01 05:38:04
  85:151:4756;  Route_A;               22;          R;  Grandvaux, Pra Grana;  2025-07-01 05:31:00;  2025-07-01 05:31:10;           Pully, port;  2025-07-01 05:55:00;  2025-07-01 05:53:39
  85:151:4819;  Route_A;               22;          O;           Pully, port;  2025-07-01 05:32:00;  2025-07-01 05:32:12;  Grandvaux, Pra Grana;  2025-07-01 05:56:00;  2025-07-01 05:54:35
  85:151:4749;  Route_B;               16;          O;           Pully, port;  2025-07-01 05:46:00;  2025-07-01 05:46:00;         Lutry, Landar;  2025-07-01 06:05:00;  2025-07-01 06:04:03
  85:151:4784;  Route_B;               16;          R;         Lutry, Landar;  2025-07-01 05:51:00;  2025-07-01 05:51:00;           Pully, port;  2025-07-01 06:10:00;  2025-07-01 06:10:13
  85:151:4757;  Route_A;               22;          O;           Pully, port;  2025-07-01 06:00:00;  2025-07-01 06:00:10;  Grandvaux, Pra Grana;  2025-07-01 06:24:00;  2025-07-01 06:22:44
  85:151:4820;  Route_A;               22;          R;  Grandvaux, Pra Grana;  2025-07-01 06:02:00;  2025-07-01 06:02:11;           Pully, port;  2025-07-01 06:26:00;  2025-07-01 06:25:14
  85:151:4785;  Route_B;               16;          O;           Pully, port;  2025-07-01 06:16:00;  2025-07-01 06:16:11;         Lutry, Landar;  2025-07-01 06:35:00;  2025-07-01 06:33:05
  85:151:4750;  Route_B;               16;          R;         Lutry, Landar;  2025-07-01 06:22:00;  2025-07-01 06:22:24;           Pully, port;  2025-07-01 06:41:00;  2025-07-01 06:41:32
