  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;       Start       ;  Start_time_Planned ;   Start_time_Real   ;        End        ;   End_time_Planned  ;    End_time_Real    
  85:151:4919;  Route_B;               10;          R;  Pully, Daillettes;  2025-07-01 05:22:00;  2025-07-01 05:23:07;        Pully, gare;  2025-07-01 05:30:00;  2025-07-01 05:30:13
  85:151:4920;  Route_A;               10;          O;        Pully, gare;  2025-07-01 05:30:00;  2025-07-01 05:30:32;  Pully, Daillettes;  2025-07-01 05:39:00;  2025-07-01 05:37:51
  85:151:4949;  Route_B;               10;          R;  Pully, Daillettes;  2025-07-01 05:37:00;  2025-07-01 05:37:20;        Pully, gare;  2025-07-01 05:45:00;  2025-07-01 05:46:31
  85:151:4950;  Route_A;               10;          O;        Pully, gare;  2025-07-01 05:45:00;  2025-07-01 05:46:40;  Pully, Daillettes;  2025-07-01 05:54:00;  2025-07-01 05:54:40
  85:151:4921;  Route_B;               10;          R;  Pully, Daillettes;  2025-07-01 05:52:00;  2025-07-01 05:53:26;        Pully, gare;  2025-07-01 06:00:00;  2025-07-01 06:01:05
  85:151:4922;  Route_A;               10;          O;        Pully, gare;  2025-07-01 06:00:00;  2025-07-01 06:01:06;  Pully, Daillettes;  2025-07-01 06:09:00;  2025-07-01 06:11:16
  85:151:4951;  Route_B;               10;          R;  Pully, Daillettes;  2025-07-01 06:07:00;  2025-07-01 06:07:31;        Pully, gare;  2025-07-01 06:15:00;  2025-07-01 06:16:26
  85:151:4952;  Route_A;               10;          O;        Pully, gare;  2025-07-01 06:15:00;  2025-07-01 06:16:31;  Pully, Daillettes;  2025-07-01 06:24:00;  2025-07-01 06:25:09
  85:151:4923;  Route_B;               10;          R;  Pully, Daillettes;  2025-07-01 06:21:00;  2025-07-01 06:22:01;        Pully, gare;  2025-07-01 06:30:00;  2025-07-01 06:30:10
  85:151:4924;  Route_A;               10;          O;        Pully, gare;  2025-07-01 06:30:00;  2025-07-01 06:30:00;  Pully, Daillettes;  2025-07-01 06:39:00;  2025-07-01 06:38:20
  85:151:4953;  Route_B;               10;          R;  Pully, Daillettes;  2025-07-01 06:36:00;  2025-07-01 06:36:49;        Pully, gare;  2025-07-01 06:45:00;  2025-07-01 06:45:54
