  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;             Start             ;  Start_time_Planned ;   Start_time_Real   ;              End              ;   End_time_Planned  ;    End_time_Real    
  85:151:5158;  Route_B;                9;          R;  Belmont-sur-L., Grands Champs;  2025-07-01 05:35:00;  2025-07-01 05:35:09;                Pully, Clergère;  2025-07-01 05:45:00;  2025-07-01 05:42:49
  85:151:5159;  Route_A;                9;          O;                Pully, Clergère;  2025-07-01 05:55:00;  2025-07-01 05:55:29;  Belmont-sur-L., Grands Champs;  2025-07-01 06:05:00;  2025-07-01 06:04:21
  85:151:5160;  Route_B;                9;          R;  Belmont-sur-L., Grands Champs;  2025-07-01 06:05:00;  2025-07-01 06:05:07;                Pully, Clergère;  2025-07-01 06:15:00;  2025-07-01 06:13:29
  85:151:5161;  Route_A;                9;          O;                Pully, Clergère;  2025-07-01 06:24:00;  2025-07-01 06:24:46;  Belmont-sur-L., Grands Champs;  2025-07-01 06:34:00;  2025-07-01 06:34:19
  85:151:5162;  Route_B;                9;          R;  Belmont-sur-L., Grands Champs;  2025-07-01 06:34:00;  2025-07-01 06:34:44;                Pully, Clergère;  2025-07-01 06:45:00;  2025-07-01 06:43:42
  85:151:5200;  Route_B;                9;          R;  Belmont-sur-L., Grands Champs;  2025-07-01 06:49:00;  2025-07-01 06:49:00;                Pully, Clergère;  2025-07-01 07:00:00;  2025-07-01 07:00:00
  85:151:5163;  Route_A;                9;          O;                Pully, Clergère;  2025-07-01 06:52:00;  2025-07-01 06:52:22;  Belmont-sur-L., Grands Champs;  2025-07-01 07:03:00;  2025-07-01 07:02:45
  85:151:5164;  Route_B;                9;          R;  Belmont-sur-L., Grands Champs;  2025-07-01 07:03:00;  2025-07-01 07:03:42;                Pully, Clergère;  2025-07-01 07:15:00;  2025-07-01 07:15:02
  85:151:5201;  Route_A;                9;          O;                Pully, Clergère;  2025-07-01 07:06:00;  2025-07-01 07:06:00;  Belmont-sur-L., Grands Champs;  2025-07-01 07:18:00;  2025-07-01 07:18:00
  85:151:5202;  Route_B;                9;          R;  Belmont-sur-L., Grands Champs;  2025-07-01 07:18:00;  2025-07-01 07:18:00;                Pully, Clergère;  2025-07-01 07:30:00;  2025-07-01 07:30:00
  85:151:5103;  Route_B;                9;          R;  Belmont-sur-L., Grands Champs;  2025-07-01 07:19:00;  2025-07-01 07:19:23;                Pully, Clergère;  2025-07-01 07:31:00;  2025-07-01 07:33:02
  85:151:5165;  Route_A;                9;          O;                Pully, Clergère;  2025-07-01 07:21:00;  2025-07-01 07:21:39;  Belmont-sur-L., Grands Champs;  2025-07-01 07:33:00;  2025-07-01 07:31:59
  85:151:5166;  Route_B;                9;          R;  Belmont-sur-L., Grands Champs;  2025-07-01 07:33:00;  2025-07-01 07:33:37;                Pully, Clergère;  2025-07-01 07:45:00;  2025-07-01 07:44:17
  85:151:5203;  Route_A;                9;          O;                Pully, Clergère;  2025-07-01 07:36:00;  2025-07-01 07:36:00;  Belmont-sur-L., Grands Champs;  2025-07-01 07:48:00;  2025-07-01 07:48:00
  85:151:5204;  Route_B;                9;          R;  Belmont-sur-L., Grands Champs;  2025-07-01 07:48:00;  2025-07-01 07:48:00;                Pully, Clergère;  2025-07-01 08:00:00;  2025-07-01 08:00:00
  85:151:5167;  Route_A;                9;          O;                Pully, Clergère;  2025-07-01 07:51:00;  2025-07-01 07:51:57;  Belmont-sur-L., Grands Champs;  2025-07-01 08:03:00;  2025-07-01 08:03:38
  85:151:5168;  Route_B;                9;          R;  Belmont-sur-L., Grands Champs;  2025-07-01 08:03:00;  2025-07-01 08:03:13;                Pully, Clergère;  2025-07-01 08:15:00;  2025-07-01 08:12:29
  85:151:5205;  Route_A;                9;          O;                Pully, Clergère;  2025-07-01 08:06:00;  2025-07-01 08:06:00;  Belmont-sur-L., Grands Champs;  2025-07-01 08:18:00;  2025-07-01 08:18:00
