         STOP_NAME          ; STOP_NUMBER ;     EVENT      ;     85:151:5278     ;     85:151:5301     ;     85:151:5322     ;     85:151:5279     ;     85:151:5302     ;     85:151:5323     ;     85:151:5280     ;     85:151:5303     ;     85:151:5324     ;     85:151:5281     ;     85:151:5304     ;     85:151:5325     ;     85:151:5282     ;     85:151:5305     ;     85:151:5326     ;     85:151:5283     ;     85:151:5306     ;     85:151:5327     ;     85:151:5284     ;     85:151:5307     ;     85:151:5328     ;     85:151:5285     ;     85:151:5308     ;     85:151:5329     ;     85:151:5286     ;     85:151:5309     ;     85:151:5330     ;     85:151:5287     ;     85:151:5310     ;     85:151:5331     ;     85:151:5288     ;     85:151:5311     ;     85:151:5332     ;     85:151:5289     ;     85:151:5312     ;     85:151:5333     ;     85:151:5290     ;     85:151:5313     ;     85:151:5334     ;     85:151:5291     ;     85:151:5314     ;     85:151:5335     ;     85:151:5292     ;     85:151:5315     ;     85:151:5336     ;     85:151:5293     ;     85:151:5316     ;     85:151:5337     ;     85:151:5294     ;     85:151:5317     ;     85:151:5338     ;     85:151:5295     ;     85:151:5318     ;     85:151:5339     ;     85:151:5296     ;     85:151:5319     ;     85:151:5340     ;     85:151:5297     ;     85:151:5341     ;     85:151:5298     
  Le Mont-sur-L., Grand-Mont;      8504177;         ARRIVAL;  2025-07-01 06:24:00;                     ;  2025-07-01 06:54:00;                     ;  2025-07-01 07:24:00;                     ;  2025-07-01 07:54:00;                     ;  2025-07-01 08:24:00;                     ;  2025-07-01 08:54:00;                     ;  2025-07-01 09:24:00;                     ;  2025-07-01 09:54:00;                     ;  2025-07-01 10:24:00;                     ;  2025-07-01 10:54:00;                     ;  2025-07-01 11:24:00;                     ;  2025-07-01 11:54:00;                     ;  2025-07-01 12:24:00;                     ;  2025-07-01 12:54:00;                     ;  2025-07-01 13:24:00;                     ;  2025-07-01 13:54:00;                     ;  2025-07-01 14:24:00;                     ;  2025-07-01 14:54:00;                     ;  2025-07-01 15:24:00;                     ;  2025-07-01 15:54:00;                     ;  2025-07-01 16:24:00;                     ;  2025-07-01 16:54:00;                     ;  2025-07-01 17:24:00;                     ;  2025-07-01 17:54:00;                     ;  2025-07-01 18:24:00;                     ;  2025-07-01 18:54:00;                     ;  2025-07-01 19:24:00;                     ;  2025-07-01 19:54:00;                     ;  2025-07-01 20:24:00;                     ;                     ;  2025-07-01 21:24:00
  Le Mont-sur-L., Grand-Mont;      8504177;    ARRIVAL_REAL;  2025-07-01 06:23:42;                     ;  2025-07-01 06:51:50;                     ;  2025-07-01 07:23:33;                     ;  2025-07-01 07:58:36;                     ;  2025-07-01 08:22:30;                     ;  2025-07-01 08:52:04;                     ;  2025-07-01 09:23:18;                     ;  2025-07-01 09:51:03;                     ;  2025-07-01 10:21:32;                     ;  2025-07-01 10:52:50;                     ;  2025-07-01 11:21:02;                     ;  2025-07-01 11:51:09;                     ;  2025-07-01 12:21:36;                     ;  2025-07-01 12:50:32;                     ;  2025-07-01 13:22:21;                     ;  2025-07-01 13:52:29;                     ;  2025-07-01 14:21:34;                     ;  2025-07-01 14:49:47;                     ;  2025-07-01 15:21:33;                     ;  2025-07-01 15:52:30;                     ;  2025-07-01 16:21:43;                     ;  2025-07-01 16:54:29;                     ;  2025-07-01 17:24:02;                     ;  2025-07-01 17:56:28;                     ;  2025-07-01 18:25:15;                     ;  2025-07-01 18:51:54;                     ;  2025-07-01 19:20:36;                     ;  2025-07-01 19:50:41;                     ;  2025-07-01 20:21:01;                     ;                     ;  2025-07-01 21:16:00
  Le Mont-sur-L., Grand-Mont;      8504177;       DEPARTURE;                     ;  2025-07-01 06:07:00;                     ;  2025-07-01 06:37:00;                     ;  2025-07-01 07:07:00;                     ;  2025-07-01 07:37:00;                     ;  2025-07-01 08:07:00;                     ;  2025-07-01 08:37:00;                     ;  2025-07-01 09:07:00;                     ;  2025-07-01 09:37:00;                     ;  2025-07-01 10:07:00;                     ;  2025-07-01 10:37:00;                     ;  2025-07-01 11:07:00;                     ;  2025-07-01 11:37:00;                     ;  2025-07-01 12:07:00;                     ;  2025-07-01 12:37:00;                     ;  2025-07-01 13:07:00;                     ;  2025-07-01 13:37:00;                     ;  2025-07-01 14:07:00;                     ;  2025-07-01 14:37:00;                     ;  2025-07-01 15:07:00;                     ;  2025-07-01 15:37:00;                     ;  2025-07-01 16:07:00;                     ;  2025-07-01 16:37:00;                     ;  2025-07-01 17:07:00;                     ;  2025-07-01 17:37:00;                     ;  2025-07-01 18:07:00;                     ;  2025-07-01 18:37:00;                     ;  2025-07-01 19:07:00;                     ;  2025-07-01 19:37:00;                     ;  2025-07-01 20:07:00;  2025-07-01 20:37:00;                     
  Le Mont-sur-L., Grand-Mont;      8504177;  DEPARTURE_REAL;                     ;  2025-07-01 06:07:16;                     ;  2025-07-01 06:38:00;                     ;  2025-07-01 07:07:09;                     ;  2025-07-01 07:38:29;                     ;  2025-07-01 08:08:06;                     ;  2025-07-01 08:37:26;                     ;  2025-07-01 09:08:51;                     ;  2025-07-01 09:37:36;                     ;  2025-07-01 10:07:26;                     ;  2025-07-01 10:39:26;                     ;  2025-07-01 11:08:50;                     ;  2025-07-01 11:38:41;                     ;  2025-07-01 12:08:44;                     ;  2025-07-01 12:37:35;                     ;  2025-07-01 13:08:32;                     ;  2025-07-01 13:39:01;                     ;  2025-07-01 14:09:28;                     ;  2025-07-01 14:39:27;                     ;  2025-07-01 15:07:46;                     ;  2025-07-01 15:39:13;                     ;  2025-07-01 16:08:10;                     ;  2025-07-01 16:38:43;                     ;  2025-07-01 17:07:00;                     ;  2025-07-01 17:37:18;                     ;  2025-07-01 18:07:22;                     ;  2025-07-01 18:39:31;                     ;  2025-07-01 19:07:34;                     ;  2025-07-01 19:37:21;                     ;  2025-07-01 20:07:58;  2025-07-01 20:35:52;                     
      Le Mont-sur-L., Etavez;      8592141;         ARRIVAL;  2025-07-01 06:21:00;  2025-07-01 06:08:00;  2025-07-01 06:51:00;  2025-07-01 06:38:00;  2025-07-01 07:21:00;  2025-07-01 07:08:00;  2025-07-01 07:51:00;  2025-07-01 07:38:00;  2025-07-01 08:21:00;  2025-07-01 08:08:00;  2025-07-01 08:51:00;  2025-07-01 08:38:00;  2025-07-01 09:21:00;  2025-07-01 09:08:00;  2025-07-01 09:51:00;  2025-07-01 09:38:00;  2025-07-01 10:21:00;  2025-07-01 10:08:00;  2025-07-01 10:51:00;  2025-07-01 10:38:00;  2025-07-01 11:21:00;  2025-07-01 11:08:00;  2025-07-01 11:51:00;  2025-07-01 11:38:00;  2025-07-01 12:21:00;  2025-07-01 12:08:00;  2025-07-01 12:51:00;  2025-07-01 12:38:00;  2025-07-01 13:21:00;  2025-07-01 13:08:00;  2025-07-01 13:51:00;  2025-07-01 13:38:00;  2025-07-01 14:21:00;  2025-07-01 14:08:00;  2025-07-01 14:51:00;  2025-07-01 14:38:00;  2025-07-01 15:21:00;  2025-07-01 15:08:00;  2025-07-01 15:51:00;  2025-07-01 15:38:00;  2025-07-01 16:21:00;  2025-07-01 16:08:00;  2025-07-01 16:51:00;  2025-07-01 16:38:00;  2025-07-01 17:21:00;  2025-07-01 17:08:00;  2025-07-01 17:51:00;  2025-07-01 17:38:00;  2025-07-01 18:21:00;  2025-07-01 18:08:00;  2025-07-01 18:51:00;  2025-07-01 18:38:00;  2025-07-01 19:21:00;  2025-07-01 19:08:00;  2025-07-01 19:51:00;  2025-07-01 19:38:00;  2025-07-01 20:21:00;  2025-07-01 20:08:00;  2025-07-01 20:38:00;  2025-07-01 21:21:00
      Le Mont-sur-L., Etavez;      8592141;    ARRIVAL_REAL;  2025-07-01 06:22:42;  2025-07-01 06:08:16;  2025-07-01 06:50:34;  2025-07-01 06:39:22;  2025-07-01 07:22:13;  2025-07-01 07:08:31;  2025-07-01 07:56:33;  2025-07-01 07:39:53;  2025-07-01 08:21:17;  2025-07-01 08:09:26;  2025-07-01 08:50:59;  2025-07-01 08:38:58;  2025-07-01 09:22:22;  2025-07-01 09:09:53;  2025-07-01 09:49:50;  2025-07-01 09:39:01;  2025-07-01 10:20:32;  2025-07-01 10:08:28;  2025-07-01 10:51:30;  2025-07-01 10:40:26;  2025-07-01 11:21:02;  2025-07-01 11:09:54;  2025-07-01 11:50:09;  2025-07-01 11:39:39;  2025-07-01 12:20:41;  2025-07-01 12:10:24;  2025-07-01 12:49:33;  2025-07-01 12:38:55;  2025-07-01 13:21:01;  2025-07-01 13:09:45;  2025-07-01 13:51:13;  2025-07-01 13:40:24;  2025-07-01 14:20:19;  2025-07-01 14:10:48;  2025-07-01 14:49:05;  2025-07-01 14:40:27;  2025-07-01 15:20:39;  2025-07-01 15:08:46;  2025-07-01 15:51:30;  2025-07-01 15:40:24;  2025-07-01 16:21:24;  2025-07-01 16:09:49;  2025-07-01 16:53:02;  2025-07-01 16:40:03;  2025-07-01 17:22:22;  2025-07-01 17:08:00;  2025-07-01 17:55:09;  2025-07-01 17:38:58;  2025-07-01 18:24:00;  2025-07-01 18:08:29;  2025-07-01 18:50:41;  2025-07-01 18:40:46;  2025-07-01 19:19:44;  2025-07-01 19:08:39;  2025-07-01 19:49:40;  2025-07-01 19:38:39;  2025-07-01 20:19:50;  2025-07-01 20:09:01;  2025-07-01 20:39:44;  2025-07-01 21:14:43
      Le Mont-sur-L., Etavez;      8592141;       DEPARTURE;  2025-07-01 06:21:00;  2025-07-01 06:08:00;  2025-07-01 06:51:00;  2025-07-01 06:38:00;  2025-07-01 07:21:00;  2025-07-01 07:08:00;  2025-07-01 07:51:00;  2025-07-01 07:38:00;  2025-07-01 08:21:00;  2025-07-01 08:08:00;  2025-07-01 08:51:00;  2025-07-01 08:38:00;  2025-07-01 09:21:00;  2025-07-01 09:08:00;  2025-07-01 09:51:00;  2025-07-01 09:38:00;  2025-07-01 10:21:00;  2025-07-01 10:08:00;  2025-07-01 10:51:00;  2025-07-01 10:38:00;  2025-07-01 11:21:00;  2025-07-01 11:08:00;  2025-07-01 11:51:00;  2025-07-01 11:38:00;  2025-07-01 12:21:00;  2025-07-01 12:08:00;  2025-07-01 12:51:00;  2025-07-01 12:38:00;  2025-07-01 13:21:00;  2025-07-01 13:08:00;  2025-07-01 13:51:00;  2025-07-01 13:38:00;  2025-07-01 14:21:00;  2025-07-01 14:08:00;  2025-07-01 14:51:00;  2025-07-01 14:38:00;  2025-07-01 15:21:00;  2025-07-01 15:08:00;  2025-07-01 15:51:00;  2025-07-01 15:38:00;  2025-07-01 16:21:00;  2025-07-01 16:08:00;  2025-07-01 16:51:00;  2025-07-01 16:38:00;  2025-07-01 17:21:00;  2025-07-01 17:08:00;  2025-07-01 17:51:00;  2025-07-01 17:38:00;  2025-07-01 18:21:00;  2025-07-01 18:08:00;  2025-07-01 18:51:00;  2025-07-01 18:38:00;  2025-07-01 19:21:00;  2025-07-01 19:08:00;  2025-07-01 19:51:00;  2025-07-01 19:38:00;  2025-07-01 20:21:00;  2025-07-01 20:08:00;  2025-07-01 20:38:00;  2025-07-01 21:21:00
      Le Mont-sur-L., Etavez;      8592141;  DEPARTURE_REAL;  2025-07-01 06:22:42;  2025-07-01 06:08:36;  2025-07-01 06:50:49;  2025-07-01 06:39:22;  2025-07-01 07:22:13;  2025-07-01 07:08:49;  2025-07-01 07:56:33;  2025-07-01 07:39:53;  2025-07-01 08:21:17;  2025-07-01 08:09:26;  2025-07-01 08:50:59;  2025-07-01 08:39:05;  2025-07-01 09:22:22;  2025-07-01 09:09:56;  2025-07-01 09:49:50;  2025-07-01 09:39:01;  2025-07-01 10:20:32;  2025-07-01 10:08:28;  2025-07-01 10:51:50;  2025-07-01 10:40:26;  2025-07-01 11:21:02;  2025-07-01 11:10:10;  2025-07-01 11:50:09;  2025-07-01 11:39:39;  2025-07-01 12:20:56;  2025-07-01 12:10:24;  2025-07-01 12:49:33;  2025-07-01 12:38:55;  2025-07-01 13:21:21;  2025-07-01 13:09:45;  2025-07-01 13:51:29;  2025-07-01 13:40:41;  2025-07-01 14:20:19;  2025-07-01 14:10:48;  2025-07-01 14:49:05;  2025-07-01 14:40:27;  2025-07-01 15:20:53;  2025-07-01 15:08:46;  2025-07-01 15:51:30;  2025-07-01 15:40:27;  2025-07-01 16:21:24;  2025-07-01 16:09:49;  2025-07-01 16:53:22;  2025-07-01 16:40:23;  2025-07-01 17:22:30;  2025-07-01 17:08:00;  2025-07-01 17:55:22;  2025-07-01 17:38:58;  2025-07-01 18:24:00;  2025-07-01 18:08:29;  2025-07-01 18:50:41;  2025-07-01 18:41:06;  2025-07-01 19:19:56;  2025-07-01 19:08:39;  2025-07-01 19:49:40;  2025-07-01 19:38:39;  2025-07-01 20:19:50;  2025-07-01 20:09:17;  2025-07-01 20:39:44;  2025-07-01 21:15:07
    Le Mont-sur-L., Fougères;      8592142;         ARRIVAL;  2025-07-01 06:19:00;  2025-07-01 06:09:00;  2025-07-01 06:49:00;  2025-07-01 06:39:00;  2025-07-01 07:19:00;  2025-07-01 07:09:00;  2025-07-01 07:49:00;  2025-07-01 07:39:00;  2025-07-01 08:19:00;  2025-07-01 08:09:00;  2025-07-01 08:49:00;  2025-07-01 08:39:00;  2025-07-01 09:19:00;  2025-07-01 09:09:00;  2025-07-01 09:49:00;  2025-07-01 09:39:00;  2025-07-01 10:19:00;  2025-07-01 10:09:00;  2025-07-01 10:49:00;  2025-07-01 10:39:00;  2025-07-01 11:19:00;  2025-07-01 11:09:00;  2025-07-01 11:49:00;  2025-07-01 11:39:00;  2025-07-01 12:19:00;  2025-07-01 12:09:00;  2025-07-01 12:49:00;  2025-07-01 12:39:00;  2025-07-01 13:19:00;  2025-07-01 13:09:00;  2025-07-01 13:49:00;  2025-07-01 13:39:00;  2025-07-01 14:19:00;  2025-07-01 14:09:00;  2025-07-01 14:49:00;  2025-07-01 14:39:00;  2025-07-01 15:19:00;  2025-07-01 15:09:00;  2025-07-01 15:49:00;  2025-07-01 15:39:00;  2025-07-01 16:19:00;  2025-07-01 16:09:00;  2025-07-01 16:49:00;  2025-07-01 16:39:00;  2025-07-01 17:19:00;  2025-07-01 17:09:00;  2025-07-01 17:49:00;  2025-07-01 17:39:00;  2025-07-01 18:19:00;  2025-07-01 18:09:00;  2025-07-01 18:49:00;  2025-07-01 18:39:00;  2025-07-01 19:19:00;  2025-07-01 19:09:00;  2025-07-01 19:49:00;  2025-07-01 19:39:00;  2025-07-01 20:19:00;  2025-07-01 20:09:00;  2025-07-01 20:39:00;  2025-07-01 21:19:00
    Le Mont-sur-L., Fougères;      8592142;    ARRIVAL_REAL;  2025-07-01 06:21:33;  2025-07-01 06:09:36;  2025-07-01 06:49:12;  2025-07-01 06:40:40;  2025-07-01 07:20:41;  2025-07-01 07:09:52;  2025-07-01 07:54:36;  2025-07-01 07:41:29;  2025-07-01 08:20:03;  2025-07-01 08:10:26;  2025-07-01 08:49:39;  2025-07-01 08:40:00;  2025-07-01 09:21:03;  2025-07-01 09:10:51;  2025-07-01 09:48:34;  2025-07-01 09:40:04;  2025-07-01 10:19:50;  2025-07-01 10:09:17;  2025-07-01 10:50:50;  2025-07-01 10:41:26;  2025-07-01 11:19:13;  2025-07-01 11:11:09;  2025-07-01 11:49:29;  2025-07-01 11:40:31;  2025-07-01 12:19:37;  2025-07-01 12:11:44;  2025-07-01 12:48:19;  2025-07-01 12:39:35;  2025-07-01 13:19:24;  2025-07-01 13:10:35;  2025-07-01 13:50:25;  2025-07-01 13:41:41;  2025-07-01 14:19:36;  2025-07-01 14:11:46;  2025-07-01 14:48:05;  2025-07-01 14:41:16;  2025-07-01 15:19:33;  2025-07-01 15:09:46;  2025-07-01 15:50:51;  2025-07-01 15:41:15;  2025-07-01 16:19:41;  2025-07-01 16:10:49;  2025-07-01 16:51:55;  2025-07-01 16:41:21;  2025-07-01 17:21:00;  2025-07-01 17:09:00;  2025-07-01 17:54:00;  2025-07-01 17:40:08;  2025-07-01 18:22:57;  2025-07-01 18:09:23;  2025-07-01 18:49:15;  2025-07-01 18:42:06;  2025-07-01 19:19:16;  2025-07-01 19:09:54;  2025-07-01 19:48:46;  2025-07-01 19:39:38;  2025-07-01 20:17:43;  2025-07-01 20:10:04;  2025-07-01 20:40:33;  2025-07-01 21:14:03
