         STOP_NAME          ; STOP_NUMBER ;   EVENT   ;     85:151:5278     ;     85:151:5301     ;     85:151:5322     ;     85:151:5279     ;     85:151:5302     ;     85:151:5323     ;     85:151:5280     ;     85:151:5303     ;     85:151:5324     ;     85:151:5281     ;     85:151:5304     ;     85:151:5325     ;     85:151:5282     ;     85:151:5305     ;     85:151:5326     ;     85:151:5283     ;     85:151:5306     ;     85:151:5327     ;     85:151:5284     ;     85:151:5307     ;     85:151:5328     ;     85:151:5285     ;     85:151:5308     ;     85:151:5329     ;     85:151:5286     ;     85:151:5309     ;     85:151:5330     ;     85:151:5287     ;     85:151:5310     ;     85:151:5331     ;     85:151:5288     ;     85:151:5311     ;     85:151:5332     ;     85:151:5289     ;     85:151:5312     ;     85:151:5333     ;     85:151:5290     ;     85:151:5313     ;     85:151:5334     ;     85:151:5291     ;     85:151:5314     ;     85:151:5335     ;     85:151:5292     ;     85:151:5315     ;     85:151:5336     ;     85:151:5293     ;     85:151:5316     ;     85:151:5337     ;     85:151:5294     ;     85:151:5317     ;     85:151:5338     ;     85:151:5295     ;     85:151:5318     ;     85:151:5339     ;     85:151:5296     ;     85:151:5319     ;     85:151:5340     ;     85:151:5297     ;     85:151:5341     ;     85:151:5298     
  Le Mont-sur-L., Grand-Mont;      8504177;    ARRIVAL;  2025-07-01 06:24:00;                     ;  2025-07-01 06:54:00;                     ;  2025-07-01 07:24:00;                     ;  2025-07-01 07:54:00;                     ;  2025-07-01 08:24:00;                     ;  2025-07-01 08:54:00;                     ;  2025-07-01 09:24:00;                     ;  2025-07-01 09:54:00;                     ;  2025-07-01 10:24:00;                     ;  2025-07-01 10:54:00;                     ;  2025-07-01 11:24:00;                     ;  2025-07-01 11:54:00;                     ;  2025-07-01 12:24:00;                     ;  2025-07-01 12:54:00;                     ;  2025-07-01 13:24:00;                     ;  2025-07-01 13:54:00;                     ;  2025-07-01 14:24:00;                     ;  2025-07-01 14:54:00;                     ;  2025-07-01 15:24:00;                     ;  2025-07-01 15:54:00;                     ;  2025-07-01 16:24:00;                     ;  2025-07-01 16:54:00;                     ;  2025-07-01 17:24:00;                     ;  2025-07-01 17:54:00;                     ;  2025-07-01 18:24:00;                     ;  2025-07-01 18:54:00;                     ;  2025-07-01 19:24:00;                     ;  2025-07-01 19:54:00;                     ;  2025-07-01 20:24:00;                     ;                     ;  2025-07-01 21:24:00
  Le Mont-sur-L., Grand-Mont;      8504177;  DEPARTURE;                     ;  2025-07-01 06:07:00;                     ;  2025-07-01 06:37:00;                     ;  2025-07-01 07:07:00;                     ;  2025-07-01 07:37:00;                     ;  2025-07-01 08:07:00;                     ;  2025-07-01 08:37:00;                     ;  2025-07-01 09:07:00;                     ;  2025-07-01 09:37:00;                     ;  2025-07-01 10:07:00;                     ;  2025-07-01 10:37:00;                     ;  2025-07-01 11:07:00;                     ;  2025-07-01 11:37:00;                     ;  2025-07-01 12:07:00;                     ;  2025-07-01 12:37:00;                     ;  2025-07-01 13:07:00;                     ;  2025-07-01 13:37:00;                     ;  2025-07-01 14:07:00;                     ;  2025-07-01 14:37:00;                     ;  2025-07-01 15:07:00;                     ;  2025-07-01 15:37:00;                     ;  2025-07-01 16:07:00;                     ;  2025-07-01 16:37:00;                     ;  2025-07-01 17:07:00;                     ;  2025-07-01 17:37:00;                     ;  2025-07-01 18:07:00;                     ;  2025-07-01 18:37:00;                     ;  2025-07-01 19:07:00;                     ;  2025-07-01 19:37:00;                     ;  2025-07-01 20:07:00;  2025-07-01 20:37:00;                     
      Le Mont-sur-L., Etavez;      8592141;    ARRIVAL;  2025-07-01 06:21:00;  2025-07-01 06:08:00;  2025-07-01 06:51:00;  2025-07-01 06:38:00;  2025-07-01 07:21:00;  2025-07-01 07:08:00;  2025-07-01 07:51:00;  2025-07-01 07:38:00;  2025-07-01 08:21:00;  2025-07-01 08:08:00;  2025-07-01 08:51:00;  2025-07-01 08:38:00;  2025-07-01 09:21:00;  2025-07-01 09:08:00;  2025-07-01 09:51:00;  2025-07-01 09:38:00;  2025-07-01 10:21:00;  2025-07-01 10:08:00;  2025-07-01 10:51:00;  2025-07-01 10:38:00;  2025-07-01 11:21:00;  2025-07-01 11:08:00;  2025-07-01 11:51:00;  2025-07-01 11:38:00;  2025-07-01 12:21:00;  2025-07-01 12:08:00;  2025-07-01 12:51:00;  2025-07-01 12:38:00;  2025-07-01 13:21:00;  2025-07-01 13:08:00;  2025-07-01 13:51:00;  2025-07-01 13:38:00;  2025-07-01 14:21:00;  2025-07-01 14:08:00;  2025-07-01 14:51:00;  2025-07-01 14:38:00;  2025-07-01 15:21:00;  2025-07-01 15:08:00;  2025-07-01 15:51:00;  2025-07-01 15:38:00;  2025-07-01 16:21:00;  2025-07-01 16:08:00;  2025-07-01 16:51:00;  2025-07-01 16:38:00;  2025-07-01 17:21:00;  2025-07-01 17:08:00;  2025-07-01 17:51:00;  2025-07-01 17:38:00;  2025-07-01 18:21:00;  2025-07-01 18:08:00;  2025-07-01 18:51:00;  2025-07-01 18:38:00;  2025-07-01 19:21:00;  2025-07-01 19:08:00;  2025-07-01 19:51:00;  2025-07-01 19:38:00;  2025-07-01 20:21:00;  2025-07-01 20:08:00;  2025-07-01 20:38:00;  2025-07-01 21:21:00
      Le Mont-sur-L., Etavez;      8592141;  DEPARTURE;  2025-07-01 06:21:00;  2025-07-01 06:08:00;  2025-07-01 06:51:00;  2025-07-01 06:38:00;  2025-07-01 07:21:00;  2025-07-01 07:08:00;  2025-07-01 07:51:00;  2025-07-01 07:38:00;  2025-07-01 08:21:00;  2025-07-01 08:08:00;  2025-07-01 08:51:00;  2025-07-01 08:38:00;  2025-07-01 09:21:00;  2025-07-01 09:08:00;  2025-07-01 09:51:00;  2025-07-01 09:38:00;  2025-07-01 10:21:00;  2025-07-01 10:08:00;  2025-07-01 10:51:00;  2025-07-01 10:38:00;  2025-07-01 11:21:00;  2025-07-01 11:08:00;  2025-07-01 11:51:00;  2025-07-01 11:38:00;  2025-07-01 12:21:00;  2025-07-01 12:08:00;  2025-07-01 12:51:00;  2025-07-01 12:38:00;  2025-07-01 13:21:00;  2025-07-01 13:08:00;  2025-07-01 13:51:00;  2025-07-01 13:38:00;  2025-07-01 14:21:00;  2025-07-01 14:08:00;  2025-07-01 14:51:00;  2025-07-01 14:38:00;  2025-07-01 15:21:00;  2025-07-01 15:08:00;  2025-07-01 15:51:00;  2025-07-01 15:38:00;  2025-07-01 16:21:00;  2025-07-01 16:08:00;  2025-07-01 16:51:00;  2025-07-01 16:38:00;  2025-07-01 17:21:00;  2025-07-01 17:08:00;  2025-07-01 17:51:00;  2025-07-01 17:38:00;  2025-07-01 18:21:00;  2025-07-01 18:08:00;  2025-07-01 18:51:00;  2025-07-01 18:38:00;  2025-07-01 19:21:00;  2025-07-01 19:08:00;  2025-07-01 19:51:00;  2025-07-01 19:38:00;  2025-07-01 20:21:00;  2025-07-01 20:08:00;  2025-07-01 20:38:00;  2025-07-01 21:21:00
    Le Mont-sur-L., Fougères;      8592142;    ARRIVAL;  2025-07-01 06:19:00;  2025-07-01 06:09:00;  2025-07-01 06:49:00;  2025-07-01 06:39:00;  2025-07-01 07:19:00;  2025-07-01 07:09:00;  2025-07-01 07:49:00;  2025-07-01 07:39:00;  2025-07-01 08:19:00;  2025-07-01 08:09:00;  2025-07-01 08:49:00;  2025-07-01 08:39:00;  2025-07-01 09:19:00;  2025-07-01 09:09:00;  2025-07-01 09:49:00;  2025-07-01 09:39:00;  2025-07-01 10:19:00;  2025-07-01 10:09:00;  2025-07-01 10:49:00;  2025-07-01 10:39:00;  2025-07-01 11:19:00;  2025-07-01 11:09:00;  2025-07-01 11:49:00;  2025-07-01 11:39:00;  2025-07-01 12:19:00;  2025-07-01 12:09:00;  2025-07-01 12:49:00;  2025-07-01 12:39:00;  2025-07-01 13:19:00;  2025-07-01 13:09:00;  2025-07-01 13:49:00;  2025-07-01 13:39:00;  2025-07-01 14:19:00;  2025-07-01 14:09:00;  2025-07-01 14:49:00;  2025-07-01 14:39:00;  2025-07-01 15:19:00;  2025-07-01 15:09:00;  2025-07-01 15:49:00;  2025-07-01 15:39:00;  2025-07-01 16:19:00;  2025-07-01 16:09:00;  2025-07-01 16:49:00;  2025-07-01 16:39:00;  2025-07-01 17:19:00;  2025-07-01 17:09:00;  2025-07-01 17:49:00;  2025-07-01 17:39:00;  2025-07-01 18:19:00;  2025-07-01 18:09:00;  2025-07-01 18:49:00;  2025-07-01 18:39:00;  2025-07-01 19:19:00;  2025-07-01 19:09:00;  2025-07-01 19:49:00;  2025-07-01 19:39:00;  2025-07-01 20:19:00;  2025-07-01 20:09:00;  2025-07-01 20:39:00;  2025-07-01 21:19:00
    Le Mont-sur-L., Fougères;      8592142;  DEPARTURE;  2025-07-01 06:19:00;  2025-07-01 06:09:00;  2025-07-01 06:49:00;  2025-07-01 06:39:00;  2025-07-01 07:19:00;  2025-07-01 07:09:00;  2025-07-01 07:49:00;  2025-07-01 07:39:00;  2025-07-01 08:19:00;  2025-07-01 08:09:00;  2025-07-01 08:49:00;  2025-07-01 08:39:00;  2025-07-01 09:19:00;  2025-07-01 09:09:00;  2025-07-01 09:49:00;  2025-07-01 09:39:00;  2025-07-01 10:19:00;  2025-07-01 10:09:00;  2025-07-01 10:49:00;  2025-07-01 10:39:00;  2025-07-01 11:19:00;  2025-07-01 11:09:00;  2025-07-01 11:49:00;  2025-07-01 11:39:00;  2025-07-01 12:19:00;  2025-07-01 12:09:00;  2025-07-01 12:49:00;  2025-07-01 12:39:00;  2025-07-01 13:19:00;  2025-07-01 13:09:00;  2025-07-01 13:49:00;  2025-07-01 13:39:00;  2025-07-01 14:19:00;  2025-07-01 14:09:00;  2025-07-01 14:49:00;  2025-07-01 14:39:00;  2025-07-01 15:19:00;  2025-07-01 15:09:00;  2025-07-01 15:49:00;  2025-07-01 15:39:00;  2025-07-01 16:19:00;  2025-07-01 16:09:00;  2025-07-01 16:49:00;  2025-07-01 16:39:00;  2025-07-01 17:19:00;  2025-07-01 17:09:00;  2025-07-01 17:49:00;  2025-07-01 17:39:00;  2025-07-01 18:19:00;  2025-07-01 18:09:00;  2025-07-01 18:49:00;  2025-07-01 18:39:00;  2025-07-01 19:19:00;  2025-07-01 19:09:00;  2025-07-01 19:49:00;  2025-07-01 19:39:00;  2025-07-01 20:19:00;  2025-07-01 20:09:00;  2025-07-01 20:39:00;  2025-07-01 21:19:00
      Le Mont-sur-L., Budron;      8592139;    ARRIVAL;  2025-07-01 06:18:00;  2025-07-01 06:10:00;  2025-07-01 06:48:00;  2025-07-01 06:40:00;  2025-07-01 07:18:00;  2025-07-01 07:10:00;  2025-07-01 07:48:00;  2025-07-01 07:40:00;  2025-07-01 08:18:00;  2025-07-01 08:10:00;  2025-07-01 08:48:00;  2025-07-01 08:40:00;  2025-07-01 09:18:00;  2025-07-01 09:10:00;  2025-07-01 09:48:00;  2025-07-01 09:40:00;  2025-07-01 10:18:00;  2025-07-01 10:10:00;  2025-07-01 10:48:00;  2025-07-01 10:40:00;  2025-07-01 11:18:00;  2025-07-01 11:10:00;  2025-07-01 11:48:00;  2025-07-01 11:40:00;  2025-07-01 12:18:00;  2025-07-01 12:10:00;  2025-07-01 12:48:00;  2025-07-01 12:40:00;  2025-07-01 13:18:00;  2025-07-01 13:10:00;  2025-07-01 13:48:00;  2025-07-01 13:40:00;  2025-07-01 14:18:00;  2025-07-01 14:10:00;  2025-07-01 14:48:00;  2025-07-01 14:40:00;  2025-07-01 15:18:00;  2025-07-01 15:10:00;  2025-07-01 15:48:00;  2025-07-01 15:40:00;  2025-07-01 16:18:00;  2025-07-01 16:10:00;  2025-07-01 16:48:00;  2025-07-01 16:40:00;  2025-07-01 17:18:00;  2025-07-01 17:10:00;  2025-07-01 17:48:00;  2025-07-01 17:40:00;  2025-07-01 18:18:00;  2025-07-01 18:10:00;  2025-07-01 18:48:00;  2025-07-01 18:40:00;  2025-07-01 19:18:00;  2025-07-01 19:10:00;  2025-07-01 19:48:00;  2025-07-01 19:40:00;  2025-07-01 20:18:00;  2025-07-01 20:10:00;  2025-07-01 20:40:00;  2025-07-01 21:18:00
      Le Mont-sur-L., Budron;      8592139;  DEPARTURE;  2025-07-01 06:18:00;  2025-07-01 06:10:00;  2025-07-01 06:48:00;  2025-07-01 06:40:00;  2025-07-01 07:18:00;  2025-07-01 07:10:00;  2025-07-01 07:48:00;  2025-07-01 07:40:00;  2025-07-01 08:18:00;  2025-07-01 08:10:00;  2025-07-01 08:48:00;  2025-07-01 08:40:00;  2025-07-01 09:18:00;  2025-07-01 09:10:00;  2025-07-01 09:48:00;  2025-07-01 09:40:00;  2025-07-01 10:18:00;  2025-07-01 10:10:00;  2025-07-01 10:48:00;  2025-07-01 10:40:00;  2025-07-01 11:18:00;  2025-07-01 11:10:00;  2025-07-01 11:48:00;  2025-07-01 11:40:00;  2025-07-01 12:18:00;  2025-07-01 12:10:00;  2025-07-01 12:48:00;  2025-07-01 12:40:00;  2025-07-01 13:18:00;  2025-07-01 13:10:00;  2025-07-01 13:48:00;  2025-07-01 13:40:00;  2025-07-01 14:18:00;  2025-07-01 14:10:00;  2025-07-01 14:48:00;  2025-07-01 14:40:00;  2025-07-01 15:18:00;  2025-07-01 15:10:00;  2025-07-01 15:48:00;  2025-07-01 15:40:00;  2025-07-01 16:18:00;  2025-07-01 16:10:00;  2025-07-01 16:48:00;  2025-07-01 16:40:00;  2025-07-01 17:18:00;  2025-07-01 17:10:00;  2025-07-01 17:48:00;  2025-07-01 17:40:00;  2025-07-01 18:18:00;  2025-07-01 18:10:00;  2025-07-01 18:48:00;  2025-07-01 18:40:00;  2025-07-01 19:18:00;  2025-07-01 19:10:00;  2025-07-01 19:48:00;  2025-07-01 19:40:00;  2025-07-01 20:18:00;  2025-07-01 20:10:00;  2025-07-01 20:40:00;  2025-07-01 21:18:00
          Cugy VD, Cavenette;      8591940;    ARRIVAL;  2025-07-01 06:17:00;  2025-07-01 06:11:00;  2025-07-01 06:47:00;  2025-07-01 06:41:00;  2025-07-01 07:17:00;  2025-07-01 07:11:00;  2025-07-01 07:47:00;  2025-07-01 07:41:00;  2025-07-01 08:17:00;  2025-07-01 08:11:00;  2025-07-01 08:47:00;  2025-07-01 08:41:00;  2025-07-01 09:17:00;  2025-07-01 09:11:00;  2025-07-01 09:47:00;  2025-07-01 09:41:00;  2025-07-01 10:17:00;  2025-07-01 10:11:00;  2025-07-01 10:47:00;  2025-07-01 10:41:00;  2025-07-01 11:17:00;  2025-07-01 11:11:00;  2025-07-01 11:47:00;  2025-07-01 11:41:00;  2025-07-01 12:17:00;  2025-07-01 12:11:00;  2025-07-01 12:47:00;  2025-07-01 12:41:00;  2025-07-01 13:17:00;  2025-07-01 13:11:00;  2025-07-01 13:47:00;  2025-07-01 13:41:00;  2025-07-01 14:17:00;  2025-07-01 14:11:00;  2025-07-01 14:47:00;  2025-07-01 14:41:00;  2025-07-01 15:17:00;  2025-07-01 15:11:00;  2025-07-01 15:47:00;  2025-07-01 15:41:00;  2025-07-01 16:17:00;  2025-07-01 16:11:00;  2025-07-01 16:47:00;  2025-07-01 16:41:00;  2025-07-01 17:17:00;  2025-07-01 17:11:00;  2025-07-01 17:47:00;  2025-07-01 17:41:00;  2025-07-01 18:17:00;  2025-07-01 18:11:00;  2025-07-01 18:47:00;  2025-07-01 18:41:00;  2025-07-01 19:17:00;  2025-07-01 19:11:00;  2025-07-01 19:47:00;  2025-07-01 19:41:00;  2025-07-01 20:17:00;  2025-07-01 20:11:00;  2025-07-01 20:41:00;  2025-07-01 21:17:00
          Cugy VD, Cavenette;      8591940;  DEPARTURE;  2025-07-01 06:17:00;  2025-07-01 06:11:00;  2025-07-01 06:47:00;  2025-07-01 06:41:00;  2025-07-01 07:17:00;  2025-07-01 07:11:00;  2025-07-01 07:47:00;  2025-07-01 07:41:00;  2025-07-01 08:17:00;  2025-07-01 08:11:00;  2025-07-01 08:47:00;  2025-07-01 08:41:00;  2025-07-01 09:17:00;  2025-07-01 09:11:00;  2025-07-01 09:47:00;  2025-07-01 09:41:00;  2025-07-01 10:17:00;  2025-07-01 10:11:00;  2025-07-01 10:47:00;  2025-07-01 10:41:00;  2025-07-01 11:17:00;  2025-07-01 11:11:00;  2025-07-01 11:47:00;  2025-07-01 11:41:00;  2025-07-01 12:17:00;  2025-07-01 12:11:00;  2025-07-01 12:47:00;  2025-07-01 12:41:00;  2025-07-01 13:17:00;  2025-07-01 13:11:00;  2025-07-01 13:47:00;  2025-07-01 13:41:00;  2025-07-01 14:17:00;  2025-07-01 14:11:00;  2025-07-01 14:47:00;  2025-07-01 14:41:00;  2025-07-01 15:17:00;  2025-07-01 15:11:00;  2025-07-01 15:47:00;  2025-07-01 15:41:00;  2025-07-01 16:17:00;  2025-07-01 16:11:00;  2025-07-01 16:47:00;  2025-07-01 16:41:00;  2025-07-01 17:17:00;  2025-07-01 17:11:00;  2025-07-01 17:47:00;  2025-07-01 17:41:00;  2025-07-01 18:17:00;  2025-07-01 18:11:00;  2025-07-01 18:47:00;  2025-07-01 18:41:00;  2025-07-01 19:17:00;  2025-07-01 19:11:00;  2025-07-01 19:47:00;  2025-07-01 19:41:00;  2025-07-01 20:17:00;  2025-07-01 20:11:00;  2025-07-01 20:41:00;  2025-07-01 21:17:00
