          STOP_NAME           ; STOP_NUMBER ;     EVENT      ;     85:151:5344     ;     85:151:5345     ;     85:151:5346     ;     85:151:5347     ;     85:151:5348     ;     85:151:5349     ;     85:151:5350     ;     85:151:5351     ;     85:151:5352     ;     85:151:5353     ;     85:151:5354     ;     85:151:5355     ;     85:151:5356     ;     85:151:5357     ;     85:151:5358     ;     85:151:5359     ;     85:151:5360     ;     85:151:5361     ;     85:151:5362     ;     85:151:5363     ;     85:151:5364     ;     85:151:5365     ;     85:151:5366     ;     85:151:5367     ;     85:151:5368     ;     85:151:5369     
                Bussigny, gare;      8581914;         ARRIVAL;                     ;  2025-07-01 07:07:00;                     ;  2025-07-01 08:07:00;                     ;  2025-07-01 09:07:00;                     ;  2025-07-01 10:07:00;                     ;  2025-07-01 11:07:00;                     ;  2025-07-01 12:07:00;                     ;  2025-07-01 13:07:00;                     ;  2025-07-01 14:07:00;                     ;  2025-07-01 15:07:00;                     ;  2025-07-01 16:07:00;                     ;  2025-07-01 17:07:00;                     ;  2025-07-01 18:07:00;                     ;  2025-07-01 19:07:00
                Bussigny, gare;      8581914;    ARRIVAL_REAL;                     ;  2025-07-01 07:05:55;                     ;  2025-07-01 08:06:07;                     ;  2025-07-01 09:04:59;                     ;  2025-07-01 10:05:21;                     ;  2025-07-01 11:04:54;                     ;  2025-07-01 12:07:20;                     ;  2025-07-01 13:04:39;                     ;  2025-07-01 14:05:19;                     ;  2025-07-01 15:04:52;                     ;  2025-07-01 16:04:36;                     ;  2025-07-01 17:04:59;                     ;  2025-07-01 18:05:19;                     ;  2025-07-01 19:03:41
                Bussigny, gare;      8581914;       DEPARTURE;  2025-07-01 06:23:00;                     ;  2025-07-01 07:23:00;                     ;  2025-07-01 08:23:00;                     ;  2025-07-01 09:23:00;                     ;  2025-07-01 10:23:00;                     ;  2025-07-01 11:23:00;                     ;  2025-07-01 12:23:00;                     ;  2025-07-01 13:23:00;                     ;  2025-07-01 14:23:00;                     ;  2025-07-01 15:23:00;                     ;  2025-07-01 16:23:00;                     ;  2025-07-01 17:23:00;                     ;  2025-07-01 18:23:00;                     
                Bussigny, gare;      8581914;  DEPARTURE_REAL;  2025-07-01 06:23:32;                     ;  2025-07-01 07:23:52;                     ;  2025-07-01 08:23:40;                     ;  2025-07-01 09:24:09;                     ;  2025-07-01 10:23:20;                     ;  2025-07-01 11:23:15;                     ;  2025-07-01 12:23:47;                     ;  2025-07-01 13:23:39;                     ;  2025-07-01 14:23:16;                     ;  2025-07-01 15:24:17;                     ;  2025-07-01 16:24:35;                     ;  2025-07-01 17:23:47;                     ;  2025-07-01 18:24:17;                     
        Bussigny, Grand-Record;      8581918;         ARRIVAL;  2025-07-01 06:25:00;  2025-07-01 07:03:00;  2025-07-01 07:25:00;  2025-07-01 08:03:00;  2025-07-01 08:25:00;  2025-07-01 09:03:00;  2025-07-01 09:25:00;  2025-07-01 10:03:00;  2025-07-01 10:25:00;  2025-07-01 11:03:00;  2025-07-01 11:25:00;  2025-07-01 12:03:00;  2025-07-01 12:25:00;  2025-07-01 13:03:00;  2025-07-01 13:25:00;  2025-07-01 14:03:00;  2025-07-01 14:25:00;  2025-07-01 15:03:00;  2025-07-01 15:25:00;  2025-07-01 16:03:00;  2025-07-01 16:25:00;  2025-07-01 17:03:00;  2025-07-01 17:25:00;  2025-07-01 18:03:00;  2025-07-01 18:25:00;  2025-07-01 19:03:00
        Bussigny, Grand-Record;      8581918;    ARRIVAL_REAL;  2025-07-01 06:26:31;  2025-07-01 07:04:49;  2025-07-01 07:25:52;  2025-07-01 08:04:45;  2025-07-01 08:26:36;  2025-07-01 09:03:40;  2025-07-01 09:27:18;  2025-07-01 10:03:54;  2025-07-01 10:25:20;  2025-07-01 11:03:49;  2025-07-01 11:25:40;  2025-07-01 12:05:07;  2025-07-01 12:25:55;  2025-07-01 13:03:39;  2025-07-01 13:26:05;  2025-07-01 14:03:59;  2025-07-01 14:25:37;  2025-07-01 15:03:52;  2025-07-01 15:26:15;  2025-07-01 16:03:33;  2025-07-01 16:26:38;  2025-07-01 17:03:24;  2025-07-01 17:26:28;  2025-07-01 18:03:38;  2025-07-01 18:26:37;  2025-07-01 19:02:38
        Bussigny, Grand-Record;      8581918;       DEPARTURE;  2025-07-01 06:25:00;  2025-07-01 07:03:00;  2025-07-01 07:25:00;  2025-07-01 08:03:00;  2025-07-01 08:25:00;  2025-07-01 09:03:00;  2025-07-01 09:25:00;  2025-07-01 10:03:00;  2025-07-01 10:25:00;  2025-07-01 11:03:00;  2025-07-01 11:25:00;  2025-07-01 12:03:00;  2025-07-01 12:25:00;  2025-07-01 13:03:00;  2025-07-01 13:25:00;  2025-07-01 14:03:00;  2025-07-01 14:25:00;  2025-07-01 15:03:00;  2025-07-01 15:25:00;  2025-07-01 16:03:00;  2025-07-01 16:25:00;  2025-07-01 17:03:00;  2025-07-01 17:25:00;  2025-07-01 18:03:00;  2025-07-01 18:25:00;  2025-07-01 19:03:00
        Bussigny, Grand-Record;      8581918;  DEPARTURE_REAL;  2025-07-01 06:26:48;  2025-07-01 07:04:49;  2025-07-01 07:26:36;  2025-07-01 08:04:55;  2025-07-01 08:27:00;  2025-07-01 09:03:40;  2025-07-01 09:27:29;  2025-07-01 10:04:07;  2025-07-01 10:26:25;  2025-07-01 11:03:49;  2025-07-01 11:25:49;  2025-07-01 12:05:42;  2025-07-01 12:26:10;  2025-07-01 13:03:39;  2025-07-01 13:26:40;  2025-07-01 14:03:59;  2025-07-01 14:25:37;  2025-07-01 15:03:59;  2025-07-01 15:26:15;  2025-07-01 16:03:49;  2025-07-01 16:26:38;  2025-07-01 17:03:35;  2025-07-01 17:26:49;  2025-07-01 18:03:38;  2025-07-01 18:26:37;  2025-07-01 19:02:51
              Bussigny, Dallaz;      8581917;         ARRIVAL;  2025-07-01 06:26:00;  2025-07-01 07:02:00;  2025-07-01 07:26:00;  2025-07-01 08:02:00;  2025-07-01 08:26:00;  2025-07-01 09:02:00;  2025-07-01 09:26:00;  2025-07-01 10:02:00;  2025-07-01 10:26:00;  2025-07-01 11:02:00;  2025-07-01 11:26:00;  2025-07-01 12:02:00;  2025-07-01 12:26:00;  2025-07-01 13:02:00;  2025-07-01 13:26:00;  2025-07-01 14:02:00;  2025-07-01 14:26:00;  2025-07-01 15:02:00;  2025-07-01 15:26:00;  2025-07-01 16:02:00;  2025-07-01 16:26:00;  2025-07-01 17:02:00;  2025-07-01 17:26:00;  2025-07-01 18:02:00;  2025-07-01 18:26:00;  2025-07-01 19:02:00
              Bussigny, Dallaz;      8581917;    ARRIVAL_REAL;  2025-07-01 06:27:42;  2025-07-01 07:03:27;  2025-07-01 07:27:47;  2025-07-01 08:03:50;  2025-07-01 08:28:15;  2025-07-01 09:02:39;  2025-07-01 09:28:29;  2025-07-01 10:02:54;  2025-07-01 10:27:22;  2025-07-01 11:02:59;  2025-07-01 11:26:40;  2025-07-01 12:03:11;  2025-07-01 12:27:10;  2025-07-01 13:02:35;  2025-07-01 13:27:44;  2025-07-01 14:02:44;  2025-07-01 14:26:39;  2025-07-01 15:02:53;  2025-07-01 15:27:24;  2025-07-01 16:02:23;  2025-07-01 16:27:31;  2025-07-01 17:02:24;  2025-07-01 17:27:49;  2025-07-01 18:02:23;  2025-07-01 18:27:29;  2025-07-01 19:01:51
