  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;          Start          ;  Start_time_Planned ;   Start_time_Real   ;           End           ;   End_time_Planned  ;    End_time_Real    
  85:151:5344;  Route_A;                9;          O;           Bussigny, gare;  2025-07-01 06:23:00;  2025-07-01 06:23:32;  Vufflens-la-Ville, gare;  2025-07-01 06:46:00;  2025-07-01 06:47:14
  85:151:5345;  Route_A;                9;          R;  Vufflens-la-Ville, gare;  2025-07-01 06:46:00;  2025-07-01 06:47:11;           Bussigny, gare;  2025-07-01 07:07:00;  2025-07-01 07:05:55
  85:151:5346;  Route_A;                9;          O;           Bussigny, gare;  2025-07-01 07:23:00;  2025-07-01 07:23:52;  Vufflens-la-Ville, gare;  2025-07-01 07:46:00;  2025-07-01 07:47:03
  85:151:5347;  Route_A;                9;          R;  Vufflens-la-Ville, gare;  2025-07-01 07:46:00;  2025-07-01 07:46:30;           Bussigny, gare;  2025-07-01 08:07:00;  2025-07-01 08:06:07
  85:151:5348;  Route_A;                9;          O;           Bussigny, gare;  2025-07-01 08:23:00;  2025-07-01 08:23:40;  Vufflens-la-Ville, gare;  2025-07-01 08:46:00;  2025-07-01 08:47:46
  85:151:5349;  Route_A;                9;          R;  Vufflens-la-Ville, gare;  2025-07-01 08:46:00;  2025-07-01 08:46:56;           Bussigny, gare;  2025-07-01 09:07:00;  2025-07-01 09:04:59
  85:151:5350;  Route_A;                9;          O;           Bussigny, gare;  2025-07-01 09:23:00;  2025-07-01 09:24:09;  Vufflens-la-Ville, gare;  2025-07-01 09:46:00;  2025-07-01 09:46:12
  85:151:5351;  Route_A;                9;          R;  Vufflens-la-Ville, gare;  2025-07-01 09:46:00;  2025-07-01 09:46:25;           Bussigny, gare;  2025-07-01 10:07:00;  2025-07-01 10:05:21
  85:151:5352;  Route_A;                9;          O;           Bussigny, gare;  2025-07-01 10:23:00;  2025-07-01 10:23:20;  Vufflens-la-Ville, gare;  2025-07-01 10:46:00;  2025-07-01 10:44:49
  85:151:5353;  Route_A;                9;          R;  Vufflens-la-Ville, gare;  2025-07-01 10:46:00;  2025-07-01 10:46:34;           Bussigny, gare;  2025-07-01 11:07:00;  2025-07-01 11:04:54
  85:151:5354;  Route_A;                9;          O;           Bussigny, gare;  2025-07-01 11:23:00;  2025-07-01 11:23:15;  Vufflens-la-Ville, gare;  2025-07-01 11:46:00;  2025-07-01 11:46:09
  85:151:5355;  Route_A;                9;          R;  Vufflens-la-Ville, gare;  2025-07-01 11:46:00;  2025-07-01 11:46:28;           Bussigny, gare;  2025-07-01 12:07:00;  2025-07-01 12:07:20
  85:151:5356;  Route_A;                9;          O;           Bussigny, gare;  2025-07-01 12:23:00;  2025-07-01 12:23:47;  Vufflens-la-Ville, gare;  2025-07-01 12:46:00;  2025-07-01 12:46:26
  85:151:5357;  Route_A;                9;          R;  Vufflens-la-Ville, gare;  2025-07-01 12:46:00;  2025-07-01 12:46:20;           Bussigny, gare;  2025-07-01 13:07:00;  2025-07-01 13:04:39
  85:151:5358;  Route_A;                9;          O;           Bussigny, gare;  2025-07-01 13:23:00;  2025-07-01 13:23:39;  Vufflens-la-Ville, gare;  2025-07-01 13:46:00;  2025-07-01 13:45:36
  85:151:5359;  Route_A;                9;          R;  Vufflens-la-Ville, gare;  2025-07-01 13:46:00;  2025-07-01 13:46:01;           Bussigny, gare;  2025-07-01 14:07:00;  2025-07-01 14:05:19
  85:151:5360;  Route_A;                9;          O;           Bussigny, gare;  2025-07-01 14:23:00;  2025-07-01 14:23:16;  Vufflens-la-Ville, gare;  2025-07-01 14:46:00;  2025-07-01 14:45:11
  85:151:5361;  Route_A;                9;          R;  Vufflens-la-Ville, gare;  2025-07-01 14:46:00;  2025-07-01 14:46:03;           Bussigny, gare;  2025-07-01 15:07:00;  2025-07-01 15:04:52
  85:151:5362;  Route_A;                9;          O;           Bussigny, gare;  2025-07-01 15:23:00;  2025-07-01 15:24:17;  Vufflens-la-Ville, gare;  2025-07-01 15:46:00;  2025-07-01 15:45:09
  85:151:5363;  Route_A;                9;          R;  Vufflens-la-Ville, gare;  2025-07-01 15:46:00;  2025-07-01 15:46:16;           Bussigny, gare;  2025-07-01 16:07:00;  2025-07-01 16:04:36
  85:151:5364;  Route_A;                9;          O;           Bussigny, gare;  2025-07-01 16:23:00;  2025-07-01 16:24:35;  Vufflens-la-Ville, gare;  2025-07-01 16:46:00;  2025-07-01 16:45:18
  85:151:5365;  Route_A;                9;          R;  Vufflens-la-Ville, gare;  2025-07-01 16:46:00;  2025-07-01 16:46:15;           Bussigny, gare;  2025-07-01 17:07:00;  2025-07-01 17:04:59
  85:151:5366;  Route_A;                9;          O;           Bussigny, gare;  2025-07-01 17:23:00;  2025-07-01 17:23:47;  Vufflens-la-Ville, gare;  2025-07-01 17:46:00;  2025-07-01 17:44:53
  85:151:5367;  Route_A;                9;          R;  Vufflens-la-Ville, gare;  2025-07-01 17:46:00;  2025-07-01 17:46:00;           Bussigny, gare;  2025-07-01 18:07:00;  2025-07-01 18:05:19
  85:151:5368;  Route_A;                9;          O;           Bussigny, gare;  2025-07-01 18:23:00;  2025-07-01 18:24:17;  Vufflens-la-Ville, gare;  2025-07-01 18:46:00;  2025-07-01 18:45:47
  85:151:5369;  Route_A;                9;          R;  Vufflens-la-Ville, gare;  2025-07-01 18:46:00;  2025-07-01 18:46:47;           Bussigny, gare;  2025-07-01 19:07:00;  2025-07-01 19:03:41
