          STOP_NAME           ; STOP_NUMBER ;   EVENT   ;     85:151:5344     ;     85:151:5345     ;     85:151:5346     ;     85:151:5347     ;     85:151:5348     ;     85:151:5349     ;     85:151:5350     ;     85:151:5351     ;     85:151:5352     ;     85:151:5353     ;     85:151:5354     ;     85:151:5355     ;     85:151:5356     ;     85:151:5357     ;     85:151:5358     ;     85:151:5359     ;     85:151:5360     ;     85:151:5361     ;     85:151:5362     ;     85:151:5363     ;     85:151:5364     ;     85:151:5365     ;     85:151:5366     ;     85:151:5367     ;     85:151:5368     ;     85:151:5369     
                Bussigny, gare;      8581914;    ARRIVAL;                     ;  2025-07-01 07:07:00;                     ;  2025-07-01 08:07:00;                     ;  2025-07-01 09:07:00;                     ;  2025-07-01 10:07:00;                     ;  2025-07-01 11:07:00;                     ;  2025-07-01 12:07:00;                     ;  2025-07-01 13:07:00;                     ;  2025-07-01 14:07:00;                     ;  2025-07-01 15:07:00;                     ;  2025-07-01 16:07:00;                     ;  2025-07-01 17:07:00;                     ;  2025-07-01 18:07:00;                     ;  2025-07-01 19:07:00
                Bussigny, gare;      8581914;  DEPARTURE;  2025-07-01 06:23:00;                     ;  2025-07-01 07:23:00;                     ;  2025-07-01 08:23:00;                     ;  2025-07-01 09:23:00;                     ;  2025-07-01 10:23:00;                     ;  2025-07-01 11:23:00;                     ;  2025-07-01 12:23:00;                     ;  2025-07-01 13:23:00;                     ;  2025-07-01 14:23:00;                     ;  2025-07-01 15:23:00;                     ;  2025-07-01 16:23:00;                     ;  2025-07-01 17:23:00;                     ;  2025-07-01 18:23:00;                     
        Bussigny, Grand-Record;      8581918;    ARRIVAL;  2025-07-01 06:25:00;  2025-07-01 07:03:00;  2025-07-01 07:25:00;  2025-07-01 08:03:00;  2025-07-01 08:25:00;  2025-07-01 09:03:00;  2025-07-01 09:25:00;  2025-07-01 10:03:00;  2025-07-01 10:25:00;  2025-07-01 11:03:00;  2025-07-01 11:25:00;  2025-07-01 12:03:00;  2025-07-01 12:25:00;  2025-07-01 13:03:00;  2025-07-01 13:25:00;  2025-07-01 14:03:00;  2025-07-01 14:25:00;  2025-07-01 15:03:00;  2025-07-01 15:25:00;  2025-07-01 16:03:00;  2025-07-01 16:25:00;  2025-07-01 17:03:00;  2025-07-01 17:25:00;  2025-07-01 18:03:00;  2025-07-01 18:25:00;  2025-07-01 19:03:00
        Bussigny, Grand-Record;      8581918;  DEPARTURE;  2025-07-01 06:25:00;  2025-07-01 07:03:00;  2025-07-01 07:25:00;  2025-07-01 08:03:00;  2025-07-01 08:25:00;  2025-07-01 09:03:00;  2025-07-01 09:25:00;  2025-07-01 10:03:00;  2025-07-01 10:25:00;  2025-07-01 11:03:00;  2025-07-01 11:25:00;  2025-07-01 12:03:00;  2025-07-01 12:25:00;  2025-07-01 13:03:00;  2025-07-01 13:25:00;  2025-07-01 14:03:00;  2025-07-01 14:25:00;  2025-07-01 15:03:00;  2025-07-01 15:25:00;  2025-07-01 16:03:00;  2025-07-01 16:25:00;  2025-07-01 17:03:00;  2025-07-01 17:25:00;  2025-07-01 18:03:00;  2025-07-01 18:25:00;  2025-07-01 19:03:00
              Bussigny, Dallaz;      8581917;    ARRIVAL;  2025-07-01 06:26:00;  2025-07-01 07:02:00;  2025-07-01 07:26:00;  2025-07-01 08:02:00;  2025-07-01 08:26:00;  2025-07-01 09:02:00;  2025-07-01 09:26:00;  2025-07-01 10:02:00;  2025-07-01 10:26:00;  2025-07-01 11:02:00;  2025-07-01 11:26:00;  2025-07-01 12:02:00;  2025-07-01 12:26:00;  2025-07-01 13:02:00;  2025-07-01 13:26:00;  2025-07-01 14:02:00;  2025-07-01 14:26:00;  2025-07-01 15:02:00;  2025-07-01 15:26:00;  2025-07-01 16:02:00;  2025-07-01 16:26:00;  2025-07-01 17:02:00;  2025-07-01 17:26:00;  2025-07-01 18:02:00;  2025-07-01 18:26:00;  2025-07-01 19:02:00
              Bussigny, Dallaz;      8581917;  DEPARTURE;  2025-07-01 06:26:00;  2025-07-01 07:02:00;  2025-07-01 07:26:00;  2025-07-01 08:02:00;  2025-07-01 08:26:00;  2025-07-01 09:02:00;  2025-07-01 09:26:00;  2025-07-01 10:02:00;  2025-07-01 10:26:00;  2025-07-01 11:02:00;  2025-07-01 11:26:00;  2025-07-01 12:02:00;  2025-07-01 12:26:00;  2025-07-01 13:02:00;  2025-07-01 13:26:00;  2025-07-01 14:02:00;  2025-07-01 14:26:00;  2025-07-01 15:02:00;  2025-07-01 15:26:00;  2025-07-01 16:02:00;  2025-07-01 16:26:00;  2025-07-01 17:02:00;  2025-07-01 17:26:00;  2025-07-01 18:02:00;  2025-07-01 18:26:00;  2025-07-01 19:02:00
           Bussigny, Sottelles;      8506903;    ARRIVAL;  2025-07-01 06:27:00;  2025-07-01 07:01:00;  2025-07-01 07:27:00;  2025-07-01 08:01:00;  2025-07-01 08:27:00;  2025-07-01 09:01:00;  2025-07-01 09:27:00;  2025-07-01 10:01:00;  2025-07-01 10:27:00;  2025-07-01 11:01:00;  2025-07-01 11:27:00;  2025-07-01 12:01:00;  2025-07-01 12:27:00;  2025-07-01 13:01:00;  2025-07-01 13:27:00;  2025-07-01 14:01:00;  2025-07-01 14:27:00;  2025-07-01 15:01:00;  2025-07-01 15:27:00;  2025-07-01 16:01:00;  2025-07-01 16:27:00;  2025-07-01 17:01:00;  2025-07-01 17:27:00;  2025-07-01 18:01:00;  2025-07-01 18:27:00;  2025-07-01 19:01:00
           Bussigny, Sottelles;      8506903;  DEPARTURE;  2025-07-01 06:27:00;  2025-07-01 07:01:00;  2025-07-01 07:27:00;  2025-07-01 08:01:00;  2025-07-01 08:27:00;  2025-07-01 09:01:00;  2025-07-01 09:27:00;  2025-07-01 10:01:00;  2025-07-01 10:27:00;  2025-07-01 11:01:00;  2025-07-01 11:27:00;  2025-07-01 12:01:00;  2025-07-01 12:27:00;  2025-07-01 13:01:00;  2025-07-01 13:27:00;  2025-07-01 14:01:00;  2025-07-01 14:27:00;  2025-07-01 15:01:00;  2025-07-01 15:27:00;  2025-07-01 16:01:00;  2025-07-01 16:27:00;  2025-07-01 17:01:00;  2025-07-01 17:27:00;  2025-07-01 18:01:00;  2025-07-01 18:27:00;  2025-07-01 19:01:00
               Bussigny, Rente;      8594178;    ARRIVAL;  2025-07-01 06:31:00;  2025-07-01 06:59:00;  2025-07-01 07:31:00;  2025-07-01 07:59:00;  2025-07-01 08:31:00;  2025-07-01 08:59:00;  2025-07-01 09:31:00;  2025-07-01 09:59:00;  2025-07-01 10:31:00;  2025-07-01 10:59:00;  2025-07-01 11:31:00;  2025-07-01 11:59:00;  2025-07-01 12:31:00;  2025-07-01 12:59:00;  2025-07-01 13:31:00;  2025-07-01 13:59:00;  2025-07-01 14:31:00;  2025-07-01 14:59:00;  2025-07-01 15:31:00;  2025-07-01 15:59:00;  2025-07-01 16:31:00;  2025-07-01 16:59:00;  2025-07-01 17:31:00;  2025-07-01 17:59:00;  2025-07-01 18:31:00;  2025-07-01 18:59:00
               Bussigny, Rente;      8594178;  DEPARTURE;  2025-07-01 06:31:00;  2025-07-01 06:59:00;  2025-07-01 07:31:00;  2025-07-01 07:59:00;  2025-07-01 08:31:00;  2025-07-01 08:59:00;  2025-07-01 09:31:00;  2025-07-01 09:59:00;  2025-07-01 10:31:00;  2025-07-01 10:59:00;  2025-07-01 11:31:00;  2025-07-01 11:59:00;  2025-07-01 12:31:00;  2025-07-01 12:59:00;  2025-07-01 13:31:00;  2025-07-01 13:59:00;  2025-07-01 14:31:00;  2025-07-01 14:59:00;  2025-07-01 15:31:00;  2025-07-01 15:59:00;  2025-07-01 16:31:00;  2025-07-01 16:59:00;  2025-07-01 17:31:00;  2025-07-01 17:59:00;  2025-07-01 18:31:00;  2025-07-01 18:59:00
