  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;          Start           ;  Start_time_Planned ;   Start_time_Real   ;           End            ;   End_time_Planned  ;    End_time_Real    
  85:151:5372;  Route_A;               17;          R;      Renens VD, gare nord;  2025-07-01 06:03:00;  2025-07-01 06:03:56;  Cossonay-Penthalaz, gare;  2025-07-01 06:35:00;  2025-07-01 06:33:13
  85:151:5383;  Route_A;               17;          O;  Cossonay-Penthalaz, gare;  2025-07-01 06:25:00;  2025-07-01 06:26:04;      Renens VD, gare nord;  2025-07-01 06:57:00;  2025-07-01 06:55:43
  85:151:5394;  Route_A;               17;          R;      Renens VD, gare nord;  2025-07-01 06:33:00;  2025-07-01 06:33:00;  Cossonay-Penthalaz, gare;  2025-07-01 07:05:00;  2025-07-01 07:02:39
  85:151:5375;  Route_A;               17;          O;  Cossonay-Penthalaz, gare;  2025-07-01 06:55:00;  2025-07-01 06:56:11;      Renens VD, gare nord;  2025-07-01 07:27:00;  2025-07-01 07:25:39
  85:151:5384;  Route_C;               18;          R;      Renens VD, gare nord;  2025-07-01 07:00:00;  2025-07-01 07:00:23;    Cossonay-Ville, centre;  2025-07-01 07:40:00;  2025-07-01 07:43:55
  85:151:5397;  Route_A;               17;          O;  Cossonay-Penthalaz, gare;  2025-07-01 07:25:00;  2025-07-01 07:26:57;      Renens VD, gare nord;  2025-07-01 07:57:00;  2025-07-01 07:57:18
  85:151:5376;  Route_B;               18;          R;      Renens VD, gare nord;  2025-07-01 07:33:00;  2025-07-01 07:33:59;          Penthalaz, poste;  2025-07-01 08:10:00;  2025-07-01 08:11:54
  85:151:5387;  Route_A;               17;          O;  Cossonay-Penthalaz, gare;  2025-07-01 07:55:00;  2025-07-01 07:55:37;      Renens VD, gare nord;  2025-07-01 08:27:00;  2025-07-01 08:27:46
  85:151:5398;  Route_A;               17;          R;      Renens VD, gare nord;  2025-07-01 08:03:00;  2025-07-01 08:03:12;  Cossonay-Penthalaz, gare;  2025-07-01 08:35:00;  2025-07-01 08:33:33
  85:151:5379;  Route_A;               17;          O;  Cossonay-Penthalaz, gare;  2025-07-01 08:25:00;  2025-07-01 08:25:26;      Renens VD, gare nord;  2025-07-01 08:57:00;  2025-07-01 08:53:06
  85:151:5388;  Route_A;               17;          R;      Renens VD, gare nord;  2025-07-01 08:33:00;  2025-07-01 08:34:17;  Cossonay-Penthalaz, gare;  2025-07-01 09:05:00;  2025-07-01 09:03:09
  85:151:5401;  Route_A;               17;          O;  Cossonay-Penthalaz, gare;  2025-07-01 08:55:00;  2025-07-01 08:57:20;      Renens VD, gare nord;  2025-07-01 09:27:00;  2025-07-01 09:22:30
  85:151:5391;  Route_A;               17;          O;  Cossonay-Penthalaz, gare;  2025-07-01 09:25:00;  2025-07-01 09:26:06;      Renens VD, gare nord;  2025-07-01 09:57:00;  2025-07-01 09:53:24
  85:151:5402;  Route_A;               17;          R;      Renens VD, gare nord;  2025-07-01 09:33:00;  2025-07-01 09:33:26;  Cossonay-Penthalaz, gare;  2025-07-01 10:05:00;  2025-07-01 10:02:51
  85:151:5405;  Route_A;               17;          O;  Cossonay-Penthalaz, gare;  2025-07-01 10:25:00;  2025-07-01 10:26:19;      Renens VD, gare nord;  2025-07-01 10:57:00;  2025-07-01 10:53:14
