           STOP_NAME            ; STOP_NUMBER ;   EVENT   ;     85:151:5372     ;     85:151:5383     ;     85:151:5394     ;     85:151:5375     ;     85:151:5384     ;     85:151:5397     ;     85:151:5376     ;     85:151:5387     ;     85:151:5398     ;     85:151:5379     ;     85:151:5388     ;     85:151:5401     ;     85:151:5391     ;     85:151:5402     ;     85:151:5405     ;     85:151:5406     ;     85:151:5409     ;     85:151:5410     ;     85:151:5413     ;     85:151:5414     ;     85:151:5417     ;     85:151:5434     ;     85:151:5444     ;     85:151:5418     ;     85:151:5437     ;     85:151:5445     ;     85:151:5421     ;     85:151:5438     ;     85:151:5448     ;     85:151:5422     ;     85:151:5441     ;     85:151:5449     ;     85:151:5425     ;     85:151:5426     ;     85:151:5429     ;     85:151:5430     
          Cossonay-Ville, centre;      8570109;    ARRIVAL;                     ;                     ;                     ;                     ;  2025-07-01 07:40:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
          Cossonay-Ville, centre;      8570109;  DEPARTURE;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 15:17:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
                Penthalaz, poste;      8570130;    ARRIVAL;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 08:10:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
                Penthalaz, poste;      8570130;  DEPARTURE;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 15:50:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
        Cossonay-Penthalaz, gare;      8570129;    ARRIVAL;  2025-07-01 06:35:00;                     ;  2025-07-01 07:05:00;                     ;  2025-07-01 07:34:00;                     ;  2025-07-01 08:07:00;                     ;  2025-07-01 08:35:00;                     ;  2025-07-01 09:05:00;                     ;                     ;  2025-07-01 10:05:00;                     ;  2025-07-01 11:35:00;                     ;  2025-07-01 13:05:00;                     ;  2025-07-01 14:35:00;  2025-07-01 15:25:00;  2025-07-01 16:05:00;  2025-07-01 15:55:00;  2025-07-01 16:35:00;                     ;  2025-07-01 17:05:00;                     ;  2025-07-01 17:35:00;                     ;  2025-07-01 18:05:00;                     ;  2025-07-01 18:35:00;                     ;  2025-07-01 19:35:00;                     ;  2025-07-01 21:05:00
        Cossonay-Penthalaz, gare;      8570129;  DEPARTURE;                     ;  2025-07-01 06:25:00;                     ;  2025-07-01 06:55:00;  2025-07-01 07:34:00;  2025-07-01 07:25:00;  2025-07-01 08:07:00;  2025-07-01 07:55:00;                     ;  2025-07-01 08:25:00;                     ;  2025-07-01 08:55:00;  2025-07-01 09:25:00;                     ;  2025-07-01 10:25:00;                     ;  2025-07-01 11:59:00;                     ;  2025-07-01 13:25:00;                     ;  2025-07-01 15:25:00;                     ;  2025-07-01 15:55:00;                     ;  2025-07-01 16:25:00;                     ;  2025-07-01 16:55:00;                     ;  2025-07-01 17:25:00;                     ;  2025-07-01 17:55:00;                     ;  2025-07-01 18:25:00;                     ;  2025-07-01 19:55:00;                     
               Penthalaz, Verney;      8581114;    ARRIVAL;  2025-07-01 06:31:00;  2025-07-01 06:26:00;  2025-07-01 07:01:00;  2025-07-01 06:56:00;  2025-07-01 07:28:00;  2025-07-01 07:26:00;  2025-07-01 08:01:00;  2025-07-01 07:56:00;  2025-07-01 08:31:00;  2025-07-01 08:26:00;  2025-07-01 09:01:00;  2025-07-01 08:56:00;  2025-07-01 09:26:00;  2025-07-01 10:01:00;  2025-07-01 10:26:00;  2025-07-01 11:31:00;  2025-07-01 12:00:00;  2025-07-01 13:01:00;  2025-07-01 13:26:00;  2025-07-01 14:31:00;  2025-07-01 15:26:00;  2025-07-01 16:01:00;  2025-07-01 15:56:00;  2025-07-01 16:31:00;  2025-07-01 16:26:00;  2025-07-01 17:01:00;  2025-07-01 16:56:00;  2025-07-01 17:31:00;  2025-07-01 17:26:00;  2025-07-01 18:01:00;  2025-07-01 17:56:00;  2025-07-01 18:31:00;  2025-07-01 18:26:00;  2025-07-01 19:31:00;  2025-07-01 19:56:00;  2025-07-01 21:01:00
               Penthalaz, Verney;      8581114;  DEPARTURE;  2025-07-01 06:31:00;  2025-07-01 06:26:00;  2025-07-01 07:01:00;  2025-07-01 06:56:00;  2025-07-01 07:28:00;  2025-07-01 07:26:00;  2025-07-01 08:01:00;  2025-07-01 07:56:00;  2025-07-01 08:31:00;  2025-07-01 08:26:00;  2025-07-01 09:01:00;  2025-07-01 08:56:00;  2025-07-01 09:26:00;  2025-07-01 10:01:00;  2025-07-01 10:26:00;  2025-07-01 11:31:00;  2025-07-01 12:00:00;  2025-07-01 13:01:00;  2025-07-01 13:26:00;  2025-07-01 14:31:00;  2025-07-01 15:26:00;  2025-07-01 16:01:00;  2025-07-01 15:56:00;  2025-07-01 16:31:00;  2025-07-01 16:26:00;  2025-07-01 17:01:00;  2025-07-01 16:56:00;  2025-07-01 17:31:00;  2025-07-01 17:26:00;  2025-07-01 18:01:00;  2025-07-01 17:56:00;  2025-07-01 18:31:00;  2025-07-01 18:26:00;  2025-07-01 19:31:00;  2025-07-01 19:56:00;  2025-07-01 21:01:00
                Penthaz, La Vaux;      8570132;    ARRIVAL;  2025-07-01 06:30:00;  2025-07-01 06:27:00;  2025-07-01 07:00:00;  2025-07-01 06:57:00;  2025-07-01 07:27:00;  2025-07-01 07:27:00;  2025-07-01 08:00:00;  2025-07-01 07:57:00;  2025-07-01 08:30:00;  2025-07-01 08:27:00;  2025-07-01 09:00:00;  2025-07-01 08:57:00;  2025-07-01 09:27:00;  2025-07-01 10:00:00;  2025-07-01 10:27:00;  2025-07-01 11:30:00;  2025-07-01 12:01:00;  2025-07-01 13:00:00;  2025-07-01 13:27:00;  2025-07-01 14:30:00;  2025-07-01 15:27:00;  2025-07-01 16:00:00;  2025-07-01 15:57:00;  2025-07-01 16:30:00;  2025-07-01 16:27:00;  2025-07-01 17:00:00;  2025-07-01 16:57:00;  2025-07-01 17:30:00;  2025-07-01 17:27:00;  2025-07-01 18:00:00;  2025-07-01 17:57:00;  2025-07-01 18:30:00;  2025-07-01 18:27:00;  2025-07-01 19:30:00;  2025-07-01 19:57:00;  2025-07-01 21:00:00
                Penthaz, La Vaux;      8570132;  DEPARTURE;  2025-07-01 06:30:00;  2025-07-01 06:27:00;  2025-07-01 07:00:00;  2025-07-01 06:57:00;  2025-07-01 07:27:00;  2025-07-01 07:27:00;  2025-07-01 08:00:00;  2025-07-01 07:57:00;  2025-07-01 08:30:00;  2025-07-01 08:27:00;  2025-07-01 09:00:00;  2025-07-01 08:57:00;  2025-07-01 09:27:00;  2025-07-01 10:00:00;  2025-07-01 10:27:00;  2025-07-01 11:30:00;  2025-07-01 12:01:00;  2025-07-01 13:00:00;  2025-07-01 13:27:00;  2025-07-01 14:30:00;  2025-07-01 15:27:00;  2025-07-01 16:00:00;  2025-07-01 15:57:00;  2025-07-01 16:30:00;  2025-07-01 16:27:00;  2025-07-01 17:00:00;  2025-07-01 16:57:00;  2025-07-01 17:30:00;  2025-07-01 17:27:00;  2025-07-01 18:00:00;  2025-07-01 17:57:00;  2025-07-01 18:30:00;  2025-07-01 18:27:00;  2025-07-01 19:30:00;  2025-07-01 19:57:00;  2025-07-01 21:00:00
