           STOP_NAME            ; STOP_NUMBER ;     EVENT      ;     85:151:5372     ;     85:151:5383     ;     85:151:5394     ;     85:151:5375     ;     85:151:5384     ;     85:151:5397     ;     85:151:5376     ;     85:151:5387     ;     85:151:5398     ;     85:151:5379     ;     85:151:5388     ;     85:151:5401     ;     85:151:5391     ;     85:151:5402     ;     85:151:5405     ;     85:151:5406     ;     85:151:5409     ;     85:151:5410     ;     85:151:5413     ;     85:151:5414     ;     85:151:5417     ;     85:151:5434     ;     85:151:5444     ;     85:151:5418     ;     85:151:5437     ;     85:151:5445     ;     85:151:5421     ;     85:151:5438     ;     85:151:5448     ;     85:151:5422     ;     85:151:5441     ;     85:151:5449     ;     85:151:5425     ;     85:151:5426     ;     85:151:5429     ;     85:151:5430     
          Cossonay-Ville, centre;      8570109;    ARRIVAL_REAL;                     ;                     ;                     ;                     ;  2025-07-01 07:43:55;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
          Cossonay-Ville, centre;      8570109;  DEPARTURE_REAL;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 15:17:36;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
                Penthalaz, poste;      8570130;    ARRIVAL_REAL;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 08:11:54;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
                Penthalaz, poste;      8570130;  DEPARTURE_REAL;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 15:50:25;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
        Cossonay-Penthalaz, gare;      8570129;    ARRIVAL_REAL;  2025-07-01 06:33:13;                     ;  2025-07-01 07:02:39;                     ;  2025-07-01 07:37:55;                     ;  2025-07-01 08:09:12;                     ;  2025-07-01 08:33:33;                     ;  2025-07-01 09:03:09;                     ;                     ;  2025-07-01 10:02:51;                     ;  2025-07-01 11:34:14;                     ;  2025-07-01 13:05:18;                     ;  2025-07-01 14:37:40;  2025-07-01 15:17:36;  2025-07-01 16:07:29;  2025-07-01 16:02:05;  2025-07-01 16:41:43;                     ;  2025-07-01 17:11:07;                     ;  2025-07-01 17:42:29;                     ;  2025-07-01 18:04:24;                     ;  2025-07-01 18:37:17;                     ;  2025-07-01 19:35:41;                     ;  2025-07-01 21:01:50
        Cossonay-Penthalaz, gare;      8570129;  DEPARTURE_REAL;                     ;  2025-07-01 06:26:04;                     ;  2025-07-01 06:56:11;  2025-07-01 07:37:55;  2025-07-01 07:26:57;  2025-07-01 08:09:35;  2025-07-01 07:55:37;                     ;  2025-07-01 08:25:26;                     ;  2025-07-01 08:57:20;  2025-07-01 09:26:06;                     ;  2025-07-01 10:26:19;                     ;  2025-07-01 12:00:54;                     ;  2025-07-01 13:27:29;                     ;  2025-07-01 15:17:36;                     ;  2025-07-01 16:02:45;                     ;  2025-07-01 16:27:14;                     ;  2025-07-01 16:57:30;                     ;  2025-07-01 17:28:20;                     ;  2025-07-01 17:59:28;                     ;  2025-07-01 18:27:01;                     ;  2025-07-01 19:56:35;                     
               Penthalaz, Verney;      8581114;    ARRIVAL_REAL;  2025-07-01 06:31:32;  2025-07-01 06:27:59;  2025-07-01 07:01:19;  2025-07-01 06:57:58;  2025-07-01 07:32:39;  2025-07-01 07:27:57;  2025-07-01 08:04:30;  2025-07-01 07:56:37;  2025-07-01 08:31:52;  2025-07-01 08:27:16;  2025-07-01 09:01:30;  2025-07-01 08:58:20;  2025-07-01 09:27:29;  2025-07-01 10:00:45;  2025-07-01 10:27:19;  2025-07-01 11:32:41;  2025-07-01 12:02:54;  2025-07-01 13:03:13;  2025-07-01 13:28:29;  2025-07-01 14:33:40;  2025-07-01 15:17:36;  2025-07-01 16:05:25;  2025-07-01 16:04:37;  2025-07-01 16:38:50;  2025-07-01 16:28:14;  2025-07-01 17:08:04;  2025-07-01 16:59:06;  2025-07-01 17:39:17;  2025-07-01 17:29:56;  2025-07-01 18:02:59;  2025-07-01 18:01:26;  2025-07-01 18:34:45;  2025-07-01 18:28:41;  2025-07-01 19:32:28;  2025-07-01 19:57:35;  2025-07-01 21:00:30
               Penthalaz, Verney;      8581114;  DEPARTURE_REAL;  2025-07-01 06:31:32;  2025-07-01 06:28:05;  2025-07-01 07:01:19;  2025-07-01 06:57:58;  2025-07-01 07:33:03;  2025-07-01 07:29:06;  2025-07-01 08:05:07;  2025-07-01 07:59:39;  2025-07-01 08:31:52;  2025-07-01 08:27:26;  2025-07-01 09:01:30;  2025-07-01 08:58:28;  2025-07-01 09:27:29;  2025-07-01 10:01:11;  2025-07-01 10:27:38;  2025-07-01 11:32:46;  2025-07-01 12:03:34;  2025-07-01 13:03:26;  2025-07-01 13:29:18;  2025-07-01 14:33:40;  2025-07-01 15:17:36;  2025-07-01 16:05:25;  2025-07-01 16:05:05;  2025-07-01 16:39:00;  2025-07-01 16:29:07;  2025-07-01 17:08:17;  2025-07-01 16:59:29;  2025-07-01 17:39:28;  2025-07-01 17:30:37;  2025-07-01 18:02:59;  2025-07-01 18:01:48;  2025-07-01 18:34:45;  2025-07-01 18:28:41;  2025-07-01 19:32:44;  2025-07-01 19:58:05;  2025-07-01 21:00:30
                Penthaz, La Vaux;      8570132;    ARRIVAL_REAL;  2025-07-01 06:30:06;  2025-07-01 06:28:59;  2025-07-01 07:00:19;  2025-07-01 06:58:38;  2025-07-01 07:30:59;  2025-07-01 07:29:56;  2025-07-01 08:03:08;  2025-07-01 08:00:14;  2025-07-01 08:30:52;  2025-07-01 08:28:12;  2025-07-01 09:00:34;  2025-07-01 08:59:04;  2025-07-01 09:28:09;  2025-07-01 09:59:27;  2025-07-01 10:28:19;  2025-07-01 11:31:34;  2025-07-01 12:04:14;  2025-07-01 13:02:26;  2025-07-01 13:30:09;  2025-07-01 14:32:38;  2025-07-01 15:17:36;  2025-07-01 16:04:20;  2025-07-01 16:06:04;  2025-07-01 16:37:50;  2025-07-01 16:29:54;  2025-07-01 17:07:04;  2025-07-01 17:00:29;  2025-07-01 17:37:27;  2025-07-01 17:31:16;  2025-07-01 18:01:59;  2025-07-01 18:02:30;  2025-07-01 18:34:00;  2025-07-01 18:29:41;  2025-07-01 19:31:05;  2025-07-01 19:59:04;  2025-07-01 20:59:53
                Penthaz, La Vaux;      8570132;  DEPARTURE_REAL;  2025-07-01 06:30:36;  2025-07-01 06:28:59;  2025-07-01 07:00:19;  2025-07-01 06:58:38;  2025-07-01 07:31:19;  2025-07-01 07:30:06;  2025-07-01 08:03:27;  2025-07-01 08:00:14;  2025-07-01 08:30:52;  2025-07-01 08:28:12;  2025-07-01 09:00:44;  2025-07-01 08:59:20;  2025-07-01 09:28:25;  2025-07-01 09:59:51;  2025-07-01 10:28:19;  2025-07-01 11:31:46;  2025-07-01 12:04:34;  2025-07-01 13:02:26;  2025-07-01 13:30:09;  2025-07-01 14:32:38;  2025-07-01 15:17:36;  2025-07-01 16:04:36;  2025-07-01 16:06:25;  2025-07-01 16:37:50;  2025-07-01 16:29:54;  2025-07-01 17:07:20;  2025-07-01 17:00:29;  2025-07-01 17:37:27;  2025-07-01 17:31:34;  2025-07-01 18:01:59;  2025-07-01 18:02:30;  2025-07-01 18:34:00;  2025-07-01 18:29:41;  2025-07-01 19:31:15;  2025-07-01 19:59:04;  2025-07-01 20:59:53
