           STOP_NAME           ; STOP_NUMBER ;   EVENT   ;     85:151:5705     ;     85:151:5729     ;     85:151:5756     ;     85:151:5706     ;     85:151:5730     ;     85:151:5788     ;     85:151:5783     ;     85:151:5757     ;     85:151:5707     ;     85:151:5794     ;     85:151:5789     ;     85:151:5731     ;     85:151:5758     ;     85:151:5784     ;     85:151:5795     ;     85:151:5708     ;     85:151:5732     ;     85:151:5790     ;     85:151:5785     ;     85:151:5759     ;     85:151:5709     ;     85:151:5791     ;     85:151:5733     ;     85:151:5760     ;     85:151:5710     ;     85:151:5734     ;     85:151:5761     ;     85:151:5711     ;     85:151:5735     ;     85:151:5762     ;     85:151:5712     ;     85:151:5736     ;     85:151:5763     ;     85:151:5713     ;     85:151:5737     ;     85:151:5764     ;     85:151:5714     ;     85:151:5738     ;     85:151:5765     ;     85:151:5715     ;     85:151:5739     ;     85:151:5766     ;     85:151:5716     ;     85:151:5740     ;     85:151:5767     ;     85:151:5717     ;     85:151:5741     ;     85:151:5768     ;     85:151:5718     ;     85:151:5742     ;     85:151:5769     ;     85:151:5719     ;     85:151:5798     ;     85:151:5743     ;     85:151:5770     ;     85:151:5804     ;     85:151:5799     ;     85:151:5720     ;     85:151:5744     ;     85:151:5809     ;     85:151:5805     ;     85:151:5771     ;     85:151:5721     ;     85:151:5800     ;     85:151:5810     ;     85:151:5745     ;     85:151:5772     ;     85:151:5806     ;     85:151:5801     ;     85:151:5722     ;     85:151:5746     ;     85:151:5811     ;     85:151:5773     ;     85:151:5723     ;     85:151:5747     ;     85:151:5774     ;     85:151:5724     ;     85:151:5748     ;     85:151:5775     ;     85:151:5725     ;     85:151:5749     ;     85:151:5776     ;     85:151:5726     ;     85:151:5750     ;     85:151:5777     ;     85:151:5778     ;     85:151:5751     ;     85:151:5752     ;     85:151:5779     ;     85:151:5780     ;     85:151:5753     
    Lausanne, Riponne-M. Béjart;      8590442;    ARRIVAL;  2025-07-01 05:58:00;                     ;  2025-07-01 06:28:00;                     ;  2025-07-01 06:58:00;                     ;  2025-07-01 07:13:00;                     ;  2025-07-01 07:28:00;                     ;                     ;                     ;  2025-07-01 07:58:00;                     ;  2025-07-01 08:13:00;                     ;  2025-07-01 08:28:00;                     ;  2025-07-01 08:43:00;                     ;  2025-07-01 08:58:00;  2025-07-01 09:13:00;                     ;  2025-07-01 09:28:00;                     ;  2025-07-01 09:58:00;                     ;  2025-07-01 10:28:00;                     ;  2025-07-01 10:58:00;                     ;  2025-07-01 11:28:00;                     ;  2025-07-01 11:58:00;                     ;  2025-07-01 12:28:00;                     ;  2025-07-01 12:58:00;                     ;  2025-07-01 13:28:00;                     ;  2025-07-01 13:58:00;                     ;  2025-07-01 14:23:00;                     ;  2025-07-01 14:58:00;                     ;  2025-07-01 15:28:00;                     ;  2025-07-01 15:58:00;                     ;  2025-07-01 16:28:00;                     ;                     ;  2025-07-01 16:58:00;                     ;  2025-07-01 17:13:00;                     ;  2025-07-01 17:28:00;                     ;  2025-07-01 17:43:00;                     ;  2025-07-01 17:58:00;                     ;  2025-07-01 18:13:00;                     ;  2025-07-01 18:28:00;                     ;  2025-07-01 18:43:00;                     ;  2025-07-01 18:58:00;                     ;                     ;  2025-07-01 19:28:00;                     ;  2025-07-01 19:58:00;                     ;  2025-07-01 20:28:00;                     ;  2025-07-01 20:58:00;                     ;  2025-07-01 21:28:00;                     ;  2025-07-01 21:58:00;                     ;  2025-07-01 22:58:00;                     ;  2025-07-01 23:58:00;                     ;  2025-08-01 00:58:00;                     
    Lausanne, Riponne-M. Béjart;      8590442;  DEPARTURE;                     ;  2025-07-01 05:38:00;                     ;  2025-07-01 06:08:00;                     ;  2025-07-01 06:23:00;                     ;  2025-07-01 06:38:00;                     ;  2025-07-01 06:53:00;                     ;  2025-07-01 07:08:00;                     ;  2025-07-01 07:23:00;                     ;  2025-07-01 07:38:00;                     ;  2025-07-01 07:53:00;                     ;  2025-07-01 08:08:00;                     ;                     ;  2025-07-01 08:38:00;                     ;  2025-07-01 09:08:00;                     ;  2025-07-01 09:38:00;                     ;  2025-07-01 10:08:00;                     ;  2025-07-01 10:38:00;                     ;  2025-07-01 11:08:00;                     ;  2025-07-01 11:38:00;                     ;  2025-07-01 12:13:00;                     ;  2025-07-01 12:38:00;                     ;  2025-07-01 13:08:00;                     ;  2025-07-01 13:38:00;                     ;  2025-07-01 14:08:00;                     ;  2025-07-01 14:38:00;                     ;  2025-07-01 15:08:00;                     ;  2025-07-01 15:38:00;                     ;  2025-07-01 15:53:00;  2025-07-01 16:08:00;                     ;  2025-07-01 16:23:00;                     ;  2025-07-01 16:38:00;                     ;  2025-07-01 16:53:00;                     ;  2025-07-01 17:08:00;                     ;  2025-07-01 17:23:00;                     ;  2025-07-01 17:38:00;                     ;  2025-07-01 17:53:00;                     ;  2025-07-01 18:08:00;                     ;  2025-07-01 18:23:00;  2025-07-01 18:38:00;                     ;  2025-07-01 19:08:00;                     ;  2025-07-01 19:38:00;                     ;  2025-07-01 20:08:00;                     ;  2025-07-01 20:38:00;                     ;  2025-07-01 21:08:00;                     ;  2025-07-01 21:38:00;                     ;  2025-07-01 22:38:00;                     ;  2025-07-01 23:38:00;                     ;  2025-08-01 00:38:00
               Lausanne, Tunnel;      8504176;    ARRIVAL;                     ;  2025-07-01 05:40:00;                     ;  2025-07-01 06:10:00;                     ;  2025-07-01 06:25:00;                     ;  2025-07-01 06:40:00;                     ;  2025-07-01 06:55:00;                     ;  2025-07-01 07:10:00;                     ;  2025-07-01 07:25:00;                     ;  2025-07-01 07:40:00;                     ;  2025-07-01 07:55:00;                     ;  2025-07-01 08:10:00;                     ;                     ;  2025-07-01 08:40:00;                     ;  2025-07-01 09:10:00;                     ;  2025-07-01 09:40:00;                     ;  2025-07-01 10:10:00;                     ;  2025-07-01 10:40:00;                     ;  2025-07-01 11:10:00;                     ;  2025-07-01 11:40:00;                     ;  2025-07-01 12:15:00;                     ;  2025-07-01 12:40:00;                     ;  2025-07-01 13:10:00;                     ;  2025-07-01 13:40:00;                     ;  2025-07-01 14:10:00;                     ;  2025-07-01 14:40:00;                     ;  2025-07-01 15:10:00;                     ;  2025-07-01 15:40:00;                     ;  2025-07-01 15:55:00;  2025-07-01 16:10:00;                     ;  2025-07-01 16:25:00;                     ;  2025-07-01 16:40:00;                     ;  2025-07-01 16:55:00;                     ;  2025-07-01 17:10:00;                     ;  2025-07-01 17:25:00;                     ;  2025-07-01 17:40:00;                     ;  2025-07-01 17:55:00;                     ;  2025-07-01 18:10:00;                     ;  2025-07-01 18:25:00;  2025-07-01 18:40:00;                     ;  2025-07-01 19:10:00;                     ;  2025-07-01 19:40:00;                     ;  2025-07-01 20:10:00;                     ;  2025-07-01 20:40:00;                     ;  2025-07-01 21:10:00;                     ;  2025-07-01 21:40:00;                     ;  2025-07-01 22:40:00;                     ;  2025-07-01 23:40:00;                     ;  2025-08-01 00:40:00
               Lausanne, Tunnel;      8504176;  DEPARTURE;                     ;  2025-07-01 05:40:00;                     ;  2025-07-01 06:10:00;                     ;  2025-07-01 06:25:00;                     ;  2025-07-01 06:40:00;                     ;  2025-07-01 06:55:00;                     ;  2025-07-01 07:10:00;                     ;  2025-07-01 07:25:00;                     ;  2025-07-01 07:40:00;                     ;  2025-07-01 07:55:00;                     ;  2025-07-01 08:10:00;                     ;                     ;  2025-07-01 08:40:00;                     ;  2025-07-01 09:10:00;                     ;  2025-07-01 09:40:00;                     ;  2025-07-01 10:10:00;                     ;  2025-07-01 10:40:00;                     ;  2025-07-01 11:10:00;                     ;  2025-07-01 11:40:00;                     ;  2025-07-01 12:15:00;                     ;  2025-07-01 12:40:00;                     ;  2025-07-01 13:10:00;                     ;  2025-07-01 13:40:00;                     ;  2025-07-01 14:10:00;                     ;  2025-07-01 14:40:00;                     ;  2025-07-01 15:10:00;                     ;  2025-07-01 15:40:00;                     ;  2025-07-01 15:55:00;  2025-07-01 16:10:00;                     ;  2025-07-01 16:25:00;                     ;  2025-07-01 16:40:00;                     ;  2025-07-01 16:55:00;                     ;  2025-07-01 17:10:00;                     ;  2025-07-01 17:25:00;                     ;  2025-07-01 17:40:00;                     ;  2025-07-01 17:55:00;                     ;  2025-07-01 18:10:00;                     ;  2025-07-01 18:25:00;  2025-07-01 18:40:00;                     ;  2025-07-01 19:10:00;                     ;  2025-07-01 19:40:00;                     ;  2025-07-01 20:10:00;                     ;  2025-07-01 20:40:00;                     ;  2025-07-01 21:10:00;                     ;  2025-07-01 21:40:00;                     ;  2025-07-01 22:40:00;                     ;  2025-07-01 23:40:00;                     ;  2025-08-01 00:40:00
            Lausanne, Bellevaux;      8587357;    ARRIVAL;  2025-07-01 05:47:00;  2025-07-01 05:45:00;  2025-07-01 06:17:00;  2025-07-01 06:15:00;  2025-07-01 06:47:00;  2025-07-01 06:30:00;  2025-07-01 07:02:00;  2025-07-01 06:45:00;  2025-07-01 07:17:00;  2025-07-01 07:00:00;  2025-07-01 07:32:00;  2025-07-01 07:15:00;  2025-07-01 07:47:00;  2025-07-01 07:30:00;  2025-07-01 08:02:00;  2025-07-01 07:45:00;  2025-07-01 08:17:00;  2025-07-01 08:00:00;  2025-07-01 08:32:00;  2025-07-01 08:15:00;  2025-07-01 08:47:00;  2025-07-01 09:02:00;  2025-07-01 08:45:00;  2025-07-01 09:17:00;  2025-07-01 09:15:00;  2025-07-01 09:47:00;  2025-07-01 09:45:00;  2025-07-01 10:17:00;  2025-07-01 10:15:00;  2025-07-01 10:47:00;  2025-07-01 10:45:00;  2025-07-01 11:17:00;  2025-07-01 11:15:00;  2025-07-01 11:47:00;  2025-07-01 11:45:00;  2025-07-01 12:17:00;  2025-07-01 12:20:00;  2025-07-01 12:47:00;  2025-07-01 12:45:00;  2025-07-01 13:17:00;  2025-07-01 13:15:00;  2025-07-01 13:47:00;  2025-07-01 13:45:00;  2025-07-01 14:12:00;  2025-07-01 14:15:00;  2025-07-01 14:47:00;  2025-07-01 14:45:00;  2025-07-01 15:17:00;  2025-07-01 15:15:00;  2025-07-01 15:47:00;  2025-07-01 15:45:00;  2025-07-01 16:17:00;  2025-07-01 16:00:00;  2025-07-01 16:15:00;  2025-07-01 16:47:00;  2025-07-01 16:30:00;  2025-07-01 17:02:00;  2025-07-01 16:45:00;  2025-07-01 17:17:00;  2025-07-01 17:00:00;  2025-07-01 17:32:00;  2025-07-01 17:15:00;  2025-07-01 17:47:00;  2025-07-01 17:30:00;  2025-07-01 18:02:00;  2025-07-01 17:45:00;  2025-07-01 18:17:00;  2025-07-01 18:00:00;  2025-07-01 18:32:00;  2025-07-01 18:15:00;  2025-07-01 18:47:00;  2025-07-01 18:30:00;  2025-07-01 18:45:00;  2025-07-01 19:17:00;  2025-07-01 19:15:00;  2025-07-01 19:47:00;  2025-07-01 19:45:00;  2025-07-01 20:17:00;  2025-07-01 20:15:00;  2025-07-01 20:47:00;  2025-07-01 20:45:00;  2025-07-01 21:17:00;  2025-07-01 21:15:00;  2025-07-01 21:47:00;  2025-07-01 21:45:00;  2025-07-01 22:47:00;  2025-07-01 22:45:00;  2025-07-01 23:47:00;  2025-07-01 23:45:00;  2025-08-01 00:47:00;  2025-08-01 00:45:00
            Lausanne, Bellevaux;      8587357;  DEPARTURE;  2025-07-01 05:47:00;  2025-07-01 05:45:00;  2025-07-01 06:17:00;  2025-07-01 06:15:00;  2025-07-01 06:47:00;  2025-07-01 06:30:00;  2025-07-01 07:02:00;  2025-07-01 06:45:00;  2025-07-01 07:17:00;  2025-07-01 07:00:00;  2025-07-01 07:32:00;  2025-07-01 07:15:00;  2025-07-01 07:47:00;  2025-07-01 07:30:00;  2025-07-01 08:02:00;  2025-07-01 07:45:00;  2025-07-01 08:17:00;  2025-07-01 08:00:00;  2025-07-01 08:32:00;  2025-07-01 08:15:00;  2025-07-01 08:47:00;  2025-07-01 09:02:00;  2025-07-01 08:45:00;  2025-07-01 09:17:00;  2025-07-01 09:15:00;  2025-07-01 09:47:00;  2025-07-01 09:45:00;  2025-07-01 10:17:00;  2025-07-01 10:15:00;  2025-07-01 10:47:00;  2025-07-01 10:45:00;  2025-07-01 11:17:00;  2025-07-01 11:15:00;  2025-07-01 11:47:00;  2025-07-01 11:45:00;  2025-07-01 12:17:00;  2025-07-01 12:20:00;  2025-07-01 12:47:00;  2025-07-01 12:45:00;  2025-07-01 13:17:00;  2025-07-01 13:15:00;  2025-07-01 13:47:00;  2025-07-01 13:45:00;  2025-07-01 14:12:00;  2025-07-01 14:15:00;  2025-07-01 14:47:00;  2025-07-01 14:45:00;  2025-07-01 15:17:00;  2025-07-01 15:15:00;  2025-07-01 15:47:00;  2025-07-01 15:45:00;  2025-07-01 16:17:00;  2025-07-01 16:00:00;  2025-07-01 16:15:00;  2025-07-01 16:47:00;  2025-07-01 16:30:00;  2025-07-01 17:02:00;  2025-07-01 16:45:00;  2025-07-01 17:17:00;  2025-07-01 17:00:00;  2025-07-01 17:32:00;  2025-07-01 17:15:00;  2025-07-01 17:47:00;  2025-07-01 17:30:00;  2025-07-01 18:02:00;  2025-07-01 17:45:00;  2025-07-01 18:17:00;  2025-07-01 18:00:00;  2025-07-01 18:32:00;  2025-07-01 18:15:00;  2025-07-01 18:47:00;  2025-07-01 18:30:00;  2025-07-01 18:45:00;  2025-07-01 19:17:00;  2025-07-01 19:15:00;  2025-07-01 19:47:00;  2025-07-01 19:45:00;  2025-07-01 20:17:00;  2025-07-01 20:15:00;  2025-07-01 20:47:00;  2025-07-01 20:45:00;  2025-07-01 21:17:00;  2025-07-01 21:15:00;  2025-07-01 21:47:00;  2025-07-01 21:45:00;  2025-07-01 22:47:00;  2025-07-01 22:45:00;  2025-07-01 23:47:00;  2025-07-01 23:45:00;  2025-08-01 00:47:00;  2025-08-01 00:45:00
   Le Mont-sur-L., Coppoz-Poste;      8593845;    ARRIVAL;  2025-07-01 05:43:00;  2025-07-01 05:49:00;  2025-07-01 06:13:00;  2025-07-01 06:19:00;  2025-07-01 06:43:00;  2025-07-01 06:34:00;  2025-07-01 06:58:00;  2025-07-01 06:49:00;  2025-07-01 07:13:00;  2025-07-01 07:04:00;  2025-07-01 07:28:00;  2025-07-01 07:19:00;  2025-07-01 07:43:00;  2025-07-01 07:34:00;  2025-07-01 07:58:00;  2025-07-01 07:49:00;  2025-07-01 08:13:00;  2025-07-01 08:04:00;  2025-07-01 08:28:00;  2025-07-01 08:19:00;  2025-07-01 08:43:00;  2025-07-01 08:58:00;  2025-07-01 08:49:00;  2025-07-01 09:13:00;  2025-07-01 09:19:00;  2025-07-01 09:43:00;  2025-07-01 09:49:00;  2025-07-01 10:13:00;  2025-07-01 10:19:00;  2025-07-01 10:43:00;  2025-07-01 10:49:00;  2025-07-01 11:13:00;  2025-07-01 11:19:00;  2025-07-01 11:43:00;  2025-07-01 11:49:00;  2025-07-01 12:13:00;  2025-07-01 12:24:00;  2025-07-01 12:43:00;  2025-07-01 12:49:00;  2025-07-01 13:13:00;  2025-07-01 13:19:00;  2025-07-01 13:43:00;  2025-07-01 13:49:00;  2025-07-01 14:08:00;  2025-07-01 14:19:00;  2025-07-01 14:43:00;  2025-07-01 14:49:00;  2025-07-01 15:13:00;  2025-07-01 15:19:00;  2025-07-01 15:43:00;  2025-07-01 15:49:00;  2025-07-01 16:13:00;  2025-07-01 16:04:00;  2025-07-01 16:19:00;  2025-07-01 16:43:00;  2025-07-01 16:34:00;  2025-07-01 16:58:00;  2025-07-01 16:49:00;  2025-07-01 17:13:00;  2025-07-01 17:04:00;  2025-07-01 17:28:00;  2025-07-01 17:19:00;  2025-07-01 17:43:00;  2025-07-01 17:34:00;  2025-07-01 17:58:00;  2025-07-01 17:49:00;  2025-07-01 18:13:00;  2025-07-01 18:04:00;  2025-07-01 18:28:00;  2025-07-01 18:19:00;  2025-07-01 18:43:00;  2025-07-01 18:34:00;  2025-07-01 18:49:00;  2025-07-01 19:13:00;  2025-07-01 19:19:00;  2025-07-01 19:43:00;  2025-07-01 19:49:00;  2025-07-01 20:13:00;  2025-07-01 20:19:00;  2025-07-01 20:43:00;  2025-07-01 20:49:00;  2025-07-01 21:13:00;  2025-07-01 21:19:00;  2025-07-01 21:43:00;  2025-07-01 21:49:00;  2025-07-01 22:43:00;  2025-07-01 22:49:00;  2025-07-01 23:43:00;  2025-07-01 23:49:00;  2025-08-01 00:43:00;  2025-08-01 00:49:00
   Le Mont-sur-L., Coppoz-Poste;      8593845;  DEPARTURE;  2025-07-01 05:43:00;  2025-07-01 05:49:00;  2025-07-01 06:13:00;  2025-07-01 06:19:00;  2025-07-01 06:43:00;  2025-07-01 06:34:00;  2025-07-01 06:58:00;  2025-07-01 06:49:00;  2025-07-01 07:13:00;  2025-07-01 07:04:00;  2025-07-01 07:28:00;  2025-07-01 07:19:00;  2025-07-01 07:43:00;  2025-07-01 07:34:00;  2025-07-01 07:58:00;  2025-07-01 07:49:00;  2025-07-01 08:13:00;  2025-07-01 08:04:00;  2025-07-01 08:28:00;  2025-07-01 08:19:00;  2025-07-01 08:43:00;  2025-07-01 08:58:00;  2025-07-01 08:49:00;  2025-07-01 09:13:00;  2025-07-01 09:19:00;  2025-07-01 09:43:00;  2025-07-01 09:49:00;  2025-07-01 10:13:00;  2025-07-01 10:19:00;  2025-07-01 10:43:00;  2025-07-01 10:49:00;  2025-07-01 11:13:00;  2025-07-01 11:19:00;  2025-07-01 11:43:00;  2025-07-01 11:49:00;  2025-07-01 12:13:00;  2025-07-01 12:24:00;  2025-07-01 12:43:00;  2025-07-01 12:49:00;  2025-07-01 13:13:00;  2025-07-01 13:19:00;  2025-07-01 13:43:00;  2025-07-01 13:49:00;  2025-07-01 14:08:00;  2025-07-01 14:19:00;  2025-07-01 14:43:00;  2025-07-01 14:49:00;  2025-07-01 15:13:00;  2025-07-01 15:19:00;  2025-07-01 15:43:00;  2025-07-01 15:49:00;  2025-07-01 16:13:00;  2025-07-01 16:04:00;  2025-07-01 16:19:00;  2025-07-01 16:43:00;  2025-07-01 16:34:00;  2025-07-01 16:58:00;  2025-07-01 16:49:00;  2025-07-01 17:13:00;  2025-07-01 17:04:00;  2025-07-01 17:28:00;  2025-07-01 17:19:00;  2025-07-01 17:43:00;  2025-07-01 17:34:00;  2025-07-01 17:58:00;  2025-07-01 17:49:00;  2025-07-01 18:13:00;  2025-07-01 18:04:00;  2025-07-01 18:28:00;  2025-07-01 18:19:00;  2025-07-01 18:43:00;  2025-07-01 18:34:00;  2025-07-01 18:49:00;  2025-07-01 19:13:00;  2025-07-01 19:19:00;  2025-07-01 19:43:00;  2025-07-01 19:49:00;  2025-07-01 20:13:00;  2025-07-01 20:19:00;  2025-07-01 20:43:00;  2025-07-01 20:49:00;  2025-07-01 21:13:00;  2025-07-01 21:19:00;  2025-07-01 21:43:00;  2025-07-01 21:49:00;  2025-07-01 22:43:00;  2025-07-01 22:49:00;  2025-07-01 23:43:00;  2025-07-01 23:49:00;  2025-08-01 00:43:00;  2025-08-01 00:49:00
     Le Mont-sur-L., Grand-Mont;      8504177;    ARRIVAL;  2025-07-01 05:42:00;  2025-07-01 05:51:00;  2025-07-01 06:12:00;  2025-07-01 06:21:00;  2025-07-01 06:42:00;  2025-07-01 06:36:00;  2025-07-01 06:57:00;  2025-07-01 06:51:00;  2025-07-01 07:12:00;  2025-07-01 07:06:00;  2025-07-01 07:27:00;  2025-07-01 07:21:00;  2025-07-01 07:42:00;  2025-07-01 07:36:00;  2025-07-01 07:57:00;  2025-07-01 07:51:00;  2025-07-01 08:12:00;  2025-07-01 08:06:00;  2025-07-01 08:27:00;  2025-07-01 08:21:00;  2025-07-01 08:42:00;  2025-07-01 08:57:00;  2025-07-01 08:51:00;  2025-07-01 09:12:00;  2025-07-01 09:21:00;  2025-07-01 09:42:00;  2025-07-01 09:51:00;  2025-07-01 10:12:00;  2025-07-01 10:21:00;  2025-07-01 10:42:00;  2025-07-01 10:51:00;  2025-07-01 11:12:00;  2025-07-01 11:21:00;  2025-07-01 11:42:00;  2025-07-01 11:51:00;  2025-07-01 12:12:00;  2025-07-01 12:26:00;  2025-07-01 12:42:00;  2025-07-01 12:51:00;  2025-07-01 13:12:00;  2025-07-01 13:21:00;  2025-07-01 13:42:00;  2025-07-01 13:51:00;  2025-07-01 14:07:00;  2025-07-01 14:21:00;  2025-07-01 14:42:00;  2025-07-01 14:51:00;  2025-07-01 15:12:00;  2025-07-01 15:21:00;  2025-07-01 15:42:00;  2025-07-01 15:51:00;  2025-07-01 16:12:00;  2025-07-01 16:06:00;  2025-07-01 16:21:00;  2025-07-01 16:42:00;  2025-07-01 16:36:00;  2025-07-01 16:57:00;  2025-07-01 16:51:00;  2025-07-01 17:12:00;  2025-07-01 17:06:00;  2025-07-01 17:27:00;  2025-07-01 17:21:00;  2025-07-01 17:42:00;  2025-07-01 17:36:00;  2025-07-01 17:57:00;  2025-07-01 17:51:00;  2025-07-01 18:12:00;  2025-07-01 18:06:00;  2025-07-01 18:27:00;  2025-07-01 18:21:00;  2025-07-01 18:42:00;  2025-07-01 18:36:00;  2025-07-01 18:51:00;  2025-07-01 19:12:00;  2025-07-01 19:21:00;  2025-07-01 19:42:00;  2025-07-01 19:51:00;  2025-07-01 20:12:00;  2025-07-01 20:21:00;  2025-07-01 20:42:00;  2025-07-01 20:51:00;  2025-07-01 21:12:00;  2025-07-01 21:21:00;  2025-07-01 21:42:00;  2025-07-01 21:51:00;  2025-07-01 22:42:00;  2025-07-01 22:51:00;  2025-07-01 23:42:00;  2025-07-01 23:51:00;  2025-08-01 00:42:00;  2025-08-01 00:51:00
     Le Mont-sur-L., Grand-Mont;      8504177;  DEPARTURE;  2025-07-01 05:42:00;  2025-07-01 05:51:00;  2025-07-01 06:12:00;  2025-07-01 06:21:00;  2025-07-01 06:42:00;  2025-07-01 06:36:00;  2025-07-01 06:57:00;  2025-07-01 06:51:00;  2025-07-01 07:12:00;  2025-07-01 07:06:00;  2025-07-01 07:27:00;  2025-07-01 07:21:00;  2025-07-01 07:42:00;  2025-07-01 07:36:00;  2025-07-01 07:57:00;  2025-07-01 07:51:00;  2025-07-01 08:12:00;  2025-07-01 08:06:00;  2025-07-01 08:27:00;  2025-07-01 08:21:00;  2025-07-01 08:42:00;  2025-07-01 08:57:00;  2025-07-01 08:51:00;  2025-07-01 09:12:00;  2025-07-01 09:21:00;  2025-07-01 09:42:00;  2025-07-01 09:51:00;  2025-07-01 10:12:00;  2025-07-01 10:21:00;  2025-07-01 10:42:00;  2025-07-01 10:51:00;  2025-07-01 11:12:00;  2025-07-01 11:21:00;  2025-07-01 11:42:00;  2025-07-01 11:51:00;  2025-07-01 12:12:00;  2025-07-01 12:26:00;  2025-07-01 12:42:00;  2025-07-01 12:51:00;  2025-07-01 13:12:00;  2025-07-01 13:21:00;  2025-07-01 13:42:00;  2025-07-01 13:51:00;  2025-07-01 14:07:00;  2025-07-01 14:21:00;  2025-07-01 14:42:00;  2025-07-01 14:51:00;  2025-07-01 15:12:00;  2025-07-01 15:21:00;  2025-07-01 15:42:00;  2025-07-01 15:51:00;  2025-07-01 16:12:00;  2025-07-01 16:06:00;  2025-07-01 16:21:00;  2025-07-01 16:42:00;  2025-07-01 16:36:00;  2025-07-01 16:57:00;  2025-07-01 16:51:00;  2025-07-01 17:12:00;  2025-07-01 17:06:00;  2025-07-01 17:27:00;  2025-07-01 17:21:00;  2025-07-01 17:42:00;  2025-07-01 17:36:00;  2025-07-01 17:57:00;  2025-07-01 17:51:00;  2025-07-01 18:12:00;  2025-07-01 18:06:00;  2025-07-01 18:27:00;  2025-07-01 18:21:00;  2025-07-01 18:42:00;  2025-07-01 18:36:00;  2025-07-01 18:51:00;  2025-07-01 19:12:00;  2025-07-01 19:21:00;  2025-07-01 19:42:00;  2025-07-01 19:51:00;  2025-07-01 20:12:00;  2025-07-01 20:21:00;  2025-07-01 20:42:00;  2025-07-01 20:51:00;  2025-07-01 21:12:00;  2025-07-01 21:21:00;  2025-07-01 21:42:00;  2025-07-01 21:51:00;  2025-07-01 22:42:00;  2025-07-01 22:51:00;  2025-07-01 23:42:00;  2025-07-01 23:51:00;  2025-08-01 00:42:00;  2025-08-01 00:51:00
