  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;       Start        ;  Start_time_Planned ;   Start_time_Real   ;        End         ;   End_time_Planned  ;    End_time_Real    
  85:151:6012;  Route_B;               15;          O;  Lutry, Croix/Lutry;  2025-07-01 05:12:00;  2025-07-01 05:03:44;         Lutry, gare;  2025-07-01 05:28:00;  2025-07-01 05:28:58
  85:151:6024;  Route_B;               15;          O;  Lutry, Croix/Lutry;  2025-07-01 05:46:00;  2025-07-01 05:34:05;         Lutry, gare;  2025-07-01 06:02:00;  2025-07-01 06:03:07
  85:151:6013;  Route_A;               14;          R;         Lutry, gare;  2025-07-01 05:55:00;  2025-07-01 05:55:24;  Lutry, Croix/Lutry;  2025-07-01 06:11:00;  2025-07-01 06:09:57
  85:151:6014;  Route_B;               15;          O;  Lutry, Croix/Lutry;  2025-07-01 06:15:00;  2025-07-01 06:15:00;         Lutry, gare;  2025-07-01 06:32:00;  2025-07-01 06:32:47
  85:151:6025;  Route_A;               14;          R;         Lutry, gare;  2025-07-01 06:25:00;  2025-07-01 06:25:25;  Lutry, Croix/Lutry;  2025-07-01 06:42:00;  2025-07-01 06:40:08
  85:151:6026;  Route_B;               15;          O;  Lutry, Croix/Lutry;  2025-07-01 06:43:00;  2025-07-01 06:43:02;         Lutry, gare;  2025-07-01 07:02:00;  2025-07-01 07:05:00
  85:151:6015;  Route_A;               14;          R;         Lutry, gare;  2025-07-01 06:55:00;  2025-07-01 06:55:09;  Lutry, Croix/Lutry;  2025-07-01 07:12:00;  2025-07-01 07:12:23
  85:151:6016;  Route_B;               15;          O;  Lutry, Croix/Lutry;  2025-07-01 07:13:00;  2025-07-01 07:13:00;         Lutry, gare;  2025-07-01 07:33:00;  2025-07-01 07:34:53
  85:151:6027;  Route_A;               14;          R;         Lutry, gare;  2025-07-01 07:25:00;  2025-07-01 07:25:20;  Lutry, Croix/Lutry;  2025-07-01 07:43:00;  2025-07-01 07:42:09
  85:151:6028;  Route_B;               15;          O;  Lutry, Croix/Lutry;  2025-07-01 07:44:00;  2025-07-01 07:44:12;         Lutry, gare;  2025-07-01 08:05:00;  2025-07-01 08:06:09
  85:151:6017;  Route_A;               14;          R;         Lutry, gare;  2025-07-01 07:55:00;  2025-07-01 07:55:00;  Lutry, Croix/Lutry;  2025-07-01 08:13:00;  2025-07-01 08:16:03
  85:151:6018;  Route_B;               15;          O;  Lutry, Croix/Lutry;  2025-07-01 08:14:00;  2025-07-01 08:16:49;         Lutry, gare;  2025-07-01 08:35:00;  2025-07-01 08:38:50
  85:151:6029;  Route_A;               14;          R;         Lutry, gare;  2025-07-01 08:25:00;  2025-07-01 08:27:02;  Lutry, Croix/Lutry;  2025-07-01 08:43:00;  2025-07-01 08:43:06
  85:151:6030;  Route_B;               15;          O;  Lutry, Croix/Lutry;  2025-07-01 08:44:00;  2025-07-01 08:45:27;         Lutry, gare;  2025-07-01 09:05:00;  2025-07-01 09:02:12
  85:151:6019;  Route_A;               14;          R;         Lutry, gare;  2025-07-01 08:55:00;  2025-07-01 08:55:00;  Lutry, Croix/Lutry;  2025-07-01 09:11:00;  2025-07-01 09:13:19
  85:151:6020;  Route_B;               15;          O;  Lutry, Croix/Lutry;  2025-07-01 09:14:00;  2025-07-01 09:14:16;         Lutry, gare;  2025-07-01 09:33:00;  2025-07-01 09:33:45
  85:151:6031;  Route_A;               14;          R;         Lutry, gare;  2025-07-01 09:25:00;  2025-07-01 09:26:51;  Lutry, Croix/Lutry;  2025-07-01 09:41:00;  2025-07-01 09:42:40
  85:151:6032;  Route_B;               15;          O;  Lutry, Croix/Lutry;  2025-07-01 09:45:00;  2025-07-01 09:45:43;         Lutry, gare;  2025-07-01 10:03:00;  2025-07-01 10:03:07
  85:151:6021;  Route_A;               14;          R;         Lutry, gare;  2025-07-01 09:55:00;  2025-07-01 09:55:35;  Lutry, Croix/Lutry;  2025-07-01 10:11:00;  2025-07-01 10:12:01
  85:151:6033;  Route_A;               14;          R;         Lutry, gare;  2025-07-01 10:25:00;  2025-07-01 10:26:43;  Lutry, Croix/Lutry;  2025-07-01 10:41:00;  2025-07-01 10:40:58
  85:151:6034;  Route_B;               15;          O;  Lutry, Croix/Lutry;  2025-07-01 10:45:00;  2025-07-01 10:48:00;         Lutry, gare;  2025-07-01 11:03:00;  2025-07-01 11:05:38
  85:151:6035;  Route_A;               14;          R;         Lutry, gare;  2025-07-01 11:25:00;  2025-07-01 11:28:20;  Lutry, Croix/Lutry;  2025-07-01 11:41:00;  2025-07-01 11:42:35
  85:151:6036;  Route_B;               15;          O;  Lutry, Croix/Lutry;  2025-07-01 11:45:00;  2025-07-01 11:47:20;         Lutry, gare;  2025-07-01 12:03:00;  2025-07-01 12:01:20
