       STOP_NAME       ; STOP_NUMBER ;   EVENT   ;     85:151:6012     ;     85:151:6024     ;     85:151:6013     ;     85:151:6014     ;     85:151:6025     ;     85:151:6026     ;     85:151:6015     ;     85:151:6016     ;     85:151:6027     ;     85:151:6028     ;     85:151:6017     ;     85:151:6018     ;     85:151:6029     ;     85:151:6030     ;     85:151:6019     ;     85:151:6020     ;     85:151:6031     ;     85:151:6032     ;     85:151:6021     ;     85:151:6033     ;     85:151:6034     ;     85:151:6035     ;     85:151:6036     ;     85:151:6037     ;     85:151:6038     ;     85:151:6039     ;     85:151:6040     ;     85:151:6041     ;     85:151:6042     ;     85:151:6064     ;     85:151:6043     ;     85:151:6044     ;     85:151:6065     ;     85:151:6066     ;     85:151:6045     ;     85:151:6046     ;     85:151:6067     ;     85:151:6068     ;     85:151:6047     ;     85:151:6048     ;     85:151:6069     ;     85:151:6070     ;     85:151:6049     ;     85:151:6050     ;     85:151:6071     ;     85:151:6072     ;     85:151:6051     ;     85:151:6052     ;     85:151:6073     ;     85:151:6053     ;     85:151:6054     ;     85:151:6055     ;     85:151:6056     ;     85:151:6057     ;     85:151:6058     ;     85:151:6059     ;     85:151:6060     ;     85:151:6061     
     Lutry, Croix/Lutry;      8579260;    ARRIVAL;                     ;                     ;  2025-07-01 06:11:00;                     ;  2025-07-01 06:42:00;                     ;  2025-07-01 07:12:00;                     ;  2025-07-01 07:43:00;                     ;  2025-07-01 08:13:00;                     ;  2025-07-01 08:43:00;                     ;  2025-07-01 09:11:00;                     ;  2025-07-01 09:41:00;                     ;  2025-07-01 10:11:00;  2025-07-01 10:41:00;                     ;  2025-07-01 11:41:00;                     ;  2025-07-01 12:42:00;                     ;  2025-07-01 13:42:00;                     ;  2025-07-01 14:42:00;                     ;                     ;  2025-07-01 15:43:00;                     ;  2025-07-01 16:13:00;                     ;  2025-07-01 16:43:00;                     ;  2025-07-01 17:13:00;                     ;  2025-07-01 17:43:00;                     ;  2025-07-01 18:13:00;                     ;  2025-07-01 18:43:00;                     ;  2025-07-01 19:12:00;                     ;  2025-07-01 19:41:00;                     ;  2025-07-01 20:11:00;  2025-07-01 20:41:00;                     ;  2025-07-01 21:41:00;                     ;  2025-07-01 22:41:00;                     ;  2025-07-01 23:40:00;                     ;  2025-08-01 00:43:00
     Lutry, Croix/Lutry;      8579260;  DEPARTURE;  2025-07-01 05:12:00;  2025-07-01 05:46:00;                     ;  2025-07-01 06:15:00;                     ;  2025-07-01 06:43:00;                     ;  2025-07-01 07:13:00;                     ;  2025-07-01 07:44:00;                     ;  2025-07-01 08:14:00;                     ;  2025-07-01 08:44:00;                     ;  2025-07-01 09:14:00;                     ;  2025-07-01 09:45:00;                     ;                     ;  2025-07-01 10:45:00;                     ;  2025-07-01 11:45:00;                     ;  2025-07-01 12:44:00;                     ;  2025-07-01 13:44:00;                     ;  2025-07-01 14:44:00;  2025-07-01 15:14:00;                     ;  2025-07-01 15:44:00;                     ;  2025-07-01 16:14:00;                     ;  2025-07-01 16:44:00;                     ;  2025-07-01 17:14:00;                     ;  2025-07-01 17:44:00;                     ;  2025-07-01 18:14:00;                     ;  2025-07-01 18:44:00;                     ;  2025-07-01 19:16:00;                     ;  2025-07-01 19:46:00;                     ;                     ;  2025-07-01 20:46:00;                     ;  2025-07-01 21:46:00;                     ;  2025-07-01 22:46:00;                     ;  2025-07-01 23:46:00;                     
        Lutry, Echerins;      8588438;    ARRIVAL;  2025-07-01 05:12:00;  2025-07-01 05:46:00;  2025-07-01 06:10:00;  2025-07-01 06:15:00;  2025-07-01 06:41:00;  2025-07-01 06:43:00;  2025-07-01 07:11:00;  2025-07-01 07:13:00;  2025-07-01 07:42:00;  2025-07-01 07:44:00;  2025-07-01 08:12:00;  2025-07-01 08:14:00;  2025-07-01 08:42:00;  2025-07-01 08:44:00;  2025-07-01 09:10:00;  2025-07-01 09:14:00;  2025-07-01 09:40:00;  2025-07-01 09:45:00;  2025-07-01 10:10:00;  2025-07-01 10:40:00;  2025-07-01 10:45:00;  2025-07-01 11:40:00;  2025-07-01 11:45:00;  2025-07-01 12:41:00;  2025-07-01 12:44:00;  2025-07-01 13:41:00;  2025-07-01 13:44:00;  2025-07-01 14:41:00;  2025-07-01 14:44:00;  2025-07-01 15:14:00;  2025-07-01 15:42:00;  2025-07-01 15:44:00;  2025-07-01 16:12:00;  2025-07-01 16:14:00;  2025-07-01 16:42:00;  2025-07-01 16:44:00;  2025-07-01 17:12:00;  2025-07-01 17:14:00;  2025-07-01 17:42:00;  2025-07-01 17:44:00;  2025-07-01 18:12:00;  2025-07-01 18:14:00;  2025-07-01 18:42:00;  2025-07-01 18:44:00;  2025-07-01 19:11:00;  2025-07-01 19:16:00;  2025-07-01 19:40:00;  2025-07-01 19:46:00;  2025-07-01 20:10:00;  2025-07-01 20:40:00;  2025-07-01 20:46:00;  2025-07-01 21:40:00;  2025-07-01 21:46:00;  2025-07-01 22:40:00;  2025-07-01 22:46:00;  2025-07-01 23:39:00;  2025-07-01 23:46:00;  2025-08-01 00:42:00
        Lutry, Echerins;      8588438;  DEPARTURE;  2025-07-01 05:12:00;  2025-07-01 05:46:00;  2025-07-01 06:10:00;  2025-07-01 06:15:00;  2025-07-01 06:41:00;  2025-07-01 06:43:00;  2025-07-01 07:11:00;  2025-07-01 07:13:00;  2025-07-01 07:42:00;  2025-07-01 07:44:00;  2025-07-01 08:12:00;  2025-07-01 08:14:00;  2025-07-01 08:42:00;  2025-07-01 08:44:00;  2025-07-01 09:10:00;  2025-07-01 09:14:00;  2025-07-01 09:40:00;  2025-07-01 09:45:00;  2025-07-01 10:10:00;  2025-07-01 10:40:00;  2025-07-01 10:45:00;  2025-07-01 11:40:00;  2025-07-01 11:45:00;  2025-07-01 12:41:00;  2025-07-01 12:44:00;  2025-07-01 13:41:00;  2025-07-01 13:44:00;  2025-07-01 14:41:00;  2025-07-01 14:44:00;  2025-07-01 15:14:00;  2025-07-01 15:42:00;  2025-07-01 15:44:00;  2025-07-01 16:12:00;  2025-07-01 16:14:00;  2025-07-01 16:42:00;  2025-07-01 16:44:00;  2025-07-01 17:12:00;  2025-07-01 17:14:00;  2025-07-01 17:42:00;  2025-07-01 17:44:00;  2025-07-01 18:12:00;  2025-07-01 18:14:00;  2025-07-01 18:42:00;  2025-07-01 18:44:00;  2025-07-01 19:11:00;  2025-07-01 19:16:00;  2025-07-01 19:40:00;  2025-07-01 19:46:00;  2025-07-01 20:10:00;  2025-07-01 20:40:00;  2025-07-01 20:46:00;  2025-07-01 21:40:00;  2025-07-01 21:46:00;  2025-07-01 22:40:00;  2025-07-01 22:46:00;  2025-07-01 23:39:00;  2025-07-01 23:46:00;  2025-08-01 00:42:00
          Lutry, Landar;      8579259;    ARRIVAL;  2025-07-01 05:14:00;  2025-07-01 05:48:00;  2025-07-01 06:08:00;  2025-07-01 06:18:00;  2025-07-01 06:39:00;  2025-07-01 06:46:00;  2025-07-01 07:09:00;  2025-07-01 07:16:00;  2025-07-01 07:40:00;  2025-07-01 07:47:00;  2025-07-01 08:10:00;  2025-07-01 08:17:00;  2025-07-01 08:40:00;  2025-07-01 08:47:00;  2025-07-01 09:08:00;  2025-07-01 09:17:00;  2025-07-01 09:38:00;  2025-07-01 09:48:00;  2025-07-01 10:08:00;  2025-07-01 10:38:00;  2025-07-01 10:48:00;  2025-07-01 11:38:00;  2025-07-01 11:48:00;  2025-07-01 12:39:00;  2025-07-01 12:47:00;  2025-07-01 13:39:00;  2025-07-01 13:47:00;  2025-07-01 14:39:00;  2025-07-01 14:47:00;  2025-07-01 15:17:00;  2025-07-01 15:40:00;  2025-07-01 15:47:00;  2025-07-01 16:10:00;  2025-07-01 16:17:00;  2025-07-01 16:40:00;  2025-07-01 16:47:00;  2025-07-01 17:10:00;  2025-07-01 17:17:00;  2025-07-01 17:40:00;  2025-07-01 17:47:00;  2025-07-01 18:10:00;  2025-07-01 18:17:00;  2025-07-01 18:40:00;  2025-07-01 18:47:00;  2025-07-01 19:09:00;  2025-07-01 19:18:00;  2025-07-01 19:39:00;  2025-07-01 19:48:00;  2025-07-01 20:09:00;  2025-07-01 20:39:00;  2025-07-01 20:48:00;  2025-07-01 21:39:00;  2025-07-01 21:48:00;  2025-07-01 22:39:00;  2025-07-01 22:48:00;  2025-07-01 23:38:00;  2025-07-01 23:48:00;  2025-08-01 00:41:00
          Lutry, Landar;      8579259;  DEPARTURE;  2025-07-01 05:14:00;  2025-07-01 05:48:00;  2025-07-01 06:08:00;  2025-07-01 06:18:00;  2025-07-01 06:39:00;  2025-07-01 06:46:00;  2025-07-01 07:09:00;  2025-07-01 07:16:00;  2025-07-01 07:40:00;  2025-07-01 07:47:00;  2025-07-01 08:10:00;  2025-07-01 08:17:00;  2025-07-01 08:40:00;  2025-07-01 08:47:00;  2025-07-01 09:08:00;  2025-07-01 09:17:00;  2025-07-01 09:38:00;  2025-07-01 09:48:00;  2025-07-01 10:08:00;  2025-07-01 10:38:00;  2025-07-01 10:48:00;  2025-07-01 11:38:00;  2025-07-01 11:48:00;  2025-07-01 12:39:00;  2025-07-01 12:47:00;  2025-07-01 13:39:00;  2025-07-01 13:47:00;  2025-07-01 14:39:00;  2025-07-01 14:47:00;  2025-07-01 15:17:00;  2025-07-01 15:40:00;  2025-07-01 15:47:00;  2025-07-01 16:10:00;  2025-07-01 16:17:00;  2025-07-01 16:40:00;  2025-07-01 16:47:00;  2025-07-01 17:10:00;  2025-07-01 17:17:00;  2025-07-01 17:40:00;  2025-07-01 17:47:00;  2025-07-01 18:10:00;  2025-07-01 18:17:00;  2025-07-01 18:40:00;  2025-07-01 18:47:00;  2025-07-01 19:09:00;  2025-07-01 19:18:00;  2025-07-01 19:39:00;  2025-07-01 19:48:00;  2025-07-01 20:09:00;  2025-07-01 20:39:00;  2025-07-01 20:48:00;  2025-07-01 21:39:00;  2025-07-01 21:48:00;  2025-07-01 22:39:00;  2025-07-01 22:48:00;  2025-07-01 23:38:00;  2025-07-01 23:48:00;  2025-08-01 00:41:00
    Lutry, Corsy-Dessus;      8592152;    ARRIVAL;  2025-07-01 05:16:00;  2025-07-01 05:50:00;  2025-07-01 06:05:00;  2025-07-01 06:20:00;  2025-07-01 06:36:00;  2025-07-01 06:48:00;  2025-07-01 07:06:00;  2025-07-01 07:18:00;  2025-07-01 07:37:00;  2025-07-01 07:49:00;  2025-07-01 08:07:00;  2025-07-01 08:19:00;  2025-07-01 08:37:00;  2025-07-01 08:49:00;  2025-07-01 09:05:00;  2025-07-01 09:19:00;  2025-07-01 09:35:00;  2025-07-01 09:50:00;  2025-07-01 10:05:00;  2025-07-01 10:35:00;  2025-07-01 10:50:00;  2025-07-01 11:35:00;  2025-07-01 11:50:00;  2025-07-01 12:36:00;  2025-07-01 12:49:00;  2025-07-01 13:36:00;  2025-07-01 13:49:00;  2025-07-01 14:36:00;  2025-07-01 14:49:00;  2025-07-01 15:19:00;  2025-07-01 15:37:00;  2025-07-01 15:49:00;  2025-07-01 16:07:00;  2025-07-01 16:19:00;  2025-07-01 16:37:00;  2025-07-01 16:49:00;  2025-07-01 17:07:00;  2025-07-01 17:19:00;  2025-07-01 17:37:00;  2025-07-01 17:49:00;  2025-07-01 18:07:00;  2025-07-01 18:19:00;  2025-07-01 18:37:00;  2025-07-01 18:49:00;  2025-07-01 19:06:00;  2025-07-01 19:20:00;  2025-07-01 19:36:00;  2025-07-01 19:50:00;  2025-07-01 20:06:00;  2025-07-01 20:36:00;  2025-07-01 20:50:00;  2025-07-01 21:36:00;  2025-07-01 21:50:00;  2025-07-01 22:36:00;  2025-07-01 22:50:00;  2025-07-01 23:35:00;  2025-07-01 23:50:00;  2025-08-01 00:38:00
    Lutry, Corsy-Dessus;      8592152;  DEPARTURE;  2025-07-01 05:16:00;  2025-07-01 05:50:00;  2025-07-01 06:05:00;  2025-07-01 06:20:00;  2025-07-01 06:36:00;  2025-07-01 06:48:00;  2025-07-01 07:06:00;  2025-07-01 07:18:00;  2025-07-01 07:37:00;  2025-07-01 07:49:00;  2025-07-01 08:07:00;  2025-07-01 08:19:00;  2025-07-01 08:37:00;  2025-07-01 08:49:00;  2025-07-01 09:05:00;  2025-07-01 09:19:00;  2025-07-01 09:35:00;  2025-07-01 09:50:00;  2025-07-01 10:05:00;  2025-07-01 10:35:00;  2025-07-01 10:50:00;  2025-07-01 11:35:00;  2025-07-01 11:50:00;  2025-07-01 12:36:00;  2025-07-01 12:49:00;  2025-07-01 13:36:00;  2025-07-01 13:49:00;  2025-07-01 14:36:00;  2025-07-01 14:49:00;  2025-07-01 15:19:00;  2025-07-01 15:37:00;  2025-07-01 15:49:00;  2025-07-01 16:07:00;  2025-07-01 16:19:00;  2025-07-01 16:37:00;  2025-07-01 16:49:00;  2025-07-01 17:07:00;  2025-07-01 17:19:00;  2025-07-01 17:37:00;  2025-07-01 17:49:00;  2025-07-01 18:07:00;  2025-07-01 18:19:00;  2025-07-01 18:37:00;  2025-07-01 18:49:00;  2025-07-01 19:06:00;  2025-07-01 19:20:00;  2025-07-01 19:36:00;  2025-07-01 19:50:00;  2025-07-01 20:06:00;  2025-07-01 20:36:00;  2025-07-01 20:50:00;  2025-07-01 21:36:00;  2025-07-01 21:50:00;  2025-07-01 22:36:00;  2025-07-01 22:50:00;  2025-07-01 23:35:00;  2025-07-01 23:50:00;  2025-08-01 00:38:00
         Lutry, Brûlées;      8592147;    ARRIVAL;  2025-07-01 05:17:00;  2025-07-01 05:51:00;  2025-07-01 06:04:00;  2025-07-01 06:21:00;  2025-07-01 06:34:00;  2025-07-01 06:49:00;  2025-07-01 07:04:00;  2025-07-01 07:19:00;  2025-07-01 07:35:00;  2025-07-01 07:50:00;  2025-07-01 08:05:00;  2025-07-01 08:20:00;  2025-07-01 08:35:00;  2025-07-01 08:50:00;  2025-07-01 09:04:00;  2025-07-01 09:20:00;  2025-07-01 09:34:00;  2025-07-01 09:51:00;  2025-07-01 10:04:00;  2025-07-01 10:34:00;  2025-07-01 10:51:00;  2025-07-01 11:34:00;  2025-07-01 11:51:00;  2025-07-01 12:34:00;  2025-07-01 12:50:00;  2025-07-01 13:34:00;  2025-07-01 13:50:00;  2025-07-01 14:34:00;  2025-07-01 14:50:00;  2025-07-01 15:20:00;  2025-07-01 15:35:00;  2025-07-01 15:50:00;  2025-07-01 16:05:00;  2025-07-01 16:20:00;  2025-07-01 16:35:00;  2025-07-01 16:50:00;  2025-07-01 17:05:00;  2025-07-01 17:20:00;  2025-07-01 17:35:00;  2025-07-01 17:50:00;  2025-07-01 18:05:00;  2025-07-01 18:20:00;  2025-07-01 18:35:00;  2025-07-01 18:50:00;  2025-07-01 19:04:00;  2025-07-01 19:21:00;  2025-07-01 19:34:00;  2025-07-01 19:51:00;  2025-07-01 20:04:00;  2025-07-01 20:34:00;  2025-07-01 20:51:00;  2025-07-01 21:34:00;  2025-07-01 21:51:00;  2025-07-01 22:34:00;  2025-07-01 22:51:00;  2025-07-01 23:34:00;  2025-07-01 23:51:00;  2025-08-01 00:37:00
         Lutry, Brûlées;      8592147;  DEPARTURE;  2025-07-01 05:17:00;  2025-07-01 05:51:00;  2025-07-01 06:04:00;  2025-07-01 06:21:00;  2025-07-01 06:34:00;  2025-07-01 06:49:00;  2025-07-01 07:04:00;  2025-07-01 07:19:00;  2025-07-01 07:35:00;  2025-07-01 07:50:00;  2025-07-01 08:05:00;  2025-07-01 08:20:00;  2025-07-01 08:35:00;  2025-07-01 08:50:00;  2025-07-01 09:04:00;  2025-07-01 09:20:00;  2025-07-01 09:34:00;  2025-07-01 09:51:00;  2025-07-01 10:04:00;  2025-07-01 10:34:00;  2025-07-01 10:51:00;  2025-07-01 11:34:00;  2025-07-01 11:51:00;  2025-07-01 12:34:00;  2025-07-01 12:50:00;  2025-07-01 13:34:00;  2025-07-01 13:50:00;  2025-07-01 14:34:00;  2025-07-01 14:50:00;  2025-07-01 15:20:00;  2025-07-01 15:35:00;  2025-07-01 15:50:00;  2025-07-01 16:05:00;  2025-07-01 16:20:00;  2025-07-01 16:35:00;  2025-07-01 16:50:00;  2025-07-01 17:05:00;  2025-07-01 17:20:00;  2025-07-01 17:35:00;  2025-07-01 17:50:00;  2025-07-01 18:05:00;  2025-07-01 18:20:00;  2025-07-01 18:35:00;  2025-07-01 18:50:00;  2025-07-01 19:04:00;  2025-07-01 19:21:00;  2025-07-01 19:34:00;  2025-07-01 19:51:00;  2025-07-01 20:04:00;  2025-07-01 20:34:00;  2025-07-01 20:51:00;  2025-07-01 21:34:00;  2025-07-01 21:51:00;  2025-07-01 22:34:00;  2025-07-01 22:51:00;  2025-07-01 23:34:00;  2025-07-01 23:51:00;  2025-08-01 00:37:00
