       STOP_NAME       ; STOP_NUMBER ;     EVENT      ;     85:151:6012     ;     85:151:6024     ;     85:151:6013     ;     85:151:6014     ;     85:151:6025     ;     85:151:6026     ;     85:151:6015     ;     85:151:6016     ;     85:151:6027     ;     85:151:6028     ;     85:151:6017     ;     85:151:6018     ;     85:151:6029     ;     85:151:6030     ;     85:151:6019     ;     85:151:6020     ;     85:151:6031     ;     85:151:6032     ;     85:151:6021     ;     85:151:6033     ;     85:151:6034     ;     85:151:6035     ;     85:151:6036     ;     85:151:6037     ;     85:151:6038     ;     85:151:6039     ;     85:151:6040     ;     85:151:6041     ;     85:151:6042     ;     85:151:6064     ;     85:151:6043     ;     85:151:6044     ;     85:151:6065     ;     85:151:6066     ;     85:151:6045     ;     85:151:6046     ;     85:151:6067     ;     85:151:6068     ;     85:151:6047     ;     85:151:6048     ;     85:151:6069     ;     85:151:6070     ;     85:151:6049     ;     85:151:6050     ;     85:151:6071     ;     85:151:6072     ;     85:151:6051     ;     85:151:6052     ;     85:151:6073     ;     85:151:6053     ;     85:151:6054     ;     85:151:6055     ;     85:151:6056     ;     85:151:6057     ;     85:151:6058     ;     85:151:6059     ;     85:151:6060     ;     85:151:6061     
     Lutry, Croix/Lutry;      8579260;    ARRIVAL_REAL;                     ;                     ;  2025-07-01 06:09:57;                     ;  2025-07-01 06:40:08;                     ;  2025-07-01 07:12:23;                     ;  2025-07-01 07:42:09;                     ;  2025-07-01 08:16:03;                     ;  2025-07-01 08:43:06;                     ;  2025-07-01 09:13:19;                     ;  2025-07-01 09:42:40;                     ;  2025-07-01 10:12:01;  2025-07-01 10:40:58;                     ;  2025-07-01 11:42:35;                     ;  2025-07-01 12:41:28;                     ;  2025-07-01 13:41:38;                     ;  2025-07-01 14:41:25;                     ;                     ;  2025-07-01 15:41:39;                     ;  2025-07-01 16:12:16;                     ;  2025-07-01 16:41:39;                     ;  2025-07-01 17:12:39;                     ;  2025-07-01 17:43:45;                     ;  2025-07-01 18:16:35;                     ;  2025-07-01 18:42:55;                     ;  2025-07-01 19:12:00;                     ;  2025-07-01 19:41:04;                     ;  2025-07-01 20:11:00;  2025-07-01 20:43:32;                     ;  2025-07-01 21:40:25;                     ;  2025-07-01 22:39:23;                     ;  2025-07-01 23:38:34;                     ;  2025-08-01 00:40:42
     Lutry, Croix/Lutry;      8579260;  DEPARTURE_REAL;  2025-07-01 05:03:44;  2025-07-01 05:34:05;                     ;  2025-07-01 06:15:00;                     ;  2025-07-01 06:43:02;                     ;  2025-07-01 07:13:00;                     ;  2025-07-01 07:44:12;                     ;  2025-07-01 08:16:49;                     ;  2025-07-01 08:45:27;                     ;  2025-07-01 09:14:16;                     ;  2025-07-01 09:45:43;                     ;                     ;  2025-07-01 10:48:00;                     ;  2025-07-01 11:47:20;                     ;  2025-07-01 12:47:13;                     ;  2025-07-01 13:46:13;                     ;  2025-07-01 14:44:28;  2025-07-01 15:02:11;                     ;  2025-07-01 15:44:22;                     ;  2025-07-01 16:14:00;                     ;  2025-07-01 16:44:21;                     ;  2025-07-01 17:14:00;                     ;  2025-07-01 17:44:00;                     ;  2025-07-01 18:16:18;                     ;  2025-07-01 18:47:16;                     ;  2025-07-01 19:16:00;                     ;  2025-07-01 19:45:46;                     ;                     ;  2025-07-01 20:46:34;                     ;  2025-07-01 21:47:21;                     ;  2025-07-01 22:46:14;                     ;  2025-07-01 23:46:13;                     
        Lutry, Echerins;      8588438;    ARRIVAL_REAL;  2025-07-01 05:03:44;  2025-07-01 05:34:05;  2025-07-01 06:09:19;  2025-07-01 06:15:46;  2025-07-01 06:39:28;  2025-07-01 06:43:49;  2025-07-01 07:11:28;  2025-07-01 07:13:47;  2025-07-01 07:41:33;  2025-07-01 07:44:52;  2025-07-01 08:15:08;  2025-07-01 08:17:26;  2025-07-01 08:41:53;  2025-07-01 08:46:14;  2025-07-01 09:12:24;  2025-07-01 09:14:56;  2025-07-01 09:41:28;  2025-07-01 09:46:30;  2025-07-01 10:11:06;  2025-07-01 10:40:03;  2025-07-01 10:48:23;  2025-07-01 11:41:40;  2025-07-01 11:48:00;  2025-07-01 12:40:11;  2025-07-01 12:47:53;  2025-07-01 13:40:51;  2025-07-01 13:46:53;  2025-07-01 14:40:33;  2025-07-01 14:45:08;  2025-07-01 15:02:11;  2025-07-01 15:40:40;  2025-07-01 15:44:55;  2025-07-01 16:11:47;  2025-07-01 16:14:46;  2025-07-01 16:41:01;  2025-07-01 16:45:01;  2025-07-01 17:11:44;  2025-07-01 17:14:47;  2025-07-01 17:42:51;  2025-07-01 17:44:46;  2025-07-01 18:15:20;  2025-07-01 18:17:05;  2025-07-01 18:42:00;  2025-07-01 18:47:56;  2025-07-01 19:11:05;  2025-07-01 19:16:31;  2025-07-01 19:40:27;  2025-07-01 19:45:46;  2025-07-01 20:10:23;  2025-07-01 20:42:55;  2025-07-01 20:47:05;  2025-07-01 21:39:42;  2025-07-01 21:47:52;  2025-07-01 22:38:38;  2025-07-01 22:46:45;  2025-07-01 23:37:44;  2025-07-01 23:46:44;  2025-08-01 00:39:53
        Lutry, Echerins;      8588438;  DEPARTURE_REAL;  2025-07-01 05:03:44;  2025-07-01 05:34:05;  2025-07-01 06:09:19;  2025-07-01 06:15:46;  2025-07-01 06:39:45;  2025-07-01 06:43:49;  2025-07-01 07:11:28;  2025-07-01 07:13:47;  2025-07-01 07:41:33;  2025-07-01 07:44:52;  2025-07-01 08:15:08;  2025-07-01 08:17:26;  2025-07-01 08:42:11;  2025-07-01 08:46:14;  2025-07-01 09:12:24;  2025-07-01 09:14:56;  2025-07-01 09:41:45;  2025-07-01 09:46:30;  2025-07-01 10:11:06;  2025-07-01 10:40:03;  2025-07-01 10:48:43;  2025-07-01 11:41:40;  2025-07-01 11:48:00;  2025-07-01 12:40:33;  2025-07-01 12:47:53;  2025-07-01 13:40:51;  2025-07-01 13:46:53;  2025-07-01 14:40:33;  2025-07-01 14:45:15;  2025-07-01 15:02:11;  2025-07-01 15:40:40;  2025-07-01 15:44:55;  2025-07-01 16:11:47;  2025-07-01 16:14:46;  2025-07-01 16:41:21;  2025-07-01 16:45:08;  2025-07-01 17:11:44;  2025-07-01 17:14:47;  2025-07-01 17:42:51;  2025-07-01 17:44:46;  2025-07-01 18:15:40;  2025-07-01 18:17:05;  2025-07-01 18:42:00;  2025-07-01 18:47:56;  2025-07-01 19:11:05;  2025-07-01 19:16:31;  2025-07-01 19:40:27;  2025-07-01 19:45:46;  2025-07-01 20:10:23;  2025-07-01 20:42:55;  2025-07-01 20:47:05;  2025-07-01 21:39:42;  2025-07-01 21:48:00;  2025-07-01 22:38:38;  2025-07-01 22:46:45;  2025-07-01 23:37:54;  2025-07-01 23:46:44;  2025-08-01 00:39:53
          Lutry, Landar;      8579259;    ARRIVAL_REAL;  2025-07-01 05:15:46;  2025-07-01 05:49:05;  2025-07-01 06:08:02;  2025-07-01 06:19:01;  2025-07-01 06:38:25;  2025-07-01 06:46:45;  2025-07-01 07:10:09;  2025-07-01 07:16:00;  2025-07-01 07:39:52;  2025-07-01 07:46:29;  2025-07-01 08:13:34;  2025-07-01 08:18:51;  2025-07-01 08:40:34;  2025-07-01 08:47:33;  2025-07-01 09:10:36;  2025-07-01 09:16:25;  2025-07-01 09:39:53;  2025-07-01 09:48:03;  2025-07-01 10:09:26;  2025-07-01 10:38:41;  2025-07-01 10:49:46;  2025-07-01 11:40:40;  2025-07-01 11:49:20;  2025-07-01 12:38:45;  2025-07-01 12:48:53;  2025-07-01 13:39:36;  2025-07-01 13:47:56;  2025-07-01 14:38:48;  2025-07-01 14:46:45;  2025-07-01 15:17:33;  2025-07-01 15:39:22;  2025-07-01 15:46:22;  2025-07-01 16:10:10;  2025-07-01 16:16:28;  2025-07-01 16:39:41;  2025-07-01 16:47:04;  2025-07-01 17:10:27;  2025-07-01 17:16:42;  2025-07-01 17:41:14;  2025-07-01 17:47:00;  2025-07-01 18:13:40;  2025-07-01 18:33:20;  2025-07-01 18:40:30;  2025-07-01 18:48:59;  2025-07-01 19:09:00;  2025-07-01 19:18:00;  2025-07-01 19:39:07;  2025-07-01 19:47:06;  2025-07-01 20:09:00;  2025-07-01 20:41:36;  2025-07-01 20:48:33;  2025-07-01 21:38:22;  2025-07-01 21:49:20;  2025-07-01 22:37:42;  2025-07-01 22:47:57;  2025-07-01 23:36:09;  2025-07-01 23:48:09;  2025-08-01 00:38:36
          Lutry, Landar;      8579259;  DEPARTURE_REAL;  2025-07-01 05:15:46;  2025-07-01 05:49:25;  2025-07-01 06:08:02;  2025-07-01 06:19:01;  2025-07-01 06:38:25;  2025-07-01 06:47:05;  2025-07-01 07:10:09;  2025-07-01 07:16:23;  2025-07-01 07:40:12;  2025-07-01 07:46:51;  2025-07-01 08:13:34;  2025-07-01 08:19:10;  2025-07-01 08:40:51;  2025-07-01 08:47:47;  2025-07-01 09:11:04;  2025-07-01 09:16:53;  2025-07-01 09:40:08;  2025-07-01 09:48:22;  2025-07-01 10:10:06;  2025-07-01 10:39:03;  2025-07-01 10:50:03;  2025-07-01 11:40:40;  2025-07-01 11:49:20;  2025-07-01 12:38:45;  2025-07-01 12:49:13;  2025-07-01 13:39:53;  2025-07-01 13:48:13;  2025-07-01 14:39:08;  2025-07-01 14:47:05;  2025-07-01 15:17:33;  2025-07-01 15:39:42;  2025-07-01 15:46:42;  2025-07-01 16:10:27;  2025-07-01 16:16:59;  2025-07-01 16:39:41;  2025-07-01 16:47:21;  2025-07-01 17:10:27;  2025-07-01 17:16:42;  2025-07-01 17:41:51;  2025-07-01 17:47:00;  2025-07-01 18:14:00;  2025-07-01 18:33:20;  2025-07-01 18:40:40;  2025-07-01 18:49:16;  2025-07-01 19:09:00;  2025-07-01 19:18:00;  2025-07-01 19:39:07;  2025-07-01 19:47:15;  2025-07-01 20:09:00;  2025-07-01 20:41:55;  2025-07-01 20:48:33;  2025-07-01 21:38:22;  2025-07-01 21:49:29;  2025-07-01 22:37:42;  2025-07-01 22:48:14;  2025-07-01 23:36:34;  2025-07-01 23:48:53;  2025-08-01 00:38:36
    Lutry, Corsy-Dessus;      8592152;    ARRIVAL_REAL;  2025-07-01 05:17:42;  2025-07-01 05:51:46;  2025-07-01 06:06:02;  2025-07-01 06:21:21;  2025-07-01 06:36:25;  2025-07-01 06:49:25;  2025-07-01 07:07:46;  2025-07-01 07:18:28;  2025-07-01 07:36:52;  2025-07-01 07:48:51;  2025-07-01 08:10:05;  2025-07-01 08:21:12;  2025-07-01 08:38:22;  2025-07-01 08:49:49;  2025-07-01 09:08:22;  2025-07-01 09:19:13;  2025-07-01 09:37:50;  2025-07-01 09:50:02;  2025-07-01 10:07:07;  2025-07-01 10:36:53;  2025-07-01 10:52:26;  2025-07-01 11:38:20;  2025-07-01 11:51:00;  2025-07-01 12:36:19;  2025-07-01 12:50:53;  2025-07-01 13:36:53;  2025-07-01 13:50:47;  2025-07-01 14:36:28;  2025-07-01 14:49:07;  2025-07-01 15:19:33;  2025-07-01 15:36:49;  2025-07-01 15:49:04;  2025-07-01 16:07:30;  2025-07-01 16:19:10;  2025-07-01 16:37:04;  2025-07-01 16:49:21;  2025-07-01 17:08:07;  2025-07-01 17:18:42;  2025-07-01 17:38:33;  2025-07-01 17:49:00;  2025-07-01 18:11:06;  2025-07-01 18:35:16;  2025-07-01 18:38:09;  2025-07-01 18:51:17;  2025-07-01 19:06:00;  2025-07-01 19:20:00;  2025-07-01 19:36:33;  2025-07-01 19:48:57;  2025-07-01 20:06:00;  2025-07-01 20:39:16;  2025-07-01 20:50:33;  2025-07-01 21:35:38;  2025-07-01 21:51:20;  2025-07-01 22:35:07;  2025-07-01 22:49:54;  2025-07-01 23:34:13;  2025-07-01 23:50:53;  2025-08-01 00:36:39
    Lutry, Corsy-Dessus;      8592152;  DEPARTURE_REAL;  2025-07-01 05:17:46;  2025-07-01 05:51:46;  2025-07-01 06:06:09;  2025-07-01 06:21:21;  2025-07-01 06:36:45;  2025-07-01 06:49:25;  2025-07-01 07:07:46;  2025-07-01 07:18:49;  2025-07-01 07:37:27;  2025-07-01 07:49:11;  2025-07-01 08:10:32;  2025-07-01 08:21:12;  2025-07-01 08:38:22;  2025-07-01 08:49:49;  2025-07-01 09:08:22;  2025-07-01 09:19:13;  2025-07-01 09:38:08;  2025-07-01 09:50:20;  2025-07-01 10:07:07;  2025-07-01 10:36:56;  2025-07-01 10:52:26;  2025-07-01 11:38:20;  2025-07-01 11:51:20;  2025-07-01 12:36:53;  2025-07-01 12:50:53;  2025-07-01 13:37:13;  2025-07-01 13:50:47;  2025-07-01 14:36:28;  2025-07-01 14:49:25;  2025-07-01 15:20:13;  2025-07-01 15:37:22;  2025-07-01 15:49:22;  2025-07-01 16:07:57;  2025-07-01 16:19:10;  2025-07-01 16:37:41;  2025-07-01 16:49:48;  2025-07-01 17:08:27;  2025-07-01 17:20:31;  2025-07-01 17:38:51;  2025-07-01 17:49:00;  2025-07-01 18:11:40;  2025-07-01 18:35:16;  2025-07-01 18:38:30;  2025-07-01 18:51:17;  2025-07-01 19:06:00;  2025-07-01 19:20:00;  2025-07-01 19:37:10;  2025-07-01 19:48:57;  2025-07-01 20:06:00;  2025-07-01 20:39:45;  2025-07-01 20:50:33;  2025-07-01 21:36:16;  2025-07-01 21:51:20;  2025-07-01 22:35:34;  2025-07-01 22:50:14;  2025-07-01 23:34:13;  2025-07-01 23:50:53;  2025-08-01 00:36:39
         Lutry, Brûlées;      8592147;    ARRIVAL_REAL;  2025-07-01 05:18:44;  2025-07-01 05:52:45;  2025-07-01 06:05:07;  2025-07-01 06:22:19;  2025-07-01 06:35:45;  2025-07-01 06:50:25;  2025-07-01 07:06:50;  2025-07-01 07:19:49;  2025-07-01 07:35:37;  2025-07-01 07:50:11;  2025-07-01 08:08:49;  2025-07-01 08:22:33;  2025-07-01 08:37:22;  2025-07-01 08:50:54;  2025-07-01 09:07:11;  2025-07-01 09:20:16;  2025-07-01 09:36:49;  2025-07-01 09:51:21;  2025-07-01 10:05:47;  2025-07-01 10:35:51;  2025-07-01 10:53:27;  2025-07-01 11:37:03;  2025-07-01 11:51:42;  2025-07-01 12:35:23;  2025-07-01 12:51:29;  2025-07-01 13:35:49;  2025-07-01 13:51:53;  2025-07-01 14:35:14;  2025-07-01 14:50:25;  2025-07-01 15:21:10;  2025-07-01 15:35:44;  2025-07-01 15:50:23;  2025-07-01 16:06:10;  2025-07-01 16:20:07;  2025-07-01 16:36:01;  2025-07-01 16:50:49;  2025-07-01 17:06:47;  2025-07-01 17:21:41;  2025-07-01 17:37:17;  2025-07-01 17:50:01;  2025-07-01 18:09:40;  2025-07-01 18:35:40;  2025-07-01 18:37:13;  2025-07-01 18:52:16;  2025-07-01 19:04:30;  2025-07-01 19:21:01;  2025-07-01 19:35:30;  2025-07-01 19:49:51;  2025-07-01 20:04:30;  2025-07-01 20:38:03;  2025-07-01 20:51:21;  2025-07-01 21:34:46;  2025-07-01 21:52:00;  2025-07-01 22:34:00;  2025-07-01 22:50:38;  2025-07-01 23:33:09;  2025-07-01 23:51:53;  2025-08-01 00:35:40
         Lutry, Brûlées;      8592147;  DEPARTURE_REAL;  2025-07-01 05:19:04;  2025-07-01 05:52:45;  2025-07-01 06:05:07;  2025-07-01 06:22:39;  2025-07-01 06:35:45;  2025-07-01 06:50:57;  2025-07-01 07:06:59;  2025-07-01 07:20:26;  2025-07-01 07:35:57;  2025-07-01 07:50:43;  2025-07-01 08:09:02;  2025-07-01 08:23:09;  2025-07-01 08:37:22;  2025-07-01 08:51:07;  2025-07-01 09:07:11;  2025-07-01 09:20:49;  2025-07-01 09:37:09;  2025-07-01 09:51:21;  2025-07-01 10:06:07;  2025-07-01 10:35:56;  2025-07-01 10:53:39;  2025-07-01 11:37:20;  2025-07-01 11:52:00;  2025-07-01 12:35:33;  2025-07-01 12:51:53;  2025-07-01 13:36:03;  2025-07-01 13:51:53;  2025-07-01 14:35:35;  2025-07-01 14:50:25;  2025-07-01 15:22:10;  2025-07-01 15:36:02;  2025-07-01 15:50:42;  2025-07-01 16:06:27;  2025-07-01 16:20:07;  2025-07-01 16:36:21;  2025-07-01 16:51:10;  2025-07-01 17:07:07;  2025-07-01 17:21:41;  2025-07-01 17:37:43;  2025-07-01 17:50:01;  2025-07-01 18:10:20;  2025-07-01 18:35:56;  2025-07-01 18:37:20;  2025-07-01 18:52:16;  2025-07-01 19:04:30;  2025-07-01 19:21:01;  2025-07-01 19:35:41;  2025-07-01 19:49:58;  2025-07-01 20:04:30;  2025-07-01 20:38:15;  2025-07-01 20:51:32;  2025-07-01 21:34:46;  2025-07-01 21:52:20;  2025-07-01 22:34:05;  2025-07-01 22:50:54;  2025-07-01 23:33:28;  2025-07-01 23:51:53;  2025-08-01 00:35:40
