  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;     Start     ;  Start_time_Planned ;   Start_time_Real   ;      End      ;   End_time_Planned  ;    End_time_Real    
  85:151:6076;  Route_A;               11;          O;  Lutry, Landar;  2025-07-01 05:35:00;  2025-07-01 05:36:05;    Lutry, port;  2025-07-01 05:46:00;  2025-07-01 05:44:45
  85:151:6077;  Route_A;               11;          R;    Lutry, port;  2025-07-01 06:12:00;  2025-07-01 06:16:04;  Lutry, Landar;  2025-07-01 06:24:00;  2025-07-01 06:25:26
  85:151:6078;  Route_A;               11;          O;  Lutry, Landar;  2025-07-01 06:35:00;  2025-07-01 06:37:02;    Lutry, port;  2025-07-01 06:46:00;  2025-07-01 06:48:33
  85:151:6079;  Route_A;               11;          R;    Lutry, port;  2025-07-01 07:11:00;  2025-07-01 07:12:22;  Lutry, Landar;  2025-07-01 07:24:00;  2025-07-01 07:25:03
  85:151:6080;  Route_A;               11;          O;  Lutry, Landar;  2025-07-01 07:34:00;  2025-07-01 07:35:17;    Lutry, port;  2025-07-01 07:47:00;  2025-07-01 07:47:50
  85:151:6081;  Route_A;               11;          R;    Lutry, port;  2025-07-01 08:11:00;  2025-07-01 08:12:46;  Lutry, Landar;  2025-07-01 08:24:00;  2025-07-01 08:23:26
  85:151:6082;  Route_A;               11;          O;  Lutry, Landar;  2025-07-01 08:35:00;  2025-07-01 08:36:46;    Lutry, port;  2025-07-01 08:47:00;  2025-07-01 08:48:43
  85:151:6083;  Route_A;               11;          R;    Lutry, port;  2025-07-01 09:11:00;  2025-07-01 09:12:57;  Lutry, Landar;  2025-07-01 09:25:00;  2025-07-01 09:23:56
  85:151:6084;  Route_A;               11;          O;  Lutry, Landar;  2025-07-01 09:35:00;  2025-07-01 09:35:44;    Lutry, port;  2025-07-01 09:47:00;  2025-07-01 09:45:20
  85:151:6085;  Route_A;               11;          R;    Lutry, port;  2025-07-01 10:11:00;  2025-07-01 10:11:28;  Lutry, Landar;  2025-07-01 10:25:00;  2025-07-01 10:22:33
  85:151:6086;  Route_A;               11;          O;  Lutry, Landar;  2025-07-01 10:35:00;  2025-07-01 10:35:32;    Lutry, port;  2025-07-01 10:47:00;  2025-07-01 10:45:53
  85:151:6087;  Route_A;               11;          R;    Lutry, port;  2025-07-01 11:11:00;  2025-07-01 11:11:11;  Lutry, Landar;  2025-07-01 11:25:00;  2025-07-01 11:21:32
  85:151:6088;  Route_A;               11;          O;  Lutry, Landar;  2025-07-01 11:35:00;  2025-07-01 11:35:05;    Lutry, port;  2025-07-01 11:47:00;  2025-07-01 11:46:05
  85:151:6089;  Route_A;               11;          R;    Lutry, port;  2025-07-01 12:11:00;  2025-07-01 12:11:38;  Lutry, Landar;  2025-07-01 12:25:00;  2025-07-01 12:26:48
  85:151:6090;  Route_A;               11;          O;  Lutry, Landar;  2025-07-01 12:35:00;  2025-07-01 12:35:37;    Lutry, port;  2025-07-01 12:47:00;  2025-07-01 12:50:21
  85:151:6091;  Route_A;               11;          R;    Lutry, port;  2025-07-01 13:11:00;  2025-07-01 13:11:00;  Lutry, Landar;  2025-07-01 13:25:00;  2025-07-01 13:26:39
  85:151:6092;  Route_A;               11;          O;  Lutry, Landar;  2025-07-01 13:35:00;  2025-07-01 13:35:36;    Lutry, port;  2025-07-01 13:47:00;  2025-07-01 13:50:38
  85:151:6093;  Route_A;               11;          R;    Lutry, port;  2025-07-01 14:11:00;  2025-07-01 14:11:36;  Lutry, Landar;  2025-07-01 14:25:00;  2025-07-01 14:24:15
