      STOP_NAME      ; STOP_NUMBER ;   EVENT   ;     85:151:6076     ;     85:151:6077     ;     85:151:6078     ;     85:151:6079     ;     85:151:6080     ;     85:151:6081     ;     85:151:6082     ;     85:151:6083     ;     85:151:6084     ;     85:151:6085     ;     85:151:6086     ;     85:151:6087     ;     85:151:6088     ;     85:151:6089     ;     85:151:6090     ;     85:151:6091     ;     85:151:6092     ;     85:151:6093     ;     85:151:6094     ;     85:151:6095     ;     85:151:6096     ;     85:151:6097     ;     85:151:6098     ;     85:151:6099     ;     85:151:6100     ;     85:151:6101     ;     85:151:6102     ;     85:151:6103     ;     85:151:6104     ;     85:151:6105     ;     85:151:6106     ;     85:151:6107     
        Lutry, Landar;      8579259;    ARRIVAL;                     ;  2025-07-01 06:24:00;                     ;  2025-07-01 07:24:00;                     ;  2025-07-01 08:24:00;                     ;  2025-07-01 09:25:00;                     ;  2025-07-01 10:25:00;                     ;  2025-07-01 11:25:00;                     ;  2025-07-01 12:25:00;                     ;  2025-07-01 13:25:00;                     ;  2025-07-01 14:25:00;                     ;  2025-07-01 15:25:00;                     ;  2025-07-01 16:26:00;                     ;  2025-07-01 17:26:00;                     ;  2025-07-01 18:25:00;                     ;  2025-07-01 19:25:00;                     ;  2025-07-01 20:24:00;                     ;  2025-07-01 21:23:00
        Lutry, Landar;      8579259;  DEPARTURE;  2025-07-01 05:35:00;                     ;  2025-07-01 06:35:00;                     ;  2025-07-01 07:34:00;                     ;  2025-07-01 08:35:00;                     ;  2025-07-01 09:35:00;                     ;  2025-07-01 10:35:00;                     ;  2025-07-01 11:35:00;                     ;  2025-07-01 12:35:00;                     ;  2025-07-01 13:35:00;                     ;  2025-07-01 14:35:00;                     ;  2025-07-01 15:35:00;                     ;  2025-07-01 16:35:00;                     ;  2025-07-01 17:35:00;                     ;  2025-07-01 18:35:00;                     ;  2025-07-01 19:35:00;                     ;  2025-07-01 20:35:00;                     
      Lutry, Echerins;      8588438;    ARRIVAL;  2025-07-01 05:36:00;  2025-07-01 06:21:00;  2025-07-01 06:36:00;  2025-07-01 07:21:00;  2025-07-01 07:35:00;  2025-07-01 08:21:00;  2025-07-01 08:36:00;  2025-07-01 09:21:00;  2025-07-01 09:36:00;  2025-07-01 10:21:00;  2025-07-01 10:36:00;  2025-07-01 11:21:00;  2025-07-01 11:36:00;  2025-07-01 12:21:00;  2025-07-01 12:36:00;  2025-07-01 13:21:00;  2025-07-01 13:36:00;  2025-07-01 14:21:00;  2025-07-01 14:36:00;  2025-07-01 15:21:00;  2025-07-01 15:36:00;  2025-07-01 16:22:00;  2025-07-01 16:36:00;  2025-07-01 17:22:00;  2025-07-01 17:36:00;  2025-07-01 18:22:00;  2025-07-01 18:36:00;  2025-07-01 19:22:00;  2025-07-01 19:36:00;  2025-07-01 20:21:00;  2025-07-01 20:36:00;  2025-07-01 21:20:00
      Lutry, Echerins;      8588438;  DEPARTURE;  2025-07-01 05:36:00;  2025-07-01 06:21:00;  2025-07-01 06:36:00;  2025-07-01 07:21:00;  2025-07-01 07:35:00;  2025-07-01 08:21:00;  2025-07-01 08:36:00;  2025-07-01 09:21:00;  2025-07-01 09:36:00;  2025-07-01 10:21:00;  2025-07-01 10:36:00;  2025-07-01 11:21:00;  2025-07-01 11:36:00;  2025-07-01 12:21:00;  2025-07-01 12:36:00;  2025-07-01 13:21:00;  2025-07-01 13:36:00;  2025-07-01 14:21:00;  2025-07-01 14:36:00;  2025-07-01 15:21:00;  2025-07-01 15:36:00;  2025-07-01 16:22:00;  2025-07-01 16:36:00;  2025-07-01 17:22:00;  2025-07-01 17:36:00;  2025-07-01 18:22:00;  2025-07-01 18:36:00;  2025-07-01 19:22:00;  2025-07-01 19:36:00;  2025-07-01 20:21:00;  2025-07-01 20:36:00;  2025-07-01 21:20:00
   Lutry, Croix/Lutry;      8579260;    ARRIVAL;  2025-07-01 05:37:00;  2025-07-01 06:21:00;  2025-07-01 06:37:00;  2025-07-01 07:21:00;  2025-07-01 07:36:00;  2025-07-01 08:21:00;  2025-07-01 08:37:00;  2025-07-01 09:21:00;  2025-07-01 09:37:00;  2025-07-01 10:21:00;  2025-07-01 10:37:00;  2025-07-01 11:21:00;  2025-07-01 11:37:00;  2025-07-01 12:21:00;  2025-07-01 12:37:00;  2025-07-01 13:21:00;  2025-07-01 13:37:00;  2025-07-01 14:21:00;  2025-07-01 14:37:00;  2025-07-01 15:21:00;  2025-07-01 15:37:00;  2025-07-01 16:22:00;  2025-07-01 16:37:00;  2025-07-01 17:22:00;  2025-07-01 17:37:00;  2025-07-01 18:22:00;  2025-07-01 18:37:00;  2025-07-01 19:22:00;  2025-07-01 19:37:00;  2025-07-01 20:21:00;  2025-07-01 20:37:00;  2025-07-01 21:20:00
   Lutry, Croix/Lutry;      8579260;  DEPARTURE;  2025-07-01 05:37:00;  2025-07-01 06:21:00;  2025-07-01 06:37:00;  2025-07-01 07:21:00;  2025-07-01 07:36:00;  2025-07-01 08:21:00;  2025-07-01 08:37:00;  2025-07-01 09:21:00;  2025-07-01 09:37:00;  2025-07-01 10:21:00;  2025-07-01 10:37:00;  2025-07-01 11:21:00;  2025-07-01 11:37:00;  2025-07-01 12:21:00;  2025-07-01 12:37:00;  2025-07-01 13:21:00;  2025-07-01 13:37:00;  2025-07-01 14:21:00;  2025-07-01 14:37:00;  2025-07-01 15:21:00;  2025-07-01 15:37:00;  2025-07-01 16:22:00;  2025-07-01 16:37:00;  2025-07-01 17:22:00;  2025-07-01 17:37:00;  2025-07-01 18:22:00;  2025-07-01 18:37:00;  2025-07-01 19:22:00;  2025-07-01 19:37:00;  2025-07-01 20:21:00;  2025-07-01 20:37:00;  2025-07-01 21:20:00
        Lutry, Savoie;      8592161;    ARRIVAL;  2025-07-01 05:37:00;  2025-07-01 06:20:00;  2025-07-01 06:37:00;  2025-07-01 07:20:00;  2025-07-01 07:36:00;  2025-07-01 08:20:00;  2025-07-01 08:37:00;  2025-07-01 09:20:00;  2025-07-01 09:37:00;  2025-07-01 10:20:00;  2025-07-01 10:37:00;  2025-07-01 11:20:00;  2025-07-01 11:37:00;  2025-07-01 12:20:00;  2025-07-01 12:37:00;  2025-07-01 13:20:00;  2025-07-01 13:37:00;  2025-07-01 14:20:00;  2025-07-01 14:37:00;  2025-07-01 15:20:00;  2025-07-01 15:37:00;  2025-07-01 16:21:00;  2025-07-01 16:37:00;  2025-07-01 17:21:00;  2025-07-01 17:37:00;  2025-07-01 18:21:00;  2025-07-01 18:37:00;  2025-07-01 19:21:00;  2025-07-01 19:37:00;  2025-07-01 20:20:00;  2025-07-01 20:37:00;  2025-07-01 21:19:00
        Lutry, Savoie;      8592161;  DEPARTURE;  2025-07-01 05:37:00;  2025-07-01 06:20:00;  2025-07-01 06:37:00;  2025-07-01 07:20:00;  2025-07-01 07:36:00;  2025-07-01 08:20:00;  2025-07-01 08:37:00;  2025-07-01 09:20:00;  2025-07-01 09:37:00;  2025-07-01 10:20:00;  2025-07-01 10:37:00;  2025-07-01 11:20:00;  2025-07-01 11:37:00;  2025-07-01 12:20:00;  2025-07-01 12:37:00;  2025-07-01 13:20:00;  2025-07-01 13:37:00;  2025-07-01 14:20:00;  2025-07-01 14:37:00;  2025-07-01 15:20:00;  2025-07-01 15:37:00;  2025-07-01 16:21:00;  2025-07-01 16:37:00;  2025-07-01 17:21:00;  2025-07-01 17:37:00;  2025-07-01 18:21:00;  2025-07-01 18:37:00;  2025-07-01 19:21:00;  2025-07-01 19:37:00;  2025-07-01 20:20:00;  2025-07-01 20:37:00;  2025-07-01 21:19:00
        Lutry, Brélaz;      8592146;    ARRIVAL;  2025-07-01 05:38:00;  2025-07-01 06:19:00;  2025-07-01 06:38:00;  2025-07-01 07:19:00;  2025-07-01 07:38:00;  2025-07-01 08:19:00;  2025-07-01 08:38:00;  2025-07-01 09:19:00;  2025-07-01 09:38:00;  2025-07-01 10:19:00;  2025-07-01 10:38:00;  2025-07-01 11:19:00;  2025-07-01 11:38:00;  2025-07-01 12:19:00;  2025-07-01 12:38:00;  2025-07-01 13:19:00;  2025-07-01 13:38:00;  2025-07-01 14:19:00;  2025-07-01 14:38:00;  2025-07-01 15:19:00;  2025-07-01 15:38:00;  2025-07-01 16:19:00;  2025-07-01 16:38:00;  2025-07-01 17:19:00;  2025-07-01 17:38:00;  2025-07-01 18:19:00;  2025-07-01 18:38:00;  2025-07-01 19:19:00;  2025-07-01 19:38:00;  2025-07-01 20:19:00;  2025-07-01 20:38:00;  2025-07-01 21:18:00
        Lutry, Brélaz;      8592146;  DEPARTURE;  2025-07-01 05:38:00;  2025-07-01 06:19:00;  2025-07-01 06:38:00;  2025-07-01 07:19:00;  2025-07-01 07:38:00;  2025-07-01 08:19:00;  2025-07-01 08:38:00;  2025-07-01 09:19:00;  2025-07-01 09:38:00;  2025-07-01 10:19:00;  2025-07-01 10:38:00;  2025-07-01 11:19:00;  2025-07-01 11:38:00;  2025-07-01 12:19:00;  2025-07-01 12:38:00;  2025-07-01 13:19:00;  2025-07-01 13:38:00;  2025-07-01 14:19:00;  2025-07-01 14:38:00;  2025-07-01 15:19:00;  2025-07-01 15:38:00;  2025-07-01 16:19:00;  2025-07-01 16:38:00;  2025-07-01 17:19:00;  2025-07-01 17:38:00;  2025-07-01 18:19:00;  2025-07-01 18:38:00;  2025-07-01 19:19:00;  2025-07-01 19:38:00;  2025-07-01 20:19:00;  2025-07-01 20:38:00;  2025-07-01 21:18:00
