      STOP_NAME      ; STOP_NUMBER ;     EVENT      ;     85:151:6076     ;     85:151:6077     ;     85:151:6078     ;     85:151:6079     ;     85:151:6080     ;     85:151:6081     ;     85:151:6082     ;     85:151:6083     ;     85:151:6084     ;     85:151:6085     ;     85:151:6086     ;     85:151:6087     ;     85:151:6088     ;     85:151:6089     ;     85:151:6090     ;     85:151:6091     ;     85:151:6092     ;     85:151:6093     ;     85:151:6094     ;     85:151:6095     ;     85:151:6096     ;     85:151:6097     ;     85:151:6098     ;     85:151:6099     ;     85:151:6100     ;     85:151:6101     ;     85:151:6102     ;     85:151:6103     ;     85:151:6104     ;     85:151:6105     ;     85:151:6106     ;     85:151:6107     
        Lutry, Landar;      8579259;    ARRIVAL_REAL;                     ;  2025-07-01 06:25:26;                     ;  2025-07-01 07:25:03;                     ;  2025-07-01 08:23:26;                     ;  2025-07-01 09:23:56;                     ;  2025-07-01 10:22:33;                     ;  2025-07-01 11:21:32;                     ;  2025-07-01 12:26:48;                     ;  2025-07-01 13:26:39;                     ;  2025-07-01 14:24:15;                     ;  2025-07-01 15:25:50;                     ;  2025-07-01 16:23:06;                     ;  2025-07-01 17:26:41;                     ;  2025-07-01 18:26:35;                     ;  2025-07-01 19:25:53;                     ;  2025-07-01 20:24:09;                     ;  2025-07-01 21:21:16
        Lutry, Landar;      8579259;  DEPARTURE_REAL;  2025-07-01 05:36:05;                     ;  2025-07-01 06:37:02;                     ;  2025-07-01 07:35:17;                     ;  2025-07-01 08:36:46;                     ;  2025-07-01 09:35:44;                     ;  2025-07-01 10:35:32;                     ;  2025-07-01 11:35:05;                     ;  2025-07-01 12:35:37;                     ;  2025-07-01 13:35:36;                     ;  2025-07-01 14:35:35;                     ;  2025-07-01 15:35:26;                     ;  2025-07-01 16:37:06;                     ;  2025-07-01 17:36:28;                     ;  2025-07-01 18:35:58;                     ;  2025-07-01 19:35:34;                     ;  2025-07-01 20:37:17;                     
      Lutry, Echerins;      8588438;    ARRIVAL_REAL;  2025-07-01 05:37:20;  2025-07-01 06:23:09;  2025-07-01 06:38:29;  2025-07-01 07:22:53;  2025-07-01 07:36:49;  2025-07-01 08:22:13;  2025-07-01 08:38:08;  2025-07-01 09:23:17;  2025-07-01 09:36:51;  2025-07-01 10:21:33;  2025-07-01 10:37:10;  2025-07-01 11:20:17;  2025-07-01 11:36:33;  2025-07-01 12:25:19;  2025-07-01 12:37:10;  2025-07-01 13:24:16;  2025-07-01 13:37:09;  2025-07-01 14:22:59;  2025-07-01 14:37:22;  2025-07-01 15:23:40;  2025-07-01 15:37:04;  2025-07-01 16:22:06;  2025-07-01 16:38:48;  2025-07-01 17:24:24;  2025-07-01 17:38:01;  2025-07-01 18:24:18;  2025-07-01 18:37:10;  2025-07-01 19:23:36;  2025-07-01 19:37:06;  2025-07-01 20:22:22;  2025-07-01 20:38:50;  2025-07-01 21:20:10
      Lutry, Echerins;      8588438;  DEPARTURE_REAL;  2025-07-01 05:37:20;  2025-07-01 06:23:09;  2025-07-01 06:38:29;  2025-07-01 07:22:53;  2025-07-01 07:36:49;  2025-07-01 08:22:13;  2025-07-01 08:38:08;  2025-07-01 09:23:17;  2025-07-01 09:36:51;  2025-07-01 10:21:33;  2025-07-01 10:37:10;  2025-07-01 11:20:17;  2025-07-01 11:36:33;  2025-07-01 12:25:19;  2025-07-01 12:37:32;  2025-07-01 13:24:16;  2025-07-01 13:37:23;  2025-07-01 14:22:59;  2025-07-01 14:37:22;  2025-07-01 15:23:40;  2025-07-01 15:37:04;  2025-07-01 16:22:06;  2025-07-01 16:38:48;  2025-07-01 17:24:38;  2025-07-01 17:38:25;  2025-07-01 18:24:18;  2025-07-01 18:37:10;  2025-07-01 19:23:36;  2025-07-01 19:37:06;  2025-07-01 20:22:22;  2025-07-01 20:38:51;  2025-07-01 21:20:10
   Lutry, Croix/Lutry;      8579260;    ARRIVAL_REAL;  2025-07-01 05:37:42;  2025-07-01 06:22:52;  2025-07-01 06:38:48;  2025-07-01 07:22:10;  2025-07-01 07:37:08;  2025-07-01 08:21:57;  2025-07-01 08:38:29;  2025-07-01 09:22:38;  2025-07-01 09:37:10;  2025-07-01 10:20:38;  2025-07-01 10:37:29;  2025-07-01 11:19:25;  2025-07-01 11:36:53;  2025-07-01 12:24:28;  2025-07-01 12:37:57;  2025-07-01 13:23:26;  2025-07-01 13:37:50;  2025-07-01 14:22:07;  2025-07-01 14:37:40;  2025-07-01 15:22:55;  2025-07-01 15:37:26;  2025-07-01 16:21:23;  2025-07-01 16:39:11;  2025-07-01 17:23:44;  2025-07-01 17:38:57;  2025-07-01 18:23:30;  2025-07-01 18:37:32;  2025-07-01 19:23:13;  2025-07-01 19:37:22;  2025-07-01 20:21:40;  2025-07-01 20:39:15;  2025-07-01 21:19:44
   Lutry, Croix/Lutry;      8579260;  DEPARTURE_REAL;  2025-07-01 05:37:42;  2025-07-01 06:22:52;  2025-07-01 06:39:17;  2025-07-01 07:22:33;  2025-07-01 07:37:37;  2025-07-01 08:21:57;  2025-07-01 08:38:54;  2025-07-01 09:22:38;  2025-07-01 09:37:46;  2025-07-01 10:20:55;  2025-07-01 10:37:37;  2025-07-01 11:19:50;  2025-07-01 11:37:25;  2025-07-01 12:24:38;  2025-07-01 12:38:31;  2025-07-01 13:23:50;  2025-07-01 13:38:15;  2025-07-01 14:22:26;  2025-07-01 14:38:02;  2025-07-01 15:23:20;  2025-07-01 15:37:46;  2025-07-01 16:21:26;  2025-07-01 16:39:26;  2025-07-01 17:24:02;  2025-07-01 17:39:16;  2025-07-01 18:24:03;  2025-07-01 18:37:36;  2025-07-01 19:23:13;  2025-07-01 19:37:22;  2025-07-01 20:22:00;  2025-07-01 20:39:36;  2025-07-01 21:19:45
        Lutry, Savoie;      8592161;    ARRIVAL_REAL;  2025-07-01 05:37:59;  2025-07-01 06:22:29;  2025-07-01 06:39:33;  2025-07-01 07:21:33;  2025-07-01 07:38:07;  2025-07-01 08:21:27;  2025-07-01 08:39:08;  2025-07-01 09:22:08;  2025-07-01 09:38:04;  2025-07-01 10:20:14;  2025-07-01 10:38:01;  2025-07-01 11:19:10;  2025-07-01 11:37:43;  2025-07-01 12:23:39;  2025-07-01 12:39:00;  2025-07-01 13:22:33;  2025-07-01 13:38:45;  2025-07-01 14:21:10;  2025-07-01 14:38:26;  2025-07-01 15:21:58;  2025-07-01 15:38:10;  2025-07-01 16:20:46;  2025-07-01 16:39:50;  2025-07-01 17:22:48;  2025-07-01 17:39:34;  2025-07-01 18:22:13;  2025-07-01 18:37:56;  2025-07-01 19:22:16;  2025-07-01 19:37:41;  2025-07-01 20:21:03;  2025-07-01 20:40:00;  2025-07-01 21:19:22
        Lutry, Savoie;      8592161;  DEPARTURE_REAL;  2025-07-01 05:38:06;  2025-07-01 06:22:29;  2025-07-01 06:39:33;  2025-07-01 07:21:33;  2025-07-01 07:38:18;  2025-07-01 08:21:27;  2025-07-01 08:39:46;  2025-07-01 09:22:08;  2025-07-01 09:38:22;  2025-07-01 10:20:14;  2025-07-01 10:38:10;  2025-07-01 11:19:10;  2025-07-01 11:37:43;  2025-07-01 12:23:39;  2025-07-01 12:39:06;  2025-07-01 13:22:55;  2025-07-01 13:38:56;  2025-07-01 14:21:28;  2025-07-01 14:38:26;  2025-07-01 15:22:16;  2025-07-01 15:38:26;  2025-07-01 16:20:46;  2025-07-01 16:39:50;  2025-07-01 17:23:07;  2025-07-01 17:39:34;  2025-07-01 18:22:31;  2025-07-01 18:37:56;  2025-07-01 19:22:36;  2025-07-01 19:37:41;  2025-07-01 20:21:03;  2025-07-01 20:40:00;  2025-07-01 21:19:22
        Lutry, Brélaz;      8592146;    ARRIVAL_REAL;  2025-07-01 05:39:01;  2025-07-01 06:21:53;  2025-07-01 06:40:34;  2025-07-01 07:20:18;  2025-07-01 07:39:19;  2025-07-01 08:20:21;  2025-07-01 08:40:42;  2025-07-01 09:21:12;  2025-07-01 09:39:17;  2025-07-01 10:19:32;  2025-07-01 10:38:56;  2025-07-01 11:18:12;  2025-07-01 11:38:41;  2025-07-01 12:22:21;  2025-07-01 12:40:21;  2025-07-01 13:21:34;  2025-07-01 13:40:19;  2025-07-01 14:20:11;  2025-07-01 14:39:49;  2025-07-01 15:20:49;  2025-07-01 15:39:44;  2025-07-01 16:20:00;  2025-07-01 16:40:45;  2025-07-01 17:21:32;  2025-07-01 17:40:30;  2025-07-01 18:20:53;  2025-07-01 18:38:51;  2025-07-01 19:21:04;  2025-07-01 19:38:47;  2025-07-01 20:19:59;  2025-07-01 20:40:55;  2025-07-01 21:18:30
        Lutry, Brélaz;      8592146;  DEPARTURE_REAL;  2025-07-01 05:39:01;  2025-07-01 06:21:53;  2025-07-01 06:40:45;  2025-07-01 07:20:39;  2025-07-01 07:39:34;  2025-07-01 08:20:36;  2025-07-01 08:40:42;  2025-07-01 09:21:21;  2025-07-01 09:39:17;  2025-07-01 10:19:32;  2025-07-01 10:38:56;  2025-07-01 11:18:17;  2025-07-01 11:38:41;  2025-07-01 12:22:39;  2025-07-01 12:40:49;  2025-07-01 13:21:34;  2025-07-01 13:40:46;  2025-07-01 14:20:11;  2025-07-01 14:39:49;  2025-07-01 15:21:06;  2025-07-01 15:39:44;  2025-07-01 16:20:00;  2025-07-01 16:40:57;  2025-07-01 17:21:51;  2025-07-01 17:40:45;  2025-07-01 18:21:16;  2025-07-01 18:39:11;  2025-07-01 19:21:20;  2025-07-01 19:38:47;  2025-07-01 20:19:59;  2025-07-01 20:40:55;  2025-07-01 21:18:30
